Sample_ID,Source,Collection,Binder_ID,Manufacturer,Origin,Type,Subtype,Apparent_Colour,Details,Scanned
ACR_28,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,28,Hoechst Dralon® 21,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,"Dry spun. Raw. Bright. PAN + MA + aromatic sulphonate (DMF solvent). 6.7dtex x 60mm. Uses: knitted goods, blankets, rugs.",No
ACR_29,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,29,Hoechst Dralon® 22,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,"Dry spun. White. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex, 90dtex. Uses: knitted outerwear, upholstery fabrics.",No
ACR_30,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,30,Hoechst Dralon® 26,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,"Wet spun. Bright. White. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Uses: knitted goods, pile fabrics",No
ACR_31,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,31,Hoechst Dralon® 31,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Dry spun. Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Use: upholstery fabric.,No
ACR_32,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,32,Hoechst Dralon® 37,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 2.2dtex x 50mm. Uses: blankets and knitted pile fabrics.,No
ACR_33,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,33,Hoechst Dralon® 44,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 6.7dtex x 50mm. Uses: furniture or outer clothing.,No
ACR_34,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,34,Hoechst Dralon® 65,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Pigmented. PAN + MA (DMF solvent). For outdoor use.,Yes
ACR_35,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,35,Hoechst Dralon® 81,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Dry spun. Raw. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Used as carpet fiber.,No
ACR_36,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,36,Hoechst Dralon® 86,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Dry spun. Raw. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Use: carpet fiber.,No
ACR_37,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,37,Hoechst Dralon® 10,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). Very low MA level; 6mm. Asbestos substitute.,Yes
ACR_38,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,38,Mann Mann® 505,Man-made,Acrylic (≥ 85% acrylonitrile),Unspecified PAN (acrylic) copolymer,Green,"Producer dyed. PAN homopolymer. Colors: Bone, Noble Green, Spruce, Wash Denim, Royal Purple, Burgundy, Brite Fuchsia, Scarlet, Navy.",No
ACR_39,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,39,Markische Faser Wolpryla® 65,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,PAN + MA. No DMF residue.,No
ACR_40,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,40,Monsanto Acrilan® D57,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/VA copolymer,N/A,"Bicomponent on PAN + VA base. 6d. x 5.""",No
ACR_41,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,41,Snia Velicren®,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Semi-dull with TiO₂. PAN(89%) + MA (DMF solvent). 5d. x 60mm.,No
ACR_42,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,42,Snia Velicren®,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Bright. PAN(89%) + MA (DMF solvent). 5d. x 60mm.,No
ACR_43,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,43,Snia Velicren® Bicomponent,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Bicomponent. PAN + MA + aromatic sulphonate (DMF solvent). 3.3d. low.,No
ACR_44,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,44,Solutia Acrilan® B16,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/VA copolymer,N/A,PAN + VA. 3d.,No
ACR_45,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,45,Toho Rayon Beslon® A 240,Man-made,Acrylic (≥ 85% acrylonitrile),Unspecified PAN (acrylic) copolymer,N/A,Acid-dyeable acrylic fiber. PAN + base termonomer (zinc chloride solvent).,No
ACR_46,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,46,Toho Rayon Beslon® F 040,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/AA/MA terpolymer,N/A,Bicomponent. Random polymer mix. PAN + AA + MA (zinc chloride solvent).,No
ACR_47,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,47,Toho Rayon Beslon® R 340,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Superia with increased basic dyeability. PAN + MA (zinc chloride solvent).,No
ACR_48,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,48,Toho Rayon Beslon® W 241,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,PAN + MA (zinc chloride solvent). No DMF solvent residue.,No
ARM_49,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,49,Du Pont Kevlar® 29 T964,Man-made,Aramid (Aromatic polyamide),Para-aramid (Kevlar®),N/A,"200d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 29 is used for ballistic apparel, ropes, thermal and cut resistant gloves.",Yes
ARM_50,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,50,Du Pont Kevlar® 49 T968,Man-made,Aramid (Aromatic polyamide),Para-aramid (Kevlar®),N/A,"195d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 49 is used for reinforcing plastic composites in aircraft, marine and sporting applications.",Yes
ARM_51,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,51,Du Pont Nomex® OG 1,Man-made,Aramid (Aromatic polyamide),Unspecified aramid,N/A,Dogbone X-S. 200 dpf. Used especially in applications requiring resistance to high temperature.,Yes
ARM_52,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,52,Du Pont Nomex® T450,Man-made,Aramid (Aromatic polyamide),Meta-aramid (Nomex®),N/A,100% Nomex. Staple. Used especially in applications requiring resistance to high temperature.,Yes
CAR_53,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,53,Toray Torayca®,Man-made,Carbon,Carbon,N/A,"Round. 6 micrometer diameter, brittle.",No
CLF_54,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,54,FMC American Vinyon HH,Man-made,Chlorofiber,Chlorofiber,N/A,"5.5d. x 2. Obsolete.""",No
LYO_55,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,55,Courtaulds Tencel®,Man-made,Regenerated cellulose (Rayon),Lyocell,N/A,Round X-S. Staple.,Yes
LYO_56,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,56,Lenzing Lyocell by Lenzing®,Man-made,Regenerated cellulose (Rayon),Lyocell,N/A,Round X-S.; slightly irregular diameter.,Yes
MAC_57,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,57,Bayer Verel® C,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VDC copolymer,N/A,"PAN + VDC (37%) (DMF solvent). No ester, aliphatic sulphonate dye site. Obsolete.",Yes
MAC_58,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,58,Eastman Fibers Verel® Type CA,Man-made,Modacrylic (35 - 85% acrylonitrile),Unspecified PAN (modacrylic) copolymer,N/A,White. Peanut X-S. Bright. 16dpf. Use: Floor coverings.,Yes
MAC_59,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,59,Hoechst Dolan® 88,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VC copolymer,N/A,PAN + VC(15%) + MA(3%) + aliphatic sulphonate dye site. Obsolete.,Yes
MAC_60,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,60,Lenzing Lenzing® Modal,Man-made,Modacrylic (35 - 85% acrylonitrile),Unspecified PAN (modacrylic) copolymer,Black,Bright. Black spun dyed. Modal. 3.3dtex x 80mm.,Yes
MAC_61,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,61,Monsanto Elura®,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VBr copolymer,Brown,Brown. PAN + VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.,Yes
MAC_62,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,62,Snia Velicren® FR,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VDC copolymer,N/A,Ribbon X-S. PAN + VDC + aromatic sulphonate dye site (DMF solvent). 16.7dtex.,Yes
MAC_63,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,63,Solutia SEF Modacrylic,Man-made,Modacrylic (35 - 85% acrylonitrile),Unspecified PAN (modacrylic) copolymer,Dyed,Dyed SEF color: Toasty Beige.,Yes
MAC_64,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,64,Toray Unfla®,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VDC copolymer,N/A,PAN + VDC + high ester + aliphatic sulphonate dye site. No DMF residue. Wig fiber. Obsolete.,Yes
MAC_65,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,65,Toray Unfla®,Man-made,Modacrylic (35 - 85% acrylonitrile),Unspecified PAN (modacrylic) copolymer,N/A,Undyed. Raw stock. Obsolete.,Yes
MAC_66,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,66,Union Carbide Dynel® Type 180,Man-made,Modacrylic (35 - 85% acrylonitrile),Unspecified PAN (modacrylic) copolymer,N/A,3d. Staple.,Yes
MAC_67,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,67,Waxman Kanecaron® AHD HS,Man-made,Modacrylic (35 - 85% acrylonitrile),PAN/VA/VC terpolymer,Green,"Dope dyed, high shrink. Green. FR. PAN + VA + VC. 4.0d.",Yes
