Created as New Dataset,3.2 Jute cord
cm-1,%T
3404.00,93.79
3403.00,93.76
3402.00,93.73
3401.00,93.69
3400.00,93.66
3399.00,93.62
3398.00,93.59
3397.00,93.57
3396.00,93.56
3395.00,93.56
3394.00,93.57
3393.00,93.56
3392.00,93.55
3391.00,93.53
3390.00,93.51
3389.00,93.49
3388.00,93.46
3387.00,93.42
3386.00,93.40
3385.00,93.38
3384.00,93.38
3383.00,93.39
3382.00,93.41
3381.00,93.43
3380.00,93.43
3379.00,93.41
3378.00,93.37
3377.00,93.35
3376.00,93.32
3375.00,93.30
3374.00,93.27
3373.00,93.23
3372.00,93.20
3371.00,93.20
3370.00,93.21
3369.00,93.23
3368.00,93.23
3367.00,93.21
3366.00,93.18
3365.00,93.16
3364.00,93.14
3363.00,93.13
3362.00,93.11
3361.00,93.07
3360.00,93.03
3359.00,93.01
3358.00,92.99
3357.00,92.97
3356.00,92.96
3355.00,92.95
3354.00,92.94
3353.00,92.92
3352.00,92.91
3351.00,92.88
3350.00,92.85
3349.00,92.83
3348.00,92.82
3347.00,92.82
3346.00,92.83
3345.00,92.83
3344.00,92.83
3343.00,92.82
3342.00,92.81
3341.00,92.79
3340.00,92.76
3339.00,92.74
3338.00,92.72
3337.00,92.73
3336.00,92.75
3335.00,92.77
3334.00,92.79
3333.00,92.79
3332.00,92.79
3331.00,92.80
3330.00,92.80
3329.00,92.80
3328.00,92.79
3327.00,92.78
3326.00,92.79
3325.00,92.80
3324.00,92.81
3323.00,92.82
3322.00,92.82
3321.00,92.83
3320.00,92.83
3319.00,92.83
3318.00,92.84
3317.00,92.85
3316.00,92.86
3315.00,92.87
3314.00,92.88
3313.00,92.87
3312.00,92.87
3311.00,92.88
3310.00,92.87
3309.00,92.87
3308.00,92.87
3307.00,92.88
3306.00,92.89
3305.00,92.91
3304.00,92.93
3303.00,92.94
3302.00,92.95
3301.00,92.96
3300.00,92.97
3299.00,92.96
3298.00,92.95
3297.00,92.94
3296.00,92.95
3295.00,92.97
3294.00,92.99
3293.00,92.99
3292.00,92.99
3291.00,92.98
3290.00,92.97
3289.00,92.98
3288.00,92.99
3287.00,93.01
3286.00,93.03
3285.00,93.06
3284.00,93.08
3283.00,93.08
3282.00,93.07
3281.00,93.05
3280.00,93.04
3279.00,93.04
3278.00,93.06
3277.00,93.09
3276.00,93.11
3275.00,93.12
3274.00,93.13
3273.00,93.15
3272.00,93.19
3271.00,93.22
3270.00,93.26
3269.00,93.29
3268.00,93.32
3267.00,93.33
3266.00,93.35
3265.00,93.37
3264.00,93.40
3263.00,93.43
3262.00,93.44
3261.00,93.45
3260.00,93.45
3259.00,93.46
3258.00,93.48
3257.00,93.51
3256.00,93.55
3255.00,93.60
3254.00,93.64
3253.00,93.68
3252.00,93.71
3251.00,93.74
3250.00,93.76
3249.00,93.78
3248.00,93.80
3247.00,93.82
3246.00,93.84
3245.00,93.86
3244.00,93.88
3243.00,93.90
3242.00,93.93
3241.00,93.95
3240.00,93.98
3239.00,94.01
3238.00,94.04
3237.00,94.06
3236.00,94.07
3235.00,94.09
3234.00,94.12
3233.00,94.15
3232.00,94.19
3231.00,94.23
3230.00,94.27
3229.00,94.30
3228.00,94.32
3227.00,94.32
3226.00,94.33
3225.00,94.35
3224.00,94.38
3223.00,94.40
3222.00,94.42
3221.00,94.44
3220.00,94.46
3219.00,94.49
3218.00,94.52
3217.00,94.55
3216.00,94.58
3215.00,94.61
3214.00,94.65
3213.00,94.67
3212.00,94.69
3211.00,94.70
3210.00,94.72
3209.00,94.74
3208.00,94.76
3207.00,94.79
3206.00,94.81
3205.00,94.83
3204.00,94.84
3203.00,94.86
3202.00,94.89
3201.00,94.93
3200.00,94.97
3199.00,95.01
3198.00,95.03
3197.00,95.05
3196.00,95.06
3195.00,95.06
3194.00,95.07
3193.00,95.10
3192.00,95.14
3191.00,95.19
3190.00,95.22
3189.00,95.24
3188.00,95.25
3187.00,95.27
3186.00,95.30
3185.00,95.34
3184.00,95.38
3183.00,95.40
3182.00,95.41
3181.00,95.42
3180.00,95.42
3179.00,95.43
3178.00,95.44
3177.00,95.45
3176.00,95.46
3175.00,95.48
3174.00,95.52
3173.00,95.56
3172.00,95.59
3171.00,95.61
3170.00,95.64
3169.00,95.67
3168.00,95.70
3167.00,95.73
3166.00,95.75
3165.00,95.77
3164.00,95.80
3163.00,95.83
3162.00,95.84
3161.00,95.86
3160.00,95.87
3159.00,95.89
3158.00,95.92
3157.00,95.94
3156.00,95.95
3155.00,95.96
3154.00,95.98
3153.00,96.00
3152.00,96.04
3151.00,96.09
3150.00,96.14
3149.00,96.18
3148.00,96.19
3147.00,96.19
3146.00,96.20
3145.00,96.20
3144.00,96.22
3143.00,96.25
3142.00,96.27
3141.00,96.29
3140.00,96.31
3139.00,96.31
3138.00,96.31
3137.00,96.30
3136.00,96.31
3135.00,96.33
3134.00,96.36
3133.00,96.38
3132.00,96.40
3131.00,96.42
3130.00,96.43
3129.00,96.44
3128.00,96.45
3127.00,96.47
3126.00,96.50
3125.00,96.52
3124.00,96.53
3123.00,96.55
3122.00,96.57
3121.00,96.61
3120.00,96.64
3119.00,96.65
3118.00,96.65
3117.00,96.65
3116.00,96.67
3115.00,96.71
3114.00,96.74
3113.00,96.76
3112.00,96.77
3111.00,96.77
3110.00,96.76
3109.00,96.77
3108.00,96.78
3107.00,96.80
3106.00,96.82
3105.00,96.84
3104.00,96.86
3103.00,96.87
3102.00,96.88
3101.00,96.90
3100.00,96.93
3099.00,96.96
3098.00,96.97
3097.00,96.97
3096.00,96.96
3095.00,96.97
3094.00,96.98
3093.00,97.00
3092.00,97.02
3091.00,97.05
3090.00,97.07
3089.00,97.07
3088.00,97.08
3087.00,97.09
3086.00,97.11
3085.00,97.13
3084.00,97.14
3083.00,97.15
3082.00,97.15
3081.00,97.15
3080.00,97.14
3079.00,97.13
3078.00,97.13
3077.00,97.14
3076.00,97.16
3075.00,97.19
3074.00,97.22
3073.00,97.24
3072.00,97.26
3071.00,97.27
3070.00,97.28
3069.00,97.29
3068.00,97.30
3067.00,97.30
3066.00,97.31
3065.00,97.32
3064.00,97.33
3063.00,97.35
3062.00,97.37
3061.00,97.39
3060.00,97.41
3059.00,97.43
3058.00,97.46
3057.00,97.47
3056.00,97.47
3055.00,97.46
3054.00,97.45
3053.00,97.46
3052.00,97.47
3051.00,97.49
3050.00,97.50
3049.00,97.51
3048.00,97.52
3047.00,97.53
3046.00,97.54
3045.00,97.55
3044.00,97.55
3043.00,97.56
3042.00,97.56
3041.00,97.57
3040.00,97.58
3039.00,97.60
3038.00,97.62
3037.00,97.63
3036.00,97.63
3035.00,97.63
3034.00,97.64
3033.00,97.66
3032.00,97.67
3031.00,97.67
3030.00,97.66
3029.00,97.65
3028.00,97.66
3027.00,97.67
3026.00,97.69
3025.00,97.71
3024.00,97.72
3023.00,97.72
3022.00,97.72
