Created as New Dataset,11.4 Red Cormo sheep
cm-1,%T
3439.00,97.80
3438.00,97.75
3437.00,97.72
3436.00,97.71
3435.00,97.71
3434.00,97.72
3433.00,97.72
3432.00,97.71
3431.00,97.68
3430.00,97.65
3429.00,97.61
3428.00,97.57
3427.00,97.55
3426.00,97.53
3425.00,97.52
3424.00,97.50
3423.00,97.48
3422.00,97.45
3421.00,97.42
3420.00,97.40
3419.00,97.40
3418.00,97.40
3417.00,97.40
3416.00,97.39
3415.00,97.36
3414.00,97.32
3413.00,97.27
3412.00,97.23
3411.00,97.20
3410.00,97.21
3409.00,97.23
3408.00,97.24
3407.00,97.23
3406.00,97.18
3405.00,97.12
3404.00,97.08
3403.00,97.05
3402.00,97.05
3401.00,97.06
3400.00,97.06
3399.00,97.03
3398.00,96.99
3397.00,96.96
3396.00,96.94
3395.00,96.94
3394.00,96.94
3393.00,96.93
3392.00,96.91
3391.00,96.87
3390.00,96.83
3389.00,96.78
3388.00,96.75
3387.00,96.74
3386.00,96.74
3385.00,96.73
3384.00,96.71
3383.00,96.68
3382.00,96.65
3381.00,96.63
3380.00,96.61
3379.00,96.60
3378.00,96.60
3377.00,96.60
3376.00,96.59
3375.00,96.56
3374.00,96.53
3373.00,96.50
3372.00,96.49
3371.00,96.49
3370.00,96.49
3369.00,96.47
3368.00,96.44
3367.00,96.39
3366.00,96.37
3365.00,96.35
3364.00,96.33
3363.00,96.30
3362.00,96.27
3361.00,96.23
3360.00,96.20
3359.00,96.17
3358.00,96.14
3357.00,96.09
3356.00,96.05
3355.00,96.03
3354.00,96.04
3353.00,96.07
3352.00,96.07
3351.00,96.05
3350.00,96.01
3349.00,95.96
3348.00,95.93
3347.00,95.89
3346.00,95.86
3345.00,95.82
3344.00,95.79
3343.00,95.78
3342.00,95.77
3341.00,95.75
3340.00,95.73
3339.00,95.69
3338.00,95.66
3337.00,95.63
3336.00,95.61
3335.00,95.59
3334.00,95.57
3333.00,95.55
3332.00,95.53
3331.00,95.51
3330.00,95.48
3329.00,95.46
3328.00,95.44
3327.00,95.42
3326.00,95.40
3325.00,95.37
3324.00,95.34
3323.00,95.30
3322.00,95.25
3321.00,95.21
3320.00,95.17
3319.00,95.13
3318.00,95.11
3317.00,95.10
3316.00,95.11
3315.00,95.10
3314.00,95.08
3313.00,95.04
3312.00,94.98
3311.00,94.93
3310.00,94.89
3309.00,94.86
3308.00,94.84
3307.00,94.81
3306.00,94.77
3305.00,94.73
3304.00,94.70
3303.00,94.67
3302.00,94.66
3301.00,94.65
3300.00,94.64
3299.00,94.61
3298.00,94.58
3297.00,94.55
3296.00,94.54
3295.00,94.54
3294.00,94.54
3293.00,94.52
3292.00,94.48
3291.00,94.43
3290.00,94.39
3289.00,94.36
3288.00,94.35
3287.00,94.34
3286.00,94.32
3285.00,94.30
3284.00,94.27
3283.00,94.25
3282.00,94.25
3281.00,94.25
3280.00,94.26
3279.00,94.27
3278.00,94.29
3277.00,94.30
3276.00,94.31
3275.00,94.31
3274.00,94.33
3273.00,94.34
3272.00,94.35
3271.00,94.37
3270.00,94.39
3269.00,94.41
3268.00,94.42
3267.00,94.43
3266.00,94.44
3265.00,94.44
3264.00,94.46
3263.00,94.48
3262.00,94.51
3261.00,94.53
3260.00,94.56
3259.00,94.57
3258.00,94.59
3257.00,94.61
