Created as New Dataset,94. Du Pont
cm-1,%T
3285.00,85.31
3284.00,85.63
3283.00,85.94
3282.00,86.23
3281.00,86.50
3280.00,86.76
3279.00,87.03
3278.00,87.31
3277.00,87.59
3276.00,87.86
3275.00,88.09
3274.00,88.30
3273.00,88.49
3272.00,88.66
3271.00,88.81
3270.00,88.95
3269.00,89.08
3268.00,89.21
3267.00,89.35
3266.00,89.51
3265.00,89.67
3264.00,89.83
3263.00,89.99
3262.00,90.15
3261.00,90.32
3260.00,90.49
3259.00,90.66
3258.00,90.83
3257.00,90.99
3256.00,91.15
3255.00,91.31
3254.00,91.47
3253.00,91.61
3252.00,91.75
3251.00,91.88
3250.00,92.00
3249.00,92.13
3248.00,92.25
3247.00,92.38
3246.00,92.52
3245.00,92.65
3244.00,92.77
3243.00,92.89
3242.00,93.00
3241.00,93.10
3240.00,93.19
3239.00,93.28
3238.00,93.37
3237.00,93.47
3236.00,93.57
3235.00,93.67
3234.00,93.77
3233.00,93.86
3232.00,93.94
3231.00,94.02
3230.00,94.09
3229.00,94.16
3228.00,94.23
3227.00,94.30
3226.00,94.38
3225.00,94.44
3224.00,94.49
3223.00,94.54
3222.00,94.59
3221.00,94.63
3220.00,94.67
3219.00,94.70
3218.00,94.72
3217.00,94.75
3216.00,94.78
3215.00,94.83
3214.00,94.87
3213.00,94.91
3212.00,94.95
3211.00,94.99
3210.00,95.03
3209.00,95.06
3208.00,95.08
3207.00,95.09
3206.00,95.10
3205.00,95.12
3204.00,95.14
3203.00,95.17
3202.00,95.20
3201.00,95.23
3200.00,95.25
3199.00,95.28
3198.00,95.30
3197.00,95.32
3196.00,95.35
3195.00,95.39
3194.00,95.43
3193.00,95.47
3192.00,95.51
3191.00,95.54
3190.00,95.56
3189.00,95.58
3188.00,95.59
3187.00,95.62
3186.00,95.67
3185.00,95.72
3184.00,95.77
3183.00,95.82
3182.00,95.85
3181.00,95.87
3180.00,95.90
3179.00,95.94
3178.00,96.00
3177.00,96.06
3176.00,96.12
3175.00,96.17
3174.00,96.20
3173.00,96.23
3172.00,96.25
3171.00,96.29
3170.00,96.33
3169.00,96.37
3168.00,96.42
3167.00,96.45
3166.00,96.49
3165.00,96.53
3164.00,96.59
3163.00,96.65
3162.00,96.71
3161.00,96.75
3160.00,96.79
3159.00,96.83
3158.00,96.86
3157.00,96.89
3156.00,96.91
3155.00,96.92
3154.00,96.93
3153.00,96.94
3152.00,96.97
3151.00,96.99
3150.00,96.99
3149.00,96.99
3148.00,96.98
3147.00,96.99
3146.00,97.00
3145.00,97.02
3144.00,97.04
3143.00,97.06
3142.00,97.07
3141.00,97.09
3140.00,97.10
3139.00,97.11
3138.00,97.12
3137.00,97.13
3136.00,97.13
3135.00,97.13
3134.00,97.13
3133.00,97.14
3132.00,97.14
3131.00,97.13
3130.00,97.13
3129.00,97.12
3128.00,97.13
3127.00,97.12
3126.00,97.11
3125.00,97.08
3124.00,97.07
3123.00,97.07
3122.00,97.07
3121.00,97.06
3120.00,97.03
3119.00,96.99
3118.00,96.95
3117.00,96.92
3116.00,96.90
3115.00,96.88
3114.00,96.86
3113.00,96.84
3112.00,96.81
3111.00,96.78
3110.00,96.73
3109.00,96.67
3108.00,96.62
3107.00,96.57
3106.00,96.54
3105.00,96.51
3104.00,96.49
3103.00,96.46
3102.00,96.43
3101.00,96.39
3100.00,96.35
3099.00,96.32
3098.00,96.29
3097.00,96.26
3096.00,96.22
3095.00,96.17
3094.00,96.12
3093.00,96.08
3092.00,96.04
3091.00,96.01
3090.00,95.99
3089.00,95.96
3088.00,95.94
3087.00,95.93
3086.00,95.91
3085.00,95.89
3084.00,95.87
3083.00,95.84
3082.00,95.80
3081.00,95.78
3080.00,95.77
3079.00,95.77
3078.00,95.78
3077.00,95.78
3076.00,95.78
3075.00,95.76
3074.00,95.74
3073.00,95.72
3072.00,95.71
3071.00,95.71
3070.00,95.72
3069.00,95.72
3068.00,95.73
3067.00,95.74
3066.00,95.75
3065.00,95.74
3064.00,95.73
3063.00,95.72
3062.00,95.73
3061.00,95.74
3060.00,95.77
3059.00,95.81
3058.00,95.87
3057.00,95.93
3056.00,95.99
3055.00,96.04
3054.00,96.09
3053.00,96.14
3052.00,96.20
3051.00,96.27
3050.00,96.35
3049.00,96.43
3048.00,96.52
3047.00,96.61
3046.00,96.69
3045.00,96.76
3044.00,96.84
3043.00,96.92
3042.00,96.99
3041.00,97.04
3040.00,97.08
3039.00,97.13
3038.00,97.17
3037.00,97.22
3036.00,97.26
3035.00,97.31
3034.00,97.35
3033.00,97.38
3032.00,97.41
