Created as New Dataset,Linen Hand supun thread
cm-1,%T
3461.00,96.44
3460.00,96.42
3459.00,96.39
3458.00,96.36
3457.00,96.33
3456.00,96.32
3455.00,96.32
3454.00,96.31
3453.00,96.27
3452.00,96.20
3451.00,96.11
3450.00,96.05
3449.00,96.02
3448.00,96.01
3447.00,96.00
3446.00,95.97
3445.00,95.93
3444.00,95.87
3443.00,95.83
3442.00,95.81
3441.00,95.80
3440.00,95.80
3439.00,95.79
3438.00,95.77
3437.00,95.75
3436.00,95.72
3435.00,95.69
3434.00,95.65
3433.00,95.61
3432.00,95.58
3431.00,95.55
3430.00,95.52
3429.00,95.51
3428.00,95.48
3427.00,95.45
3426.00,95.42
3425.00,95.38
3424.00,95.35
3423.00,95.32
3422.00,95.28
3421.00,95.24
3420.00,95.20
3419.00,95.16
3418.00,95.12
3417.00,95.10
3416.00,95.07
3415.00,95.04
3414.00,94.99
3413.00,94.94
3412.00,94.90
3411.00,94.86
3410.00,94.84
3409.00,94.82
3408.00,94.80
3407.00,94.76
3406.00,94.73
3405.00,94.69
3404.00,94.66
3403.00,94.64
3402.00,94.63
3401.00,94.60
3400.00,94.57
3399.00,94.55
3398.00,94.53
3397.00,94.52
3396.00,94.49
3395.00,94.45
3394.00,94.42
3393.00,94.39
3392.00,94.37
3391.00,94.35
3390.00,94.32
3389.00,94.28
3388.00,94.25
3387.00,94.21
3386.00,94.19
3385.00,94.16
3384.00,94.13
3383.00,94.09
3382.00,94.05
3381.00,94.02
3380.00,94.01
3379.00,94.00
3378.00,94.00
3377.00,93.99
3376.00,93.95
3375.00,93.91
3374.00,93.87
3373.00,93.84
3372.00,93.81
3371.00,93.77
3370.00,93.72
3369.00,93.69
3368.00,93.67
3367.00,93.65
3366.00,93.64
3365.00,93.61
3364.00,93.59
3363.00,93.56
3362.00,93.54
3361.00,93.51
3360.00,93.47
3359.00,93.43
3358.00,93.40
3357.00,93.38
3356.00,93.36
3355.00,93.34
3354.00,93.30
3353.00,93.25
3352.00,93.20
3351.00,93.15
3350.00,93.12
3349.00,93.09
3348.00,93.07
3347.00,93.04
3346.00,93.02
3345.00,93.01
3344.00,93.00
3343.00,93.00
3342.00,92.99
3341.00,92.98
3340.00,92.95
3339.00,92.92
3338.00,92.89
3337.00,92.88
3336.00,92.86
3335.00,92.86
3334.00,92.86
3333.00,92.86
3332.00,92.86
3331.00,92.85
3330.00,92.84
3329.00,92.84
3328.00,92.85
3327.00,92.86
3326.00,92.88
3325.00,92.89
3324.00,92.90
3323.00,92.91
3322.00,92.94
3321.00,92.97
3320.00,93.00
3319.00,93.03
3318.00,93.05
3317.00,93.05
3316.00,93.05
3315.00,93.05
3314.00,93.04
3313.00,93.04
3312.00,93.05
3311.00,93.06
3310.00,93.06
3309.00,93.06
3308.00,93.05
3307.00,93.04
3306.00,93.03
3305.00,93.02
3304.00,93.02
3303.00,93.00
3302.00,92.99
3301.00,92.98
3300.00,92.97
3299.00,92.97
3298.00,92.98
3297.00,92.99
3296.00,93.00
3295.00,93.00
3294.00,92.98
3293.00,92.95
3292.00,92.93
3291.00,92.93
3290.00,92.94
3289.00,92.95
3288.00,92.96
3287.00,92.98
3286.00,93.00
3285.00,93.03
3284.00,93.05
3283.00,93.07
3282.00,93.07
3281.00,93.07
3280.00,93.06
3279.00,93.07
3278.00,93.08
3277.00,93.10
3276.00,93.11
3275.00,93.11
3274.00,93.10
3273.00,93.11
3272.00,93.14
3271.00,93.19
3270.00,93.23
3269.00,93.26
3268.00,93.27
3267.00,93.28
3266.00,93.30
3265.00,93.34
3264.00,93.37
3263.00,93.40
3262.00,93.42
3261.00,93.45
3260.00,93.48
3259.00,93.51
3258.00,93.54
3257.00,93.57
3256.00,93.61
3255.00,93.64
3254.00,93.67
3253.00,93.70
3252.00,93.72
3251.00,93.73
3250.00,93.76
3249.00,93.79
3248.00,93.83
3247.00,93.87
3246.00,93.91
3245.00,93.93
3244.00,93.94
3243.00,93.95
3242.00,93.96
3241.00,93.97
3240.00,93.99
3239.00,94.01
3238.00,94.05
3237.00,94.08
3236.00,94.10
3235.00,94.13
3234.00,94.15
3233.00,94.17
3232.00,94.19
3231.00,94.23
3230.00,94.26
3229.00,94.28
3228.00,94.31
3227.00,94.34
3226.00,94.38
3225.00,94.41
3224.00,94.44
3223.00,94.46
3222.00,94.49
3221.00,94.52
3220.00,94.56
3219.00,94.59
3218.00,94.60
3217.00,94.62
3216.00,94.65
3215.00,94.69
3214.00,94.73
3213.00,94.76
3212.00,94.79
3211.00,94.82
3210.00,94.85
3209.00,94.87
3208.00,94.89
3207.00,94.92
3206.00,94.95
3205.00,95.00
3204.00,95.04
3203.00,95.08
3202.00,95.09
3201.00,95.09
3200.00,95.10
3199.00,95.11
3198.00,95.13
3197.00,95.16
3196.00,95.19
3195.00,95.23
3194.00,95.26
3193.00,95.28
3192.00,95.29
3191.00,95.31
3190.00,95.34
3189.00,95.38
3188.00,95.42
3187.00,95.46
3186.00,95.50
3185.00,95.54
3184.00,95.58
3183.00,95.61
3182.00,95.64
3181.00,95.66
3180.00,95.68
3179.00,95.70
3178.00,95.72
3177.00,95.73
3176.00,95.75
3175.00,95.77
3174.00,95.80
3173.00,95.82
3172.00,95.84
3171.00,95.85
3170.00,95.87
3169.00,95.89
3168.00,95.92
3167.00,95.95
3166.00,95.98
3165.00,96.01
3164.00,96.04
3163.00,96.08
3162.00,96.11
3161.00,96.13
3160.00,96.14
3159.00,96.14
3158.00,96.15
3157.00,96.17
3156.00,96.19
3155.00,96.21
3154.00,96.25
3153.00,96.30
3152.00,96.35
3151.00,96.38
3150.00,96.40
3149.00,96.40
3148.00,96.40
3147.00,96.42
3146.00,96.46
3145.00,96.50
3144.00,96.55
3143.00,96.57
3142.00,96.58
3141.00,96.58
3140.00,96.58
3139.00,96.58
3138.00,96.58
3137.00,96.60
3136.00,96.62
3135.00,96.65
3134.00,96.68
3133.00,96.70
3132.00,96.71
3131.00,96.72
3130.00,96.73
3129.00,96.75
3128.00,96.77
3127.00,96.79
3126.00,96.81
3125.00,96.83
3124.00,96.85
3123.00,96.87
3122.00,96.89
