Created as New Dataset,197 Hoechst AG
cm-1,%T
3476.00,95.17
3475.00,95.16
3474.00,95.14
3473.00,95.11
3472.00,95.08
3471.00,95.03
3470.00,94.97
3469.00,94.91
3468.00,94.85
3467.00,94.81
3466.00,94.79
3465.00,94.77
3464.00,94.75
3463.00,94.72
3462.00,94.68
3461.00,94.63
3460.00,94.55
3459.00,94.48
3458.00,94.42
3457.00,94.36
3456.00,94.32
3455.00,94.28
3454.00,94.24
3453.00,94.20
3452.00,94.15
3451.00,94.09
3450.00,94.03
3449.00,93.97
3448.00,93.92
3447.00,93.88
3446.00,93.83
3445.00,93.79
3444.00,93.75
3443.00,93.71
3442.00,93.68
3441.00,93.65
3440.00,93.62
3439.00,93.60
3438.00,93.59
3437.00,93.57
3436.00,93.57
3435.00,93.57
3434.00,93.58
3433.00,93.58
3432.00,93.56
3431.00,93.53
3430.00,93.49
3429.00,93.46
3428.00,93.44
3427.00,93.43
3426.00,93.42
3425.00,93.42
3424.00,93.41
3423.00,93.39
3422.00,93.37
3421.00,93.34
3420.00,93.31
3419.00,93.27
3418.00,93.24
3417.00,93.21
3416.00,93.18
3415.00,93.15
3414.00,93.11
3413.00,93.08
3412.00,93.06
3411.00,93.03
3410.00,93.01
3409.00,93.00
3408.00,92.98
3407.00,92.97
3406.00,92.95
3405.00,92.93
3404.00,92.93
3403.00,92.94
3402.00,92.94
3401.00,92.94
3400.00,92.91
3399.00,92.88
3398.00,92.84
3397.00,92.81
3396.00,92.78
3395.00,92.76
3394.00,92.74
3393.00,92.73
3392.00,92.73
3391.00,92.73
3390.00,92.72
3389.00,92.70
3388.00,92.68
3387.00,92.67
3386.00,92.65
3385.00,92.64
3384.00,92.62
3383.00,92.60
3382.00,92.58
3381.00,92.55
3380.00,92.53
3379.00,92.51
3378.00,92.50
3377.00,92.49
3376.00,92.49
3375.00,92.47
3374.00,92.46
3373.00,92.43
3372.00,92.42
3371.00,92.41
3370.00,92.41
3369.00,92.41
3368.00,92.39
3367.00,92.37
3366.00,92.36
3365.00,92.35
3364.00,92.35
3363.00,92.34
3362.00,92.32
3361.00,92.31
3360.00,92.30
3359.00,92.30
3358.00,92.31
3357.00,92.31
3356.00,92.31
3355.00,92.31
3354.00,92.32
3353.00,92.33
3352.00,92.33
3351.00,92.31
3350.00,92.29
3349.00,92.28
3348.00,92.27
3347.00,92.27
3346.00,92.27
3345.00,92.26
3344.00,92.24
3343.00,92.22
3342.00,92.22
3341.00,92.23
3340.00,92.24
3339.00,92.24
3338.00,92.23
3337.00,92.23
3336.00,92.23
3335.00,92.23
3334.00,92.22
3333.00,92.20
3332.00,92.19
3331.00,92.18
3330.00,92.19
3329.00,92.20
3328.00,92.21
3327.00,92.20
3326.00,92.20
3325.00,92.19
3324.00,92.18
3323.00,92.17
3322.00,92.16
3321.00,92.16
3320.00,92.16
3319.00,92.16
3318.00,92.18
3317.00,92.19
3316.00,92.21
3315.00,92.23
3314.00,92.24
3313.00,92.25
3312.00,92.24
3311.00,92.23
3310.00,92.22
3309.00,92.22
3308.00,92.22
3307.00,92.23
3306.00,92.23
3305.00,92.24
3304.00,92.25
3303.00,92.26
3302.00,92.28
3301.00,92.31
3300.00,92.32
3299.00,92.31
3298.00,92.30
3297.00,92.29
3296.00,92.30
3295.00,92.32
3294.00,92.34
3293.00,92.36
3292.00,92.37
3291.00,92.36
3290.00,92.34
3289.00,92.30
3288.00,92.29
3287.00,92.29
3286.00,92.31
3285.00,92.32
3284.00,92.34
3283.00,92.35
3282.00,92.36
3281.00,92.38
3280.00,92.40
3279.00,92.42
3278.00,92.43
3277.00,92.43
3276.00,92.44
3275.00,92.45
3274.00,92.46
3273.00,92.48
3272.00,92.48
3271.00,92.47
3270.00,92.47
3269.00,92.49
