Created as New Dataset,Bio-Couture 20/2 Linen (NC)
cm-1,%T
3218.00,93.83
3217.00,93.87
3216.00,93.90
3215.00,93.93
3214.00,93.98
3213.00,94.03
3212.00,94.10
3211.00,94.16
3210.00,94.22
3209.00,94.27
3208.00,94.30
3207.00,94.31
3206.00,94.33
3205.00,94.36
3204.00,94.41
3203.00,94.46
3202.00,94.51
3201.00,94.54
3200.00,94.56
3199.00,94.58
3198.00,94.62
3197.00,94.66
3196.00,94.72
3195.00,94.76
3194.00,94.79
3193.00,94.82
3192.00,94.86
3191.00,94.91
3190.00,94.95
3189.00,94.99
3188.00,95.01
3187.00,95.04
3186.00,95.06
3185.00,95.09
3184.00,95.11
3183.00,95.14
3182.00,95.17
3181.00,95.21
3180.00,95.24
3179.00,95.28
3178.00,95.31
3177.00,95.35
3176.00,95.39
3175.00,95.42
3174.00,95.45
3173.00,95.48
3172.00,95.51
3171.00,95.53
3170.00,95.55
3169.00,95.58
3168.00,95.62
3167.00,95.68
3166.00,95.75
3165.00,95.81
3164.00,95.86
3163.00,95.90
3162.00,95.92
3161.00,95.93
3160.00,95.93
3159.00,95.94
3158.00,95.96
3157.00,95.99
3156.00,96.02
3155.00,96.06
3154.00,96.10
3153.00,96.13
3152.00,96.17
3151.00,96.20
3150.00,96.22
3149.00,96.23
3148.00,96.24
3147.00,96.25
3146.00,96.27
3145.00,96.30
3144.00,96.33
3143.00,96.36
3142.00,96.38
3141.00,96.41
3140.00,96.45
3139.00,96.48
3138.00,96.51
3137.00,96.53
3136.00,96.54
3135.00,96.56
3134.00,96.58
3133.00,96.62
3132.00,96.66
3131.00,96.69
3130.00,96.70
3129.00,96.71
3128.00,96.72
3127.00,96.74
3126.00,96.78
3125.00,96.82
3124.00,96.85
3123.00,96.88
3122.00,96.89
3121.00,96.90
3120.00,96.91
3119.00,96.93
3118.00,96.96
3117.00,96.98
3116.00,96.99
3115.00,97.00
3114.00,97.02
3113.00,97.05
3112.00,97.09
3111.00,97.13
3110.00,97.16
3109.00,97.18
3108.00,97.19
3107.00,97.20
3106.00,97.22
3105.00,97.24
3104.00,97.27
3103.00,97.30
3102.00,97.32
3101.00,97.34
3100.00,97.36
3099.00,97.37
3098.00,97.38
3097.00,97.39
3096.00,97.41
3095.00,97.44
3094.00,97.48
3093.00,97.50
3092.00,97.52
3091.00,97.53
3090.00,97.55
3089.00,97.56
3088.00,97.57
3087.00,97.58
3086.00,97.59
3085.00,97.61
3084.00,97.62
3083.00,97.63
3082.00,97.64
3081.00,97.65
3080.00,97.66
3079.00,97.68
3078.00,97.71
3077.00,97.74
3076.00,97.79
3075.00,97.82
3074.00,97.85
3073.00,97.85
3072.00,97.85
3071.00,97.86
3070.00,97.89
3069.00,97.92
3068.00,97.96
3067.00,97.99
