Created as New Dataset,34. Hoechst (Dark Red)
cm-1,%T
3010.00,97.68
3009.00,97.66
3008.00,97.65
3007.00,97.64
3006.00,97.64
3005.00,97.63
3004.00,97.63
3003.00,97.63
3002.00,97.62
3001.00,97.60
3000.00,97.58
2999.00,97.55
2998.00,97.54
2997.00,97.53
2996.00,97.51
2995.00,97.50
2994.00,97.49
2993.00,97.48
2992.00,97.47
2991.00,97.47
2990.00,97.46
2989.00,97.45
2988.00,97.43
2987.00,97.42
2986.00,97.42
2985.00,97.43
2984.00,97.44
2983.00,97.44
2982.00,97.44
2981.00,97.43
2980.00,97.41
2979.00,97.39
2978.00,97.36
2977.00,97.35
2976.00,97.34
2975.00,97.34
2974.00,97.33
2973.00,97.32
2972.00,97.30
2971.00,97.27
2970.00,97.25
2969.00,97.23
2968.00,97.22
2967.00,97.21
2966.00,97.19
2965.00,97.17
2964.00,97.15
2963.00,97.14
2962.00,97.12
2961.00,97.08
2960.00,97.04
2959.00,96.99
2958.00,96.95
2957.00,96.92
2956.00,96.89
2955.00,96.85
2954.00,96.81
2953.00,96.77
2952.00,96.72
2951.00,96.68
2950.00,96.63
2949.00,96.58
2948.00,96.52
2947.00,96.47
2946.00,96.42
2945.00,96.37
2944.00,96.31
2943.00,96.25
2942.00,96.20
2941.00,96.14
2940.00,96.10
2939.00,96.07
2938.00,96.04
2937.00,96.03
2936.00,96.03
2935.00,96.02
2934.00,96.02
2933.00,96.01
2932.00,96.00
2931.00,95.99
2930.00,95.97
2929.00,95.95
2928.00,95.94
2927.00,95.94
2926.00,95.94
2925.00,95.93
2924.00,95.92
2923.00,95.91
2922.00,95.93
2921.00,95.97
2920.00,96.01
2919.00,96.05
2918.00,96.09
2917.00,96.14
2916.00,96.18
2915.00,96.23
2914.00,96.27
2913.00,96.31
2912.00,96.37
2911.00,96.42
2910.00,96.48
2909.00,96.52
2908.00,96.55
2907.00,96.59
2906.00,96.63
2905.00,96.67
2904.00,96.72
2903.00,96.76
2902.00,96.80
2901.00,96.85
2900.00,96.88
2899.00,96.91
2898.00,96.93
2897.00,96.95
2896.00,96.97
2895.00,96.98
2894.00,97.00
2893.00,97.01
2892.00,97.02
2891.00,97.03
2890.00,97.05
2889.00,97.07
2888.00,97.09
2887.00,97.09
2886.00,97.09
2885.00,97.08
2884.00,97.08
2883.00,97.09
2882.00,97.09
2881.00,97.09
2880.00,97.09
2879.00,97.07
2878.00,97.04
2877.00,97.02
2876.00,97.01
2875.00,97.02
2874.00,97.04
2873.00,97.04
2872.00,97.04
2871.00,97.02
2870.00,97.01
2869.00,96.99
2868.00,96.99
2867.00,97.01
2866.00,97.04
2865.00,97.05
2864.00,97.05
2863.00,97.03
2862.00,97.02
2861.00,97.02
2860.00,97.03
2859.00,97.04
2858.00,97.05
2857.00,97.06
2856.00,97.07
2855.00,97.07
2854.00,97.08
2853.00,97.10
2852.00,97.12
2851.00,97.16
2850.00,97.19
2849.00,97.23
2848.00,97.27
2847.00,97.31
2846.00,97.34
2845.00,97.37
2844.00,97.40
2843.00,97.43
2842.00,97.46
2841.00,97.48
2840.00,97.51
2839.00,97.53
2838.00,97.55
2837.00,97.56
2836.00,97.57
2835.00,97.58
2834.00,97.59
2833.00,97.59
2832.00,97.59
2831.00,97.60
2830.00,97.60
2829.00,97.62
2828.00,97.64
2827.00,97.65
2826.00,97.66
2825.00,97.67
2824.00,97.69
2823.00,97.70
2822.00,97.71
2821.00,97.70
2820.00,97.69
2819.00,97.69
2818.00,97.70
2817.00,97.71
2816.00,97.71
2815.00,97.69
2814.00,97.67
2813.00,97.66
2812.00,97.67
2811.00,97.68
2810.00,97.69
2809.00,97.69
2808.00,97.69
2807.00,97.68
2806.00,97.68
2805.00,97.69
2804.00,97.70
2803.00,97.71
2802.00,97.72
2801.00,97.74
2800.00,97.75
2799.00,97.75
2798.00,97.74
2797.00,97.73
2796.00,97.73
2795.00,97.72
2794.00,97.72
2793.00,97.72
2792.00,97.71
2791.00,97.71
2790.00,97.71
2789.00,97.73
2788.00,97.74
2787.00,97.75
2786.00,97.75
2785.00,97.75
2784.00,97.75
2783.00,97.76
2782.00,97.76
2781.00,97.75
2780.00,97.74
2779.00,97.73
2778.00,97.74
2777.00,97.75
2776.00,97.76
2775.00,97.77
2774.00,97.77
2773.00,97.78
2772.00,97.80
2771.00,97.82
2770.00,97.83
2769.00,97.83
2768.00,97.82
2767.00,97.81
2766.00,97.80
2765.00,97.78
2764.00,97.76
2763.00,97.75
2762.00,97.75
2761.00,97.77
2760.00,97.79
2759.00,97.81
2758.00,97.81
2757.00,97.80
2756.00,97.80
2755.00,97.82
2754.00,97.83
2753.00,97.82
2752.00,97.81
2751.00,97.80
2750.00,97.80
2749.00,97.80
2748.00,97.81
2747.00,97.80
2746.00,97.79
2745.00,97.79
2744.00,97.78
2743.00,97.78
2742.00,97.79
2741.00,97.79
2740.00,97.79
2739.00,97.79
2738.00,97.78
2737.00,97.77
2736.00,97.77
2735.00,97.77
2734.00,97.76
2733.00,97.76
2732.00,97.76
2731.00,97.76
2730.00,97.76
2729.00,97.75
2728.00,97.74
2727.00,97.74
2726.00,97.74
2725.00,97.75
2724.00,97.77
2723.00,97.79
2722.00,97.79
2721.00,97.79
2720.00,97.79
2719.00,97.78
2718.00,97.78
2717.00,97.78
2716.00,97.79
2715.00,97.79
2714.00,97.79
2713.00,97.79
2712.00,97.78
2711.00,97.76
2710.00,97.74
2709.00,97.74
2708.00,97.76
2707.00,97.78
2706.00,97.81
2705.00,97.82
2704.00,97.82
2703.00,97.80
2702.00,97.79
2701.00,97.78
2700.00,97.78
2699.00,97.79
2698.00,97.79
2697.00,97.78
2696.00,97.77
2695.00,97.78
2694.00,97.78
2693.00,97.79
2692.00,97.79
2691.00,97.80
2690.00,97.80
2689.00,97.79
2688.00,97.78
2687.00,97.76
2686.00,97.76
2685.00,97.75
2684.00,97.75
2683.00,97.75
2682.00,97.76
2681.00,97.75
2680.00,97.75
2679.00,97.75
2678.00,97.75
2677.00,97.76
2676.00,97.77
2675.00,97.77
2674.00,97.77
2673.00,97.77
2672.00,97.77
2671.00,97.78
2670.00,97.78
2669.00,97.78
2668.00,97.77
2667.00,97.75
2666.00,97.74
2665.00,97.73
2664.00,97.72
2663.00,97.70
2662.00,97.69
2661.00,97.67
2660.00,97.67
2659.00,97.66
2658.00,97.65
2657.00,97.64
2656.00,97.64
2655.00,97.64
2654.00,97.64
2653.00,97.63
2652.00,97.61
2651.00,97.60
2650.00,97.59
2649.00,97.59
2648.00,97.58
2647.00,97.56
2646.00,97.54
2645.00,97.52
2644.00,97.50
2643.00,97.50
2642.00,97.50
2641.00,97.50
2640.00,97.49
2639.00,97.48
2638.00,97.46
2637.00,97.44
2636.00,97.42
2635.00,97.42
2634.00,97.42
2633.00,97.43
2632.00,97.44
2631.00,97.44
2630.00,97.43
2629.00,97.42
2628.00,97.40
2627.00,97.38
2626.00,97.36
2625.00,97.34
2624.00,97.32
2623.00,97.32
2622.00,97.33
2621.00,97.35
2620.00,97.36
2619.00,97.35
2618.00,97.33
2617.00,97.32
2616.00,97.30
2615.00,97.29
2614.00,97.29
2613.00,97.29
2612.00,97.28
2611.00,97.27
2610.00,97.26
2609.00,97.25
2608.00,97.25
2607.00,97.25
2606.00,97.24
2605.00,97.22
2604.00,97.19
2603.00,97.17
2602.00,97.16
2601.00,97.17
2600.00,97.18
2599.00,97.18
2598.00,97.19
2597.00,97.18
2596.00,97.17
2595.00,97.16
2594.00,97.14
2593.00,97.12
