Created as New Dataset,15.1 Red Wool sheep natural black roving
cm-1,%T
3359.00,95.52
3358.00,95.51
3357.00,95.49
3356.00,95.46
3355.00,95.44
3354.00,95.43
3353.00,95.42
3352.00,95.41
3351.00,95.38
3350.00,95.35
3349.00,95.32
3348.00,95.28
3347.00,95.25
3346.00,95.21
3345.00,95.18
3344.00,95.17
3343.00,95.16
3342.00,95.14
3341.00,95.13
3340.00,95.12
3339.00,95.10
3338.00,95.07
3337.00,95.05
3336.00,95.02
3335.00,95.00
3334.00,94.97
3333.00,94.95
3332.00,94.92
3331.00,94.90
3330.00,94.87
3329.00,94.84
3328.00,94.80
3327.00,94.78
3326.00,94.76
3325.00,94.75
3324.00,94.73
3323.00,94.71
3322.00,94.68
3321.00,94.65
3320.00,94.63
3319.00,94.62
3318.00,94.61
3317.00,94.59
3316.00,94.56
3315.00,94.52
3314.00,94.49
3313.00,94.45
3312.00,94.42
3311.00,94.40
3310.00,94.39
3309.00,94.38
3308.00,94.36
3307.00,94.31
3306.00,94.25
3305.00,94.20
3304.00,94.16
3303.00,94.15
3302.00,94.14
3301.00,94.12
3300.00,94.10
3299.00,94.08
3298.00,94.07
3297.00,94.06
3296.00,94.05
3295.00,94.04
3294.00,94.03
3293.00,94.03
3292.00,94.01
3291.00,93.99
3290.00,93.96
3289.00,93.94
3288.00,93.92
3287.00,93.90
3286.00,93.88
3285.00,93.85
3284.00,93.84
3283.00,93.82
3282.00,93.81
3281.00,93.79
3280.00,93.77
3279.00,93.75
3278.00,93.73
3277.00,93.73
3276.00,93.74
3275.00,93.76
3274.00,93.79
3273.00,93.82
3272.00,93.84
3271.00,93.85
3270.00,93.85
3269.00,93.85
3268.00,93.86
3267.00,93.87
3266.00,93.89
3265.00,93.89
3264.00,93.90
3263.00,93.90
3262.00,93.92
3261.00,93.94
3260.00,93.96
3259.00,93.99
3258.00,94.02
3257.00,94.05
3256.00,94.08
3255.00,94.10
3254.00,94.11
3253.00,94.12
3252.00,94.14
3251.00,94.16
3250.00,94.18
3249.00,94.21
3248.00,94.23
3247.00,94.25
3246.00,94.27
3245.00,94.29
3244.00,94.31
3243.00,94.32
3242.00,94.34
3241.00,94.36
3240.00,94.38
3239.00,94.40
3238.00,94.43
3237.00,94.46
3236.00,94.51
3235.00,94.55
3234.00,94.57
3233.00,94.58
3232.00,94.58
3231.00,94.58
3230.00,94.59
3229.00,94.59
3228.00,94.60
3227.00,94.61
3226.00,94.61
3225.00,94.61
3224.00,94.62
3223.00,94.65
3222.00,94.68
3221.00,94.71
3220.00,94.73
3219.00,94.75
3218.00,94.78
3217.00,94.81
3216.00,94.83
3215.00,94.84
3214.00,94.83
3213.00,94.82
3212.00,94.83
3211.00,94.85
3210.00,94.87
3209.00,94.90
3208.00,94.92
3207.00,94.94
3206.00,94.96
3205.00,94.98
3204.00,94.98
3203.00,94.99
3202.00,95.00
3201.00,95.02
3200.00,95.04
3199.00,95.06
3198.00,95.09
3197.00,95.11
3196.00,95.13
3195.00,95.15
3194.00,95.17
3193.00,95.19
3192.00,95.22
3191.00,95.25
3190.00,95.28
3189.00,95.31
3188.00,95.33
3187.00,95.35
3186.00,95.36
3185.00,95.36
3184.00,95.37
3183.00,95.41
3182.00,95.46
3181.00,95.50
3180.00,95.53
3179.00,95.55
3178.00,95.57
3177.00,95.60
3176.00,95.63
3175.00,95.67
3174.00,95.69
3173.00,95.69
3172.00,95.69
3171.00,95.69
3170.00,95.71
3169.00,95.74
3168.00,95.79
3167.00,95.84
3166.00,95.87
3165.00,95.89
3164.00,95.90
3163.00,95.93
3162.00,95.96
3161.00,95.99
3160.00,96.02
3159.00,96.03
3158.00,96.04
3157.00,96.04
3156.00,96.05
3155.00,96.09
3154.00,96.14
3153.00,96.19
3152.00,96.22
3151.00,96.24
3150.00,96.25
3149.00,96.26
3148.00,96.27
3147.00,96.30
3146.00,96.34
3145.00,96.37
3144.00,96.39
3143.00,96.40
3142.00,96.41
3141.00,96.42
3140.00,96.43
3139.00,96.45
3138.00,96.46
3137.00,96.49
3136.00,96.53
3135.00,96.57
3134.00,96.61
3133.00,96.63
3132.00,96.64
3131.00,96.66
3130.00,96.68
3129.00,96.70
3128.00,96.71
3127.00,96.72
3126.00,96.72
3125.00,96.73
3124.00,96.74
3123.00,96.77
3122.00,96.79
3121.00,96.80
3120.00,96.80
3119.00,96.80
3118.00,96.81
3117.00,96.82
3116.00,96.83
3115.00,96.84
3114.00,96.85
3113.00,96.86
3112.00,96.87
3111.00,96.88
3110.00,96.91
3109.00,96.93
3108.00,96.94
3107.00,96.92
3106.00,96.90
3105.00,96.88
3104.00,96.87
3103.00,96.87
3102.00,96.87
3101.00,96.87
3100.00,96.87
3099.00,96.87
3098.00,96.86
3097.00,96.86
3096.00,96.85
3095.00,96.86
3094.00,96.87
3093.00,96.88
3092.00,96.87
3091.00,96.85
3090.00,96.83
3089.00,96.82
3088.00,96.81
3087.00,96.81
3086.00,96.81
3085.00,96.81
3084.00,96.81
3083.00,96.79
3082.00,96.76
3081.00,96.75
3080.00,96.75
