Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
3331.00,87.00
3330.00,87.02
3329.00,87.04
3328.00,87.07
3327.00,87.11
3326.00,87.13
3325.00,87.15
3324.00,87.17
3323.00,87.19
3322.00,87.22
3321.00,87.25
3320.00,87.30
3319.00,87.35
3318.00,87.39
3317.00,87.42
3316.00,87.43
3315.00,87.44
3314.00,87.43
3313.00,87.42
3312.00,87.42
3311.00,87.42
3310.00,87.43
3309.00,87.44
3308.00,87.44
3307.00,87.45
3306.00,87.45
3305.00,87.45
3304.00,87.43
3303.00,87.41
3302.00,87.39
3301.00,87.39
3300.00,87.38
3299.00,87.38
3298.00,87.36
3297.00,87.34
3296.00,87.32
3295.00,87.31
3294.00,87.30
3293.00,87.31
3292.00,87.32
3291.00,87.34
3290.00,87.36
3289.00,87.37
3288.00,87.38
3287.00,87.39
3286.00,87.41
3285.00,87.41
3284.00,87.42
3283.00,87.41
3282.00,87.40
3281.00,87.40
3280.00,87.42
3279.00,87.45
3278.00,87.48
3277.00,87.50
3276.00,87.52
3275.00,87.54
3274.00,87.58
3273.00,87.63
3272.00,87.69
3271.00,87.75
3270.00,87.80
3269.00,87.85
3268.00,87.89
3267.00,87.95
3266.00,88.01
3265.00,88.07
3264.00,88.14
3263.00,88.20
3262.00,88.26
3261.00,88.32
3260.00,88.38
3259.00,88.47
3258.00,88.56
3257.00,88.65
3256.00,88.74
3255.00,88.82
3254.00,88.90
3253.00,88.97
3252.00,89.03
3251.00,89.09
3250.00,89.15
3249.00,89.23
3248.00,89.31
3247.00,89.40
3246.00,89.48
3245.00,89.55
3244.00,89.62
3243.00,89.68
3242.00,89.73
3241.00,89.79
3240.00,89.85
3239.00,89.91
3238.00,89.98
3237.00,90.05
3236.00,90.12
3235.00,90.18
3234.00,90.23
3233.00,90.27
3232.00,90.32
3231.00,90.37
3230.00,90.42
3229.00,90.49
3228.00,90.56
3227.00,90.62
3226.00,90.68
3225.00,90.73
3224.00,90.80
3223.00,90.88
3222.00,90.95
3221.00,91.01
3220.00,91.05
3219.00,91.10
3218.00,91.15
3217.00,91.21
3216.00,91.27
3215.00,91.32
3214.00,91.37
3213.00,91.42
3212.00,91.48
3211.00,91.54
3210.00,91.61
3209.00,91.67
3208.00,91.73
3207.00,91.78
3206.00,91.83
3205.00,91.88
3204.00,91.94
3203.00,92.02
3202.00,92.09
3201.00,92.14
3200.00,92.18
3199.00,92.22
3198.00,92.26
3197.00,92.30
3196.00,92.34
3195.00,92.37
3194.00,92.41
3193.00,92.45
3192.00,92.50
3191.00,92.55
3190.00,92.62
3189.00,92.68
3188.00,92.73
3187.00,92.78
3186.00,92.82
3185.00,92.87
3184.00,92.92
3183.00,92.97
3182.00,93.01
3181.00,93.05
3180.00,93.08
3179.00,93.11
3178.00,93.14
3177.00,93.19
3176.00,93.25
3175.00,93.31
3174.00,93.36
