Created as New Dataset,14.2 Red Wool Targhee sheep
cm-1,%T
2927.00,78.59
2926.00,78.19
2925.00,77.81
2924.00,77.43
2923.00,77.08
2922.00,76.76
2921.00,76.48
2920.00,76.28
2919.00,76.18
2918.00,76.22
2917.00,76.46
2916.00,76.92
2915.00,77.61
2914.00,78.45
2913.00,79.36
2912.00,80.24
2911.00,81.06
2910.00,81.79
2909.00,82.43
2908.00,82.96
2907.00,83.42
2906.00,83.81
2905.00,84.15
2904.00,84.45
2903.00,84.73
2902.00,85.00
2901.00,85.24
2900.00,85.48
2899.00,85.69
2898.00,85.90
2897.00,86.10
2896.00,86.29
2895.00,86.48
2894.00,86.68
2893.00,86.89
2892.00,87.08
2891.00,87.25
2890.00,87.41
2889.00,87.56
2888.00,87.69
2887.00,87.83
2886.00,87.97
2885.00,88.11
2884.00,88.24
2883.00,88.34
2882.00,88.40
2881.00,88.44
2880.00,88.46
2879.00,88.47
2878.00,88.46
2877.00,88.44
2876.00,88.39
2875.00,88.34
2874.00,88.27
2873.00,88.22
2872.00,88.18
2871.00,88.16
2870.00,88.16
2869.00,88.17
2868.00,88.19
2867.00,88.21
2866.00,88.22
2865.00,88.22
2864.00,88.18
2863.00,88.08
2862.00,87.91
2861.00,87.66
2860.00,87.33
2859.00,86.93
2858.00,86.48
2857.00,85.97
2856.00,85.41
2855.00,84.82
2854.00,84.21
2853.00,83.62
2852.00,83.10
2851.00,82.77
2850.00,82.74
2849.00,83.10
2848.00,83.83
2847.00,84.83
2846.00,85.95
2845.00,87.05
2844.00,88.03
2843.00,88.89
2842.00,89.60
2841.00,90.20
2840.00,90.70
2839.00,91.11
2838.00,91.46
2837.00,91.75
2836.00,91.99
2835.00,92.21
2834.00,92.40
2833.00,92.58
2832.00,92.74
2831.00,92.89
2830.00,93.01
2829.00,93.11
2828.00,93.20
2827.00,93.30
2826.00,93.40
2825.00,93.48
2824.00,93.56
2823.00,93.63
2822.00,93.69
2821.00,93.76
2820.00,93.84
2819.00,93.91
2818.00,93.98
2817.00,94.03
2816.00,94.08
2815.00,94.13
2814.00,94.17
2813.00,94.21
2812.00,94.24
2811.00,94.27
2810.00,94.31
2809.00,94.36
2808.00,94.41
2807.00,94.45
2806.00,94.49
2805.00,94.54
2804.00,94.58
2803.00,94.64
2802.00,94.68
2801.00,94.72
2800.00,94.75
2799.00,94.78
2798.00,94.81
2797.00,94.85
2796.00,94.89
2795.00,94.93
2794.00,94.98
2793.00,95.02
2792.00,95.05
2791.00,95.08
2790.00,95.09
2789.00,95.11
2788.00,95.12
2787.00,95.14
2786.00,95.18
2785.00,95.21
2784.00,95.25
2783.00,95.28
2782.00,95.30
2781.00,95.31
2780.00,95.32
2779.00,95.34
2778.00,95.38
2777.00,95.43
2776.00,95.48
2775.00,95.51
2774.00,95.54
2773.00,95.56
2772.00,95.59
2771.00,95.60
2770.00,95.62
2769.00,95.63
2768.00,95.64
2767.00,95.64
2766.00,95.64
2765.00,95.64
2764.00,95.64
2763.00,95.66
2762.00,95.70
2761.00,95.74
2760.00,95.78
2759.00,95.82
2758.00,95.85
2757.00,95.87
2756.00,95.87
2755.00,95.87
2754.00,95.87
2753.00,95.87
2752.00,95.87
2751.00,95.88
2750.00,95.91
2749.00,95.94
2748.00,95.97
2747.00,96.00
2746.00,96.02
2745.00,96.02
2744.00,96.03
2743.00,96.05
2742.00,96.07
2741.00,96.09
2740.00,96.11
2739.00,96.12
2738.00,96.13
2737.00,96.14
2736.00,96.15
2735.00,96.16
2734.00,96.17
2733.00,96.18
2732.00,96.19
2731.00,96.20
2730.00,96.21
2729.00,96.22
2728.00,96.24
2727.00,96.26
2726.00,96.28
2725.00,96.30
2724.00,96.32
2723.00,96.33
2722.00,96.34
2721.00,96.36
2720.00,96.38
2719.00,96.40
2718.00,96.41
2717.00,96.42
2716.00,96.43
2715.00,96.46
2714.00,96.48
2713.00,96.49
2712.00,96.50
2711.00,96.50
2710.00,96.51
2709.00,96.52
2708.00,96.52
2707.00,96.53
2706.00,96.54
2705.00,96.56
2704.00,96.58
2703.00,96.59
2702.00,96.60
2701.00,96.61
2700.00,96.62
2699.00,96.63
2698.00,96.64
2697.00,96.65
2696.00,96.65
2695.00,96.67
2694.00,96.69
2693.00,96.71
2692.00,96.72
2691.00,96.73
2690.00,96.74
2689.00,96.76
2688.00,96.77
2687.00,96.77
2686.00,96.77
2685.00,96.76
2684.00,96.75
2683.00,96.76
2682.00,96.77
2681.00,96.79
2680.00,96.81
2679.00,96.82
2678.00,96.83
2677.00,96.84
2676.00,96.85
2675.00,96.85
2674.00,96.86
2673.00,96.86
2672.00,96.88
2671.00,96.91
2670.00,96.94
2669.00,96.95
2668.00,96.95
2667.00,96.93
2666.00,96.93
2665.00,96.93
2664.00,96.93
2663.00,96.94
2662.00,96.94
2661.00,96.95
2660.00,96.96
2659.00,96.98
2658.00,96.99
2657.00,97.00
2656.00,97.00
2655.00,97.00
2654.00,96.99
2653.00,96.99
2652.00,97.00
2651.00,97.00
2650.00,97.00
2649.00,96.99
2648.00,96.98
2647.00,96.98
2646.00,96.98
2645.00,96.99
2644.00,97.00
2643.00,97.01
2642.00,97.02
2641.00,97.02
2640.00,97.01
2639.00,96.99
2638.00,96.99
2637.00,96.99
2636.00,97.01
2635.00,97.04
2634.00,97.07
2633.00,97.08
2632.00,97.08
2631.00,97.08
2630.00,97.08
2629.00,97.09
2628.00,97.09
2627.00,97.08
2626.00,97.07
2625.00,97.05
2624.00,97.04
2623.00,97.05
2622.00,97.07
2621.00,97.07
2620.00,97.07
2619.00,97.07
2618.00,97.07
2617.00,97.09
2616.00,97.10
2615.00,97.12
2614.00,97.14
2613.00,97.15
2612.00,97.17
2611.00,97.18
2610.00,97.18
2609.00,97.18
2608.00,97.19
2607.00,97.21
2606.00,97.22
2605.00,97.22
2604.00,97.21
2603.00,97.20
2602.00,97.20
2601.00,97.21
2600.00,97.21
2599.00,97.22
2598.00,97.22
2597.00,97.21
2596.00,97.22
2595.00,97.23
2594.00,97.25
2593.00,97.29
2592.00,97.32
2591.00,97.34
2590.00,97.34
2589.00,97.33
2588.00,97.32
2587.00,97.30
2586.00,97.30
2585.00,97.30
2584.00,97.30
2583.00,97.30
2582.00,97.29
2581.00,97.29
2580.00,97.30
2579.00,97.32
2578.00,97.34
2577.00,97.36
2576.00,97.36
2575.00,97.36
2574.00,97.36
2573.00,97.37
2572.00,97.38
2571.00,97.40
2570.00,97.42
2569.00,97.43
2568.00,97.44
2567.00,97.44
2566.00,97.43
2565.00,97.42
2564.00,97.41
2563.00,97.41
2562.00,97.41
2561.00,97.41
2560.00,97.41
2559.00,97.41
2558.00,97.40
2557.00,97.39
2556.00,97.38
2555.00,97.38
2554.00,97.39
2553.00,97.40
2552.00,97.41
2551.00,97.41
2550.00,97.41
2549.00,97.41
2548.00,97.43
2547.00,97.46
2546.00,97.47
2545.00,97.47
2544.00,97.48
2543.00,97.51
2542.00,97.56
2541.00,97.60
2540.00,97.62
2539.00,97.61
2538.00,97.58
2537.00,97.55
2536.00,97.54
2535.00,97.54
2534.00,97.55
2533.00,97.55
2532.00,97.55
2531.00,97.54
2530.00,97.53
2529.00,97.51
2528.00,97.49
2527.00,97.48
2526.00,97.47
2525.00,97.47
2524.00,97.49
2523.00,97.52
2522.00,97.56
2521.00,97.58
2520.00,97.59
2519.00,97.60
2518.00,97.60
2517.00,97.59
2516.00,97.56
2515.00,97.54
2514.00,97.52
2513.00,97.51
2512.00,97.52
2511.00,97.53
2510.00,97.54
2509.00,97.56
2508.00,97.58
2507.00,97.59
2506.00,97.60
2505.00,97.58
2504.00,97.56
2503.00,97.54
2502.00,97.54
2501.00,97.54
2500.00,97.54
2499.00,97.54
2498.00,97.55
2497.00,97.54
2496.00,97.54
2495.00,97.54
2494.00,97.56
2493.00,97.58
2492.00,97.58
2491.00,97.58
2490.00,97.56
2489.00,97.56
2488.00,97.58
2487.00,97.61
2486.00,97.64
2485.00,97.67
2484.00,97.69
2483.00,97.70
2482.00,97.68
2481.00,97.64
2480.00,97.61
2479.00,97.61
2478.00,97.63
2477.00,97.64
2476.00,97.65
2475.00,97.66
2474.00,97.67
2473.00,97.69
2472.00,97.70
2471.00,97.70
2470.00,97.68
2469.00,97.67
2468.00,97.67
2467.00,97.69
2466.00,97.70
2465.00,97.69
2464.00,97.68
2463.00,97.68
2462.00,97.69
2461.00,97.70
2460.00,97.70
2459.00,97.68
2458.00,97.65
2457.00,97.63
