Created as New Dataset,124 Philips (Green)
cm-1,%T
3534.00,100.08
3533.00,100.07
3532.00,100.06
3531.00,100.05
3530.00,100.05
3529.00,100.05
3528.00,100.03
3527.00,100.02
3526.00,100.01
3525.00,100.00
3524.00,100.01
3523.00,100.02
3522.00,100.04
3521.00,100.04
3520.00,100.04
3519.00,100.03
3518.00,100.02
3517.00,100.01
3516.00,100.01
3515.00,100.00
3514.00,99.98
3513.00,99.96
3512.00,99.95
3511.00,99.96
3510.00,99.98
3509.00,100.02
3508.00,100.03
3507.00,100.03
3506.00,100.02
3505.00,100.01
3504.00,100.00
3503.00,100.00
3502.00,99.98
3501.00,99.97
3500.00,99.95
3499.00,99.93
3498.00,99.92
3497.00,99.92
3496.00,99.94
3495.00,99.95
3494.00,99.96
3493.00,99.95
3492.00,99.94
3491.00,99.94
3490.00,99.95
3489.00,99.97
3488.00,99.99
3487.00,100.00
3486.00,100.01
3485.00,100.02
3484.00,100.01
3483.00,100.01
3482.00,100.01
3481.00,100.01
3480.00,100.00
3479.00,99.99
3478.00,99.98
3477.00,99.99
3476.00,100.01
3475.00,100.03
3474.00,100.02
3473.00,100.00
3472.00,99.97
3471.00,99.96
3470.00,99.95
3469.00,99.95
3468.00,99.95
3467.00,99.95
3466.00,99.96
3465.00,99.98
3464.00,100.00
3463.00,100.01
3462.00,100.00
3461.00,99.98
3460.00,99.96
3459.00,99.94
3458.00,99.93
3457.00,99.93
3456.00,99.94
3455.00,99.95
3454.00,99.95
3453.00,99.95
3452.00,99.95
3451.00,99.95
3450.00,99.95
3449.00,99.94
3448.00,99.93
3447.00,99.91
3446.00,99.90
3445.00,99.89
3444.00,99.88
3443.00,99.87
3442.00,99.88
3441.00,99.90
3440.00,99.92
3439.00,99.93
3438.00,99.93
3437.00,99.91
3436.00,99.90
3435.00,99.89
3434.00,99.90
3433.00,99.92
3432.00,99.95
3431.00,99.98
3430.00,99.99
3429.00,99.97
3428.00,99.94
3427.00,99.91
3426.00,99.90
3425.00,99.91
3424.00,99.93
3423.00,99.95
3422.00,99.97
3421.00,99.98
3420.00,99.98
3419.00,99.97
3418.00,99.95
3417.00,99.95
3416.00,99.95
3415.00,99.94
3414.00,99.93
3413.00,99.92
3412.00,99.91
3411.00,99.91
3410.00,99.90
3409.00,99.90
3408.00,99.90
3407.00,99.92
3406.00,99.95
3405.00,99.96
3404.00,99.96
3403.00,99.95
3402.00,99.93
3401.00,99.91
3400.00,99.91
3399.00,99.90
3398.00,99.90
3397.00,99.90
3396.00,99.90
3395.00,99.90
3394.00,99.90
3393.00,99.89
3392.00,99.89
3391.00,99.91
3390.00,99.92
3389.00,99.94
3388.00,99.95
3387.00,99.96
3386.00,99.95
3385.00,99.95
3384.00,99.94
3383.00,99.92
3382.00,99.91
3381.00,99.89
3380.00,99.88
3379.00,99.87
3378.00,99.88
3377.00,99.89
3376.00,99.91
3375.00,99.93
3374.00,99.93
3373.00,99.91
3372.00,99.90
3371.00,99.89
3370.00,99.89
3369.00,99.89
3368.00,99.87
3367.00,99.85
3366.00,99.84
3365.00,99.84
3364.00,99.85
3363.00,99.86
3362.00,99.86
3361.00,99.86
3360.00,99.87
3359.00,99.89
3358.00,99.92
3357.00,99.94
3356.00,99.96
3355.00,99.96
3354.00,99.95
3353.00,99.92
3352.00,99.90
3351.00,99.88
3350.00,99.88
3349.00,99.90
3348.00,99.93
3347.00,99.94
3346.00,99.94
3345.00,99.93
3344.00,99.91
3343.00,99.90
3342.00,99.90
3341.00,99.91
3340.00,99.92
3339.00,99.92
3338.00,99.92
3337.00,99.91
3336.00,99.91
3335.00,99.90
3334.00,99.90
3333.00,99.90
3332.00,99.90
3331.00,99.89
3330.00,99.85
3329.00,99.81
3328.00,99.78
3327.00,99.78
3326.00,99.81
3325.00,99.85
