Created as New Dataset,13.2 Red Wool Polwarth sheep
cm-1,%T
3439.00,91.79
3438.00,91.77
3437.00,91.76
3436.00,91.75
3435.00,91.74
3434.00,91.71
3433.00,91.68
3432.00,91.64
3431.00,91.61
3430.00,91.59
3429.00,91.58
3428.00,91.58
3427.00,91.57
3426.00,91.55
3425.00,91.51
3424.00,91.46
3423.00,91.43
3422.00,91.40
3421.00,91.39
3420.00,91.39
3419.00,91.39
3418.00,91.37
3417.00,91.34
3416.00,91.30
3415.00,91.26
3414.00,91.24
3413.00,91.22
3412.00,91.20
3411.00,91.19
3410.00,91.17
3409.00,91.16
3408.00,91.14
3407.00,91.11
3406.00,91.09
3405.00,91.08
3404.00,91.06
3403.00,91.05
3402.00,91.03
3401.00,91.01
3400.00,91.00
3399.00,91.00
3398.00,91.00
3397.00,91.00
3396.00,90.99
3395.00,90.97
3394.00,90.94
3393.00,90.91
3392.00,90.88
3391.00,90.84
3390.00,90.82
3389.00,90.80
3388.00,90.79
3387.00,90.78
3386.00,90.76
3385.00,90.73
3384.00,90.70
3383.00,90.67
3382.00,90.65
3381.00,90.63
3380.00,90.62
3379.00,90.62
3378.00,90.61
3377.00,90.60
3376.00,90.59
3375.00,90.58
3374.00,90.58
3373.00,90.57
3372.00,90.56
3371.00,90.53
3370.00,90.49
3369.00,90.45
3368.00,90.43
3367.00,90.42
3366.00,90.40
3365.00,90.37
3364.00,90.35
3363.00,90.33
3362.00,90.33
3361.00,90.33
3360.00,90.33
3359.00,90.32
3358.00,90.31
3357.00,90.29
3356.00,90.28
3355.00,90.26
3354.00,90.23
3353.00,90.21
3352.00,90.20
3351.00,90.19
3350.00,90.18
3349.00,90.16
3348.00,90.14
3347.00,90.12
3346.00,90.11
3345.00,90.10
3344.00,90.08
3343.00,90.07
3342.00,90.06
3341.00,90.05
3340.00,90.05
3339.00,90.03
3338.00,90.02
3337.00,90.01
3336.00,90.00
3335.00,89.99
3334.00,89.98
3333.00,89.97
3332.00,89.97
3331.00,89.96
3330.00,89.95
3329.00,89.93
3328.00,89.89
