Created as New Dataset,144 Enka
cm-1,%T
3277.00,99.85
3276.00,99.86
3275.00,99.86
3274.00,99.85
3273.00,99.83
3272.00,99.80
3271.00,99.78
3270.00,99.79
3269.00,99.81
3268.00,99.84
3267.00,99.87
3266.00,99.88
3265.00,99.88
3264.00,99.87
3263.00,99.86
3262.00,99.85
3261.00,99.85
3260.00,99.85
3259.00,99.86
3258.00,99.86
3257.00,99.86
3256.00,99.85
3255.00,99.84
3254.00,99.82
3253.00,99.80
3252.00,99.79
3251.00,99.78
3250.00,99.79
3249.00,99.81
3248.00,99.84
3247.00,99.85
3246.00,99.85
3245.00,99.84
3244.00,99.83
3243.00,99.83
3242.00,99.84
3241.00,99.85
3240.00,99.86
3239.00,99.86
3238.00,99.84
3237.00,99.83
3236.00,99.81
3235.00,99.80
3234.00,99.79
3233.00,99.78
3232.00,99.77
3231.00,99.77
3230.00,99.77
3229.00,99.77
3228.00,99.78
3227.00,99.79
3226.00,99.79
3225.00,99.79
3224.00,99.78
3223.00,99.78
3222.00,99.79
3221.00,99.81
3220.00,99.84
3219.00,99.85
3218.00,99.86
3217.00,99.85
3216.00,99.84
3215.00,99.83
3214.00,99.83
3213.00,99.83
3212.00,99.83
3211.00,99.84
3210.00,99.84
3209.00,99.84
3208.00,99.85
3207.00,99.85
3206.00,99.85
3205.00,99.84
3204.00,99.83
3203.00,99.83
3202.00,99.83
3201.00,99.84
3200.00,99.85
3199.00,99.86
3198.00,99.86
3197.00,99.85
3196.00,99.84
3195.00,99.83
3194.00,99.81
3193.00,99.79
3192.00,99.77
3191.00,99.77
3190.00,99.77
3189.00,99.78
3188.00,99.79
3187.00,99.80
3186.00,99.81
3185.00,99.82
3184.00,99.82
3183.00,99.83
3182.00,99.84
3181.00,99.85
3180.00,99.85
3179.00,99.85
3178.00,99.84
3177.00,99.83
3176.00,99.81
3175.00,99.80
3174.00,99.80
3173.00,99.79
3172.00,99.79
3171.00,99.79
3170.00,99.80
3169.00,99.81
3168.00,99.81
3167.00,99.80
3166.00,99.79
3165.00,99.79
3164.00,99.79
3163.00,99.81
3162.00,99.82
3161.00,99.82
3160.00,99.82
3159.00,99.82
3158.00,99.82
3157.00,99.83
3156.00,99.84
3155.00,99.84
3154.00,99.84
3153.00,99.83
3152.00,99.81
3151.00,99.80
3150.00,99.80
3149.00,99.81
3148.00,99.82
3147.00,99.81
3146.00,99.81
3145.00,99.82
3144.00,99.83
3143.00,99.84
3142.00,99.83
3141.00,99.81
3140.00,99.80
3139.00,99.79
3138.00,99.79
3137.00,99.79
3136.00,99.78
3135.00,99.76
3134.00,99.73
3133.00,99.72
3132.00,99.71
3131.00,99.72
3130.00,99.72
3129.00,99.73
3128.00,99.73
3127.00,99.72
3126.00,99.70
3125.00,99.67
3124.00,99.64
3123.00,99.63
3122.00,99.64
3121.00,99.66
3120.00,99.68
3119.00,99.68
3118.00,99.67
3117.00,99.65
3116.00,99.63
3115.00,99.62
3114.00,99.61
3113.00,99.60
3112.00,99.60
3111.00,99.59
3110.00,99.58
3109.00,99.57
3108.00,99.54
3107.00,99.53
3106.00,99.51
3105.00,99.51
3104.00,99.52
3103.00,99.55
3102.00,99.57
3101.00,99.57
3100.00,99.57
3099.00,99.55
3098.00,99.52
3097.00,99.51
3096.00,99.50
3095.00,99.51
3094.00,99.51
3093.00,99.52
3092.00,99.52
3091.00,99.52
3090.00,99.52
3089.00,99.51
3088.00,99.49
3087.00,99.47
3086.00,99.46
