Created as New Dataset,141. Du Pont
cm-1,%T
3500.00,98.56
3499.00,98.57
3498.00,98.57
3497.00,98.57
3496.00,98.57
3495.00,98.57
3494.00,98.57
3493.00,98.56
3492.00,98.55
3491.00,98.55
3490.00,98.55
3489.00,98.57
3488.00,98.57
3487.00,98.57
3486.00,98.57
3485.00,98.56
3484.00,98.56
3483.00,98.55
3482.00,98.55
3481.00,98.54
3480.00,98.53
3479.00,98.52
3478.00,98.53
3477.00,98.54
3476.00,98.55
3475.00,98.55
3474.00,98.54
3473.00,98.52
3472.00,98.50
3471.00,98.48
3470.00,98.47
3469.00,98.47
3468.00,98.48
3467.00,98.49
3466.00,98.51
3465.00,98.51
3464.00,98.51
3463.00,98.50
3462.00,98.50
3461.00,98.50
3460.00,98.49
3459.00,98.48
3458.00,98.45
3457.00,98.43
3456.00,98.41
3455.00,98.41
3454.00,98.40
3453.00,98.39
3452.00,98.36
3451.00,98.33
3450.00,98.31
3449.00,98.30
3448.00,98.30
3447.00,98.31
3446.00,98.33
3445.00,98.33
3444.00,98.32
3443.00,98.30
3442.00,98.27
3441.00,98.23
3440.00,98.20
3439.00,98.19
3438.00,98.20
3437.00,98.20
3436.00,98.20
3435.00,98.18
3434.00,98.16
3433.00,98.13
3432.00,98.11
3431.00,98.10
3430.00,98.09
3429.00,98.08
3428.00,98.07
3427.00,98.06
3426.00,98.08
3425.00,98.11
3424.00,98.15
3423.00,98.18
3422.00,98.20
3421.00,98.21
3420.00,98.22
3419.00,98.25
3418.00,98.29
3417.00,98.32
3416.00,98.35
3415.00,98.36
3414.00,98.36
3413.00,98.36
3412.00,98.36
3411.00,98.38
3410.00,98.40
3409.00,98.42
3408.00,98.45
3407.00,98.47
3406.00,98.49
3405.00,98.49
3404.00,98.49
3403.00,98.49
3402.00,98.48
3401.00,98.48
3400.00,98.46
3399.00,98.45
3398.00,98.45
3397.00,98.47
3396.00,98.50
3395.00,98.51
3394.00,98.51
3393.00,98.49
3392.00,98.48
3391.00,98.48
3390.00,98.49
3389.00,98.50
3388.00,98.51
3387.00,98.51
3386.00,98.51
3385.00,98.51
3384.00,98.51
3383.00,98.52
3382.00,98.53
3381.00,98.56
3380.00,98.57
3379.00,98.58
3378.00,98.58
3377.00,98.57
3376.00,98.56
3375.00,98.55
3374.00,98.54
3373.00,98.53
3372.00,98.53
3371.00,98.53
3370.00,98.55
3369.00,98.57
3368.00,98.58
3367.00,98.57
3366.00,98.56
3365.00,98.55
3364.00,98.55
3363.00,98.55
3362.00,98.56
3361.00,98.56
3360.00,98.57
3359.00,98.58
3358.00,98.58
3357.00,98.56
3356.00,98.56
3355.00,98.56
3354.00,98.57
3353.00,98.58
3352.00,98.60
3351.00,98.60
3350.00,98.58
3349.00,98.55
3348.00,98.51
3347.00,98.49
3346.00,98.48
3345.00,98.48
3344.00,98.49
3343.00,98.50
3342.00,98.51
3341.00,98.51
3340.00,98.52
3339.00,98.53
3338.00,98.53
3337.00,98.52
3336.00,98.51
3335.00,98.50
3334.00,98.49
3333.00,98.49
3332.00,98.50
3331.00,98.50
3330.00,98.50
3329.00,98.48
3328.00,98.47
3327.00,98.47
3326.00,98.49
3325.00,98.50
3324.00,98.51
3323.00,98.51
3322.00,98.50
3321.00,98.50
3320.00,98.50
3319.00,98.51
3318.00,98.51
3317.00,98.51
3316.00,98.51
3315.00,98.51
3314.00,98.52
3313.00,98.55
3312.00,98.58
3311.00,98.61
3310.00,98.62
3309.00,98.61
3308.00,98.60
3307.00,98.59
3306.00,98.59
3305.00,98.60
3304.00,98.60
3303.00,98.59
3302.00,98.57
3301.00,98.54
3300.00,98.52
3299.00,98.51
3298.00,98.51
3297.00,98.51
3296.00,98.51
3295.00,98.52
3294.00,98.52
3293.00,98.51
3292.00,98.50
3291.00,98.50
3290.00,98.50
3289.00,98.50
3288.00,98.50
3287.00,98.50
3286.00,98.51
3285.00,98.51
3284.00,98.53
3283.00,98.55
3282.00,98.57
3281.00,98.58
3280.00,98.57
3279.00,98.55
3278.00,98.53
3277.00,98.52
3276.00,98.52
3275.00,98.53
3274.00,98.53
3273.00,98.54
3272.00,98.54
3271.00,98.54
3270.00,98.53
3269.00,98.51
3268.00,98.49
3267.00,98.47
3266.00,98.46
3265.00,98.47
3264.00,98.47
3263.00,98.48
3262.00,98.48
3261.00,98.49
3260.00,98.51
3259.00,98.53
3258.00,98.55
3257.00,98.55
3256.00,98.54
3255.00,98.53
3254.00,98.51
3253.00,98.50
3252.00,98.49
3251.00,98.50
3250.00,98.51
3249.00,98.53
3248.00,98.55
3247.00,98.57
3246.00,98.57
3245.00,98.55
3244.00,98.52
3243.00,98.49
3242.00,98.47
3241.00,98.47
3240.00,98.47
3239.00,98.48
3238.00,98.51
3237.00,98.53
3236.00,98.54
3235.00,98.53
3234.00,98.53
3233.00,98.53
3232.00,98.52
3231.00,98.52
3230.00,98.50
3229.00,98.49
3228.00,98.49
3227.00,98.48
3226.00,98.48
3225.00,98.47
3224.00,98.47
3223.00,98.48
3222.00,98.50
3221.00,98.53
3220.00,98.54
3219.00,98.55
3218.00,98.55
3217.00,98.53
3216.00,98.52
3215.00,98.52
3214.00,98.52
3213.00,98.54
3212.00,98.56
3211.00,98.57
3210.00,98.56
3209.00,98.54
3208.00,98.51
3207.00,98.48
3206.00,98.47
3205.00,98.47
3204.00,98.48
3203.00,98.49
3202.00,98.50
3201.00,98.49
3200.00,98.48
3199.00,98.48
3198.00,98.47
3197.00,98.48
3196.00,98.48
3195.00,98.49
3194.00,98.49
3193.00,98.48
3192.00,98.48
3191.00,98.46
3190.00,98.45
3189.00,98.44
3188.00,98.44
3187.00,98.44
3186.00,98.46
3185.00,98.48
3184.00,98.49
3183.00,98.49
3182.00,98.48
3181.00,98.47
3180.00,98.47
3179.00,98.47
3178.00,98.48
3177.00,98.49
3176.00,98.50
3175.00,98.51
3174.00,98.51
3173.00,98.51
3172.00,98.50
3171.00,98.50
3170.00,98.50
3169.00,98.50
3168.00,98.49
3167.00,98.48
3166.00,98.47
3165.00,98.46
3164.00,98.46
3163.00,98.45
3162.00,98.45
3161.00,98.44
3160.00,98.45
3159.00,98.47
3158.00,98.48
3157.00,98.49
3156.00,98.49
3155.00,98.48
3154.00,98.48
3153.00,98.48
3152.00,98.49
3151.00,98.50
3150.00,98.50
3149.00,98.48
3148.00,98.47
3147.00,98.46
3146.00,98.45
3145.00,98.44
3144.00,98.44
3143.00,98.42
3142.00,98.41
3141.00,98.40
3140.00,98.41
3139.00,98.42
3138.00,98.42
3137.00,98.43
3136.00,98.42
3135.00,98.40
3134.00,98.39
3133.00,98.38
3132.00,98.37
3131.00,98.37
3130.00,98.37
3129.00,98.38
3128.00,98.39
3127.00,98.40
3126.00,98.39
3125.00,98.38
3124.00,98.37
3123.00,98.36
3122.00,98.36
3121.00,98.36
3120.00,98.36
3119.00,98.36
3118.00,98.37
3117.00,98.38
3116.00,98.37
3115.00,98.36
3114.00,98.34
3113.00,98.33
3112.00,98.32
3111.00,98.31
3110.00,98.29
3109.00,98.26
3108.00,98.21
3107.00,98.18
3106.00,98.16
3105.00,98.16
3104.00,98.17
3103.00,98.20
3102.00,98.22
3101.00,98.24
3100.00,98.24
3099.00,98.25
3098.00,98.25
3097.00,98.26
3096.00,98.27
3095.00,98.26
3094.00,98.26
3093.00,98.24
3092.00,98.23
3091.00,98.22
3090.00,98.23
3089.00,98.23
3088.00,98.23
3087.00,98.21
3086.00,98.18
3085.00,98.16
3084.00,98.14
3083.00,98.13
3082.00,98.13
3081.00,98.13
3080.00,98.13
3079.00,98.14
3078.00,98.15
3077.00,98.15
3076.00,98.15
3075.00,98.14
3074.00,98.13
3073.00,98.12
3072.00,98.11
3071.00,98.10
3070.00,98.09
3069.00,98.08
3068.00,98.06
3067.00,98.05
3066.00,98.06
3065.00,98.07
3064.00,98.09
3063.00,98.10
3062.00,98.11
3061.00,98.11
3060.00,98.11
3059.00,98.10
3058.00,98.09
3057.00,98.08
3056.00,98.07
3055.00,98.06
3054.00,98.06
3053.00,98.07
3052.00,98.10
3051.00,98.12
3050.00,98.14
3049.00,98.15
3048.00,98.18
3047.00,98.21
3046.00,98.24
3045.00,98.26
3044.00,98.28
3043.00,98.31
3042.00,98.33
3041.00,98.34
3040.00,98.35
3039.00,98.34
3038.00,98.33
3037.00,98.32
3036.00,98.32
3035.00,98.32
3034.00,98.32
3033.00,98.31
3032.00,98.30
3031.00,98.29
3030.00,98.28
3029.00,98.27
3028.00,98.26
3027.00,98.24
3026.00,98.22
3025.00,98.21
3024.00,98.20
3023.00,98.18
3022.00,98.16
3021.00,98.12
3020.00,98.07
3019.00,98.02
3018.00,97.97
3017.00,97.94
3016.00,97.91
3015.00,97.89
3014.00,97.88
3013.00,97.87
3012.00,97.87
3011.00,97.87
3010.00,97.86
3009.00,97.84
3008.00,97.82
3007.00,97.80
3006.00,97.78
3005.00,97.76
3004.00,97.74
3003.00,97.73
3002.00,97.72
3001.00,97.71
3000.00,97.70
2999.00,97.68
2998.00,97.66
2997.00,97.64
2996.00,97.62
2995.00,97.61
2994.00,97.61
2993.00,97.61
2992.00,97.61
2991.00,97.59
2990.00,97.56
2989.00,97.52
2988.00,97.49
2987.00,97.47
2986.00,97.44
2985.00,97.41
2984.00,97.35
2983.00,97.30
2982.00,97.24
2981.00,97.18
2980.00,97.12
2979.00,97.06
2978.00,96.99
2977.00,96.90
2976.00,96.81
2975.00,96.73
2974.00,96.66
2973.00,96.60
2972.00,96.55
2971.00,96.51
2970.00,96.48
2969.00,96.46
2968.00,96.45
2967.00,96.45
2966.00,96.46
2965.00,96.47
2964.00,96.48
2963.00,96.49
2962.00,96.50
2961.00,96.51
2960.00,96.53
2959.00,96.55
2958.00,96.58
2957.00,96.60
2956.00,96.64
2955.00,96.68
2954.00,96.74
2953.00,96.80
2952.00,96.86
2951.00,96.91
2950.00,96.96
2949.00,97.00
2948.00,97.04
2947.00,97.08
2946.00,97.11
2945.00,97.16
2944.00,97.21
2943.00,97.26
2942.00,97.29
2941.00,97.30
2940.00,97.31
2939.00,97.32
2938.00,97.31
2937.00,97.29
2936.00,97.27
2935.00,97.25
2934.00,97.23
2933.00,97.22
2932.00,97.21
2931.00,97.19
2930.00,97.17
2929.00,97.14
2928.00,97.12
2927.00,97.10
2926.00,97.07
2925.00,97.03
2924.00,96.99
2923.00,96.94
2922.00,96.90
2921.00,96.85
2920.00,96.81
2919.00,96.76
2918.00,96.73
2917.00,96.72
2916.00,96.73
2915.00,96.75
2914.00,96.79
2913.00,96.84
2912.00,96.88
2911.00,96.90
2910.00,96.92
2909.00,96.94
2908.00,96.95
2907.00,96.97
2906.00,97.00
2905.00,97.04
2904.00,97.09
2903.00,97.13
2902.00,97.18
2901.00,97.22
2900.00,97.26
2899.00,97.30
2898.00,97.33
2897.00,97.35
2896.00,97.36
2895.00,97.37
2894.00,97.39
2893.00,97.40
2892.00,97.41
2891.00,97.42
2890.00,97.43
2889.00,97.45
2888.00,97.46
2887.00,97.47
2886.00,97.48
2885.00,97.49
2884.00,97.51
2883.00,97.52
2882.00,97.53
2881.00,97.53
2880.00,97.53
2879.00,97.53
2878.00,97.55
2877.00,97.57
2876.00,97.58
2875.00,97.59
2874.00,97.59
2873.00,97.60
2872.00,97.60
2871.00,97.61
2870.00,97.60
2869.00,97.60
2868.00,97.60
2867.00,97.59
2866.00,97.58
2865.00,97.56
2864.00,97.55
2863.00,97.55
2862.00,97.55
2861.00,97.54
2860.00,97.52
2859.00,97.50
2858.00,97.47
2857.00,97.44
2856.00,97.41
2855.00,97.39
2854.00,97.37
2853.00,97.34
2852.00,97.33
2851.00,97.34
2850.00,97.37
2849.00,97.42
2848.00,97.48
2847.00,97.55
2846.00,97.63
2845.00,97.70
2844.00,97.77
2843.00,97.83
2842.00,97.88
2841.00,97.92
2840.00,97.94
2839.00,97.96
2838.00,97.99
2837.00,98.01
2836.00,98.04
2835.00,98.06
2834.00,98.08
