Created as New Dataset,66 Union Carbide Chemicals
cm-1,%T
3423.00,97.48
3422.00,97.49
3421.00,97.50
3420.00,97.50
3419.00,97.49
3418.00,97.48
3417.00,97.46
3416.00,97.45
3415.00,97.45
3414.00,97.46
3413.00,97.47
3412.00,97.47
3411.00,97.46
3410.00,97.45
3409.00,97.45
3408.00,97.46
3407.00,97.47
3406.00,97.49
3405.00,97.51
3404.00,97.51
3403.00,97.49
3402.00,97.48
3401.00,97.46
3400.00,97.46
3399.00,97.47
3398.00,97.50
3397.00,97.52
3396.00,97.51
3395.00,97.49
3394.00,97.46
3393.00,97.44
3392.00,97.43
3391.00,97.43
3390.00,97.44
3389.00,97.45
3388.00,97.45
3387.00,97.44
3386.00,97.44
3385.00,97.43
3384.00,97.44
3383.00,97.46
3382.00,97.47
3381.00,97.48
3380.00,97.47
3379.00,97.47
3378.00,97.46
3377.00,97.45
3376.00,97.43
3375.00,97.41
3374.00,97.40
3373.00,97.41
3372.00,97.43
3371.00,97.45
3370.00,97.46
3369.00,97.46
3368.00,97.45
3367.00,97.45
3366.00,97.45
3365.00,97.46
3364.00,97.46
3363.00,97.45
3362.00,97.42
3361.00,97.39
3360.00,97.37
3359.00,97.37
3358.00,97.39
3357.00,97.41
3356.00,97.43
3355.00,97.43
3354.00,97.43
3353.00,97.44
3352.00,97.44
3351.00,97.44
3350.00,97.43
3349.00,97.42
3348.00,97.42
3347.00,97.43
3346.00,97.44
3345.00,97.44
3344.00,97.42
3343.00,97.39
3342.00,97.38
3341.00,97.37
3340.00,97.38
3339.00,97.40
3338.00,97.41
3337.00,97.41
3336.00,97.40
3335.00,97.39
3334.00,97.37
3333.00,97.38
3332.00,97.39
3331.00,97.41
3330.00,97.41
3329.00,97.39
3328.00,97.38
3327.00,97.37
3326.00,97.38
3325.00,97.39
3324.00,97.40
3323.00,97.42
3322.00,97.43
3321.00,97.45
3320.00,97.46
3319.00,97.46
3318.00,97.46
3317.00,97.46
3316.00,97.46
3315.00,97.46
3314.00,97.46
3313.00,97.46
3312.00,97.44
3311.00,97.42
3310.00,97.40
3309.00,97.38
3308.00,97.36
3307.00,97.35
3306.00,97.36
3305.00,97.37
3304.00,97.38
3303.00,97.39
3302.00,97.39
3301.00,97.39
3300.00,97.38
3299.00,97.38
3298.00,97.39
3297.00,97.40
3296.00,97.41
3295.00,97.42
3294.00,97.42
3293.00,97.41
3292.00,97.39
3291.00,97.36
3290.00,97.34
3289.00,97.32
3288.00,97.31
3287.00,97.32
3286.00,97.34
3285.00,97.38
3284.00,97.41
3283.00,97.44
3282.00,97.45
3281.00,97.42
3280.00,97.39
3279.00,97.35
3278.00,97.33
3277.00,97.33
3276.00,97.33
3275.00,97.32
3274.00,97.31
3273.00,97.30
3272.00,97.30
3271.00,97.31
3270.00,97.32
3269.00,97.35
3268.00,97.36
3267.00,97.36
3266.00,97.36
3265.00,97.35
3264.00,97.36
3263.00,97.37
3262.00,97.38
3261.00,97.38
3260.00,97.37
3259.00,97.35
3258.00,97.34
3257.00,97.34
3256.00,97.35
3255.00,97.37
3254.00,97.39
3253.00,97.40
3252.00,97.41
3251.00,97.40
3250.00,97.37
3249.00,97.35
3248.00,97.34
3247.00,97.33
3246.00,97.33
3245.00,97.32
3244.00,97.30
3243.00,97.29
3242.00,97.28
3241.00,97.29
3240.00,97.31
3239.00,97.33
3238.00,97.34
3237.00,97.34
3236.00,97.33
3235.00,97.32
3234.00,97.32
3233.00,97.33
3232.00,97.34
3231.00,97.34
3230.00,97.34
3229.00,97.32
3228.00,97.32
3227.00,97.32
3226.00,97.33
3225.00,97.34
3224.00,97.35
3223.00,97.36
3222.00,97.37
3221.00,97.37
3220.00,97.36
3219.00,97.35
3218.00,97.33
3217.00,97.31
3216.00,97.29
3215.00,97.28
3214.00,97.27
3213.00,97.27
3212.00,97.29
3211.00,97.32
3210.00,97.35
3209.00,97.37
3208.00,97.38
3207.00,97.37
3206.00,97.36
3205.00,97.36
3204.00,97.37
3203.00,97.38
3202.00,97.38
3201.00,97.38
3200.00,97.37
3199.00,97.36
3198.00,97.35
3197.00,97.35
3196.00,97.35
3195.00,97.35
3194.00,97.36
3193.00,97.36
3192.00,97.37
3191.00,97.38
3190.00,97.38
3189.00,97.37
3188.00,97.36
3187.00,97.35
3186.00,97.34
3185.00,97.33
3184.00,97.34
3183.00,97.35
3182.00,97.36
3181.00,97.36
3180.00,97.36
3179.00,97.37
3178.00,97.39
3177.00,97.40
3176.00,97.41
3175.00,97.41
3174.00,97.40
3173.00,97.38
3172.00,97.37
3171.00,97.37
3170.00,97.37
3169.00,97.37
3168.00,97.36
3167.00,97.35
3166.00,97.34
3165.00,97.34
3164.00,97.34
3163.00,97.35
3162.00,97.35
