Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
3515.00,96.95
3514.00,96.94
3513.00,96.94
3512.00,96.92
3511.00,96.89
3510.00,96.85
3509.00,96.82
3508.00,96.80
3507.00,96.79
3506.00,96.78
3505.00,96.78
3504.00,96.77
3503.00,96.76
3502.00,96.74
3501.00,96.72
3500.00,96.71
3499.00,96.70
3498.00,96.70
3497.00,96.67
3496.00,96.63
3495.00,96.59
3494.00,96.57
3493.00,96.57
3492.00,96.58
3491.00,96.58
3490.00,96.57
3489.00,96.55
3488.00,96.53
3487.00,96.50
3486.00,96.47
3485.00,96.44
3484.00,96.41
3483.00,96.40
3482.00,96.40
3481.00,96.39
3480.00,96.38
3479.00,96.35
3478.00,96.32
3477.00,96.29
3476.00,96.27
3475.00,96.26
3474.00,96.25
3473.00,96.25
3472.00,96.26
3471.00,96.26
3470.00,96.25
3469.00,96.23
3468.00,96.20
3467.00,96.17
3466.00,96.15
3465.00,96.13
3464.00,96.11
3463.00,96.09
3462.00,96.06
3461.00,96.03
3460.00,96.00
3459.00,95.97
3458.00,95.97
3457.00,95.97
3456.00,95.97
3455.00,95.95
3454.00,95.92
3453.00,95.89
3452.00,95.87
3451.00,95.86
3450.00,95.84
3449.00,95.83
3448.00,95.82
3447.00,95.81
3446.00,95.80
3445.00,95.79
3444.00,95.76
3443.00,95.74
3442.00,95.71
3441.00,95.69
3440.00,95.68
3439.00,95.68
3438.00,95.67
3437.00,95.65
3436.00,95.63
3435.00,95.60
3434.00,95.57
3433.00,95.53
3432.00,95.49
3431.00,95.45
3430.00,95.42
3429.00,95.42
3428.00,95.44
3427.00,95.44
3426.00,95.43
3425.00,95.40
3424.00,95.36
3423.00,95.33
3422.00,95.29
3421.00,95.26
3420.00,95.25
3419.00,95.25
3418.00,95.26
3417.00,95.26
3416.00,95.24
3415.00,95.22
3414.00,95.19
3413.00,95.16
3412.00,95.14
3411.00,95.13
3410.00,95.13
3409.00,95.12
3408.00,95.11
3407.00,95.08
3406.00,95.05
3405.00,95.02
3404.00,95.00
3403.00,94.99
3402.00,94.99
3401.00,94.97
3400.00,94.95
