Created as New Dataset,138. Polyester Du Pont
cm-1,%T
3342.00,99.07
3341.00,99.05
3340.00,99.05
3339.00,99.06
3338.00,99.08
3337.00,99.09
3336.00,99.09
3335.00,99.08
3334.00,99.07
3333.00,99.06
3332.00,99.05
3331.00,99.03
3330.00,99.03
3329.00,99.04
3328.00,99.07
3327.00,99.11
3326.00,99.13
3325.00,99.12
3324.00,99.10
3323.00,99.07
3322.00,99.06
3321.00,99.08
3320.00,99.11
3319.00,99.14
3318.00,99.16
3317.00,99.17
3316.00,99.16
3315.00,99.14
3314.00,99.11
3313.00,99.09
3312.00,99.08
3311.00,99.07
3310.00,99.08
3309.00,99.09
3308.00,99.10
3307.00,99.09
3306.00,99.08
3305.00,99.06
3304.00,99.07
3303.00,99.09
3302.00,99.11
3301.00,99.12
3300.00,99.11
3299.00,99.09
3298.00,99.09
3297.00,99.11
3296.00,99.13
3295.00,99.12
3294.00,99.11
3293.00,99.10
3292.00,99.10
3291.00,99.11
3290.00,99.11
3289.00,99.11
3288.00,99.11
3287.00,99.10
3286.00,99.10
3285.00,99.10
3284.00,99.12
3283.00,99.14
3282.00,99.16
3281.00,99.17
3280.00,99.17
3279.00,99.14
3278.00,99.11
3277.00,99.07
3276.00,99.04
3275.00,99.04
3274.00,99.06
3273.00,99.09
3272.00,99.12
3271.00,99.14
3270.00,99.15
3269.00,99.14
3268.00,99.12
3267.00,99.09
3266.00,99.07
3265.00,99.07
3264.00,99.07
3263.00,99.09
3262.00,99.11
3261.00,99.11
3260.00,99.10
3259.00,99.08
3258.00,99.05
3257.00,99.05
3256.00,99.06
3255.00,99.09
3254.00,99.11
3253.00,99.12
3252.00,99.13
3251.00,99.14
3250.00,99.14
3249.00,99.14
3248.00,99.13
3247.00,99.10
3246.00,99.08
3245.00,99.06
3244.00,99.06
3243.00,99.06
3242.00,99.05
3241.00,99.05
3240.00,99.05
3239.00,99.05
3238.00,99.06
3237.00,99.07
3236.00,99.09
3235.00,99.10
3234.00,99.10
3233.00,99.08
3232.00,99.06
3231.00,99.04
3230.00,99.04
3229.00,99.06
3228.00,99.07
3227.00,99.08
3226.00,99.07
3225.00,99.06
3224.00,99.05
3223.00,99.05
3222.00,99.07
3221.00,99.10
3220.00,99.12
3219.00,99.12
3218.00,99.10
3217.00,99.07
3216.00,99.04
3215.00,99.03
3214.00,99.03
3213.00,99.04
3212.00,99.06
3211.00,99.06
3210.00,99.06
3209.00,99.05
3208.00,99.05
3207.00,99.05
3206.00,99.05
3205.00,99.05
3204.00,99.05
3203.00,99.03
3202.00,99.02
3201.00,99.02
3200.00,99.03
3199.00,99.05
3198.00,99.06
3197.00,99.06
3196.00,99.05
3195.00,99.05
3194.00,99.06
3193.00,99.06
3192.00,99.06
3191.00,99.06
3190.00,99.05
3189.00,99.03
3188.00,99.02
3187.00,99.01
3186.00,99.01
3185.00,99.01
3184.00,99.01
3183.00,99.01
3182.00,99.01
3181.00,99.00
3180.00,98.99
3179.00,98.98
3178.00,98.97
3177.00,98.98
3176.00,98.99
3175.00,99.01
3174.00,99.01
3173.00,99.01
3172.00,99.00
3171.00,99.00
3170.00,99.00
3169.00,99.00
3168.00,98.98
3167.00,98.95
3166.00,98.92
3165.00,98.90
3164.00,98.89
3163.00,98.90
3162.00,98.91
3161.00,98.94
3160.00,98.96
3159.00,98.97
3158.00,98.96
3157.00,98.96
3156.00,98.95
3155.00,98.96
3154.00,98.95
3153.00,98.94
3152.00,98.93
3151.00,98.92
3150.00,98.92
3149.00,98.92
3148.00,98.92
3147.00,98.91
3146.00,98.91
3145.00,98.90
3144.00,98.90
3143.00,98.91
3142.00,98.91
3141.00,98.91
3140.00,98.90
3139.00,98.89
3138.00,98.87
3137.00,98.85
3136.00,98.84
3135.00,98.82
3134.00,98.80
3133.00,98.79
3132.00,98.78
3131.00,98.77
3130.00,98.77
3129.00,98.77
3128.00,98.78
3127.00,98.78
3126.00,98.77
3125.00,98.76
3124.00,98.74
3123.00,98.73
3122.00,98.74
3121.00,98.74
3120.00,98.75
3119.00,98.74
3118.00,98.73
3117.00,98.72
3116.00,98.70
3115.00,98.68
3114.00,98.66
3113.00,98.62
3112.00,98.58
3111.00,98.54
3110.00,98.50
3109.00,98.48
3108.00,98.47
3107.00,98.45
3106.00,98.44
3105.00,98.43
3104.00,98.42
3103.00,98.43
3102.00,98.44
3101.00,98.47
3100.00,98.49
3099.00,98.52
3098.00,98.54
3097.00,98.56
3096.00,98.56
3095.00,98.55
3094.00,98.52
3093.00,98.50
3092.00,98.49
3091.00,98.48
3090.00,98.48
3089.00,98.47
3088.00,98.43
3087.00,98.38
3086.00,98.33
3085.00,98.29
3084.00,98.27
3083.00,98.27
3082.00,98.29
3081.00,98.30
3080.00,98.31
3079.00,98.32
3078.00,98.33
3077.00,98.33
3076.00,98.34
3075.00,98.34
3074.00,98.33
3073.00,98.32
3072.00,98.30
3071.00,98.27
3070.00,98.26
3069.00,98.25
3068.00,98.25
3067.00,98.25
3066.00,98.25
3065.00,98.25
3064.00,98.26
3063.00,98.28
3062.00,98.30
3061.00,98.30
3060.00,98.30
3059.00,98.29
3058.00,98.26
3057.00,98.23
3056.00,98.21
3055.00,98.20
3054.00,98.21
3053.00,98.23
3052.00,98.27
3051.00,98.32
3050.00,98.39
3049.00,98.45
3048.00,98.52
3047.00,98.56
3046.00,98.59
3045.00,98.61
3044.00,98.64
3043.00,98.67
3042.00,98.70
3041.00,98.71
3040.00,98.71
3039.00,98.72
3038.00,98.73
3037.00,98.74
3036.00,98.73
3035.00,98.72
3034.00,98.70
3033.00,98.70
3032.00,98.71
3031.00,98.71
3030.00,98.70
3029.00,98.66
3028.00,98.61
3027.00,98.57
3026.00,98.55
3025.00,98.54
3024.00,98.52
3023.00,98.49
3022.00,98.45
3021.00,98.42
3020.00,98.41
3019.00,98.40
3018.00,98.39
3017.00,98.37
3016.00,98.33
3015.00,98.27
3014.00,98.21
3013.00,98.15
3012.00,98.12
3011.00,98.10
3010.00,98.09
3009.00,98.06
3008.00,98.01
3007.00,97.96
3006.00,97.91
3005.00,97.88
3004.00,97.86
3003.00,97.85
3002.00,97.84
3001.00,97.81
3000.00,97.77
2999.00,97.74
2998.00,97.71
2997.00,97.69
2996.00,97.67
2995.00,97.64
2994.00,97.60
2993.00,97.55
2992.00,97.50
2991.00,97.45
2990.00,97.40
2989.00,97.35
2988.00,97.29
2987.00,97.21
2986.00,97.13
2985.00,97.06
2984.00,97.01
2983.00,96.96
2982.00,96.91
2981.00,96.84
2980.00,96.76
2979.00,96.68
2978.00,96.60
2977.00,96.52
2976.00,96.44
2975.00,96.37
2974.00,96.29
2973.00,96.21
2972.00,96.12
2971.00,96.03
