Created as New Dataset,37 Hoechst
cm-1,%T
2950.00,94.60
2949.00,94.51
2948.00,94.42
2947.00,94.34
2946.00,94.28
2945.00,94.23
2944.00,94.17
2943.00,94.11
2942.00,94.05
2941.00,93.98
2940.00,93.92
2939.00,93.87
2938.00,93.84
2937.00,93.83
2936.00,93.85
2935.00,93.87
2934.00,93.88
2933.00,93.88
2932.00,93.88
2931.00,93.88
2930.00,93.89
2929.00,93.91
2928.00,93.92
2927.00,93.92
2926.00,93.92
2925.00,93.90
2924.00,93.89
2923.00,93.89
2922.00,93.91
2921.00,93.95
2920.00,94.00
2919.00,94.02
2918.00,94.04
2917.00,94.06
2916.00,94.10
2915.00,94.16
2914.00,94.24
2913.00,94.32
2912.00,94.40
2911.00,94.46
2910.00,94.50
2909.00,94.55
2908.00,94.59
2907.00,94.64
2906.00,94.69
2905.00,94.75
2904.00,94.81
2903.00,94.86
2902.00,94.89
2901.00,94.92
2900.00,94.94
2899.00,94.97
2898.00,95.01
2897.00,95.05
2896.00,95.08
2895.00,95.10
2894.00,95.10
2893.00,95.10
2892.00,95.11
2891.00,95.11
2890.00,95.13
2889.00,95.15
2888.00,95.17
2887.00,95.19
2886.00,95.21
2885.00,95.21
2884.00,95.22
2883.00,95.23
2882.00,95.23
2881.00,95.22
2880.00,95.20
2879.00,95.17
2878.00,95.14
2877.00,95.12
2876.00,95.11
2875.00,95.11
2874.00,95.11
2873.00,95.11
2872.00,95.10
2871.00,95.10
2870.00,95.09
2869.00,95.09
2868.00,95.10
2867.00,95.12
2866.00,95.16
2865.00,95.19
2864.00,95.20
2863.00,95.20
2862.00,95.19
2861.00,95.19
2860.00,95.20
2859.00,95.22
2858.00,95.25
2857.00,95.28
2856.00,95.30
2855.00,95.32
2854.00,95.33
2853.00,95.34
2852.00,95.35
2851.00,95.37
2850.00,95.39
2849.00,95.43
2848.00,95.47
2847.00,95.52
2846.00,95.55
2845.00,95.57
2844.00,95.58
2843.00,95.60
2842.00,95.63
2841.00,95.66
2840.00,95.68
2839.00,95.70
2838.00,95.71
2837.00,95.73
2836.00,95.74
2835.00,95.76
2834.00,95.77
2833.00,95.77
2832.00,95.77
2831.00,95.77
2830.00,95.78
2829.00,95.78
2828.00,95.77
2827.00,95.77
2826.00,95.77
2825.00,95.78
2824.00,95.79
2823.00,95.80
2822.00,95.80
2821.00,95.80
2820.00,95.80
2819.00,95.80
2818.00,95.81
2817.00,95.82
2816.00,95.82
2815.00,95.81
2814.00,95.79
2813.00,95.79
2812.00,95.79
2811.00,95.81
2810.00,95.81
2809.00,95.81
2808.00,95.80
2807.00,95.79
2806.00,95.78
2805.00,95.79
2804.00,95.79
2803.00,95.80
2802.00,95.81
2801.00,95.83
2800.00,95.85
2799.00,95.87
2798.00,95.87
2797.00,95.87
2796.00,95.87
2795.00,95.86
2794.00,95.85
2793.00,95.85
2792.00,95.85
2791.00,95.85
2790.00,95.85
2789.00,95.86
2788.00,95.87
2787.00,95.88
2786.00,95.89
2785.00,95.89
2784.00,95.90
2783.00,95.91
2782.00,95.92
2781.00,95.91
2780.00,95.90
2779.00,95.89
2778.00,95.90
2777.00,95.90
2776.00,95.91
2775.00,95.90
2774.00,95.90
2773.00,95.90
2772.00,95.90
2771.00,95.92
2770.00,95.93
2769.00,95.94
2768.00,95.94
2767.00,95.95
2766.00,95.95
2765.00,95.95
2764.00,95.95
2763.00,95.94
2762.00,95.94
2761.00,95.95
2760.00,95.95
2759.00,95.95
