Created as New Dataset,12. Acrylic Courtaulds Dyed
cm-1,%T
3375.00,93.67
3374.00,93.68
3373.00,93.70
3372.00,93.72
3371.00,93.73
3370.00,93.73
3369.00,93.71
3368.00,93.69
3367.00,93.68
3366.00,93.68
3365.00,93.68
3364.00,93.68
3363.00,93.68
3362.00,93.68
3361.00,93.69
3360.00,93.70
3359.00,93.72
3358.00,93.73
3357.00,93.72
3356.00,93.71
3355.00,93.70
3354.00,93.69
3353.00,93.70
3352.00,93.71
3351.00,93.72
3350.00,93.73
3349.00,93.73
3348.00,93.72
3347.00,93.70
3346.00,93.68
3345.00,93.67
3344.00,93.69
3343.00,93.70
3342.00,93.71
3341.00,93.71
3340.00,93.70
3339.00,93.70
3338.00,93.70
3337.00,93.70
3336.00,93.69
3335.00,93.69
3334.00,93.70
3333.00,93.72
3332.00,93.74
3331.00,93.76
3330.00,93.77
3329.00,93.76
3328.00,93.76
3327.00,93.75
3326.00,93.75
3325.00,93.75
3324.00,93.75
3323.00,93.74
3322.00,93.72
3321.00,93.70
3320.00,93.68
3319.00,93.68
3318.00,93.68
3317.00,93.70
3316.00,93.71
3315.00,93.72
3314.00,93.73
3313.00,93.73
3312.00,93.74
3311.00,93.74
3310.00,93.74
3309.00,93.74
3308.00,93.74
3307.00,93.74
3306.00,93.74
3305.00,93.73
3304.00,93.74
3303.00,93.75
3302.00,93.77
3301.00,93.77
3300.00,93.76
3299.00,93.74
3298.00,93.74
3297.00,93.74
3296.00,93.74
3295.00,93.74
3294.00,93.74
3293.00,93.75
3292.00,93.76
3291.00,93.77
3290.00,93.78
3289.00,93.78
3288.00,93.77
3287.00,93.76
3286.00,93.74
3285.00,93.73
3284.00,93.73
3283.00,93.73
3282.00,93.74
3281.00,93.75
3280.00,93.74
3279.00,93.73
3278.00,93.72
3277.00,93.72
3276.00,93.73
3275.00,93.74
3274.00,93.75
3273.00,93.76
3272.00,93.77
3271.00,93.78
3270.00,93.78
3269.00,93.78
3268.00,93.78
3267.00,93.78
3266.00,93.78
3265.00,93.78
3264.00,93.78
3263.00,93.78
3262.00,93.78
3261.00,93.79
3260.00,93.78
3259.00,93.76
3258.00,93.75
3257.00,93.75
3256.00,93.76
3255.00,93.77
3254.00,93.78
3253.00,93.79
3252.00,93.79
3251.00,93.79
3250.00,93.78
3249.00,93.77
3248.00,93.75
3247.00,93.75
3246.00,93.75
3245.00,93.77
3244.00,93.79
3243.00,93.79
3242.00,93.78
3241.00,93.77
3240.00,93.76
3239.00,93.75
3238.00,93.75
3237.00,93.75
