Created as New Dataset,61 Monsanto
cm-1,%T
2929.00,100.54
2928.00,100.55
2927.00,100.55
2926.00,100.55
2925.00,100.55
2924.00,100.55
2923.00,100.56
2922.00,100.57
2921.00,100.57
2920.00,100.57
2919.00,100.57
2918.00,100.56
2917.00,100.55
2916.00,100.54
2915.00,100.55
2914.00,100.57
2913.00,100.59
2912.00,100.60
2911.00,100.59
2910.00,100.58
2909.00,100.57
2908.00,100.58
2907.00,100.61
2906.00,100.63
2905.00,100.64
2904.00,100.62
2903.00,100.60
2902.00,100.58
2901.00,100.58
2900.00,100.60
2899.00,100.62
2898.00,100.64
2897.00,100.64
2896.00,100.62
2895.00,100.60
2894.00,100.58
2893.00,100.57
2892.00,100.58
2891.00,100.59
2890.00,100.60
2889.00,100.62
2888.00,100.63
2887.00,100.63
2886.00,100.63
2885.00,100.61
2884.00,100.59
2883.00,100.59
2882.00,100.60
2881.00,100.63
2880.00,100.65
2879.00,100.65
2878.00,100.64
2877.00,100.63
2876.00,100.62
2875.00,100.61
2874.00,100.60
2873.00,100.59
2872.00,100.60
2871.00,100.60
2870.00,100.62
2869.00,100.63
2868.00,100.65
2867.00,100.66
2866.00,100.67
2865.00,100.68
2864.00,100.68
2863.00,100.67
2862.00,100.66
2861.00,100.64
2860.00,100.62
2859.00,100.62
2858.00,100.63
2857.00,100.63
2856.00,100.64
2855.00,100.63
2854.00,100.63
2853.00,100.62
2852.00,100.62
2851.00,100.62
2850.00,100.64
2849.00,100.66
2848.00,100.67
2847.00,100.68
2846.00,100.69
2845.00,100.69
2844.00,100.69
2843.00,100.68
2842.00,100.65
2841.00,100.63
2840.00,100.61
2839.00,100.61
2838.00,100.63
2837.00,100.66
2836.00,100.69
2835.00,100.70
2834.00,100.69
2833.00,100.69
2832.00,100.70
2831.00,100.71
2830.00,100.71
2829.00,100.71
2828.00,100.70
2827.00,100.68
2826.00,100.68
2825.00,100.68
2824.00,100.69
2823.00,100.70
2822.00,100.70
2821.00,100.70
2820.00,100.69
2819.00,100.68
2818.00,100.68
2817.00,100.69
2816.00,100.70
2815.00,100.71
2814.00,100.73
2813.00,100.74
2812.00,100.75
2811.00,100.73
2810.00,100.71
2809.00,100.69
2808.00,100.67
2807.00,100.66
2806.00,100.66
2805.00,100.67
2804.00,100.68
2803.00,100.69
2802.00,100.70
2801.00,100.70
2800.00,100.70
2799.00,100.70
2798.00,100.69
2797.00,100.69
2796.00,100.70
2795.00,100.70
2794.00,100.70
2793.00,100.70
2792.00,100.69
2791.00,100.68
2790.00,100.68
2789.00,100.69
2788.00,100.71
2787.00,100.72
2786.00,100.72
2785.00,100.72
2784.00,100.72
2783.00,100.73
2782.00,100.73
2781.00,100.72
2780.00,100.71
2779.00,100.70
2778.00,100.71
2777.00,100.72
2776.00,100.74
2775.00,100.74
2774.00,100.73
2773.00,100.72
2772.00,100.71
2771.00,100.70
2770.00,100.70
2769.00,100.72
2768.00,100.73
2767.00,100.74
2766.00,100.74
2765.00,100.74
2764.00,100.73
2763.00,100.73
2762.00,100.73
2761.00,100.72
2760.00,100.72
2759.00,100.72
2758.00,100.73
2757.00,100.73
2756.00,100.72
2755.00,100.71
2754.00,100.70
2753.00,100.69
2752.00,100.70
2751.00,100.71
2750.00,100.71
2749.00,100.72
2748.00,100.72
2747.00,100.72
2746.00,100.73
2745.00,100.73
2744.00,100.73
2743.00,100.73
2742.00,100.71
2741.00,100.69
2740.00,100.69
2739.00,100.68
2738.00,100.68
2737.00,100.69
2736.00,100.70
2735.00,100.71
2734.00,100.72
2733.00,100.72
2732.00,100.71
2731.00,100.69
2730.00,100.68
2729.00,100.68
2728.00,100.68
2727.00,100.69
2726.00,100.70
2725.00,100.70
2724.00,100.71
2723.00,100.72
2722.00,100.73
2721.00,100.73
2720.00,100.71
2719.00,100.70
2718.00,100.69
2717.00,100.69
2716.00,100.71
2715.00,100.72
2714.00,100.74
2713.00,100.74
2712.00,100.74
2711.00,100.73
2710.00,100.73
2709.00,100.72
2708.00,100.71
2707.00,100.71
2706.00,100.71
2705.00,100.71
2704.00,100.71
2703.00,100.70
2702.00,100.69
2701.00,100.68
2700.00,100.68
2699.00,100.68
2698.00,100.68
2697.00,100.69
2696.00,100.71
2695.00,100.73
2694.00,100.73
2693.00,100.73
2692.00,100.73
2691.00,100.73
2690.00,100.73
2689.00,100.73
2688.00,100.72
2687.00,100.71
2686.00,100.71
2685.00,100.72
2684.00,100.73
2683.00,100.73
2682.00,100.73
2681.00,100.73
2680.00,100.72
2679.00,100.71
2678.00,100.70
2677.00,100.70
2676.00,100.69
2675.00,100.70
2674.00,100.71
2673.00,100.72
2672.00,100.72
2671.00,100.72
2670.00,100.70
2669.00,100.70
2668.00,100.70
2667.00,100.71
2666.00,100.72
2665.00,100.71
2664.00,100.71
2663.00,100.70
2662.00,100.70
2661.00,100.71
2660.00,100.72
2659.00,100.73
2658.00,100.73
2657.00,100.73
2656.00,100.71
2655.00,100.70
2654.00,100.69
2653.00,100.69
2652.00,100.69
2651.00,100.69
2650.00,100.68
2649.00,100.67
2648.00,100.66
2647.00,100.66
2646.00,100.66
2645.00,100.66
2644.00,100.66
2643.00,100.66
2642.00,100.65
2641.00,100.65
2640.00,100.64
2639.00,100.64
2638.00,100.64
2637.00,100.65
2636.00,100.66
2635.00,100.68
2634.00,100.68
2633.00,100.68
2632.00,100.66
2631.00,100.65
2630.00,100.63
2629.00,100.63
2628.00,100.62
2627.00,100.61
2626.00,100.60
2625.00,100.59
2624.00,100.59
2623.00,100.60
2622.00,100.61
2621.00,100.62
2620.00,100.63
2619.00,100.64
2618.00,100.65
2617.00,100.64
2616.00,100.63
2615.00,100.63
2614.00,100.62
2613.00,100.62
2612.00,100.61
2611.00,100.59
2610.00,100.58
2609.00,100.58
2608.00,100.59
2607.00,100.60
2606.00,100.61
2605.00,100.61
2604.00,100.60
2603.00,100.59
2602.00,100.57
2601.00,100.56
2600.00,100.57
2599.00,100.58
2598.00,100.59
2597.00,100.59
2596.00,100.58
2595.00,100.57
2594.00,100.56
2593.00,100.55
2592.00,100.56
2591.00,100.56
2590.00,100.57
2589.00,100.58
2588.00,100.58
2587.00,100.57
2586.00,100.55
2585.00,100.53
2584.00,100.51
2583.00,100.51
2582.00,100.52
2581.00,100.53
2580.00,100.53
2579.00,100.54
2578.00,100.54
2577.00,100.53
2576.00,100.53
2575.00,100.52
2574.00,100.53
2573.00,100.54
2572.00,100.55
2571.00,100.56
2570.00,100.55
2569.00,100.54
2568.00,100.53
2567.00,100.53
2566.00,100.54
2565.00,100.55
2564.00,100.54
