Created as New Dataset,198 Lenzing AG
cm-1,%T
3511.00,99.16
3510.00,99.14
3509.00,99.11
3508.00,99.07
3507.00,99.03
3506.00,99.00
3505.00,98.96
3504.00,98.92
3503.00,98.89
3502.00,98.84
3501.00,98.79
3500.00,98.75
3499.00,98.70
3498.00,98.66
3497.00,98.62
3496.00,98.57
3495.00,98.52
3494.00,98.48
3493.00,98.44
3492.00,98.42
3491.00,98.40
3490.00,98.38
3489.00,98.36
3488.00,98.33
3487.00,98.31
3486.00,98.29
3485.00,98.26
3484.00,98.24
3483.00,98.21
3482.00,98.18
3481.00,98.17
3480.00,98.16
3479.00,98.14
3478.00,98.12
3477.00,98.09
3476.00,98.07
3475.00,98.06
3474.00,98.07
3473.00,98.07
3472.00,98.06
3471.00,98.04
3470.00,98.02
3469.00,97.99
3468.00,97.96
3467.00,97.93
3466.00,97.91
3465.00,97.89
3464.00,97.88
3463.00,97.85
3462.00,97.81
3461.00,97.76
3460.00,97.72
3459.00,97.70
3458.00,97.68
3457.00,97.66
3456.00,97.63
3455.00,97.59
3454.00,97.55
3453.00,97.52
3452.00,97.49
3451.00,97.47
3450.00,97.45
3449.00,97.41
3448.00,97.36
3447.00,97.31
3446.00,97.27
3445.00,97.25
3444.00,97.25
3443.00,97.24
3442.00,97.22
3441.00,97.20
3440.00,97.18
3439.00,97.15
3438.00,97.12
3437.00,97.10
3436.00,97.10
3435.00,97.12
3434.00,97.15
3433.00,97.18
3432.00,97.19
3431.00,97.19
3430.00,97.17
3429.00,97.14
3428.00,97.11
3427.00,97.09
3426.00,97.08
3425.00,97.07
3424.00,97.06
3423.00,97.05
3422.00,97.04
3421.00,97.04
3420.00,97.05
3419.00,97.07
3418.00,97.07
3417.00,97.07
3416.00,97.05
3415.00,97.04
3414.00,97.03
3413.00,97.02
3412.00,96.99
3411.00,96.95
3410.00,96.92
3409.00,96.88
3408.00,96.86
3407.00,96.86
3406.00,96.86
3405.00,96.85
3404.00,96.83
3403.00,96.79
3402.00,96.76
3401.00,96.74
3400.00,96.74
3399.00,96.75
3398.00,96.76
3397.00,96.77
3396.00,96.78
3395.00,96.77
3394.00,96.77
3393.00,96.75
3392.00,96.72
3391.00,96.68
3390.00,96.63
3389.00,96.59
3388.00,96.58
3387.00,96.58
3386.00,96.61
3385.00,96.62
3384.00,96.62
3383.00,96.61
3382.00,96.61
3381.00,96.63
3380.00,96.64
3379.00,96.65
3378.00,96.64
3377.00,96.61
3376.00,96.59
3375.00,96.57
3374.00,96.55
3373.00,96.54
3372.00,96.54
3371.00,96.52
3370.00,96.51
3369.00,96.49
3368.00,96.47
3367.00,96.47
3366.00,96.47
3365.00,96.47
3364.00,96.48
3363.00,96.48
3362.00,96.49
3361.00,96.49
3360.00,96.49
3359.00,96.47
3358.00,96.44
3357.00,96.42
3356.00,96.41
3355.00,96.41
3354.00,96.41
3353.00,96.40
3352.00,96.39
3351.00,96.38
3350.00,96.39
3349.00,96.39
3348.00,96.37
3347.00,96.35
3346.00,96.34
3345.00,96.33
3344.00,96.34
3343.00,96.35
3342.00,96.35
3341.00,96.34
3340.00,96.34
3339.00,96.34
3338.00,96.35
3337.00,96.35
3336.00,96.36
3335.00,96.35
3334.00,96.34
3333.00,96.33
3332.00,96.33
3331.00,96.33
3330.00,96.33
3329.00,96.33
3328.00,96.32
3327.00,96.32
3326.00,96.32
3325.00,96.33
3324.00,96.34
3323.00,96.35
3322.00,96.35
3321.00,96.35
3320.00,96.34
3319.00,96.33
3318.00,96.32
3317.00,96.32
3316.00,96.33
3315.00,96.34
3314.00,96.35
3313.00,96.36
3312.00,96.36
3311.00,96.36
3310.00,96.35
3309.00,96.34
3308.00,96.34
3307.00,96.33
3306.00,96.33
3305.00,96.33
3304.00,96.34
3303.00,96.36
3302.00,96.38
3301.00,96.38
3300.00,96.36
3299.00,96.34
3298.00,96.32
3297.00,96.31
3296.00,96.30
3295.00,96.30
3294.00,96.31
3293.00,96.33
3292.00,96.36
3291.00,96.38
3290.00,96.39
3289.00,96.39
3288.00,96.40
3287.00,96.42
3286.00,96.43
3285.00,96.44
3284.00,96.45
3283.00,96.44
3282.00,96.43
3281.00,96.43
3280.00,96.43
3279.00,96.45
3278.00,96.47
3277.00,96.49
3276.00,96.50
3275.00,96.51
3274.00,96.49
3273.00,96.47
3272.00,96.46
3271.00,96.46
3270.00,96.49
3269.00,96.53
3268.00,96.56
3267.00,96.57
3266.00,96.57
3265.00,96.56
3264.00,96.55
3263.00,96.56
3262.00,96.57
3261.00,96.58
3260.00,96.59
3259.00,96.59
3258.00,96.59
3257.00,96.58
3256.00,96.57
3255.00,96.55
3254.00,96.55
3253.00,96.57
3252.00,96.59
3251.00,96.61
3250.00,96.62
3249.00,96.62
3248.00,96.61
3247.00,96.61
3246.00,96.62
3245.00,96.63
3244.00,96.65
3243.00,96.68
3242.00,96.71
3241.00,96.74
3240.00,96.76
3239.00,96.77
3238.00,96.78
3237.00,96.78
3236.00,96.78
3235.00,96.77
3234.00,96.76
3233.00,96.75
3232.00,96.75
3231.00,96.77
3230.00,96.80
3229.00,96.83
3228.00,96.84
3227.00,96.83
3226.00,96.82
3225.00,96.82
3224.00,96.83
3223.00,96.84
3222.00,96.84
3221.00,96.84
3220.00,96.84
3219.00,96.85
3218.00,96.86
3217.00,96.87
3216.00,96.89
3215.00,96.92
3214.00,96.93
3213.00,96.95
3212.00,96.95
3211.00,96.96
3210.00,96.97
3209.00,96.99
3208.00,97.02
3207.00,97.05
3206.00,97.06
3205.00,97.07
3204.00,97.08
3203.00,97.09
3202.00,97.10
3201.00,97.11
3200.00,97.12
3199.00,97.13
3198.00,97.14
3197.00,97.15
3196.00,97.16
3195.00,97.17
3194.00,97.18
3193.00,97.19
3192.00,97.18
3191.00,97.16
3190.00,97.16
3189.00,97.18
3188.00,97.21
3187.00,97.25
3186.00,97.28
3185.00,97.31
3184.00,97.32
3183.00,97.33
3182.00,97.33
3181.00,97.33
3180.00,97.34
3179.00,97.35
3178.00,97.37
3177.00,97.38
3176.00,97.39
3175.00,97.39
3174.00,97.40
3173.00,97.42
3172.00,97.44
3171.00,97.46
3170.00,97.48
3169.00,97.48
3168.00,97.49
3167.00,97.49
3166.00,97.50
3165.00,97.51
3164.00,97.52
3163.00,97.53
3162.00,97.55
3161.00,97.57
3160.00,97.59
3159.00,97.62
3158.00,97.63
3157.00,97.63
3156.00,97.64
3155.00,97.65
3154.00,97.68
3153.00,97.70
3152.00,97.72
3151.00,97.72
3150.00,97.72
3149.00,97.72
3148.00,97.73
3147.00,97.75
3146.00,97.76
3145.00,97.77
3144.00,97.78
3143.00,97.80
3142.00,97.83
3141.00,97.85
3140.00,97.87
3139.00,97.87
3138.00,97.87
3137.00,97.88
3136.00,97.89
3135.00,97.91
3134.00,97.92
3133.00,97.93
3132.00,97.94
3131.00,97.95
3130.00,97.96
3129.00,97.98
3128.00,98.00
3127.00,98.02
3126.00,98.03
3125.00,98.04
3124.00,98.06
3123.00,98.08
3122.00,98.10
3121.00,98.12
3120.00,98.14
3119.00,98.16
3118.00,98.17
3117.00,98.19
3116.00,98.20
3115.00,98.22
3114.00,98.24
3113.00,98.27
3112.00,98.29
3111.00,98.30
3110.00,98.30
3109.00,98.31
3108.00,98.33
3107.00,98.37
3106.00,98.40
3105.00,98.41
3104.00,98.42
3103.00,98.43
3102.00,98.45
3101.00,98.47
3100.00,98.48
3099.00,98.49
3098.00,98.49
3097.00,98.52
3096.00,98.56
3095.00,98.60
3094.00,98.63
3093.00,98.64
3092.00,98.66
3091.00,98.67
3090.00,98.69
3089.00,98.70
3088.00,98.71
3087.00,98.71
3086.00,98.71
3085.00,98.72
3084.00,98.75
3083.00,98.78
3082.00,98.81
3081.00,98.83
3080.00,98.84
3079.00,98.85
3078.00,98.85
3077.00,98.86
3076.00,98.87
3075.00,98.89
3074.00,98.91
3073.00,98.93
3072.00,98.95
3071.00,98.95
3070.00,98.96
3069.00,98.98
3068.00,99.00
3067.00,99.01
3066.00,99.02
3065.00,99.04
3064.00,99.07
3063.00,99.10
3062.00,99.11
3061.00,99.12
3060.00,99.12
3059.00,99.13
3058.00,99.14
3057.00,99.16
3056.00,99.17
3055.00,99.18
3054.00,99.19
3053.00,99.20
3052.00,99.21
3051.00,99.22
3050.00,99.23
3049.00,99.24
3048.00,99.27
3047.00,99.30
3046.00,99.33
3045.00,99.35
3044.00,99.36
3043.00,99.36
3042.00,99.37
3041.00,99.38
3040.00,99.38
3039.00,99.38
3038.00,99.37
3037.00,99.36
3036.00,99.37
3035.00,99.39
3034.00,99.43
3033.00,99.46
3032.00,99.48
3031.00,99.49
3030.00,99.50
3029.00,99.50
