Created as New Dataset,60 Lenzing
cm-1,%T
3506.00,92.30
3505.00,92.22
3504.00,92.15
3503.00,92.08
3502.00,92.00
3501.00,91.91
3500.00,91.83
3499.00,91.76
3498.00,91.68
3497.00,91.61
3496.00,91.53
3495.00,91.46
3494.00,91.39
3493.00,91.33
3492.00,91.26
3491.00,91.19
3490.00,91.12
3489.00,91.07
3488.00,91.03
3487.00,90.98
3486.00,90.93
3485.00,90.87
3484.00,90.83
3483.00,90.79
3482.00,90.76
3481.00,90.73
3480.00,90.69
3479.00,90.66
3478.00,90.63
3477.00,90.60
3476.00,90.57
3475.00,90.54
3474.00,90.51
3473.00,90.46
3472.00,90.41
3471.00,90.34
3470.00,90.28
3469.00,90.22
3468.00,90.17
3467.00,90.12
3466.00,90.07
3465.00,90.01
3464.00,89.95
3463.00,89.88
3462.00,89.81
3461.00,89.74
3460.00,89.67
3459.00,89.62
3458.00,89.56
3457.00,89.49
3456.00,89.41
3455.00,89.34
3454.00,89.28
3453.00,89.21
3452.00,89.14
3451.00,89.07
3450.00,88.99
3449.00,88.91
3448.00,88.84
3447.00,88.78
3446.00,88.73
3445.00,88.69
3444.00,88.65
3443.00,88.61
3442.00,88.57
3441.00,88.52
3440.00,88.48
3439.00,88.43
3438.00,88.39
3437.00,88.36
3436.00,88.35
3435.00,88.35
3434.00,88.34
3433.00,88.31
3432.00,88.28
3431.00,88.26
3430.00,88.25
3429.00,88.25
3428.00,88.24
3427.00,88.23
3426.00,88.21
3425.00,88.20
3424.00,88.18
3423.00,88.15
3422.00,88.12
3421.00,88.08
3420.00,88.03
3419.00,88.00
3418.00,87.97
3417.00,87.94
3416.00,87.91
3415.00,87.88
3414.00,87.86
3413.00,87.85
3412.00,87.85
3411.00,87.84
3410.00,87.81
3409.00,87.76
3408.00,87.70
3407.00,87.65
3406.00,87.60
3405.00,87.56
3404.00,87.53
3403.00,87.52
3402.00,87.51
3401.00,87.50
3400.00,87.49
3399.00,87.47
3398.00,87.45
3397.00,87.41
3396.00,87.38
3395.00,87.34
3394.00,87.31
3393.00,87.28
3392.00,87.25
3391.00,87.22
3390.00,87.20
3389.00,87.19
3388.00,87.19
3387.00,87.19
3386.00,87.18
3385.00,87.16
3384.00,87.14
3383.00,87.11
3382.00,87.08
3381.00,87.05
3380.00,87.02
3379.00,86.99
3378.00,86.96
3377.00,86.94
3376.00,86.92
3375.00,86.91
3374.00,86.88
3373.00,86.85
3372.00,86.81
3371.00,86.78
3370.00,86.76
3369.00,86.76
3368.00,86.76
3367.00,86.76
3366.00,86.74
3365.00,86.72
3364.00,86.70
3363.00,86.70
3362.00,86.69
3361.00,86.67
3360.00,86.65
3359.00,86.62
3358.00,86.60
3357.00,86.59
3356.00,86.60
3355.00,86.60
3354.00,86.60
3353.00,86.59
3352.00,86.57
3351.00,86.55
3350.00,86.53
3349.00,86.53
3348.00,86.54
3347.00,86.54
3346.00,86.52
3345.00,86.50
3344.00,86.47
3343.00,86.46
3342.00,86.46
3341.00,86.47
3340.00,86.49
3339.00,86.50
3338.00,86.50
3337.00,86.49
3336.00,86.47
3335.00,86.45
3334.00,86.44
3333.00,86.43
3332.00,86.42
3331.00,86.41
3330.00,86.40
3329.00,86.41
3328.00,86.42
3327.00,86.43
3326.00,86.44
3325.00,86.43
3324.00,86.41
3323.00,86.39
3322.00,86.39
3321.00,86.39
3320.00,86.39
3319.00,86.39
3318.00,86.40
3317.00,86.40
3316.00,86.40
3315.00,86.40
