Created as New Dataset,191 FMC American Viscose
cm-1,%T
2749.00,95.42
2748.00,95.43
2747.00,95.42
2746.00,95.42
2745.00,95.42
2744.00,95.42
2743.00,95.42
2742.00,95.42
2741.00,95.43
2740.00,95.44
2739.00,95.44
2738.00,95.44
2737.00,95.44
2736.00,95.44
2735.00,95.43
2734.00,95.43
2733.00,95.44
2732.00,95.45
2731.00,95.45
2730.00,95.46
2729.00,95.46
2728.00,95.46
2727.00,95.46
2726.00,95.47
2725.00,95.48
2724.00,95.49
2723.00,95.50
2722.00,95.50
2721.00,95.50
2720.00,95.50
2719.00,95.50
2718.00,95.51
2717.00,95.52
2716.00,95.52
2715.00,95.52
2714.00,95.52
2713.00,95.53
2712.00,95.54
2711.00,95.55
2710.00,95.56
2709.00,95.57
2708.00,95.58
2707.00,95.59
2706.00,95.60
2705.00,95.60
2704.00,95.60
2703.00,95.59
2702.00,95.60
2701.00,95.60
2700.00,95.61
2699.00,95.61
2698.00,95.61
2697.00,95.62
2696.00,95.63
2695.00,95.63
2694.00,95.62
2693.00,95.62
2692.00,95.61
2691.00,95.61
2690.00,95.60
2689.00,95.61
2688.00,95.61
2687.00,95.63
2686.00,95.65
2685.00,95.67
2684.00,95.69
2683.00,95.71
2682.00,95.72
2681.00,95.73
2680.00,95.75
2679.00,95.75
2678.00,95.76
2677.00,95.75
2676.00,95.75
2675.00,95.75
2674.00,95.75
2673.00,95.77
2672.00,95.79
2671.00,95.79
2670.00,95.79
2669.00,95.78
2668.00,95.78
2667.00,95.78
2666.00,95.79
2665.00,95.80
2664.00,95.80
2663.00,95.80
2662.00,95.79
2661.00,95.78
2660.00,95.78
2659.00,95.78
2658.00,95.78
2657.00,95.78
2656.00,95.78
2655.00,95.77
2654.00,95.76
2653.00,95.74
2652.00,95.73
2651.00,95.72
2650.00,95.73
2649.00,95.74
2648.00,95.76
2647.00,95.77
2646.00,95.77
2645.00,95.76
2644.00,95.74
2643.00,95.73
2642.00,95.72
2641.00,95.72
2640.00,95.71
2639.00,95.70
2638.00,95.70
2637.00,95.69
2636.00,95.69
2635.00,95.68
2634.00,95.68
2633.00,95.68
2632.00,95.68
2631.00,95.68
2630.00,95.68
2629.00,95.69
2628.00,95.70
2627.00,95.70
2626.00,95.69
2625.00,95.69
2624.00,95.69
2623.00,95.69
2622.00,95.67
2621.00,95.65
2620.00,95.64
2619.00,95.63
2618.00,95.64
2617.00,95.64
2616.00,95.64
2615.00,95.64
2614.00,95.66
2613.00,95.68
2612.00,95.70
2611.00,95.69
2610.00,95.66
2609.00,95.63
2608.00,95.62
2607.00,95.62
2606.00,95.63
2605.00,95.64
2604.00,95.65
2603.00,95.66
2602.00,95.66
2601.00,95.66
2600.00,95.66
2599.00,95.65
2598.00,95.65
2597.00,95.64
2596.00,95.63
2595.00,95.64
2594.00,95.65
2593.00,95.65
2592.00,95.63
2591.00,95.60
2590.00,95.59
2589.00,95.60
2588.00,95.63
2587.00,95.65
2586.00,95.65
2585.00,95.66
2584.00,95.67
2583.00,95.67
2582.00,95.65
2581.00,95.63
2580.00,95.62
2579.00,95.61
2578.00,95.62
2577.00,95.63
2576.00,95.63
2575.00,95.63
2574.00,95.62
2573.00,95.60
2572.00,95.58
2571.00,95.57
2570.00,95.57
2569.00,95.57
2568.00,95.57
2567.00,95.58
2566.00,95.58
2565.00,95.58
2564.00,95.58
2563.00,95.58
2562.00,95.59
2561.00,95.61
2560.00,95.62
2559.00,95.62
2558.00,95.62
2557.00,95.62
2556.00,95.62
2555.00,95.63
2554.00,95.63
2553.00,95.63
2552.00,95.62
2551.00,95.61
2550.00,95.61
2549.00,95.61
2548.00,95.62
2547.00,95.62
2546.00,95.62
2545.00,95.61
2544.00,95.60
2543.00,95.58
2542.00,95.58
2541.00,95.59
2540.00,95.61
2539.00,95.64
2538.00,95.65
2537.00,95.64
2536.00,95.63
2535.00,95.61
2534.00,95.59
2533.00,95.58
2532.00,95.59
