Created as New Dataset,74 Nylon Allied Signal Fibers 
cm-1,%T
3523.00,100.78
3522.00,100.77
3521.00,100.75
3520.00,100.72
3519.00,100.69
3518.00,100.66
3517.00,100.65
3516.00,100.66
3515.00,100.66
3514.00,100.65
3513.00,100.61
3512.00,100.57
3511.00,100.54
3510.00,100.53
3509.00,100.55
3508.00,100.57
3507.00,100.58
3506.00,100.58
3505.00,100.55
3504.00,100.52
3503.00,100.49
3502.00,100.47
3501.00,100.46
3500.00,100.46
3499.00,100.48
3498.00,100.49
3497.00,100.50
3496.00,100.50
3495.00,100.48
3494.00,100.46
3493.00,100.44
3492.00,100.43
3491.00,100.44
3490.00,100.45
3489.00,100.45
3488.00,100.44
3487.00,100.41
3486.00,100.38
3485.00,100.35
3484.00,100.31
3483.00,100.28
3482.00,100.25
3481.00,100.24
3480.00,100.25
3479.00,100.27
3478.00,100.29
3477.00,100.30
3476.00,100.30
3475.00,100.30
3474.00,100.29
3473.00,100.30
3472.00,100.31
3471.00,100.31
3470.00,100.31
3469.00,100.30
3468.00,100.29
3467.00,100.27
3466.00,100.24
3465.00,100.21
3464.00,100.19
3463.00,100.18
3462.00,100.18
3461.00,100.17
3460.00,100.16
3459.00,100.15
3458.00,100.14
3457.00,100.12
3456.00,100.12
3455.00,100.12
3454.00,100.13
3453.00,100.13
3452.00,100.13
3451.00,100.12
3450.00,100.12
3449.00,100.12
3448.00,100.11
3447.00,100.09
3446.00,100.06
3445.00,100.04
3444.00,100.04
3443.00,100.07
3442.00,100.08
3441.00,100.07
3440.00,100.04
3439.00,99.99
3438.00,99.95
3437.00,99.94
3436.00,99.93
3435.00,99.93
3434.00,99.93
3433.00,99.93
3432.00,99.94
3431.00,99.96
3430.00,99.97
3429.00,99.98
3428.00,99.99
3427.00,99.99
3426.00,99.99
3425.00,99.98
3424.00,99.95
3423.00,99.93
3422.00,99.90
3421.00,99.88
3420.00,99.86
3419.00,99.83
3418.00,99.81
3417.00,99.80
3416.00,99.80
3415.00,99.79
3414.00,99.80
3413.00,99.80
3412.00,99.79
3411.00,99.77
3410.00,99.74
3409.00,99.72
3408.00,99.70
3407.00,99.68
3406.00,99.66
3405.00,99.65
3404.00,99.64
3403.00,99.64
3402.00,99.63
3401.00,99.61
3400.00,99.59
3399.00,99.57
3398.00,99.56
3397.00,99.54
3396.00,99.52
3395.00,99.50
3394.00,99.48
3393.00,99.45
3392.00,99.42
3391.00,99.40
3390.00,99.39
3389.00,99.38
3388.00,99.36
3387.00,99.34
3386.00,99.31
3385.00,99.27
3384.00,99.23
3383.00,99.18
3382.00,99.15
3381.00,99.11
3380.00,99.09
3379.00,99.06
3378.00,99.03
3377.00,98.98
3376.00,98.91
3375.00,98.83
3374.00,98.77
3373.00,98.72
3372.00,98.68
3371.00,98.64
3370.00,98.60
3369.00,98.54
3368.00,98.48
3367.00,98.42
3366.00,98.35
3365.00,98.28
3364.00,98.21
3363.00,98.14
3362.00,98.07
3361.00,98.00
3360.00,97.92
3359.00,97.85
3358.00,97.77
3357.00,97.69
3356.00,97.63
3355.00,97.56
3354.00,97.48
3353.00,97.39
3352.00,97.29
3351.00,97.20
3350.00,97.10
3349.00,96.99
3348.00,96.86
3347.00,96.72
3346.00,96.58
3345.00,96.46
3344.00,96.34
3343.00,96.23
3342.00,96.11
3341.00,95.98
3340.00,95.84
3339.00,95.72
3338.00,95.60
3337.00,95.48
3336.00,95.35
3335.00,95.21
3334.00,95.06
3333.00,94.90
3332.00,94.74
3331.00,94.57
3330.00,94.40
3329.00,94.23
3328.00,94.07
3327.00,93.91
3326.00,93.75
3325.00,93.59
3324.00,93.43
3323.00,93.27
3322.00,93.10
3321.00,92.91
3320.00,92.71
3319.00,92.50
3318.00,92.31
3317.00,92.13
3316.00,91.95
3315.00,91.77
3314.00,91.57
3313.00,91.37
3312.00,91.18
3311.00,91.00
3310.00,90.83
3309.00,90.66
3308.00,90.49
3307.00,90.31
3306.00,90.13
3305.00,89.96
3304.00,89.80
3303.00,89.64
3302.00,89.51
3301.00,89.40
3300.00,89.31
3299.00,89.25
3298.00,89.20
3297.00,89.17
3296.00,89.15
3295.00,89.14
3294.00,89.14
3293.00,89.16
3292.00,89.19
3291.00,89.25
3290.00,89.32
3289.00,89.39
3288.00,89.47
3287.00,89.55
3286.00,89.63
3285.00,89.70
3284.00,89.76
3283.00,89.81
3282.00,89.87
3281.00,89.94
3280.00,90.04
3279.00,90.15
3278.00,90.26
3277.00,90.37
3276.00,90.47
3275.00,90.58
3274.00,90.70
3273.00,90.81
3272.00,90.92
3271.00,91.03
3270.00,91.13
3269.00,91.24
3268.00,91.35
3267.00,91.46
3266.00,91.58
3265.00,91.71
3264.00,91.83
3263.00,91.95
3262.00,92.07
3261.00,92.19
3260.00,92.34
3259.00,92.51
3258.00,92.68
3257.00,92.84
3256.00,92.97
3255.00,93.10
3254.00,93.23
3253.00,93.37
3252.00,93.51
3251.00,93.65
3250.00,93.78
3249.00,93.91
3248.00,94.05
3247.00,94.18
3246.00,94.33
3245.00,94.46
3244.00,94.60
3243.00,94.73
3242.00,94.84
3241.00,94.95
3240.00,95.07
3239.00,95.19
3238.00,95.32
3237.00,95.45
3236.00,95.59
3235.00,95.73
3234.00,95.85
3233.00,95.97
3232.00,96.06
3231.00,96.14
3230.00,96.22
3229.00,96.30
3228.00,96.36
3227.00,96.42
3226.00,96.47
3225.00,96.54
3224.00,96.61
3223.00,96.67
3222.00,96.73
3221.00,96.78
3220.00,96.84
3219.00,96.90
3218.00,96.95
3217.00,97.00
3216.00,97.05
3215.00,97.11
3214.00,97.15
3213.00,97.20
3212.00,97.23
3211.00,97.26
3210.00,97.28
3209.00,97.31
3208.00,97.35
3207.00,97.39
3206.00,97.42
3205.00,97.45
3204.00,97.48
3203.00,97.52
3202.00,97.57
3201.00,97.60
3200.00,97.63
3199.00,97.65
3198.00,97.67
3197.00,97.72
3196.00,97.79
3195.00,97.86
3194.00,97.92
3193.00,97.96
3192.00,97.98
3191.00,97.99
3190.00,98.03
3189.00,98.08
3188.00,98.14
3187.00,98.21
3186.00,98.27
3185.00,98.32
3184.00,98.36
3183.00,98.41
3182.00,98.45
3181.00,98.48
3180.00,98.52
3179.00,98.56
3178.00,98.60
3177.00,98.65
3176.00,98.70
3175.00,98.76
3174.00,98.81
3173.00,98.86
3172.00,98.89
3171.00,98.93
3170.00,98.97
3169.00,99.00
3168.00,99.03
3167.00,99.06
3166.00,99.10
3165.00,99.14
3164.00,99.18
3163.00,99.21
3162.00,99.24
3161.00,99.27
3160.00,99.30
3159.00,99.34
3158.00,99.37
3157.00,99.42
3156.00,99.47
3155.00,99.50
3154.00,99.52
3153.00,99.53
3152.00,99.53
3151.00,99.54
3150.00,99.56
3149.00,99.58
3148.00,99.61
3147.00,99.62
3146.00,99.63
3145.00,99.64
3144.00,99.65
3143.00,99.67
3142.00,99.68
3141.00,99.70
3140.00,99.72
3139.00,99.72
3138.00,99.72
3137.00,99.70
3136.00,99.69
3135.00,99.68
3134.00,99.67
3133.00,99.65
3132.00,99.63
3131.00,99.61
3130.00,99.59
3129.00,99.58
3128.00,99.58
3127.00,99.56
3126.00,99.54
3125.00,99.50
3124.00,99.46
3123.00,99.43
3122.00,99.41
3121.00,99.40
3120.00,99.38
3119.00,99.36
3118.00,99.32
3117.00,99.28
3116.00,99.23
3115.00,99.19
3114.00,99.15
3113.00,99.12
3112.00,99.09
3111.00,99.06
3110.00,99.02
3109.00,98.96
3108.00,98.89
3107.00,98.83
3106.00,98.76
3105.00,98.68
3104.00,98.60
3103.00,98.54
3102.00,98.49
3101.00,98.46
3100.00,98.43
3099.00,98.39
3098.00,98.34
3097.00,98.29
3096.00,98.24
3095.00,98.18
3094.00,98.12
3093.00,98.07
3092.00,98.02
3091.00,97.98
3090.00,97.95
3089.00,97.92
3088.00,97.89
3087.00,97.85
3086.00,97.82
3085.00,97.79
3084.00,97.78
3083.00,97.79
3082.00,97.80
3081.00,97.81
3080.00,97.81
3079.00,97.81
3078.00,97.80
3077.00,97.79
3076.00,97.79
3075.00,97.79
3074.00,97.82
3073.00,97.85
3072.00,97.89
3071.00,97.92
3070.00,97.95
3069.00,97.99
3068.00,98.02
3067.00,98.06
3066.00,98.09
3065.00,98.12
3064.00,98.17
3063.00,98.23
3062.00,98.30
3061.00,98.36
3060.00,98.42
3059.00,98.46
3058.00,98.49
3057.00,98.54
3056.00,98.60
3055.00,98.69
3054.00,98.79
3053.00,98.89
3052.00,98.98
3051.00,99.04
3050.00,99.08
3049.00,99.11
3048.00,99.15
3047.00,99.21
3046.00,99.27
3045.00,99.35
3044.00,99.42
3043.00,99.48
3042.00,99.53
3041.00,99.57
3040.00,99.60
3039.00,99.61
3038.00,99.64
3037.00,99.68
3036.00,99.73
3035.00,99.79
3034.00,99.84
3033.00,99.87
3032.00,99.88
3031.00,99.89
3030.00,99.91
3029.00,99.94
3028.00,99.97
3027.00,99.99
3026.00,100.00
3025.00,100.02
3024.00,100.03
3023.00,100.04
3022.00,100.05
3021.00,100.07
3020.00,100.08
3019.00,100.10
3018.00,100.12
3017.00,100.13
3016.00,100.16
3015.00,100.19
3014.00,100.21
3013.00,100.22
3012.00,100.22
3011.00,100.19
3010.00,100.16
3009.00,100.15
3008.00,100.15
3007.00,100.16
3006.00,100.19
3005.00,100.21
3004.00,100.23
3003.00,100.22
3002.00,100.18
3001.00,100.13
3000.00,100.08
2999.00,100.04
2998.00,100.02
2997.00,100.01
2996.00,100.03
2995.00,100.06
2994.00,100.07
2993.00,100.04
2992.00,99.98
2991.00,99.88
2990.00,99.79
2989.00,99.70
2988.00,99.64
2987.00,99.60
2986.00,99.55
2985.00,99.49
2984.00,99.42
2983.00,99.33
2982.00,99.24
2981.00,99.12
2980.00,99.00
2979.00,98.89
2978.00,98.78
2977.00,98.67
2976.00,98.53
2975.00,98.36
2974.00,98.18
2973.00,97.99
2972.00,97.81
2971.00,97.64
2970.00,97.46
2969.00,97.29
2968.00,97.11
2967.00,96.91
2966.00,96.68
2965.00,96.44
2964.00,96.20
2963.00,95.97
2962.00,95.75
2961.00,95.52
2960.00,95.28
2959.00,95.04
2958.00,94.80
2957.00,94.56
2956.00,94.29
2955.00,93.98
2954.00,93.65
2953.00,93.28
2952.00,92.91
2951.00,92.56
2950.00,92.22
2949.00,91.90
2948.00,91.57
2947.00,91.24
2946.00,90.92
2945.00,90.62
2944.00,90.34
2943.00,90.08
2942.00,89.86
2941.00,89.66
2940.00,89.48
2939.00,89.31
2938.00,89.16
2937.00,89.02
2936.00,88.90
2935.00,88.80
2934.00,88.73
2933.00,88.71
2932.00,88.73
2931.00,88.78
2930.00,88.85
2929.00,88.94
2928.00,89.05
2927.00,89.18
2926.00,89.33
2925.00,89.50
2924.00,89.67
2923.00,89.87
2922.00,90.09
2921.00,90.31
2920.00,90.55
2919.00,90.79
2918.00,91.05
2917.00,91.32
2916.00,91.59
2915.00,91.85
2914.00,92.10
2913.00,92.32
2912.00,92.51
2911.00,92.68
2910.00,92.86
2909.00,93.03
2908.00,93.20
2907.00,93.36
2906.00,93.52
2905.00,93.68
2904.00,93.83
2903.00,93.96
2902.00,94.07
2901.00,94.17
2900.00,94.27
2899.00,94.38
2898.00,94.50
2897.00,94.61
2896.00,94.74
2895.00,94.86
2894.00,94.99
2893.00,95.13
2892.00,95.26
2891.00,95.37
2890.00,95.46
2889.00,95.52
2888.00,95.56
2887.00,95.57
2886.00,95.56
2885.00,95.53
2884.00,95.49
2883.00,95.43
2882.00,95.33
2881.00,95.20
2880.00,95.04
2879.00,94.86
2878.00,94.66
2877.00,94.46
2876.00,94.27
2875.00,94.06
2874.00,93.85
2873.00,93.63
2872.00,93.42
2871.00,93.21
2870.00,93.02
2869.00,92.84
2868.00,92.66
2867.00,92.51
2866.00,92.37
2865.00,92.26
2864.00,92.17
2863.00,92.09
2862.00,92.04
2861.00,92.03
2860.00,92.07
2859.00,92.16
2858.00,92.30
2857.00,92.49
2856.00,92.70
2855.00,92.92
2854.00,93.16
2853.00,93.42
2852.00,93.72
2851.00,94.07
2850.00,94.46
2849.00,94.88
2848.00,95.30
2847.00,95.71
2846.00,96.11
2845.00,96.48
2844.00,96.82
2843.00,97.15
2842.00,97.45
2841.00,97.72
2840.00,97.96
2839.00,98.15
2838.00,98.31
2837.00,98.46
2836.00,98.59
2835.00,98.70
2834.00,98.80
2833.00,98.88
2832.00,98.95
2831.00,99.03
2830.00,99.09
2829.00,99.15
2828.00,99.19
2827.00,99.22
2826.00,99.24
2825.00,99.27
2824.00,99.32
2823.00,99.37
2822.00,99.42
2821.00,99.46
2820.00,99.50
2819.00,99.52
2818.00,99.54
2817.00,99.56
2816.00,99.57
2815.00,99.60
2814.00,99.64
2813.00,99.68
2812.00,99.73
2811.00,99.77
2810.00,99.81
2809.00,99.84
2808.00,99.86
2807.00,99.88
2806.00,99.89
2805.00,99.91
2804.00,99.94
2803.00,99.97
2802.00,100.00
2801.00,100.03
2800.00,100.05
2799.00,100.06
2798.00,100.08
2797.00,100.10
2796.00,100.12
2795.00,100.15
2794.00,100.16
2793.00,100.16
2792.00,100.16
2791.00,100.15
2790.00,100.14
2789.00,100.15
2788.00,100.17
2787.00,100.19
2786.00,100.22
2785.00,100.24
2784.00,100.25
2783.00,100.27
2782.00,100.29
2781.00,100.30
2780.00,100.31
2779.00,100.32
2778.00,100.33
2777.00,100.34
2776.00,100.35
2775.00,100.36
2774.00,100.36
2773.00,100.36
2772.00,100.37
2771.00,100.38
2770.00,100.40
2769.00,100.43
2768.00,100.45
2767.00,100.47
2766.00,100.47
2765.00,100.45
2764.00,100.45
2763.00,100.45
2762.00,100.46
2761.00,100.48
2760.00,100.51
2759.00,100.52
2758.00,100.52
2757.00,100.51
2756.00,100.49
2755.00,100.48
2754.00,100.47
2753.00,100.47
2752.00,100.47
2751.00,100.49
2750.00,100.51
2749.00,100.53
2748.00,100.54
2747.00,100.54
2746.00,100.53
2745.00,100.53
2744.00,100.53
2743.00,100.53
2742.00,100.52
2741.00,100.52
2740.00,100.52
2739.00,100.53
2738.00,100.55
2737.00,100.56
2736.00,100.57
2735.00,100.57
2734.00,100.58
2733.00,100.59
2732.00,100.60
2731.00,100.59
2730.00,100.59
2729.00,100.59
2728.00,100.60
