Created as New Dataset,188 Courtaulds
cm-1,%T
3293.00,94.30
3292.00,94.30
3291.00,94.30
3290.00,94.30
3289.00,94.31
3288.00,94.32
3287.00,94.34
3286.00,94.35
3285.00,94.36
3284.00,94.35
3283.00,94.34
3282.00,94.34
3281.00,94.35
3280.00,94.37
3279.00,94.38
3278.00,94.38
3277.00,94.37
3276.00,94.36
3275.00,94.35
3274.00,94.37
3273.00,94.40
3272.00,94.43
3271.00,94.46
3270.00,94.47
3269.00,94.47
3268.00,94.47
3267.00,94.46
3266.00,94.46
3265.00,94.46
3264.00,94.47
3263.00,94.49
3262.00,94.51
3261.00,94.53
3260.00,94.55
3259.00,94.56
3258.00,94.57
3257.00,94.57
3256.00,94.57
3255.00,94.58
3254.00,94.59
3253.00,94.61
3252.00,94.63
3251.00,94.66
3250.00,94.69
3249.00,94.71
3248.00,94.71
3247.00,94.69
3246.00,94.68
3245.00,94.67
3244.00,94.67
3243.00,94.68
3242.00,94.70
3241.00,94.71
3240.00,94.73
3239.00,94.74
3238.00,94.75
3237.00,94.76
3236.00,94.76
3235.00,94.77
3234.00,94.79
3233.00,94.82
3232.00,94.85
3231.00,94.87
3230.00,94.88
3229.00,94.89
3228.00,94.89
3227.00,94.89
3226.00,94.89
3225.00,94.90
3224.00,94.90
3223.00,94.91
3222.00,94.93
3221.00,94.95
3220.00,94.98
3219.00,95.01
3218.00,95.03
3217.00,95.06
3216.00,95.08
3215.00,95.09
3214.00,95.10
3213.00,95.11
3212.00,95.13
3211.00,95.15
3210.00,95.18
3209.00,95.20
3208.00,95.22
3207.00,95.23
3206.00,95.24
3205.00,95.24
3204.00,95.25
3203.00,95.27
3202.00,95.30
3201.00,95.32
3200.00,95.33
3199.00,95.34
3198.00,95.35
3197.00,95.36
3196.00,95.39
3195.00,95.43
3194.00,95.45
3193.00,95.47
3192.00,95.46
3191.00,95.46
3190.00,95.45
3189.00,95.46
3188.00,95.48
3187.00,95.51
3186.00,95.55
3185.00,95.57
3184.00,95.58
3183.00,95.59
3182.00,95.60
3181.00,95.61
3180.00,95.63
3179.00,95.65
3178.00,95.68
3177.00,95.70
3176.00,95.71
3175.00,95.72
3174.00,95.74
3173.00,95.75
3172.00,95.77
3171.00,95.77
3170.00,95.77
3169.00,95.78
3168.00,95.79
3167.00,95.81
3166.00,95.83
3165.00,95.85
3164.00,95.87
3163.00,95.90
3162.00,95.93
3161.00,95.96
3160.00,95.99
3159.00,96.02
3158.00,96.05
3157.00,96.07
3156.00,96.10
3155.00,96.12
3154.00,96.14
3153.00,96.16
3152.00,96.18
3151.00,96.20
3150.00,96.22
3149.00,96.23
3148.00,96.25
3147.00,96.26
3146.00,96.29
3145.00,96.31
3144.00,96.34
3143.00,96.37
3142.00,96.40
3141.00,96.43
3140.00,96.44
3139.00,96.45
3138.00,96.44
3137.00,96.43
3136.00,96.43
3135.00,96.46
3134.00,96.50
3133.00,96.56
3132.00,96.61
3131.00,96.66
3130.00,96.70
3129.00,96.73
3128.00,96.76
3127.00,96.79
3126.00,96.81
3125.00,96.82
3124.00,96.83
3123.00,96.85
3122.00,96.87
3121.00,96.89
3120.00,96.92
3119.00,96.94
3118.00,96.96
3117.00,96.98
3116.00,97.00
3115.00,97.02
3114.00,97.04
3113.00,97.06
3112.00,97.08
3111.00,97.10
3110.00,97.13
3109.00,97.16
3108.00,97.19
3107.00,97.22
3106.00,97.24
3105.00,97.26
3104.00,97.28
3103.00,97.31
3102.00,97.34
3101.00,97.37
3100.00,97.38
3099.00,97.39
3098.00,97.41
3097.00,97.43
3096.00,97.46
3095.00,97.48
3094.00,97.51
3093.00,97.55
