Created as New Dataset,Bio-Couture Denim 1/7 nm (Black/Blue)
cm-1,%T
3417.00,92.84
3416.00,92.79
3415.00,92.73
3414.00,92.67
3413.00,92.62
3412.00,92.60
3411.00,92.58
3410.00,92.56
3409.00,92.53
3408.00,92.50
3407.00,92.47
3406.00,92.44
3405.00,92.42
3404.00,92.40
3403.00,92.38
3402.00,92.35
3401.00,92.32
3400.00,92.28
3399.00,92.25
3398.00,92.22
3397.00,92.20
3396.00,92.18
3395.00,92.17
3394.00,92.15
3393.00,92.10
3392.00,92.04
3391.00,91.97
3390.00,91.93
3389.00,91.90
3388.00,91.89
3387.00,91.87
3386.00,91.84
3385.00,91.80
3384.00,91.76
3383.00,91.73
3382.00,91.71
3381.00,91.68
3380.00,91.65
3379.00,91.62
3378.00,91.58
3377.00,91.55
3376.00,91.52
3375.00,91.50
3374.00,91.48
3373.00,91.44
3372.00,91.39
3371.00,91.35
3370.00,91.30
3369.00,91.25
3368.00,91.20
3367.00,91.14
3366.00,91.09
3365.00,91.05
3364.00,91.03
3363.00,91.01
3362.00,90.97
3361.00,90.93
3360.00,90.88
3359.00,90.83
3358.00,90.79
3357.00,90.74
3356.00,90.70
3355.00,90.65
3354.00,90.60
3353.00,90.53
3352.00,90.47
3351.00,90.41
3350.00,90.35
3349.00,90.31
3348.00,90.28
3347.00,90.23
3346.00,90.18
3345.00,90.10
3344.00,90.03
3343.00,89.95
3342.00,89.88
3341.00,89.81
3340.00,89.73
3339.00,89.64
3338.00,89.57
3337.00,89.50
3336.00,89.42
3335.00,89.35
3334.00,89.28
3333.00,89.21
3332.00,89.16
3331.00,89.10
3330.00,89.02
3329.00,88.93
3328.00,88.83
3327.00,88.75
3326.00,88.69
3325.00,88.63
3324.00,88.57
3323.00,88.49
3322.00,88.40
3321.00,88.29
3320.00,88.18
3319.00,88.08
3318.00,87.98
3317.00,87.89
3316.00,87.80
3315.00,87.71
3314.00,87.61
3313.00,87.51
3312.00,87.42
3311.00,87.32
3310.00,87.22
3309.00,87.12
3308.00,87.02
3307.00,86.93
3306.00,86.83
3305.00,86.71
3304.00,86.59
3303.00,86.46
3302.00,86.34
3301.00,86.23
3300.00,86.12
3299.00,86.00
3298.00,85.89
3297.00,85.77
3296.00,85.68
3295.00,85.59
3294.00,85.50
3293.00,85.39
3292.00,85.27
3291.00,85.15
3290.00,85.05
3289.00,84.97
3288.00,84.91
3287.00,84.87
3286.00,84.83
3285.00,84.79
3284.00,84.74
3283.00,84.68
3282.00,84.64
3281.00,84.61
3280.00,84.60
3279.00,84.60
3278.00,84.61
3277.00,84.62
3276.00,84.64
3275.00,84.67
3274.00,84.69
3273.00,84.71
3272.00,84.75
3271.00,84.80
3270.00,84.87
3269.00,84.95
3268.00,85.04
3267.00,85.13
3266.00,85.23
3265.00,85.32
3264.00,85.41
3263.00,85.50
3262.00,85.60
3261.00,85.69
3260.00,85.77
3259.00,85.86
3258.00,85.95
3257.00,86.05
3256.00,86.16
3255.00,86.27
3254.00,86.38
3253.00,86.48
3252.00,86.58
3251.00,86.67
3250.00,86.76
3249.00,86.85
3248.00,86.93
3247.00,87.01
3246.00,87.09
3245.00,87.18
3244.00,87.27
3243.00,87.36
3242.00,87.45
3241.00,87.52
3240.00,87.58
3239.00,87.65
3238.00,87.74
3237.00,87.82
3236.00,87.90
3235.00,87.96
3234.00,88.02
3233.00,88.07
3232.00,88.12
3231.00,88.18
3230.00,88.26
3229.00,88.34
3228.00,88.41
3227.00,88.47
3226.00,88.53
3225.00,88.59
3224.00,88.65
3223.00,88.71
3222.00,88.76
3221.00,88.81
3220.00,88.84
3219.00,88.87
3218.00,88.89
3217.00,88.93
3216.00,88.98
3215.00,89.04
3214.00,89.12
3213.00,89.21
3212.00,89.27
3211.00,89.32
3210.00,89.36
3209.00,89.41
3208.00,89.48
3207.00,89.55
3206.00,89.62
3205.00,89.67
3204.00,89.72
3203.00,89.77
3202.00,89.82
3201.00,89.86
3200.00,89.92
3199.00,89.98
3198.00,90.06
3197.00,90.13
3196.00,90.18
3195.00,90.21
3194.00,90.23
3193.00,90.26
3192.00,90.31
3191.00,90.37
3190.00,90.43
3189.00,90.50
3188.00,90.55
3187.00,90.61
3186.00,90.65
3185.00,90.70
3184.00,90.76
3183.00,90.81
3182.00,90.87
3181.00,90.92
3180.00,90.97
3179.00,91.02
3178.00,91.07
3177.00,91.13
3176.00,91.19
3175.00,91.24
3174.00,91.30
3173.00,91.35
3172.00,91.40
3171.00,91.44
3170.00,91.48
3169.00,91.52
3168.00,91.57
3167.00,91.62
3166.00,91.67
3165.00,91.73
3164.00,91.78
3163.00,91.83
3162.00,91.88
3161.00,91.92
3160.00,91.97
3159.00,92.03
3158.00,92.09
3157.00,92.15
3156.00,92.21
3155.00,92.25
3154.00,92.29
3153.00,92.34
3152.00,92.37
3151.00,92.40
3150.00,92.42
3149.00,92.45
3148.00,92.48
3147.00,92.52
3146.00,92.55
3145.00,92.58
3144.00,92.62
3143.00,92.65
3142.00,92.69
3141.00,92.71
3140.00,92.74
3139.00,92.77
3138.00,92.80
3137.00,92.84
3136.00,92.86
3135.00,92.88
3134.00,92.88
3133.00,92.89
3132.00,92.91
3131.00,92.94
3130.00,92.98
3129.00,93.02
3128.00,93.05
3127.00,93.07
3126.00,93.09
3125.00,93.11
3124.00,93.13
3123.00,93.13
3122.00,93.12
3121.00,93.10
3120.00,93.10
3119.00,93.11
3118.00,93.13
3117.00,93.16
3116.00,93.18
3115.00,93.19
3114.00,93.18
3113.00,93.17
3112.00,93.16
3111.00,93.14
3110.00,93.14
3109.00,93.14
3108.00,93.15
3107.00,93.15
3106.00,93.14
3105.00,93.13
3104.00,93.13
3103.00,93.14
3102.00,93.14
3101.00,93.13
3100.00,93.11
3099.00,93.09
3098.00,93.07
3097.00,93.05
3096.00,93.03
3095.00,93.02
3094.00,93.02
3093.00,93.03
3092.00,93.04
3091.00,93.04
3090.00,93.03
3089.00,93.00
3088.00,92.97
3087.00,92.96
