Created as New Dataset,72 Waxman Fibers
cm-1,%T
3513.00,99.71
3512.00,99.71
3511.00,99.71
3510.00,99.71
3509.00,99.71
3508.00,99.69
3507.00,99.67
3506.00,99.66
3505.00,99.67
3504.00,99.68
3503.00,99.68
3502.00,99.67
3501.00,99.66
3500.00,99.65
3499.00,99.66
3498.00,99.68
3497.00,99.70
3496.00,99.72
3495.00,99.71
3494.00,99.69
3493.00,99.68
3492.00,99.69
3491.00,99.70
3490.00,99.71
3489.00,99.72
3488.00,99.71
3487.00,99.70
3486.00,99.67
3485.00,99.64
3484.00,99.62
3483.00,99.61
3482.00,99.63
3481.00,99.67
3480.00,99.71
3479.00,99.72
3478.00,99.72
3477.00,99.71
3476.00,99.70
3475.00,99.69
3474.00,99.69
3473.00,99.68
3472.00,99.69
3471.00,99.69
3470.00,99.70
3469.00,99.71
3468.00,99.71
3467.00,99.72
3466.00,99.72
3465.00,99.72
3464.00,99.71
3463.00,99.70
3462.00,99.68
3461.00,99.67
3460.00,99.67
3459.00,99.66
3458.00,99.66
3457.00,99.67
3456.00,99.67
3455.00,99.68
3454.00,99.69
3453.00,99.70
3452.00,99.69
3451.00,99.68
3450.00,99.68
3449.00,99.68
3448.00,99.68
3447.00,99.67
3446.00,99.66
3445.00,99.65
3444.00,99.67
3443.00,99.70
3442.00,99.72
3441.00,99.72
3440.00,99.71
3439.00,99.71
3438.00,99.72
3437.00,99.73
3436.00,99.73
3435.00,99.72
3434.00,99.71
3433.00,99.70
3432.00,99.69
3431.00,99.68
3430.00,99.67
3429.00,99.68
3428.00,99.71
3427.00,99.74
3426.00,99.75
3425.00,99.72
3424.00,99.67
3423.00,99.62
3422.00,99.59
3421.00,99.59
3420.00,99.61
3419.00,99.63
3418.00,99.65
3417.00,99.67
3416.00,99.68
3415.00,99.68
3414.00,99.68
3413.00,99.67
3412.00,99.67
3411.00,99.67
3410.00,99.67
3409.00,99.67
3408.00,99.67
3407.00,99.66
3406.00,99.66
3405.00,99.67
3404.00,99.68
3403.00,99.70
3402.00,99.72
3401.00,99.72
3400.00,99.70
3399.00,99.69
3398.00,99.69
3397.00,99.70
3396.00,99.71
3395.00,99.72
3394.00,99.73
3393.00,99.76
3392.00,99.78
3391.00,99.78
3390.00,99.76
3389.00,99.73
3388.00,99.71
3387.00,99.68
3386.00,99.66
3385.00,99.65
3384.00,99.65
3383.00,99.66
3382.00,99.67
3381.00,99.68
3380.00,99.69
3379.00,99.68
3378.00,99.68
3377.00,99.68
3376.00,99.69
3375.00,99.69
3374.00,99.68
3373.00,99.67
3372.00,99.66
3371.00,99.66
3370.00,99.68
3369.00,99.70
3368.00,99.71
3367.00,99.72
3366.00,99.72
3365.00,99.71
3364.00,99.71
3363.00,99.70
3362.00,99.69
3361.00,99.68
3360.00,99.68
3359.00,99.69
3358.00,99.69
3357.00,99.68
3356.00,99.67
3355.00,99.66
3354.00,99.66
3353.00,99.67
3352.00,99.68
3351.00,99.68
3350.00,99.67
3349.00,99.66
3348.00,99.67
3347.00,99.68
3346.00,99.69
3345.00,99.70
3344.00,99.71
3343.00,99.72
3342.00,99.73
3341.00,99.73
3340.00,99.72
