Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
3394.00,95.88
3393.00,95.87
3392.00,95.87
3391.00,95.87
3390.00,95.86
3389.00,95.85
3388.00,95.85
3387.00,95.86
3386.00,95.87
3385.00,95.87
3384.00,95.87
3383.00,95.87
3382.00,95.88
3381.00,95.89
3380.00,95.89
3379.00,95.89
3378.00,95.89
3377.00,95.90
3376.00,95.91
3375.00,95.92
3374.00,95.92
3373.00,95.92
3372.00,95.91
3371.00,95.90
3370.00,95.89
3369.00,95.89
3368.00,95.89
3367.00,95.88
3366.00,95.88
3365.00,95.87
3364.00,95.86
3363.00,95.85
3362.00,95.85
3361.00,95.86
3360.00,95.87
3359.00,95.88
3358.00,95.89
3357.00,95.90
3356.00,95.89
3355.00,95.88
3354.00,95.86
3353.00,95.86
3352.00,95.87
3351.00,95.88
3350.00,95.88
3349.00,95.87
3348.00,95.84
3347.00,95.81
3346.00,95.79
3345.00,95.79
3344.00,95.79
3343.00,95.79
3342.00,95.79
3341.00,95.79
3340.00,95.78
3339.00,95.78
3338.00,95.77
3337.00,95.77
3336.00,95.77
3335.00,95.77
3334.00,95.77
3333.00,95.78
3332.00,95.80
3331.00,95.81
3330.00,95.81
3329.00,95.80
3328.00,95.78
3327.00,95.77
3326.00,95.77
3325.00,95.76
3324.00,95.75
3323.00,95.74
3322.00,95.73
3321.00,95.71
3320.00,95.70
3319.00,95.69
3318.00,95.70
3317.00,95.72
3316.00,95.75
3315.00,95.77
3314.00,95.78
3313.00,95.77
3312.00,95.76
3311.00,95.75
3310.00,95.74
3309.00,95.74
3308.00,95.74
3307.00,95.74
3306.00,95.74
3305.00,95.75
3304.00,95.75
3303.00,95.76
3302.00,95.76
3301.00,95.77
3300.00,95.77
3299.00,95.78
3298.00,95.77
3297.00,95.77
3296.00,95.78
3295.00,95.79
3294.00,95.79
3293.00,95.80
3292.00,95.79
3291.00,95.78
3290.00,95.78
3289.00,95.79
3288.00,95.79
3287.00,95.80
3286.00,95.80
3285.00,95.81
3284.00,95.83
3283.00,95.84
3282.00,95.83
3281.00,95.81
3280.00,95.79
3279.00,95.78
3278.00,95.78
3277.00,95.78
3276.00,95.78
3275.00,95.78
3274.00,95.79
3273.00,95.81
