Created as New Dataset,170. ICI (Pink)
cm-1,%T
3117.00,92.83
3116.00,92.85
3115.00,92.85
3114.00,92.82
3113.00,92.79
3112.00,92.74
3111.00,92.70
3110.00,92.68
3109.00,92.67
3108.00,92.67
3107.00,92.68
3106.00,92.69
3105.00,92.68
3104.00,92.67
3103.00,92.68
3102.00,92.69
3101.00,92.71
3100.00,92.72
3099.00,92.71
3098.00,92.71
3097.00,92.71
3096.00,92.71
3095.00,92.71
3094.00,92.70
3093.00,92.69
3092.00,92.68
3091.00,92.68
3090.00,92.69
3089.00,92.70
3088.00,92.70
3087.00,92.70
3086.00,92.68
3085.00,92.67
3084.00,92.65
3083.00,92.65
3082.00,92.65
3081.00,92.65
3080.00,92.63
3079.00,92.62
3078.00,92.62
3077.00,92.63
3076.00,92.64
3075.00,92.63
3074.00,92.62
3073.00,92.60
3072.00,92.59
3071.00,92.59
3070.00,92.59
3069.00,92.60
3068.00,92.61
3067.00,92.61
3066.00,92.61
3065.00,92.60
3064.00,92.58
3063.00,92.56
3062.00,92.54
3061.00,92.54
3060.00,92.55
3059.00,92.56
3058.00,92.56
3057.00,92.55
3056.00,92.55
3055.00,92.54
3054.00,92.54
3053.00,92.54
3052.00,92.55
3051.00,92.57
3050.00,92.60
3049.00,92.63
3048.00,92.66
3047.00,92.68
3046.00,92.71
3045.00,92.75
3044.00,92.78
3043.00,92.81
3042.00,92.83
3041.00,92.84
3040.00,92.85
3039.00,92.84
3038.00,92.84
3037.00,92.84
3036.00,92.85
3035.00,92.86
3034.00,92.86
3033.00,92.86
3032.00,92.85
3031.00,92.83
3030.00,92.82
3029.00,92.81
3028.00,92.80
3027.00,92.80
3026.00,92.78
3025.00,92.75
3024.00,92.70
3023.00,92.65
3022.00,92.62
3021.00,92.60
3020.00,92.58
3019.00,92.56
3018.00,92.52
3017.00,92.48
3016.00,92.44
3015.00,92.42
3014.00,92.42
3013.00,92.41
3012.00,92.41
3011.00,92.40
3010.00,92.40
3009.00,92.40
3008.00,92.39
3007.00,92.36
3006.00,92.33
3005.00,92.30
3004.00,92.28
3003.00,92.26
3002.00,92.25
3001.00,92.23
3000.00,92.21
2999.00,92.20
2998.00,92.19
2997.00,92.18
2996.00,92.18
2995.00,92.16
2994.00,92.14
2993.00,92.12
2992.00,92.11
2991.00,92.11
2990.00,92.09
2989.00,92.06
2988.00,92.02
2987.00,91.98
2986.00,91.95
2985.00,91.91
2984.00,91.87
2983.00,91.81
