Created as New Dataset,58 Eastman Fibres
cm-1,%T
3366.00,98.84
3365.00,98.85
3364.00,98.87
3363.00,98.88
3362.00,98.88
3361.00,98.86
3360.00,98.85
3359.00,98.84
3358.00,98.85
3357.00,98.85
3356.00,98.85
3355.00,98.84
3354.00,98.83
3353.00,98.83
3352.00,98.84
3351.00,98.85
3350.00,98.85
3349.00,98.84
3348.00,98.82
3347.00,98.80
3346.00,98.78
3345.00,98.77
3344.00,98.76
3343.00,98.75
3342.00,98.75
3341.00,98.75
3340.00,98.76
3339.00,98.77
3338.00,98.78
3337.00,98.78
3336.00,98.78
3335.00,98.77
3334.00,98.77
3333.00,98.78
3332.00,98.79
3331.00,98.79
3330.00,98.78
3329.00,98.75
3328.00,98.72
3327.00,98.69
3326.00,98.68
3325.00,98.68
3324.00,98.69
3323.00,98.70
3322.00,98.70
3321.00,98.71
3320.00,98.71
3319.00,98.71
3318.00,98.71
3317.00,98.70
3316.00,98.70
3315.00,98.70
3314.00,98.71
3313.00,98.72
3312.00,98.72
3311.00,98.70
3310.00,98.69
3309.00,98.68
3308.00,98.67
3307.00,98.66
3306.00,98.66
3305.00,98.65
3304.00,98.64
3303.00,98.63
3302.00,98.62
3301.00,98.62
3300.00,98.62
3299.00,98.62
3298.00,98.62
3297.00,98.63
3296.00,98.65
3295.00,98.67
3294.00,98.67
3293.00,98.65
3292.00,98.62
3291.00,98.60
3290.00,98.60
3289.00,98.60
3288.00,98.61
3287.00,98.62
3286.00,98.62
3285.00,98.60
3284.00,98.57
3283.00,98.55
3282.00,98.55
3281.00,98.55
3280.00,98.55
3279.00,98.56
3278.00,98.57
3277.00,98.58
3276.00,98.60
3275.00,98.61
3274.00,98.64
3273.00,98.66
3272.00,98.67
3271.00,98.69
3270.00,98.70
3269.00,98.70
3268.00,98.70
3267.00,98.70
3266.00,98.70
3265.00,98.69
3264.00,98.68
3263.00,98.67
3262.00,98.66
3261.00,98.66
3260.00,98.67
3259.00,98.69
3258.00,98.70
3257.00,98.70
3256.00,98.70
3255.00,98.70
3254.00,98.71
3253.00,98.72
3252.00,98.74
3251.00,98.75
3250.00,98.77
3249.00,98.78
3248.00,98.79
3247.00,98.80
3246.00,98.80
3245.00,98.81
3244.00,98.83
3243.00,98.84
3242.00,98.85
3241.00,98.85
3240.00,98.85
3239.00,98.85
3238.00,98.85
3237.00,98.85
3236.00,98.84
3235.00,98.84
3234.00,98.85
3233.00,98.87
3232.00,98.87
3231.00,98.86
3230.00,98.86
3229.00,98.86
3228.00,98.86
3227.00,98.86
3226.00,98.88
3225.00,98.91
3224.00,98.94
3223.00,98.96
3222.00,98.99
3221.00,99.00
3220.00,98.99
3219.00,98.98
3218.00,98.96
3217.00,98.95
3216.00,98.94
3215.00,98.93
3214.00,98.93
3213.00,98.95
3212.00,98.98
3211.00,99.01
3210.00,99.02
3209.00,99.02
3208.00,99.02
3207.00,99.01
3206.00,99.00
3205.00,98.99
3204.00,98.98
3203.00,98.99
3202.00,98.99
3201.00,98.99
3200.00,98.99
3199.00,98.99
3198.00,99.00
3197.00,99.01
3196.00,99.02
3195.00,99.03
3194.00,99.04
3193.00,99.05
3192.00,99.05
3191.00,99.06
3190.00,99.06
3189.00,99.06
3188.00,99.06
3187.00,99.05
3186.00,99.05
3185.00,99.04
3184.00,99.05
3183.00,99.06
3182.00,99.07
3181.00,99.09
3180.00,99.11
3179.00,99.11
3178.00,99.10
3177.00,99.08
3176.00,99.07
3175.00,99.07
3174.00,99.08
3173.00,99.09
3172.00,99.11
3171.00,99.12
3170.00,99.11
3169.00,99.11
3168.00,99.10
3167.00,99.10
3166.00,99.10
3165.00,99.10
3164.00,99.11
3163.00,99.14
3162.00,99.17
3161.00,99.19
3160.00,99.19
3159.00,99.17
3158.00,99.16
3157.00,99.16
3156.00,99.17
3155.00,99.18
3154.00,99.19
3153.00,99.18
3152.00,99.18
3151.00,99.17
3150.00,99.17
3149.00,99.19
3148.00,99.20
3147.00,99.21
3146.00,99.21
3145.00,99.21
3144.00,99.22
3143.00,99.24
3142.00,99.25
3141.00,99.26
3140.00,99.26
3139.00,99.26
3138.00,99.25
3137.00,99.25
3136.00,99.26
3135.00,99.27
3134.00,99.27
3133.00,99.27
3132.00,99.26
3131.00,99.26
3130.00,99.26
3129.00,99.26
3128.00,99.25
3127.00,99.24
3126.00,99.23
3125.00,99.22
3124.00,99.23
3123.00,99.24
3122.00,99.24
3121.00,99.24
3120.00,99.24
3119.00,99.24
3118.00,99.25
3117.00,99.26
3116.00,99.28
3115.00,99.30
3114.00,99.30
3113.00,99.30
3112.00,99.28
3111.00,99.26
3110.00,99.25
3109.00,99.25
3108.00,99.25
3107.00,99.26
3106.00,99.25
3105.00,99.25
3104.00,99.24
3103.00,99.22
3102.00,99.20
3101.00,99.18
3100.00,99.16
3099.00,99.14
3098.00,99.14
