Created as New Dataset,71 Waxman
cm-1,%T
3122.00,99.28
3121.00,99.28
3120.00,99.28
3119.00,99.27
3118.00,99.25
3117.00,99.24
3116.00,99.23
3115.00,99.24
3114.00,99.24
3113.00,99.25
3112.00,99.25
3111.00,99.24
3110.00,99.24
3109.00,99.23
3108.00,99.24
3107.00,99.24
3106.00,99.23
3105.00,99.22
3104.00,99.22
3103.00,99.22
3102.00,99.22
3101.00,99.22
3100.00,99.22
3099.00,99.21
3098.00,99.20
3097.00,99.21
3096.00,99.23
3095.00,99.25
3094.00,99.26
3093.00,99.26
3092.00,99.25
3091.00,99.23
3090.00,99.21
3089.00,99.19
3088.00,99.18
3087.00,99.17
3086.00,99.16
3085.00,99.16
3084.00,99.17
3083.00,99.19
3082.00,99.20
3081.00,99.19
3080.00,99.19
3079.00,99.18
3078.00,99.19
3077.00,99.21
3076.00,99.20
3075.00,99.19
3074.00,99.17
3073.00,99.15
3072.00,99.16
3071.00,99.17
3070.00,99.17
3069.00,99.16
3068.00,99.15
3067.00,99.15
3066.00,99.17
3065.00,99.17
3064.00,99.16
3063.00,99.15
3062.00,99.13
3061.00,99.12
3060.00,99.12
3059.00,99.12
3058.00,99.13
3057.00,99.14
3056.00,99.15
3055.00,99.16
3054.00,99.15
3053.00,99.15
3052.00,99.15
3051.00,99.16
3050.00,99.16
3049.00,99.17
3048.00,99.17
3047.00,99.17
3046.00,99.16
3045.00,99.15
3044.00,99.15
3043.00,99.16
3042.00,99.16
3041.00,99.17
3040.00,99.17
3039.00,99.17
3038.00,99.17
3037.00,99.16
3036.00,99.14
3035.00,99.13
3034.00,99.12
3033.00,99.13
3032.00,99.14
3031.00,99.16
3030.00,99.16
3029.00,99.15
3028.00,99.13
3027.00,99.11
3026.00,99.10
3025.00,99.09
3024.00,99.08
3023.00,99.08
3022.00,99.09
3021.00,99.10
3020.00,99.11
3019.00,99.11
3018.00,99.11
3017.00,99.10
3016.00,99.09
3015.00,99.08
3014.00,99.08
3013.00,99.08
3012.00,99.07
3011.00,99.05
3010.00,99.04
3009.00,99.03
3008.00,99.02
3007.00,99.01
3006.00,99.00
3005.00,99.00
3004.00,99.00
3003.00,99.01
3002.00,99.02
3001.00,99.03
3000.00,99.03
2999.00,99.02
2998.00,99.00
2997.00,98.97
2996.00,98.96
2995.00,98.95
2994.00,98.95
2993.00,98.95
2992.00,98.95
2991.00,98.95
2990.00,98.94
2989.00,98.93
2988.00,98.91
2987.00,98.89
2986.00,98.88
2985.00,98.86
2984.00,98.86
2983.00,98.85
2982.00,98.85
2981.00,98.84
2980.00,98.82
2979.00,98.80
2978.00,98.77
2977.00,98.73
2976.00,98.67
2975.00,98.62
2974.00,98.58
2973.00,98.55
2972.00,98.53
2971.00,98.51
2970.00,98.48
2969.00,98.45
2968.00,98.43
2967.00,98.42
2966.00,98.40
2965.00,98.38
2964.00,98.34
2963.00,98.30
2962.00,98.26
2961.00,98.23
2960.00,98.22
2959.00,98.21
2958.00,98.21
2957.00,98.20
2956.00,98.19
2955.00,98.18
2954.00,98.17
2953.00,98.17
2952.00,98.18
2951.00,98.18
2950.00,98.16
2949.00,98.14
2948.00,98.12
2947.00,98.10
2946.00,98.07
2945.00,98.03
2944.00,97.99
2943.00,97.95
2942.00,97.92
2941.00,97.89
2940.00,97.87
2939.00,97.85
2938.00,97.82
2937.00,97.79
2936.00,97.76
2935.00,97.73
2934.00,97.70
2933.00,97.67
2932.00,97.64
2931.00,97.62
2930.00,97.60
2929.00,97.58
2928.00,97.56
2927.00,97.55
2926.00,97.53
2925.00,97.52
2924.00,97.52
2923.00,97.52
2922.00,97.51
2921.00,97.50
2920.00,97.50
2919.00,97.51
2918.00,97.53
2917.00,97.56
2916.00,97.60
2915.00,97.64
2914.00,97.69
2913.00,97.74
2912.00,97.79
2911.00,97.84
2910.00,97.90
2909.00,97.96
2908.00,98.02
2907.00,98.08
2906.00,98.14
2905.00,98.21
2904.00,98.27
2903.00,98.33
2902.00,98.38
2901.00,98.43
2900.00,98.47
2899.00,98.51
2898.00,98.54
2897.00,98.57
2896.00,98.60
2895.00,98.62
2894.00,98.63
2893.00,98.63
2892.00,98.63
2891.00,98.63
2890.00,98.64
2889.00,98.65
2888.00,98.67
2887.00,98.68
2886.00,98.70
2885.00,98.71
2884.00,98.71
2883.00,98.71
2882.00,98.70
2881.00,98.70
2880.00,98.71
2879.00,98.71
2878.00,98.73
2877.00,98.74
2876.00,98.74
2875.00,98.74
2874.00,98.72
2873.00,98.71
2872.00,98.70
2871.00,98.70
2870.00,98.70
2869.00,98.70
2868.00,98.70
2867.00,98.70
2866.00,98.70
2865.00,98.71
2864.00,98.72
2863.00,98.71
2862.00,98.70
2861.00,98.68
2860.00,98.67
2859.00,98.66
2858.00,98.64
2857.00,98.63
2856.00,98.62
2855.00,98.62
2854.00,98.61
2853.00,98.61
2852.00,98.60
2851.00,98.60
2850.00,98.60
2849.00,98.61
2848.00,98.63
2847.00,98.66
2846.00,98.70
2845.00,98.72
2844.00,98.74
2843.00,98.74
2842.00,98.74
2841.00,98.75
2840.00,98.76
2839.00,98.77
2838.00,98.78
2837.00,98.80
2836.00,98.83
2835.00,98.85
2834.00,98.87
2833.00,98.89
2832.00,98.91
2831.00,98.94
2830.00,98.97
2829.00,98.97
2828.00,98.96
2827.00,98.94
2826.00,98.92
2825.00,98.91
2824.00,98.90
