Created as New Dataset,14.1 Red Wool Suffolk sheep
cm-1,%T
2969.00,91.46
2968.00,91.33
2967.00,91.21
2966.00,91.09
2965.00,90.97
2964.00,90.86
2963.00,90.76
2962.00,90.66
2961.00,90.58
2960.00,90.50
2959.00,90.43
2958.00,90.36
2957.00,90.30
2956.00,90.27
2955.00,90.27
2954.00,90.29
2953.00,90.34
2952.00,90.40
2951.00,90.45
2950.00,90.48
2949.00,90.50
2948.00,90.51
2947.00,90.51
2946.00,90.49
2945.00,90.44
2944.00,90.38
2943.00,90.28
2942.00,90.16
2941.00,90.01
2940.00,89.83
2939.00,89.63
2938.00,89.43
2937.00,89.22
2936.00,89.00
2935.00,88.76
2934.00,88.51
2933.00,88.27
2932.00,88.03
2931.00,87.80
2930.00,87.56
2929.00,87.33
2928.00,87.09
2927.00,86.87
2926.00,86.66
2925.00,86.46
2924.00,86.26
2923.00,86.07
2922.00,85.89
2921.00,85.71
2920.00,85.55
2919.00,85.44
2918.00,85.44
2917.00,85.58
2916.00,85.87
2915.00,86.30
2914.00,86.82
2913.00,87.38
2912.00,87.93
2911.00,88.43
2910.00,88.86
2909.00,89.23
2908.00,89.55
2907.00,89.83
2906.00,90.06
2905.00,90.26
2904.00,90.45
2903.00,90.62
2902.00,90.79
2901.00,90.94
2900.00,91.08
2899.00,91.21
2898.00,91.35
2897.00,91.49
2896.00,91.63
2895.00,91.75
2894.00,91.87
2893.00,91.98
2892.00,92.09
2891.00,92.20
2890.00,92.31
2889.00,92.41
2888.00,92.50
2887.00,92.58
2886.00,92.63
2885.00,92.67
2884.00,92.72
2883.00,92.78
2882.00,92.84
2881.00,92.88
2880.00,92.90
2879.00,92.89
2878.00,92.88
2877.00,92.86
2876.00,92.84
2875.00,92.81
2874.00,92.78
2873.00,92.76
2872.00,92.74
2871.00,92.75
2870.00,92.77
2869.00,92.79
2868.00,92.82
2867.00,92.84
2866.00,92.85
2865.00,92.84
2864.00,92.82
2863.00,92.76
2862.00,92.68
2861.00,92.55
2860.00,92.39
2859.00,92.18
2858.00,91.94
2857.00,91.66
2856.00,91.36
2855.00,91.04
2854.00,90.71
2853.00,90.36
2852.00,90.05
2851.00,89.83
2850.00,89.77
2849.00,89.95
2848.00,90.35
2847.00,90.92
2846.00,91.58
2845.00,92.24
2844.00,92.82
2843.00,93.32
2842.00,93.72
2841.00,94.06
2840.00,94.33
2839.00,94.57
2838.00,94.78
2837.00,94.97
2836.00,95.14
2835.00,95.28
2834.00,95.40
