Created as New Dataset,Spun Polyester (Black)
cm-1,%T
3530.00,98.39
3529.00,98.40
3528.00,98.43
3527.00,98.47
3526.00,98.50
3525.00,98.51
3524.00,98.52
3523.00,98.52
3522.00,98.53
3521.00,98.54
3520.00,98.54
3519.00,98.55
3518.00,98.55
3517.00,98.56
3516.00,98.57
3515.00,98.58
3514.00,98.57
3513.00,98.55
3512.00,98.52
3511.00,98.50
3510.00,98.50
3509.00,98.52
3508.00,98.55
3507.00,98.59
3506.00,98.62
3505.00,98.63
3504.00,98.62
3503.00,98.60
3502.00,98.59
3501.00,98.58
3500.00,98.58
3499.00,98.58
3498.00,98.57
3497.00,98.56
3496.00,98.55
3495.00,98.56
3494.00,98.57
3493.00,98.60
3492.00,98.61
3491.00,98.62
3490.00,98.61
3489.00,98.60
3488.00,98.59
3487.00,98.58
3486.00,98.57
3485.00,98.55
3484.00,98.53
3483.00,98.53
3482.00,98.54
3481.00,98.55
3480.00,98.55
3479.00,98.54
3478.00,98.55
3477.00,98.56
3476.00,98.58
3475.00,98.59
3474.00,98.59
3473.00,98.57
3472.00,98.53
3471.00,98.50
3470.00,98.48
3469.00,98.47
3468.00,98.46
3467.00,98.46
3466.00,98.44
3465.00,98.43
3464.00,98.41
3463.00,98.39
3462.00,98.39
3461.00,98.39
3460.00,98.40
3459.00,98.40
3458.00,98.39
3457.00,98.37
3456.00,98.36
3455.00,98.36
3454.00,98.37
3453.00,98.38
3452.00,98.38
3451.00,98.37
3450.00,98.36
3449.00,98.34
3448.00,98.31
3447.00,98.26
3446.00,98.21
3445.00,98.15
3444.00,98.11
3443.00,98.09
3442.00,98.08
3441.00,98.06
3440.00,98.03
3439.00,97.99
3438.00,97.96
3437.00,97.93
3436.00,97.92
3435.00,97.90
3434.00,97.89
3433.00,97.87
3432.00,97.86
3431.00,97.87
3430.00,97.89
3429.00,97.91
3428.00,97.93
3427.00,97.94
3426.00,97.95
3425.00,97.96
3424.00,97.98
3423.00,98.00
3422.00,98.03
3421.00,98.07
3420.00,98.10
3419.00,98.14
3418.00,98.17
3417.00,98.21
3416.00,98.24
3415.00,98.27
3414.00,98.30
3413.00,98.32
3412.00,98.32
3411.00,98.32
3410.00,98.33
3409.00,98.35
3408.00,98.38
3407.00,98.40
3406.00,98.41
3405.00,98.41
3404.00,98.42
3403.00,98.44
3402.00,98.46
3401.00,98.46
3400.00,98.47
3399.00,98.46
3398.00,98.45
3397.00,98.45
3396.00,98.45
3395.00,98.47
3394.00,98.50
3393.00,98.53
3392.00,98.54
3391.00,98.54
3390.00,98.53
3389.00,98.52
3388.00,98.51
3387.00,98.49
3386.00,98.48
3385.00,98.47
3384.00,98.48
3383.00,98.49
3382.00,98.50
3381.00,98.49
3380.00,98.49
3379.00,98.48
3378.00,98.48
3377.00,98.49
3376.00,98.50
3375.00,98.50
3374.00,98.50
3373.00,98.49
3372.00,98.48
3371.00,98.49
3370.00,98.49
3369.00,98.50
3368.00,98.50
3367.00,98.49
3366.00,98.49
3365.00,98.48
3364.00,98.48
3363.00,98.49
3362.00,98.51
3361.00,98.52
3360.00,98.52
3359.00,98.52
3358.00,98.52
3357.00,98.52
3356.00,98.52
3355.00,98.53
3354.00,98.53
3353.00,98.52
3352.00,98.50
3351.00,98.49
3350.00,98.48
3349.00,98.48
3348.00,98.50
3347.00,98.53
3346.00,98.54
3345.00,98.55
3344.00,98.54
3343.00,98.52
3342.00,98.51
3341.00,98.50
3340.00,98.51
3339.00,98.51
3338.00,98.52
3337.00,98.53
3336.00,98.54
3335.00,98.54
3334.00,98.54
3333.00,98.52
3332.00,98.50
3331.00,98.48
3330.00,98.47
3329.00,98.47
3328.00,98.47
3327.00,98.49
3326.00,98.49
3325.00,98.49
3324.00,98.48
3323.00,98.45
3322.00,98.44
3321.00,98.45
3320.00,98.47
3319.00,98.49
3318.00,98.50
3317.00,98.50
3316.00,98.50
3315.00,98.49
3314.00,98.48
3313.00,98.47
3312.00,98.46
3311.00,98.47
3310.00,98.48
3309.00,98.49
3308.00,98.51
3307.00,98.52
3306.00,98.53
3305.00,98.54
3304.00,98.55
3303.00,98.55
3302.00,98.53
3301.00,98.50
3300.00,98.48
3299.00,98.49
3298.00,98.50
3297.00,98.52
3296.00,98.52
3295.00,98.52
3294.00,98.50
3293.00,98.50
3292.00,98.50
3291.00,98.50
3290.00,98.50
3289.00,98.48
3288.00,98.46
3287.00,98.45
3286.00,98.46
3285.00,98.46
3284.00,98.48
3283.00,98.49
3282.00,98.52
3281.00,98.54
3280.00,98.55
3279.00,98.53
3278.00,98.51
3277.00,98.50
3276.00,98.50
3275.00,98.51
3274.00,98.52
3273.00,98.53
3272.00,98.53
3271.00,98.51
3270.00,98.50
3269.00,98.48
3268.00,98.48
3267.00,98.49
3266.00,98.50
3265.00,98.50
3264.00,98.49
3263.00,98.48
3262.00,98.49
3261.00,98.50
3260.00,98.51
3259.00,98.51
3258.00,98.51
3257.00,98.51
3256.00,98.51
3255.00,98.51
3254.00,98.51
3253.00,98.52
3252.00,98.53
3251.00,98.54
3250.00,98.56
3249.00,98.58
3248.00,98.58
3247.00,98.57
3246.00,98.53
3245.00,98.50
3244.00,98.48
3243.00,98.49
3242.00,98.50
3241.00,98.53
3240.00,98.54
3239.00,98.54
3238.00,98.53
3237.00,98.51
3236.00,98.48
3235.00,98.47
