Created as New Dataset,97. Du Pont (Bright Yellow)
cm-1,%T
3344.00,93.54
3343.00,93.47
3342.00,93.39
3341.00,93.30
3340.00,93.20
3339.00,93.09
3338.00,92.99
3337.00,92.89
3336.00,92.80
3335.00,92.70
3334.00,92.58
3333.00,92.44
3332.00,92.27
3331.00,92.10
3330.00,91.92
3329.00,91.75
3328.00,91.57
3327.00,91.39
3326.00,91.20
3325.00,91.00
3324.00,90.79
3323.00,90.57
3322.00,90.34
3321.00,90.10
3320.00,89.83
3319.00,89.55
3318.00,89.24
3317.00,88.91
3316.00,88.57
3315.00,88.21
3314.00,87.86
3313.00,87.50
3312.00,87.16
3311.00,86.85
3310.00,86.55
3309.00,86.27
3308.00,85.99
3307.00,85.72
3306.00,85.46
3305.00,85.22
3304.00,85.00
3303.00,84.80
3302.00,84.63
3301.00,84.50
3300.00,84.39
3299.00,84.31
3298.00,84.27
3297.00,84.25
3296.00,84.26
3295.00,84.30
3294.00,84.36
3293.00,84.44
3292.00,84.54
3291.00,84.66
3290.00,84.81
3289.00,84.98
3288.00,85.16
3287.00,85.35
3286.00,85.53
3285.00,85.71
3284.00,85.90
3283.00,86.08
3282.00,86.27
3281.00,86.44
3280.00,86.61
3279.00,86.80
3278.00,86.98
3277.00,87.16
3276.00,87.33
3275.00,87.47
3274.00,87.61
3273.00,87.74
3272.00,87.86
3271.00,87.96
3270.00,88.06
3269.00,88.15
3268.00,88.26
3267.00,88.37
3266.00,88.48
3265.00,88.59
3264.00,88.68
3263.00,88.78
3262.00,88.88
3261.00,88.99
3260.00,89.10
3259.00,89.22
3258.00,89.33
3257.00,89.43
3256.00,89.53
3255.00,89.62
3254.00,89.73
3253.00,89.83
3252.00,89.92
3251.00,90.00
3250.00,90.08
3249.00,90.17
3248.00,90.26
3247.00,90.35
3246.00,90.46
3245.00,90.56
3244.00,90.66
3243.00,90.75
3242.00,90.82
3241.00,90.88
3240.00,90.92
3239.00,90.96
3238.00,91.02
3237.00,91.10
3236.00,91.19
3235.00,91.28
3234.00,91.36
3233.00,91.42
3232.00,91.47
3231.00,91.52
3230.00,91.56
3229.00,91.61
3228.00,91.65
3227.00,91.70
3226.00,91.76
3225.00,91.81
3224.00,91.86
3223.00,91.90
3222.00,91.94
3221.00,91.97
3220.00,92.01
3219.00,92.04
3218.00,92.06
3217.00,92.08
3216.00,92.11
3215.00,92.13
3214.00,92.16
3213.00,92.19
3212.00,92.22
3211.00,92.26
3210.00,92.29
3209.00,92.32
3208.00,92.33
3207.00,92.34
3206.00,92.34
3205.00,92.35
3204.00,92.36
3203.00,92.38
3202.00,92.40
3201.00,92.43
3200.00,92.45
3199.00,92.47
3198.00,92.49
3197.00,92.51
3196.00,92.54
3195.00,92.58
3194.00,92.61
3193.00,92.62
3192.00,92.63
3191.00,92.65
3190.00,92.66
3189.00,92.68
3188.00,92.71
3187.00,92.74
3186.00,92.78
3185.00,92.80
3184.00,92.82
3183.00,92.83
3182.00,92.83
3181.00,92.85
3180.00,92.90
3179.00,92.97
3178.00,93.04
3177.00,93.09
3176.00,93.11
3175.00,93.13
3174.00,93.13
3173.00,93.15
3172.00,93.18
3171.00,93.21
3170.00,93.25
