Created as New Dataset,1 Canadian Celanese Co.
cm-1,%T
3121.00,99.51
3120.00,99.50
3119.00,99.49
3118.00,99.48
3117.00,99.47
3116.00,99.48
3115.00,99.49
3114.00,99.51
3113.00,99.51
3112.00,99.51
3111.00,99.49
3110.00,99.48
3109.00,99.47
3108.00,99.45
3107.00,99.44
3106.00,99.44
3105.00,99.45
3104.00,99.46
3103.00,99.48
3102.00,99.48
3101.00,99.49
3100.00,99.48
3099.00,99.48
3098.00,99.48
3097.00,99.48
3096.00,99.49
3095.00,99.49
3094.00,99.50
3093.00,99.50
3092.00,99.50
3091.00,99.50
3090.00,99.50
3089.00,99.51
3088.00,99.52
3087.00,99.52
3086.00,99.51
3085.00,99.49
3084.00,99.47
3083.00,99.46
3082.00,99.46
3081.00,99.47
3080.00,99.47
3079.00,99.48
3078.00,99.48
3077.00,99.48
3076.00,99.47
3075.00,99.45
3074.00,99.43
3073.00,99.42
3072.00,99.43
3071.00,99.45
3070.00,99.48
3069.00,99.49
3068.00,99.49
3067.00,99.48
3066.00,99.47
3065.00,99.46
3064.00,99.46
3063.00,99.46
3062.00,99.47
3061.00,99.48
3060.00,99.48
3059.00,99.47
3058.00,99.46
3057.00,99.46
3056.00,99.46
3055.00,99.47
3054.00,99.48
3053.00,99.48
3052.00,99.48
3051.00,99.46
3050.00,99.45
3049.00,99.44
3048.00,99.43
3047.00,99.44
3046.00,99.45
3045.00,99.46
3044.00,99.46
3043.00,99.45
3042.00,99.44
3041.00,99.42
3040.00,99.42
3039.00,99.43
3038.00,99.44
3037.00,99.44
3036.00,99.44
3035.00,99.43
3034.00,99.42
3033.00,99.42
3032.00,99.42
3031.00,99.42
3030.00,99.41
3029.00,99.40
3028.00,99.39
3027.00,99.38
3026.00,99.38
3025.00,99.38
3024.00,99.37
3023.00,99.37
3022.00,99.36
3021.00,99.35
3020.00,99.35
3019.00,99.35
3018.00,99.34
3017.00,99.33
3016.00,99.32
3015.00,99.32
3014.00,99.32
3013.00,99.32
3012.00,99.31
3011.00,99.32
3010.00,99.32
3009.00,99.34
3008.00,99.35
3007.00,99.36
3006.00,99.36
3005.00,99.35
3004.00,99.34
3003.00,99.32
3002.00,99.29
3001.00,99.27
3000.00,99.25
2999.00,99.23
2998.00,99.22
2997.00,99.21
2996.00,99.19
2995.00,99.18
2994.00,99.18
2993.00,99.18
2992.00,99.17
2991.00,99.16
2990.00,99.14
2989.00,99.12
2988.00,99.11
2987.00,99.11
2986.00,99.11
2985.00,99.12
2984.00,99.13
2983.00,99.14
2982.00,99.14
2981.00,99.13
2980.00,99.11
2979.00,99.08
2978.00,99.05
2977.00,99.02
2976.00,99.01
2975.00,98.99
2974.00,98.96
2973.00,98.93
2972.00,98.89
2971.00,98.84
2970.00,98.80
2969.00,98.76
2968.00,98.72
2967.00,98.68
2966.00,98.63
2965.00,98.59
2964.00,98.55
2963.00,98.51
2962.00,98.47
2961.00,98.45
2960.00,98.44
2959.00,98.44
2958.00,98.43
2957.00,98.41
2956.00,98.39
2955.00,98.37
2954.00,98.35
2953.00,98.34
2952.00,98.31
2951.00,98.29
2950.00,98.27
2949.00,98.26
2948.00,98.24
2947.00,98.22
2946.00,98.20
2945.00,98.18
2944.00,98.16
2943.00,98.14
2942.00,98.11
2941.00,98.09
2940.00,98.07
2939.00,98.06
2938.00,98.08
2937.00,98.11
2936.00,98.13
2935.00,98.15
2934.00,98.16
2933.00,98.17
2932.00,98.18
2931.00,98.20
2930.00,98.21
2929.00,98.22
2928.00,98.22
2927.00,98.23
2926.00,98.25
2925.00,98.27
2924.00,98.29
2923.00,98.29
2922.00,98.29
2921.00,98.31
2920.00,98.34
2919.00,98.37
2918.00,98.41
2917.00,98.45
2916.00,98.47
2915.00,98.49
2914.00,98.50
2913.00,98.51
2912.00,98.52
2911.00,98.53
2910.00,98.55
2909.00,98.55
2908.00,98.56
2907.00,98.56
2906.00,98.56
2905.00,98.57
2904.00,98.58
2903.00,98.59
2902.00,98.59
2901.00,98.59
2900.00,98.57
2899.00,98.56
2898.00,98.55
2897.00,98.54
2896.00,98.55
2895.00,98.56
2894.00,98.57
2893.00,98.57
2892.00,98.56
2891.00,98.55
2890.00,98.55
2889.00,98.55
2888.00,98.57
2887.00,98.59
2886.00,98.61
2885.00,98.61
2884.00,98.60
2883.00,98.58
2882.00,98.58
2881.00,98.59
2880.00,98.60
2879.00,98.63
2878.00,98.64
2877.00,98.66
2876.00,98.67
2875.00,98.69
2874.00,98.70
2873.00,98.71
2872.00,98.70
2871.00,98.68
2870.00,98.68
2869.00,98.70
2868.00,98.71
2867.00,98.72
2866.00,98.71
2865.00,98.70
2864.00,98.71
2863.00,98.74
2862.00,98.78
2861.00,98.81
2860.00,98.82
2859.00,98.83
2858.00,98.82
2857.00,98.83
2856.00,98.84
2855.00,98.86
2854.00,98.89
2853.00,98.93
2852.00,98.97
2851.00,99.01
2850.00,99.05
2849.00,99.08
2848.00,99.11
2847.00,99.15
2846.00,99.18
2845.00,99.23
2844.00,99.27
2843.00,99.30
2842.00,99.34
2841.00,99.36
2840.00,99.39
2839.00,99.41
2838.00,99.43
2837.00,99.46
2836.00,99.49
2835.00,99.51
2834.00,99.53
2833.00,99.54
2832.00,99.54
2831.00,99.53
2830.00,99.53
2829.00,99.53
2828.00,99.54
2827.00,99.54
2826.00,99.55
2825.00,99.56
2824.00,99.58
2823.00,99.60
2822.00,99.62
2821.00,99.64
2820.00,99.63
2819.00,99.62
2818.00,99.61
2817.00,99.61
2816.00,99.61
2815.00,99.63
2814.00,99.64
2813.00,99.64
2812.00,99.63
2811.00,99.62
2810.00,99.62
2809.00,99.62
2808.00,99.63
2807.00,99.64
2806.00,99.64
2805.00,99.65
2804.00,99.66
2803.00,99.67
2802.00,99.67
2801.00,99.68
2800.00,99.68
2799.00,99.70
2798.00,99.72
2797.00,99.74
2796.00,99.75
2795.00,99.74
2794.00,99.72
2793.00,99.71
2792.00,99.69
2791.00,99.69
2790.00,99.70
2789.00,99.72
2788.00,99.74
2787.00,99.76
2786.00,99.78
2785.00,99.79
2784.00,99.80
2783.00,99.80
2782.00,99.80
2781.00,99.80
2780.00,99.78
2779.00,99.77
2778.00,99.76
2777.00,99.76
2776.00,99.76
2775.00,99.77
2774.00,99.80
2773.00,99.82
2772.00,99.83
2771.00,99.82
2770.00,99.82
2769.00,99.82
2768.00,99.83
2767.00,99.84
2766.00,99.85
2765.00,99.86
2764.00,99.85
2763.00,99.85
2762.00,99.86
2761.00,99.86
2760.00,99.86
2759.00,99.86
2758.00,99.85
2757.00,99.85
2756.00,99.85
2755.00,99.85
2754.00,99.85
2753.00,99.84
2752.00,99.84
2751.00,99.83
2750.00,99.83
2749.00,99.83
2748.00,99.83
2747.00,99.84
2746.00,99.83
2745.00,99.83
2744.00,99.82
2743.00,99.80
2742.00,99.79
2741.00,99.79
2740.00,99.79
2739.00,99.80
2738.00,99.80
2737.00,99.81
2736.00,99.81
2735.00,99.82
2734.00,99.82
2733.00,99.81
2732.00,99.81
2731.00,99.80
2730.00,99.80
2729.00,99.81
2728.00,99.82
2727.00,99.82
2726.00,99.81
2725.00,99.80
2724.00,99.79
2723.00,99.79
2722.00,99.80
2721.00,99.83
2720.00,99.85
2719.00,99.86
2718.00,99.86
2717.00,99.85
2716.00,99.84
2715.00,99.84
2714.00,99.84
2713.00,99.84
2712.00,99.85
2711.00,99.86
2710.00,99.87
2709.00,99.88
2708.00,99.89
2707.00,99.90
2706.00,99.91
2705.00,99.90
2704.00,99.90
2703.00,99.91
2702.00,99.92
2701.00,99.93
2700.00,99.93
2699.00,99.93
2698.00,99.93
2697.00,99.92
2696.00,99.92
2695.00,99.92
2694.00,99.92
2693.00,99.91
2692.00,99.90
2691.00,99.90
2690.00,99.89
2689.00,99.90
2688.00,99.91
2687.00,99.92
2686.00,99.93
2685.00,99.94
2684.00,99.93
2683.00,99.92
2682.00,99.92
2681.00,99.92
2680.00,99.92
2679.00,99.91
2678.00,99.91
2677.00,99.92
2676.00,99.92
2675.00,99.92
2674.00,99.93
2673.00,99.93
2672.00,99.94
2671.00,99.94
2670.00,99.95
2669.00,99.94
2668.00,99.94
2667.00,99.93
2666.00,99.92
2665.00,99.91
2664.00,99.89
2663.00,99.89
2662.00,99.89
2661.00,99.89
2660.00,99.89
2659.00,99.88
2658.00,99.87
2657.00,99.85
2656.00,99.84
2655.00,99.82
2654.00,99.81
2653.00,99.80
2652.00,99.79
2651.00,99.78
2650.00,99.77
2649.00,99.75
2648.00,99.74
2647.00,99.73
2646.00,99.72
2645.00,99.72
2644.00,99.72
2643.00,99.71
2642.00,99.69
2641.00,99.67
2640.00,99.66
2639.00,99.66
2638.00,99.65
2637.00,99.65
2636.00,99.64
2635.00,99.64
2634.00,99.64
2633.00,99.63
2632.00,99.62
2631.00,99.59
2630.00,99.57
2629.00,99.55
2628.00,99.53
2627.00,99.53
2626.00,99.54
2625.00,99.56
2624.00,99.57
2623.00,99.59
2622.00,99.59
2621.00,99.59
2620.00,99.59
2619.00,99.56
2618.00,99.54
2617.00,99.51
2616.00,99.48
2615.00,99.45
2614.00,99.43
2613.00,99.42
2612.00,99.43
2611.00,99.46
2610.00,99.49
2609.00,99.50
2608.00,99.50
2607.00,99.49
2606.00,99.48
2605.00,99.47
2604.00,99.46
2603.00,99.44
2602.00,99.42
2601.00,99.40
2600.00,99.39
2599.00,99.38
2598.00,99.38
2597.00,99.36
2596.00,99.34
2595.00,99.33
2594.00,99.32
2593.00,99.31
2592.00,99.31
2591.00,99.31
2590.00,99.31
2589.00,99.31
2588.00,99.32
2587.00,99.32
2586.00,99.32
2585.00,99.32
2584.00,99.32
2583.00,99.32
2582.00,99.34
2581.00,99.35
2580.00,99.36
2579.00,99.35
2578.00,99.33
2577.00,99.33
2576.00,99.33
2575.00,99.33
2574.00,99.32
2573.00,99.31
2572.00,99.29
2571.00,99.29
2570.00,99.28
2569.00,99.27
2568.00,99.25
2567.00,99.23
2566.00,99.22
2565.00,99.22
2564.00,99.23
2563.00,99.25
2562.00,99.27
2561.00,99.29
2560.00,99.31
2559.00,99.32
2558.00,99.32
2557.00,99.31
2556.00,99.30
2555.00,99.29
2554.00,99.28
2553.00,99.28
2552.00,99.28
2551.00,99.28
2550.00,99.29
2549.00,99.29
2548.00,99.29
2547.00,99.29
2546.00,99.29
2545.00,99.29
2544.00,99.29
2543.00,99.29
2542.00,99.26
2541.00,99.23
2540.00,99.21
2539.00,99.21
2538.00,99.23
2537.00,99.25
2536.00,99.27
2535.00,99.30
2534.00,99.31
2533.00,99.30
2532.00,99.26
2531.00,99.22
2530.00,99.20
2529.00,99.20
2528.00,99.23
2527.00,99.26
2526.00,99.29
2525.00,99.31
2524.00,99.32
2523.00,99.33
2522.00,99.34
2521.00,99.32
2520.00,99.29
2519.00,99.25
2518.00,99.22
2517.00,99.22
2516.00,99.22
2515.00,99.22
2514.00,99.22
2513.00,99.23
2512.00,99.24
2511.00,99.27
2510.00,99.29
2509.00,99.30
2508.00,99.30
2507.00,99.29
2506.00,99.28
2505.00,99.28
2504.00,99.29
2503.00,99.31
2502.00,99.31
2501.00,99.30
2500.00,99.29
2499.00,99.27
2498.00,99.26
2497.00,99.26
2496.00,99.26
2495.00,99.26
2494.00,99.26
2493.00,99.25
2492.00,99.24
2491.00,99.23
2490.00,99.22
2489.00,99.22
2488.00,99.24
2487.00,99.25
2486.00,99.24
2485.00,99.22
2484.00,99.19
2483.00,99.19
2482.00,99.20
2481.00,99.22
2480.00,99.23
2479.00,99.25
2478.00,99.27
2477.00,99.29
2476.00,99.30
2475.00,99.30
2474.00,99.30
2473.00,99.29
2472.00,99.29
2471.00,99.29
2470.00,99.29
2469.00,99.27
2468.00,99.24
2467.00,99.21
2466.00,99.17
2465.00,99.15
2464.00,99.16
2463.00,99.18
2462.00,99.22
2461.00,99.26
2460.00,99.28
2459.00,99.30
2458.00,99.29
2457.00,99.27
2456.00,99.25
