Created as New Dataset,13.4 Red Wool Shetland sheep
cm-1,%T
3254.00,87.38
3253.00,87.40
3252.00,87.43
3251.00,87.47
3250.00,87.52
3249.00,87.58
3248.00,87.63
3247.00,87.68
3246.00,87.70
3245.00,87.73
3244.00,87.75
3243.00,87.77
3242.00,87.79
3241.00,87.81
3240.00,87.84
3239.00,87.86
3238.00,87.88
3237.00,87.90
3236.00,87.93
3235.00,87.97
3234.00,88.02
3233.00,88.05
3232.00,88.05
3231.00,88.06
3230.00,88.07
3229.00,88.10
3228.00,88.15
3227.00,88.19
3226.00,88.24
3225.00,88.27
3224.00,88.30
3223.00,88.32
3222.00,88.32
3221.00,88.32
3220.00,88.33
3219.00,88.36
3218.00,88.40
3217.00,88.44
3216.00,88.47
3215.00,88.48
3214.00,88.48
3213.00,88.50
3212.00,88.52
3211.00,88.54
3210.00,88.55
3209.00,88.57
3208.00,88.60
3207.00,88.66
3206.00,88.72
3205.00,88.77
3204.00,88.80
3203.00,88.83
3202.00,88.85
3201.00,88.88
3200.00,88.90
3199.00,88.93
3198.00,88.94
3197.00,88.96
3196.00,88.99
3195.00,89.03
3194.00,89.08
3193.00,89.13
3192.00,89.17
3191.00,89.21
3190.00,89.24
3189.00,89.27
3188.00,89.31
3187.00,89.34
3186.00,89.36
3185.00,89.38
3184.00,89.40
3183.00,89.43
3182.00,89.47
3181.00,89.51
3180.00,89.55
3179.00,89.60
3178.00,89.64
3177.00,89.67
3176.00,89.71
3175.00,89.74
3174.00,89.77
3173.00,89.81
3172.00,89.86
3171.00,89.91
3170.00,89.96
3169.00,90.00
3168.00,90.03
3167.00,90.06
3166.00,90.09
3165.00,90.12
3164.00,90.15
3163.00,90.19
3162.00,90.23
3161.00,90.28
3160.00,90.33
3159.00,90.39
3158.00,90.45
3157.00,90.49
3156.00,90.54
3155.00,90.57
3154.00,90.60
3153.00,90.62
3152.00,90.63
3151.00,90.65
3150.00,90.69
3149.00,90.73
3148.00,90.78
3147.00,90.82
3146.00,90.87
3145.00,90.91
3144.00,90.95
3143.00,90.98
3142.00,91.01
3141.00,91.03
3140.00,91.05
3139.00,91.08
3138.00,91.10
3137.00,91.14
3136.00,91.17
3135.00,91.21
3134.00,91.24
3133.00,91.26
3132.00,91.28
3131.00,91.31
3130.00,91.33
3129.00,91.35
3128.00,91.37
3127.00,91.40
3126.00,91.43
3125.00,91.46
3124.00,91.48
3123.00,91.49
3122.00,91.50
3121.00,91.51
3120.00,91.52
3119.00,91.54
3118.00,91.56
3117.00,91.58
3116.00,91.59
3115.00,91.59
3114.00,91.60
3113.00,91.61
3112.00,91.62
3111.00,91.64
3110.00,91.66
3109.00,91.68
3108.00,91.69
3107.00,91.68
3106.00,91.68
3105.00,91.68
3104.00,91.70
3103.00,91.71
3102.00,91.73
3101.00,91.74
3100.00,91.73
3099.00,91.72
3098.00,91.70
3097.00,91.69
3096.00,91.68
3095.00,91.68
3094.00,91.69
3093.00,91.70
3092.00,91.70
3091.00,91.69
3090.00,91.69
3089.00,91.69
3088.00,91.69
3087.00,91.67
3086.00,91.66
3085.00,91.65
3084.00,91.66
3083.00,91.66
3082.00,91.66
3081.00,91.65
3080.00,91.64
3079.00,91.63
3078.00,91.63
3077.00,91.64
3076.00,91.64
3075.00,91.64
3074.00,91.63
3073.00,91.61
3072.00,91.61
3071.00,91.60
3070.00,91.60
3069.00,91.61
3068.00,91.63
3067.00,91.65
3066.00,91.67
3065.00,91.68
3064.00,91.69
3063.00,91.69
3062.00,91.70
3061.00,91.72
3060.00,91.74
3059.00,91.77
3058.00,91.79
3057.00,91.81
3056.00,91.82
3055.00,91.84
3054.00,91.86
3053.00,91.89
3052.00,91.92
3051.00,91.95
3050.00,91.98
3049.00,92.00
3048.00,92.03
3047.00,92.05
3046.00,92.07
3045.00,92.09
3044.00,92.12
3043.00,92.16
3042.00,92.20
3041.00,92.23
3040.00,92.25
3039.00,92.26
3038.00,92.28
3037.00,92.32
3036.00,92.35
3035.00,92.38
3034.00,92.41
3033.00,92.43
3032.00,92.46
3031.00,92.48
3030.00,92.51
3029.00,92.54
3028.00,92.58
3027.00,92.62
3026.00,92.66
3025.00,92.69
3024.00,92.71
3023.00,92.72
3022.00,92.73
3021.00,92.74
3020.00,92.77
3019.00,92.79
3018.00,92.82
3017.00,92.85
3016.00,92.87
3015.00,92.88
3014.00,92.89
3013.00,92.90
3012.00,92.93
3011.00,92.96
3010.00,92.99
3009.00,93.02
3008.00,93.02
3007.00,93.01
3006.00,93.00
3005.00,93.00
3004.00,93.01
3003.00,93.01
3002.00,93.01
3001.00,92.99
3000.00,92.97
2999.00,92.96
2998.00,92.95
2997.00,92.93
2996.00,92.90
2995.00,92.86
2994.00,92.82
2993.00,92.78
2992.00,92.75
2991.00,92.72
2990.00,92.68
2989.00,92.64
2988.00,92.57
2987.00,92.50
2986.00,92.41
2985.00,92.33
2984.00,92.25
2983.00,92.18
2982.00,92.10
2981.00,92.03
2980.00,91.96
2979.00,91.89
2978.00,91.80
2977.00,91.69
2976.00,91.58
2975.00,91.47
2974.00,91.35
2973.00,91.22
2972.00,91.09
2971.00,90.96
2970.00,90.84
2969.00,90.72
2968.00,90.59
2967.00,90.46
2966.00,90.32
