Created as New Dataset,67. Modacrylic Waxman Dyed
cm-1,%T
3317.00,99.17
3316.00,99.16
3315.00,99.17
3314.00,99.20
3313.00,99.22
3312.00,99.23
3311.00,99.24
3310.00,99.23
3309.00,99.23
3308.00,99.23
3307.00,99.23
3306.00,99.24
3305.00,99.25
3304.00,99.25
3303.00,99.25
3302.00,99.25
3301.00,99.25
3300.00,99.24
3299.00,99.22
3298.00,99.21
3297.00,99.21
3296.00,99.21
3295.00,99.21
3294.00,99.21
3293.00,99.22
3292.00,99.22
3291.00,99.23
3290.00,99.23
3289.00,99.22
3288.00,99.20
3287.00,99.19
3286.00,99.19
3285.00,99.19
3284.00,99.18
3283.00,99.17
3282.00,99.18
3281.00,99.20
3280.00,99.23
3279.00,99.25
3278.00,99.27
3277.00,99.26
3276.00,99.23
3275.00,99.20
3274.00,99.17
3273.00,99.16
3272.00,99.16
3271.00,99.18
3270.00,99.19
3269.00,99.19
3268.00,99.18
3267.00,99.17
3266.00,99.16
3265.00,99.17
3264.00,99.17
3263.00,99.18
3262.00,99.20
3261.00,99.21
3260.00,99.23
3259.00,99.23
3258.00,99.22
3257.00,99.21
3256.00,99.19
3255.00,99.18
3254.00,99.17
3253.00,99.17
3252.00,99.17
3251.00,99.18
3250.00,99.20
3249.00,99.22
3248.00,99.23
3247.00,99.24
3246.00,99.24
3245.00,99.23
3244.00,99.22
3243.00,99.20
3242.00,99.19
3241.00,99.18
3240.00,99.17
3239.00,99.16
3238.00,99.17
3237.00,99.18
3236.00,99.20
3235.00,99.21
3234.00,99.22
3233.00,99.21
3232.00,99.21
3231.00,99.22
3230.00,99.22
3229.00,99.23
3228.00,99.23
3227.00,99.22
3226.00,99.21
3225.00,99.20
3224.00,99.17
3223.00,99.16
3222.00,99.16
3221.00,99.18
3220.00,99.19
3219.00,99.20
3218.00,99.19
3217.00,99.19
3216.00,99.20
3215.00,99.22
3214.00,99.24
3213.00,99.25
3212.00,99.24
3211.00,99.22
3210.00,99.20
3209.00,99.19
3208.00,99.19
3207.00,99.20
3206.00,99.21
3205.00,99.21
3204.00,99.20
3203.00,99.18
3202.00,99.16
3201.00,99.16
3200.00,99.17
3199.00,99.19
3198.00,99.21
3197.00,99.21
3196.00,99.20
3195.00,99.18
3194.00,99.16
3193.00,99.15
3192.00,99.15
3191.00,99.15
3190.00,99.15
3189.00,99.14
3188.00,99.14
3187.00,99.15
3186.00,99.16
3185.00,99.18
3184.00,99.20
3183.00,99.21
3182.00,99.21
3181.00,99.20
3180.00,99.19
3179.00,99.19
3178.00,99.20
3177.00,99.22
3176.00,99.23
3175.00,99.22
3174.00,99.22
3173.00,99.22
3172.00,99.22
3171.00,99.24
3170.00,99.25
3169.00,99.27
3168.00,99.27
3167.00,99.27
3166.00,99.25
3165.00,99.23
3164.00,99.21
3163.00,99.19
3162.00,99.18
3161.00,99.18
3160.00,99.18
3159.00,99.19
3158.00,99.20
3157.00,99.21
3156.00,99.20
3155.00,99.20
3154.00,99.20
3153.00,99.21
3152.00,99.21
3151.00,99.21
3150.00,99.20
3149.00,99.19
3148.00,99.19
3147.00,99.19
3146.00,99.20
3145.00,99.20
3144.00,99.20
3143.00,99.21
3142.00,99.21
3141.00,99.20
3140.00,99.20
3139.00,99.21
3138.00,99.21
3137.00,99.21
3136.00,99.21
3135.00,99.22
3134.00,99.22
3133.00,99.22
3132.00,99.22
3131.00,99.21
3130.00,99.19
3129.00,99.17
3128.00,99.17
3127.00,99.19
3126.00,99.21
3125.00,99.23
3124.00,99.22
3123.00,99.21
3122.00,99.19
3121.00,99.19
3120.00,99.19
3119.00,99.19
3118.00,99.20
3117.00,99.21
3116.00,99.21
3115.00,99.21
3114.00,99.21
3113.00,99.21
3112.00,99.20
3111.00,99.19
3110.00,99.19
3109.00,99.19
3108.00,99.20
3107.00,99.21
3106.00,99.20
3105.00,99.20
3104.00,99.19
3103.00,99.18
3102.00,99.17
3101.00,99.16
3100.00,99.16
3099.00,99.16
3098.00,99.17
3097.00,99.17
3096.00,99.19
3095.00,99.21
3094.00,99.22
3093.00,99.22
3092.00,99.20
3091.00,99.18
3090.00,99.17
3089.00,99.16
3088.00,99.16
3087.00,99.17
3086.00,99.18
3085.00,99.19
3084.00,99.20
3083.00,99.20
3082.00,99.20
3081.00,99.20
3080.00,99.19
3079.00,99.18
3078.00,99.16
3077.00,99.15
3076.00,99.15
3075.00,99.16
3074.00,99.18
3073.00,99.19
3072.00,99.19
3071.00,99.17
3070.00,99.16
3069.00,99.15
3068.00,99.15
3067.00,99.17
3066.00,99.19
3065.00,99.21
3064.00,99.22
3063.00,99.21
3062.00,99.18
3061.00,99.16
