Created as New Dataset,57 Bayer
cm-1,%T
2842.00,99.38
2841.00,99.38
2840.00,99.37
2839.00,99.36
2838.00,99.36
2837.00,99.37
2836.00,99.39
2835.00,99.40
2834.00,99.40
2833.00,99.40
2832.00,99.41
2831.00,99.42
2830.00,99.43
2829.00,99.43
2828.00,99.43
2827.00,99.42
2826.00,99.41
2825.00,99.42
2824.00,99.43
2823.00,99.44
2822.00,99.45
2821.00,99.45
2820.00,99.45
2819.00,99.44
2818.00,99.43
2817.00,99.43
2816.00,99.44
2815.00,99.44
2814.00,99.46
2813.00,99.47
2812.00,99.49
2811.00,99.49
2810.00,99.48
2809.00,99.47
2808.00,99.45
2807.00,99.43
2806.00,99.42
2805.00,99.41
2804.00,99.41
2803.00,99.41
2802.00,99.42
2801.00,99.43
2800.00,99.45
2799.00,99.46
2798.00,99.46
2797.00,99.46
2796.00,99.46
2795.00,99.46
2794.00,99.47
2793.00,99.47
2792.00,99.48
2791.00,99.48
2790.00,99.48
2789.00,99.48
2788.00,99.48
2787.00,99.49
2786.00,99.50
2785.00,99.51
2784.00,99.51
2783.00,99.50
2782.00,99.49
2781.00,99.47
2780.00,99.46
2779.00,99.47
2778.00,99.49
2777.00,99.52
2776.00,99.54
2775.00,99.53
2774.00,99.51
2773.00,99.49
2772.00,99.46
2771.00,99.45
2770.00,99.46
2769.00,99.47
2768.00,99.49
2767.00,99.51
2766.00,99.51
2765.00,99.52
2764.00,99.52
2763.00,99.52
2762.00,99.52
2761.00,99.52
2760.00,99.52
2759.00,99.52
2758.00,99.52
2757.00,99.51
2756.00,99.50
2755.00,99.48
2754.00,99.47
2753.00,99.47
2752.00,99.48
2751.00,99.49
2750.00,99.50
2749.00,99.50
2748.00,99.49
2747.00,99.49
2746.00,99.49
2745.00,99.50
2744.00,99.50
2743.00,99.50
2742.00,99.49
2741.00,99.48
2740.00,99.47
2739.00,99.46
2738.00,99.46
2737.00,99.47
2736.00,99.47
2735.00,99.48
2734.00,99.49
2733.00,99.50
2732.00,99.49
2731.00,99.48
2730.00,99.46
2729.00,99.46
2728.00,99.47
2727.00,99.48
2726.00,99.48
2725.00,99.48
2724.00,99.48
2723.00,99.48
2722.00,99.49
2721.00,99.49
2720.00,99.48
2719.00,99.46
2718.00,99.46
2717.00,99.47
2716.00,99.48
2715.00,99.50
2714.00,99.51
2713.00,99.51
2712.00,99.51
2711.00,99.50
2710.00,99.50
2709.00,99.50
2708.00,99.50
2707.00,99.50
2706.00,99.50
2705.00,99.50
2704.00,99.50
2703.00,99.49
2702.00,99.48
2701.00,99.47
2700.00,99.47
2699.00,99.47
2698.00,99.48
2697.00,99.49
2696.00,99.50
2695.00,99.51
2694.00,99.51
2693.00,99.51
2692.00,99.51
2691.00,99.52
2690.00,99.51
2689.00,99.49
2688.00,99.46
2687.00,99.45
2686.00,99.46
2685.00,99.47
2684.00,99.48
2683.00,99.49
2682.00,99.49
2681.00,99.48
2680.00,99.49
2679.00,99.48
2678.00,99.48
2677.00,99.47
2676.00,99.47
2675.00,99.47
2674.00,99.47
2673.00,99.48
2672.00,99.48
2671.00,99.47
2670.00,99.46
2669.00,99.46
2668.00,99.46
2667.00,99.47
2666.00,99.48
2665.00,99.50
2664.00,99.50
2663.00,99.49
2662.00,99.48
2661.00,99.47
2660.00,99.47
2659.00,99.46
2658.00,99.46
2657.00,99.46
2656.00,99.45
2655.00,99.44
2654.00,99.42
2653.00,99.41
2652.00,99.41
2651.00,99.41
2650.00,99.40
2649.00,99.39
2648.00,99.38
2647.00,99.37
2646.00,99.36
2645.00,99.36
2644.00,99.34
2643.00,99.33
2642.00,99.31
2641.00,99.30
2640.00,99.30
2639.00,99.30
2638.00,99.31
2637.00,99.31
2636.00,99.31
2635.00,99.31
2634.00,99.31
2633.00,99.30
2632.00,99.30
2631.00,99.29
2630.00,99.27
2629.00,99.25
2628.00,99.24
2627.00,99.22
2626.00,99.20
2625.00,99.19
2624.00,99.19
2623.00,99.20
2622.00,99.21
2621.00,99.23
2620.00,99.24
2619.00,99.23
2618.00,99.22
2617.00,99.20
2616.00,99.18
2615.00,99.17
2614.00,99.17
2613.00,99.17
2612.00,99.16
2611.00,99.15
2610.00,99.14
2609.00,99.13
2608.00,99.14
2607.00,99.16
2606.00,99.17
2605.00,99.16
2604.00,99.15
2603.00,99.13
2602.00,99.13
2601.00,99.12
2600.00,99.11
2599.00,99.10
2598.00,99.09
2597.00,99.09
2596.00,99.10
2595.00,99.09
2594.00,99.09
2593.00,99.09
2592.00,99.09
2591.00,99.09
2590.00,99.09
2589.00,99.08
2588.00,99.08
2587.00,99.08
2586.00,99.07
2585.00,99.05
2584.00,99.04
2583.00,99.04
2582.00,99.05
2581.00,99.06
2580.00,99.06
2579.00,99.04
2578.00,99.01
2577.00,98.99
2576.00,98.98
2575.00,98.96
2574.00,98.96
