Created as New Dataset,6.4. Raw cotton boll
cm-1,%T
2904.00,93.92
2903.00,93.89
2902.00,93.86
2901.00,93.83
2900.00,93.81
2899.00,93.80
2898.00,93.80
2897.00,93.81
2896.00,93.82
2895.00,93.84
2894.00,93.85
2893.00,93.87
2892.00,93.91
2891.00,93.94
2890.00,93.97
2889.00,94.00
2888.00,94.03
2887.00,94.07
2886.00,94.11
2885.00,94.16
2884.00,94.19
2883.00,94.22
2882.00,94.25
2881.00,94.28
2880.00,94.31
2879.00,94.33
2878.00,94.35
2877.00,94.37
2876.00,94.40
2875.00,94.42
2874.00,94.45
2873.00,94.47
2872.00,94.48
2871.00,94.49
2870.00,94.50
2869.00,94.51
2868.00,94.53
2867.00,94.55
2866.00,94.58
2865.00,94.61
2864.00,94.65
2863.00,94.68
2862.00,94.71
2861.00,94.73
2860.00,94.74
2859.00,94.75
2858.00,94.77
2857.00,94.80
2856.00,94.83
2855.00,94.84
2854.00,94.83
2853.00,94.81
2852.00,94.80
2851.00,94.82
2850.00,94.86
2849.00,94.93
2848.00,95.03
2847.00,95.13
2846.00,95.24
2845.00,95.34
2844.00,95.44
2843.00,95.52
2842.00,95.58
2841.00,95.64
2840.00,95.70
2839.00,95.75
2838.00,95.80
2837.00,95.83
2836.00,95.86
2835.00,95.89
2834.00,95.93
2833.00,95.97
2832.00,96.01
2831.00,96.04
2830.00,96.06
2829.00,96.07
2828.00,96.08
2827.00,96.09
2826.00,96.12
2825.00,96.14
2824.00,96.17
2823.00,96.20
2822.00,96.24
2821.00,96.27
2820.00,96.30
2819.00,96.32
2818.00,96.34
2817.00,96.35
2816.00,96.37
2815.00,96.40
2814.00,96.42
2813.00,96.44
2812.00,96.45
2811.00,96.46
2810.00,96.47
2809.00,96.48
2808.00,96.51
2807.00,96.55
2806.00,96.57
2805.00,96.59
2804.00,96.60
2803.00,96.62
2802.00,96.65
2801.00,96.67
2800.00,96.69
2799.00,96.71
2798.00,96.72
2797.00,96.71
2796.00,96.70
2795.00,96.70
2794.00,96.70
2793.00,96.71
2792.00,96.73
2791.00,96.73
2790.00,96.73
2789.00,96.74
2788.00,96.75
2787.00,96.77
2786.00,96.78
2785.00,96.79
2784.00,96.79
2783.00,96.81
2782.00,96.83
2781.00,96.85
2780.00,96.86
2779.00,96.87
2778.00,96.87
2777.00,96.87
2776.00,96.88
2775.00,96.88
2774.00,96.89
2773.00,96.90
2772.00,96.91
2771.00,96.92
2770.00,96.93
2769.00,96.93
2768.00,96.93
2767.00,96.93
2766.00,96.92
2765.00,96.92
2764.00,96.93
2763.00,96.95
2762.00,96.97
2761.00,96.98
2760.00,96.98
2759.00,96.97
2758.00,96.96
2757.00,96.97
2756.00,96.97
2755.00,96.98
2754.00,96.99
2753.00,96.99
2752.00,97.00
2751.00,97.01
2750.00,97.01
2749.00,97.02
2748.00,97.03
2747.00,97.04
2746.00,97.04
2745.00,97.02
2744.00,97.01
2743.00,96.99
