Created as New Dataset,187 Cortaulds
cm-1,%T
3374.00,96.42
3373.00,96.42
3372.00,96.43
3371.00,96.45
3370.00,96.47
3369.00,96.49
3368.00,96.49
3367.00,96.48
3366.00,96.47
3365.00,96.46
3364.00,96.45
3363.00,96.44
3362.00,96.43
3361.00,96.42
3360.00,96.40
3359.00,96.38
3358.00,96.37
3357.00,96.35
3356.00,96.34
3355.00,96.33
3354.00,96.32
3353.00,96.32
3352.00,96.31
3351.00,96.31
3350.00,96.32
3349.00,96.34
3348.00,96.36
3347.00,96.36
3346.00,96.34
3345.00,96.32
3344.00,96.30
3343.00,96.29
3342.00,96.30
3341.00,96.31
3340.00,96.32
3339.00,96.31
3338.00,96.29
3337.00,96.27
3336.00,96.25
3335.00,96.25
3334.00,96.27
3333.00,96.28
3332.00,96.27
3331.00,96.25
3330.00,96.22
3329.00,96.20
3328.00,96.19
3327.00,96.20
3326.00,96.20
3325.00,96.21
3324.00,96.21
3323.00,96.21
3322.00,96.19
3321.00,96.18
3320.00,96.16
3319.00,96.15
3318.00,96.14
3317.00,96.15
3316.00,96.15
3315.00,96.16
3314.00,96.17
3313.00,96.20
3312.00,96.22
3311.00,96.24
3310.00,96.24
3309.00,96.23
3308.00,96.22
3307.00,96.23
3306.00,96.24
3305.00,96.24
3304.00,96.24
3303.00,96.23
3302.00,96.22
3301.00,96.23
3300.00,96.25
3299.00,96.25
3298.00,96.25
3297.00,96.24
3296.00,96.23
3295.00,96.23
3294.00,96.23
3293.00,96.23
3292.00,96.23
3291.00,96.23
3290.00,96.23
3289.00,96.23
3288.00,96.24
3287.00,96.27
3286.00,96.30
3285.00,96.33
3284.00,96.35
3283.00,96.35
3282.00,96.35
3281.00,96.35
3280.00,96.34
3279.00,96.34
3278.00,96.34
3277.00,96.33
3276.00,96.32
3275.00,96.32
3274.00,96.33
3273.00,96.34
3272.00,96.35
3271.00,96.36
3270.00,96.37
3269.00,96.37
3268.00,96.38
3267.00,96.38
3266.00,96.40
3265.00,96.42
3264.00,96.44
3263.00,96.45
3262.00,96.46
3261.00,96.47
3260.00,96.48
3259.00,96.49
3258.00,96.50
3257.00,96.51
3256.00,96.52
3255.00,96.53
3254.00,96.53
3253.00,96.53
3252.00,96.52
3251.00,96.53
3250.00,96.55
3249.00,96.58
3248.00,96.60
3247.00,96.62
3246.00,96.64
3245.00,96.65
3244.00,96.67
3243.00,96.68
3242.00,96.70
3241.00,96.71
3240.00,96.72
3239.00,96.72
3238.00,96.72
3237.00,96.71
3236.00,96.71
3235.00,96.73
3234.00,96.75
3233.00,96.78
3232.00,96.80
3231.00,96.81
3230.00,96.81
3229.00,96.82
3228.00,96.83
3227.00,96.84
3226.00,96.84
3225.00,96.83
3224.00,96.83
3223.00,96.83
3222.00,96.83
3221.00,96.83
3220.00,96.84
3219.00,96.84
3218.00,96.85
3217.00,96.87
