Created as New Dataset,15.3 Red Wool sheep very fine
cm-1,%T
3415.00,91.88
3414.00,91.87
3413.00,91.86
3412.00,91.84
3411.00,91.82
3410.00,91.79
3409.00,91.75
3408.00,91.71
3407.00,91.67
3406.00,91.64
3405.00,91.62
3404.00,91.62
3403.00,91.61
3402.00,91.60
3401.00,91.59
3400.00,91.57
3399.00,91.56
3398.00,91.54
3397.00,91.51
3396.00,91.47
3395.00,91.44
3394.00,91.43
3393.00,91.42
3392.00,91.42
3391.00,91.41
3390.00,91.39
3389.00,91.36
3388.00,91.35
3387.00,91.34
3386.00,91.34
3385.00,91.35
3384.00,91.35
3383.00,91.34
3382.00,91.33
3381.00,91.30
3380.00,91.27
3379.00,91.24
3378.00,91.22
3377.00,91.19
3376.00,91.16
3375.00,91.13
3374.00,91.10
3373.00,91.08
3372.00,91.06
3371.00,91.04
3370.00,91.02
3369.00,90.99
3368.00,90.97
3367.00,90.94
3366.00,90.92
3365.00,90.90
3364.00,90.88
3363.00,90.85
3362.00,90.82
3361.00,90.79
3360.00,90.78
3359.00,90.76
3358.00,90.75
3357.00,90.74
3356.00,90.71
3355.00,90.69
3354.00,90.66
3353.00,90.64
3352.00,90.61
3351.00,90.58
3350.00,90.54
3349.00,90.50
3348.00,90.46
3347.00,90.43
3346.00,90.43
3345.00,90.43
3344.00,90.43
3343.00,90.42
3342.00,90.41
3341.00,90.39
3340.00,90.38
3339.00,90.36
3338.00,90.33
3337.00,90.29
3336.00,90.25
3335.00,90.22
3334.00,90.20
3333.00,90.18
3332.00,90.17
3331.00,90.14
3330.00,90.12
3329.00,90.10
3328.00,90.07
3327.00,90.03
3326.00,89.97
3325.00,89.92
3324.00,89.88
3323.00,89.86
3322.00,89.85
3321.00,89.84
3320.00,89.82
3319.00,89.80
3318.00,89.77
3317.00,89.74
3316.00,89.71
3315.00,89.69
3314.00,89.66
3313.00,89.63
3312.00,89.59
3311.00,89.56
3310.00,89.52
3309.00,89.49
3308.00,89.46
3307.00,89.42
3306.00,89.37
3305.00,89.33
3304.00,89.30
3303.00,89.29
3302.00,89.28
3301.00,89.27
3300.00,89.25
3299.00,89.23
3298.00,89.21
3297.00,89.19
3296.00,89.17
3295.00,89.15
3294.00,89.13
3293.00,89.10
3292.00,89.07
3291.00,89.03
3290.00,89.00
3289.00,88.98
3288.00,88.97
3287.00,88.97
3286.00,88.96
3285.00,88.96
3284.00,88.96
3283.00,88.96
3282.00,88.96
3281.00,88.95
3280.00,88.93
3279.00,88.91
3278.00,88.88
3277.00,88.87
3276.00,88.87
3275.00,88.89
3274.00,88.91
3273.00,88.92
3272.00,88.93
3271.00,88.93
3270.00,88.93
3269.00,88.93
3268.00,88.94
3267.00,88.95
3266.00,88.97
3265.00,88.99
3264.00,89.02
3263.00,89.06
3262.00,89.10
3261.00,89.13
3260.00,89.15
3259.00,89.17
3258.00,89.20
3257.00,89.24
3256.00,89.27
3255.00,89.30
3254.00,89.31
3253.00,89.32
3252.00,89.34
3251.00,89.36
3250.00,89.39
3249.00,89.42
3248.00,89.45
3247.00,89.49
3246.00,89.53
3245.00,89.56
3244.00,89.60
3243.00,89.62
3242.00,89.64
3241.00,89.65
3240.00,89.67
3239.00,89.68
3238.00,89.71
3237.00,89.73
3236.00,89.76
3235.00,89.78
3234.00,89.81
3233.00,89.83
3232.00,89.85
3231.00,89.86
3230.00,89.87
3229.00,89.89
3228.00,89.92
3227.00,89.95
3226.00,89.99
3225.00,90.01
3224.00,90.03
3223.00,90.05
3222.00,90.06
3221.00,90.08
3220.00,90.09
3219.00,90.10
3218.00,90.12
3217.00,90.13
3216.00,90.13
3215.00,90.15
3214.00,90.16
3213.00,90.18
3212.00,90.21
3211.00,90.24
3210.00,90.27
3209.00,90.29
3208.00,90.30
3207.00,90.32
3206.00,90.35
3205.00,90.38
3204.00,90.40
3203.00,90.41
3202.00,90.42
3201.00,90.45
3200.00,90.48
3199.00,90.50
3198.00,90.52
3197.00,90.54
3196.00,90.55
3195.00,90.57
3194.00,90.58
3193.00,90.61
3192.00,90.65
3191.00,90.68
3190.00,90.70
3189.00,90.71
3188.00,90.72
3187.00,90.74
3186.00,90.77
3185.00,90.81
3184.00,90.86
3183.00,90.89
3182.00,90.92
3181.00,90.95
3180.00,90.98
3179.00,91.01
3178.00,91.04
3177.00,91.07
3176.00,91.10
3175.00,91.13
3174.00,91.16
3173.00,91.18
3172.00,91.21
3171.00,91.25
3170.00,91.28
3169.00,91.30
3168.00,91.33
3167.00,91.36
3166.00,91.38
3165.00,91.41
3164.00,91.44
3163.00,91.48
3162.00,91.51
3161.00,91.53
3160.00,91.55
3159.00,91.57
3158.00,91.61
3157.00,91.65
3156.00,91.69
3155.00,91.73
3154.00,91.76
3153.00,91.78
3152.00,91.80
3151.00,91.82
3150.00,91.86
3149.00,91.89
3148.00,91.92
3147.00,91.95
3146.00,91.97
3145.00,91.99
3144.00,92.00
3143.00,92.01
3142.00,92.02
3141.00,92.04
3140.00,92.08
3139.00,92.12
3138.00,92.15
3137.00,92.18
3136.00,92.20
3135.00,92.22
3134.00,92.25
3133.00,92.28
3132.00,92.31
3131.00,92.34
3130.00,92.37
3129.00,92.41
3128.00,92.43
3127.00,92.46
3126.00,92.48
3125.00,92.49
3124.00,92.50
3123.00,92.50
3122.00,92.49
3121.00,92.48
3120.00,92.48
3119.00,92.49
3118.00,92.50
3117.00,92.52
3116.00,92.54
3115.00,92.56
3114.00,92.56
3113.00,92.56
3112.00,92.56
3111.00,92.56
3110.00,92.57
3109.00,92.59
3108.00,92.61
3107.00,92.62
3106.00,92.63
3105.00,92.62
3104.00,92.61
3103.00,92.61
3102.00,92.61
3101.00,92.61
3100.00,92.62
3099.00,92.62
3098.00,92.62
3097.00,92.61
3096.00,92.58
3095.00,92.56
3094.00,92.55
3093.00,92.56
3092.00,92.57
3091.00,92.58
3090.00,92.57
3089.00,92.56
3088.00,92.54
3087.00,92.52
3086.00,92.51
3085.00,92.50
3084.00,92.50
3083.00,92.49
3082.00,92.49
3081.00,92.49
3080.00,92.49
3079.00,92.50
3078.00,92.50
3077.00,92.49
3076.00,92.48
3075.00,92.46
3074.00,92.46
3073.00,92.46
3072.00,92.48
3071.00,92.49
3070.00,92.49
