Created as New Dataset,Mercerised Cotton 5/2 (Light Green)
cm-1,%T
3502.00,91.77
3501.00,91.64
3500.00,91.53
3499.00,91.42
3498.00,91.31
3497.00,91.19
3496.00,91.07
3495.00,90.94
3494.00,90.81
3493.00,90.67
3492.00,90.54
3491.00,90.41
3490.00,90.31
3489.00,90.23
3488.00,90.17
3487.00,90.13
3486.00,90.10
3485.00,90.07
3484.00,90.04
3483.00,90.01
3482.00,89.99
3481.00,89.97
3480.00,89.96
3479.00,89.95
3478.00,89.94
3477.00,89.91
3476.00,89.87
3475.00,89.82
3474.00,89.76
3473.00,89.70
3472.00,89.64
3471.00,89.56
3470.00,89.49
3469.00,89.45
3468.00,89.41
3467.00,89.37
3466.00,89.31
3465.00,89.21
3464.00,89.12
3463.00,89.03
3462.00,88.96
3461.00,88.90
3460.00,88.81
3459.00,88.71
3458.00,88.60
3457.00,88.48
3456.00,88.35
3455.00,88.22
3454.00,88.07
3453.00,87.91
3452.00,87.75
3451.00,87.59
3450.00,87.46
3449.00,87.35
3448.00,87.24
3447.00,87.13
3446.00,87.01
3445.00,86.90
3444.00,86.81
3443.00,86.73
3442.00,86.68
3441.00,86.64
3440.00,86.61
3439.00,86.59
3438.00,86.57
3437.00,86.56
3436.00,86.56
3435.00,86.57
3434.00,86.59
3433.00,86.61
3432.00,86.63
3431.00,86.64
3430.00,86.64
3429.00,86.63
3428.00,86.61
3427.00,86.60
3426.00,86.57
3425.00,86.54
3424.00,86.49
3423.00,86.44
3422.00,86.41
3421.00,86.38
3420.00,86.34
3419.00,86.29
3418.00,86.22
3417.00,86.16
3416.00,86.09
3415.00,86.03
3414.00,85.97
3413.00,85.90
3412.00,85.83
3411.00,85.77
3410.00,85.72
3409.00,85.67
3408.00,85.61
3407.00,85.57
3406.00,85.53
3405.00,85.50
3404.00,85.49
3403.00,85.46
3402.00,85.43
3401.00,85.38
3400.00,85.34
3399.00,85.30
3398.00,85.27
3397.00,85.24
3396.00,85.20
3395.00,85.17
3394.00,85.13
3393.00,85.10
3392.00,85.07
3391.00,85.03
3390.00,85.00
3389.00,84.96
3388.00,84.93
3387.00,84.90
3386.00,84.86
3385.00,84.82
3384.00,84.78
3383.00,84.72
3382.00,84.65
3381.00,84.58
3380.00,84.51
3379.00,84.45
3378.00,84.41
3377.00,84.38
3376.00,84.34
3375.00,84.29
3374.00,84.22
3373.00,84.15
3372.00,84.09
3371.00,84.05
3370.00,84.01
3369.00,83.97
3368.00,83.92
3367.00,83.86
3366.00,83.81
3365.00,83.75
3364.00,83.70
3363.00,83.65
3362.00,83.59
3361.00,83.53
3360.00,83.46
3359.00,83.39
3358.00,83.32
3357.00,83.24
3356.00,83.15
3355.00,83.06
3354.00,82.97
3353.00,82.89
3352.00,82.82
3351.00,82.77
3350.00,82.71
3349.00,82.64
3348.00,82.57
3347.00,82.49
3346.00,82.42
3345.00,82.36
3344.00,82.30
3343.00,82.26
3342.00,82.22
3341.00,82.19
3340.00,82.16
3339.00,82.13
3338.00,82.10
3337.00,82.08
3336.00,82.08
3335.00,82.09
3334.00,82.11
3333.00,82.13
3332.00,82.15
3331.00,82.16
3330.00,82.18
3329.00,82.20
3328.00,82.23
3327.00,82.27
3326.00,82.32
3325.00,82.37
3324.00,82.42
3323.00,82.48
3322.00,82.53
3321.00,82.56
3320.00,82.58
3319.00,82.60
3318.00,82.61
3317.00,82.62
3316.00,82.64
3315.00,82.66
3314.00,82.68
3313.00,82.71
3312.00,82.73
3311.00,82.73
3310.00,82.73
3309.00,82.71
3308.00,82.70
3307.00,82.69
3306.00,82.69
3305.00,82.69
3304.00,82.69
3303.00,82.69
3302.00,82.69
3301.00,82.68
3300.00,82.68
3299.00,82.68
3298.00,82.70
3297.00,82.73
3296.00,82.77
3295.00,82.80
3294.00,82.82
3293.00,82.82
3292.00,82.81
3291.00,82.81
3290.00,82.82
3289.00,82.84
3288.00,82.85
3287.00,82.86
3286.00,82.85
3285.00,82.84
3284.00,82.85
3283.00,82.89
3282.00,82.93
3281.00,82.98
3280.00,83.01
3279.00,83.03
3278.00,83.04
3277.00,83.05
3276.00,83.07
3275.00,83.08
3274.00,83.09
3273.00,83.10
3272.00,83.13
3271.00,83.17
3270.00,83.22
3269.00,83.28
3268.00,83.33
3267.00,83.38
3266.00,83.43
3265.00,83.47
3264.00,83.50
3263.00,83.55
3262.00,83.62
3261.00,83.69
3260.00,83.78
3259.00,83.85
3258.00,83.92
3257.00,83.99
3256.00,84.05
3255.00,84.10
3254.00,84.16
3253.00,84.23
3252.00,84.32
3251.00,84.42
3250.00,84.50
3249.00,84.57
3248.00,84.62
3247.00,84.66
3246.00,84.70
3245.00,84.75
3244.00,84.80
3243.00,84.86
3242.00,84.93
3241.00,84.99
3240.00,85.06
3239.00,85.12
3238.00,85.17
3237.00,85.23
3236.00,85.28
3235.00,85.33
3234.00,85.38
3233.00,85.44
3232.00,85.50
3231.00,85.56
3230.00,85.62
3229.00,85.67
3228.00,85.72
3227.00,85.75
3226.00,85.80
3225.00,85.85
3224.00,85.91
3223.00,85.97
3222.00,86.02
3221.00,86.06
3220.00,86.10
3219.00,86.14
3218.00,86.19
3217.00,86.25
3216.00,86.31
3215.00,86.37
3214.00,86.43
3213.00,86.48
3212.00,86.52
3211.00,86.56
3210.00,86.60
3209.00,86.64
3208.00,86.69
3207.00,86.73
3206.00,86.78
3205.00,86.81
3204.00,86.85
3203.00,86.87
3202.00,86.90
3201.00,86.93
3200.00,86.98
3199.00,87.04
3198.00,87.10
3197.00,87.14
3196.00,87.16
3195.00,87.18
3194.00,87.20
3193.00,87.22
3192.00,87.24
3191.00,87.28
3190.00,87.32
3189.00,87.37
3188.00,87.42
3187.00,87.47
3186.00,87.51
3185.00,87.54
3184.00,87.58
3183.00,87.61
3182.00,87.64
3181.00,87.68
3180.00,87.71
3179.00,87.74
3178.00,87.77
3177.00,87.79
3176.00,87.82
3175.00,87.86
3174.00,87.90
3173.00,87.95
3172.00,88.00
3171.00,88.04
3170.00,88.07
3169.00,88.10
3168.00,88.11
3167.00,88.14
3166.00,88.18
3165.00,88.23
3164.00,88.28
3163.00,88.32
3162.00,88.36
3161.00,88.39
3160.00,88.43
3159.00,88.46
3158.00,88.50
3157.00,88.54
3156.00,88.58
3155.00,88.61
3154.00,88.65
3153.00,88.68
3152.00,88.73
3151.00,88.78
3150.00,88.84
3149.00,88.89
3148.00,88.93
3147.00,88.98
3146.00,89.01
3145.00,89.05
3144.00,89.09
3143.00,89.12
3142.00,89.17
3141.00,89.21
3140.00,89.27
3139.00,89.32
3138.00,89.38
3137.00,89.42
3136.00,89.47
3135.00,89.51
3134.00,89.56
3133.00,89.62
3132.00,89.69
3131.00,89.75
3130.00,89.82
3129.00,89.88
3128.00,89.94
3127.00,90.00
3126.00,90.05
3125.00,90.10
3124.00,90.16
3123.00,90.23
3122.00,90.30
3121.00,90.37
3120.00,90.42
3119.00,90.47
3118.00,90.52
3117.00,90.56
3116.00,90.61
3115.00,90.67
3114.00,90.73
3113.00,90.79
3112.00,90.86
3111.00,90.91
3110.00,90.95
3109.00,91.00
3108.00,91.05
3107.00,91.12
3106.00,91.19
3105.00,91.27
3104.00,91.33
3103.00,91.38
3102.00,91.41
3101.00,91.45
3100.00,91.50
3099.00,91.57
3098.00,91.65
3097.00,91.73
3096.00,91.80
3095.00,91.86
3094.00,91.90
3093.00,91.93
3092.00,91.96
3091.00,92.00
3090.00,92.05
3089.00,92.10
3088.00,92.15
3087.00,92.22
3086.00,92.28
3085.00,92.34
3084.00,92.39
3083.00,92.43
3082.00,92.46
3081.00,92.50
3080.00,92.54
3079.00,92.59
3078.00,92.65
3077.00,92.71
3076.00,92.77
3075.00,92.82
3074.00,92.87
3073.00,92.92
3072.00,92.96
3071.00,93.00
3070.00,93.05
3069.00,93.10
3068.00,93.15
3067.00,93.20
3066.00,93.24
3065.00,93.28
3064.00,93.31
3063.00,93.35
3062.00,93.39
3061.00,93.44
3060.00,93.48
3059.00,93.52
3058.00,93.54
3057.00,93.57
3056.00,93.59
3055.00,93.62
3054.00,93.67
3053.00,93.74
3052.00,93.80
3051.00,93.86
3050.00,93.90
3049.00,93.92
3048.00,93.95
3047.00,93.97
3046.00,93.99
3045.00,94.02
3044.00,94.07
3043.00,94.13
3042.00,94.19
3041.00,94.24
3040.00,94.27
3039.00,94.29
3038.00,94.31
3037.00,94.33
3036.00,94.35
3035.00,94.38
3034.00,94.41
