Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
3500.00,93.08
3499.00,93.06
3498.00,93.05
3497.00,93.04
3496.00,93.03
3495.00,93.02
3494.00,93.00
3493.00,92.97
3492.00,92.95
3491.00,92.93
3490.00,92.91
3489.00,92.89
3488.00,92.85
3487.00,92.82
3486.00,92.79
3485.00,92.76
3484.00,92.75
3483.00,92.72
3482.00,92.69
3481.00,92.66
3480.00,92.64
3479.00,92.63
3478.00,92.63
3477.00,92.63
3476.00,92.62
3475.00,92.60
3474.00,92.58
3473.00,92.55
3472.00,92.53
3471.00,92.51
3470.00,92.49
3469.00,92.46
3468.00,92.45
3467.00,92.44
3466.00,92.42
3465.00,92.40
3464.00,92.37
3463.00,92.34
3462.00,92.31
3461.00,92.30
3460.00,92.30
3459.00,92.31
3458.00,92.31
3457.00,92.29
3456.00,92.27
3455.00,92.26
3454.00,92.25
3453.00,92.23
3452.00,92.21
3451.00,92.18
3450.00,92.16
3449.00,92.15
3448.00,92.14
3447.00,92.13
3446.00,92.11
3445.00,92.09
3444.00,92.07
3443.00,92.05
3442.00,92.04
3441.00,92.02
3440.00,91.98
3439.00,91.95
3438.00,91.91
3437.00,91.88
3436.00,91.86
3435.00,91.84
3434.00,91.83
3433.00,91.80
3432.00,91.76
3431.00,91.71
3430.00,91.68
3429.00,91.66
3428.00,91.65
3427.00,91.64
3426.00,91.63
3425.00,91.62
3424.00,91.61
3423.00,91.60
3422.00,91.60
3421.00,91.58
3420.00,91.55
3419.00,91.53
3418.00,91.50
3417.00,91.47
3416.00,91.44
3415.00,91.40
3414.00,91.38
3413.00,91.36
3412.00,91.36
3411.00,91.36
3410.00,91.35
3409.00,91.32
3408.00,91.28
3407.00,91.25
3406.00,91.23
3405.00,91.21
3404.00,91.19
3403.00,91.16
3402.00,91.13
3401.00,91.10
3400.00,91.07
3399.00,91.05
3398.00,91.05
3397.00,91.06
3396.00,91.07
3395.00,91.06
3394.00,91.04
3393.00,91.00
3392.00,90.98
3391.00,90.96
3390.00,90.95
3389.00,90.94
3388.00,90.92
3387.00,90.89
3386.00,90.86
3385.00,90.84
3384.00,90.83
3383.00,90.81
3382.00,90.80
3381.00,90.77
3380.00,90.74
3379.00,90.70
3378.00,90.67
3377.00,90.66
3376.00,90.65
3375.00,90.64
3374.00,90.63
3373.00,90.61
3372.00,90.58
3371.00,90.55
3370.00,90.53
3369.00,90.51
3368.00,90.49
3367.00,90.46
3366.00,90.43
3365.00,90.40
3364.00,90.38
3363.00,90.35
3362.00,90.32
3361.00,90.30
3360.00,90.29
3359.00,90.28
3358.00,90.27
3357.00,90.26
3356.00,90.24
3355.00,90.22
3354.00,90.19
3353.00,90.17
3352.00,90.14
3351.00,90.11
3350.00,90.06
3349.00,90.02
3348.00,89.99
3347.00,89.98
3346.00,89.97
3345.00,89.96
3344.00,89.94
3343.00,89.92
3342.00,89.89
3341.00,89.87
3340.00,89.85
3339.00,89.83
3338.00,89.80
3337.00,89.77
3336.00,89.75
3335.00,89.73
3334.00,89.71
3333.00,89.69
3332.00,89.67
3331.00,89.65
3330.00,89.63
3329.00,89.60
3328.00,89.56
3327.00,89.52
3326.00,89.47
3325.00,89.44
3324.00,89.41
3323.00,89.40
3322.00,89.37
3321.00,89.35
3320.00,89.32
3319.00,89.28
3318.00,89.25
3317.00,89.22
3316.00,89.19
3315.00,89.16
3314.00,89.14
3313.00,89.12
3312.00,89.10
3311.00,89.08
3310.00,89.04
3309.00,89.00
3308.00,88.97
3307.00,88.95
3306.00,88.94
3305.00,88.92
3304.00,88.89
3303.00,88.85
3302.00,88.80
3301.00,88.76
3300.00,88.73
3299.00,88.71
3298.00,88.69
3297.00,88.67
3296.00,88.63
3295.00,88.59
3294.00,88.55
3293.00,88.53
3292.00,88.51
3291.00,88.50
3290.00,88.50
3289.00,88.50
3288.00,88.49
3287.00,88.47
3286.00,88.43
3285.00,88.40
3284.00,88.39
3283.00,88.40
3282.00,88.42
3281.00,88.42
3280.00,88.41
3279.00,88.40
3278.00,88.39
3277.00,88.38
3276.00,88.38
3275.00,88.38
3274.00,88.40
3273.00,88.42
3272.00,88.45
3271.00,88.48
3270.00,88.48
3269.00,88.48
3268.00,88.47
3267.00,88.48
3266.00,88.50
3265.00,88.53
3264.00,88.55
3263.00,88.56
3262.00,88.58
3261.00,88.59
3260.00,88.61
3259.00,88.63
3258.00,88.67
3257.00,88.72
3256.00,88.77
3255.00,88.82
3254.00,88.86
3253.00,88.88
3252.00,88.90
3251.00,88.91
3250.00,88.93
3249.00,88.94
3248.00,88.95
3247.00,88.96
3246.00,88.98
3245.00,89.01
3244.00,89.06
3243.00,89.11
3242.00,89.16
3241.00,89.20
3240.00,89.23
3239.00,89.26
3238.00,89.29
3237.00,89.32
3236.00,89.35
3235.00,89.39
3234.00,89.41
3233.00,89.43
