Created as New Dataset,Linen/SS (NC)
cm-1,%T
3111.00,87.35
3110.00,87.42
3109.00,87.48
3108.00,87.54
3107.00,87.59
3106.00,87.63
3105.00,87.68
3104.00,87.74
3103.00,87.81
3102.00,87.89
3101.00,87.96
3100.00,88.02
3099.00,88.08
3098.00,88.12
3097.00,88.16
3096.00,88.21
3095.00,88.27
3094.00,88.34
3093.00,88.41
3092.00,88.47
3091.00,88.52
3090.00,88.56
3089.00,88.60
3088.00,88.64
3087.00,88.69
3086.00,88.75
3085.00,88.79
3084.00,88.84
3083.00,88.88
3082.00,88.93
3081.00,88.98
3080.00,89.03
3079.00,89.08
3078.00,89.13
3077.00,89.18
3076.00,89.24
3075.00,89.30
3074.00,89.36
3073.00,89.42
3072.00,89.47
3071.00,89.52
3070.00,89.56
3069.00,89.60
3068.00,89.63
3067.00,89.67
3066.00,89.71
3065.00,89.76
3064.00,89.81
3063.00,89.86
3062.00,89.90
3061.00,89.95
3060.00,89.99
3059.00,90.04
3058.00,90.08
3057.00,90.13
3056.00,90.18
3055.00,90.24
3054.00,90.29
3053.00,90.34
3052.00,90.38
3051.00,90.41
3050.00,90.44
3049.00,90.46
3048.00,90.50
3047.00,90.54
3046.00,90.58
3045.00,90.62
3044.00,90.67
3043.00,90.72
3042.00,90.76
3041.00,90.79
3040.00,90.81
3039.00,90.84
3038.00,90.88
3037.00,90.92
3036.00,90.96
3035.00,90.99
3034.00,91.02
3033.00,91.05
3032.00,91.09
3031.00,91.13
3030.00,91.16
3029.00,91.19
3028.00,91.20
3027.00,91.22
3026.00,91.25
3025.00,91.28
3024.00,91.32
3023.00,91.36
3022.00,91.39
3021.00,91.42
3020.00,91.43
3019.00,91.43
3018.00,91.43
3017.00,91.45
3016.00,91.48
3015.00,91.52
3014.00,91.54
3013.00,91.56
3012.00,91.58
3011.00,91.59
3010.00,91.61
3009.00,91.63
3008.00,91.65
3007.00,91.66
3006.00,91.68
3005.00,91.69
3004.00,91.71
3003.00,91.72
3002.00,91.73
3001.00,91.75
3000.00,91.78
2999.00,91.81
2998.00,91.82
2997.00,91.83
2996.00,91.83
2995.00,91.83
2994.00,91.81
2993.00,91.80
2992.00,91.79
2991.00,91.78
2990.00,91.78
2989.00,91.77
2988.00,91.76
2987.00,91.73
2986.00,91.70
2985.00,91.66
2984.00,91.62
2983.00,91.58
2982.00,91.54
2981.00,91.50
2980.00,91.45
2979.00,91.39
2978.00,91.30
2977.00,91.18
2976.00,91.06
2975.00,90.93
2974.00,90.81
2973.00,90.68
2972.00,90.56
2971.00,90.44
2970.00,90.34
2969.00,90.24
2968.00,90.17
2967.00,90.11
2966.00,90.06
2965.00,90.02
2964.00,89.98
2963.00,89.93
2962.00,89.86
2961.00,89.79
2960.00,89.70
2959.00,89.59
2958.00,89.47
2957.00,89.37
2956.00,89.26
2955.00,89.15
2954.00,89.01
2953.00,88.86
2952.00,88.70
2951.00,88.54
2950.00,88.39
2949.00,88.25
2948.00,88.13
2947.00,88.01
2946.00,87.90
2945.00,87.80
2944.00,87.70
2943.00,87.59
2942.00,87.48
2941.00,87.37
2940.00,87.27
2939.00,87.16
2938.00,87.05
2937.00,86.94
2936.00,86.81
2935.00,86.68
2934.00,86.55
2933.00,86.40
2932.00,86.25
2931.00,86.08
2930.00,85.89
2929.00,85.72
2928.00,85.55
2927.00,85.38
2926.00,85.21
2925.00,85.03
2924.00,84.87
2923.00,84.71
2922.00,84.57
2921.00,84.43
2920.00,84.31
2919.00,84.22
2918.00,84.16
2917.00,84.14
2916.00,84.14
2915.00,84.15
2914.00,84.17
2913.00,84.20
2912.00,84.24
2911.00,84.27
2910.00,84.29
2909.00,84.30
2908.00,84.29
2907.00,84.26
2906.00,84.24
2905.00,84.21
2904.00,84.20
2903.00,84.18
2902.00,84.17
2901.00,84.16
2900.00,84.16
2899.00,84.19
2898.00,84.24
2897.00,84.30
2896.00,84.36
2895.00,84.43
2894.00,84.51
2893.00,84.60
2892.00,84.70
2891.00,84.80
2890.00,84.89
2889.00,84.98
2888.00,85.08
2887.00,85.17
2886.00,85.27
2885.00,85.36
2884.00,85.44
2883.00,85.51
2882.00,85.57
2881.00,85.63
2880.00,85.70
2879.00,85.76
2878.00,85.80
2877.00,85.84
2876.00,85.86
2875.00,85.87
2874.00,85.88
2873.00,85.88
2872.00,85.89
2871.00,85.90
2870.00,85.91
2869.00,85.93
2868.00,85.96
2867.00,85.99
2866.00,86.01
2865.00,86.04
2864.00,86.06
2863.00,86.08
2862.00,86.09
2861.00,86.08
2860.00,86.05
2859.00,86.02
2858.00,86.00
2857.00,85.99
2856.00,85.98
2855.00,85.96
2854.00,85.95
2853.00,85.95
2852.00,86.00
2851.00,86.12
2850.00,86.30
2849.00,86.55
2848.00,86.83
2847.00,87.12
2846.00,87.42
2845.00,87.71
2844.00,87.98
2843.00,88.21
2842.00,88.43
2841.00,88.63
2840.00,88.82
2839.00,89.00
2838.00,89.17
2837.00,89.33
2836.00,89.47
2835.00,89.59
2834.00,89.68
2833.00,89.77
2832.00,89.85
2831.00,89.94
2830.00,90.03
2829.00,90.12
2828.00,90.19
2827.00,90.26
2826.00,90.31
2825.00,90.37
2824.00,90.42
2823.00,90.49
2822.00,90.55
2821.00,90.61
2820.00,90.67
2819.00,90.72
2818.00,90.77
2817.00,90.82
2816.00,90.86
2815.00,90.91
2814.00,90.96
2813.00,91.01
2812.00,91.05
2811.00,91.09
2810.00,91.14
2809.00,91.18
2808.00,91.22
2807.00,91.27
2806.00,91.31
2805.00,91.35
2804.00,91.38
2803.00,91.42
2802.00,91.46
2801.00,91.50
2800.00,91.53
2799.00,91.54
2798.00,91.56
2797.00,91.59
2796.00,91.63
2795.00,91.67
2794.00,91.70
2793.00,91.74
2792.00,91.76
2791.00,91.79
2790.00,91.81
2789.00,91.84
2788.00,91.87
2787.00,91.90
2786.00,91.92
2785.00,91.95
2784.00,91.97
2783.00,91.98
2782.00,91.98
2781.00,91.97
2780.00,91.97
2779.00,91.98
2778.00,92.01
2777.00,92.04
2776.00,92.07
2775.00,92.09
2774.00,92.10
2773.00,92.11
2772.00,92.12
2771.00,92.14
2770.00,92.17
2769.00,92.19
2768.00,92.20
2767.00,92.20
2766.00,92.20
2765.00,92.19
2764.00,92.19
2763.00,92.21
2762.00,92.23
2761.00,92.24
2760.00,92.25
2759.00,92.26
2758.00,92.28
2757.00,92.29
2756.00,92.29
2755.00,92.29
2754.00,92.28
