Created as New Dataset,127 Shaw Industries
cm-1,%T
3342.00,100.67
3341.00,100.65
3340.00,100.63
3339.00,100.61
3338.00,100.62
3337.00,100.64
3336.00,100.67
3335.00,100.69
3334.00,100.71
3333.00,100.72
3332.00,100.72
3331.00,100.72
3330.00,100.71
3329.00,100.69
3328.00,100.68
3327.00,100.67
3326.00,100.68
3325.00,100.69
3324.00,100.71
3323.00,100.72
3322.00,100.72
3321.00,100.72
3320.00,100.73
3319.00,100.74
3318.00,100.75
3317.00,100.75
3316.00,100.75
3315.00,100.73
3314.00,100.70
3313.00,100.67
3312.00,100.65
3311.00,100.65
3310.00,100.67
3309.00,100.69
3308.00,100.72
3307.00,100.73
3306.00,100.73
3305.00,100.72
3304.00,100.70
3303.00,100.70
3302.00,100.71
3301.00,100.72
3300.00,100.73
3299.00,100.73
3298.00,100.72
3297.00,100.70
3296.00,100.68
3295.00,100.66
3294.00,100.67
3293.00,100.68
3292.00,100.70
3291.00,100.71
3290.00,100.71
3289.00,100.70
3288.00,100.68
3287.00,100.67
3286.00,100.65
3285.00,100.64
3284.00,100.65
3283.00,100.67
3282.00,100.68
3281.00,100.68
3280.00,100.67
3279.00,100.65
3278.00,100.63
3277.00,100.64
3276.00,100.66
3275.00,100.68
3274.00,100.69
3273.00,100.69
3272.00,100.68
3271.00,100.68
3270.00,100.68
3269.00,100.68
3268.00,100.69
3267.00,100.69
3266.00,100.69
3265.00,100.69
3264.00,100.70
3263.00,100.71
3262.00,100.73
3261.00,100.73
3260.00,100.72
3259.00,100.70
3258.00,100.69
3257.00,100.67
3256.00,100.67
3255.00,100.66
3254.00,100.65
3253.00,100.64
3252.00,100.64
3251.00,100.65
3250.00,100.66
3249.00,100.67
3248.00,100.68
3247.00,100.68
3246.00,100.68
3245.00,100.68
3244.00,100.67
3243.00,100.66
3242.00,100.65
3241.00,100.65
3240.00,100.65
3239.00,100.65
3238.00,100.64
3237.00,100.63
3236.00,100.63
3235.00,100.64
3234.00,100.66
3233.00,100.67
3232.00,100.67
3231.00,100.65
3230.00,100.64
3229.00,100.63
3228.00,100.62
3227.00,100.61
3226.00,100.60
3225.00,100.59
3224.00,100.59
3223.00,100.59
3222.00,100.59
3221.00,100.58
3220.00,100.56
3219.00,100.55
3218.00,100.53
3217.00,100.53
3216.00,100.55
3215.00,100.58
3214.00,100.61
3213.00,100.62
3212.00,100.61
3211.00,100.60
3210.00,100.58
3209.00,100.58
3208.00,100.58
3207.00,100.59
3206.00,100.60
3205.00,100.59
3204.00,100.58
3203.00,100.56
3202.00,100.56
3201.00,100.56
3200.00,100.57
3199.00,100.57
3198.00,100.57
3197.00,100.56
3196.00,100.55
3195.00,100.56
3194.00,100.57
3193.00,100.59
3192.00,100.59
3191.00,100.59
3190.00,100.58
3189.00,100.57
3188.00,100.56
3187.00,100.57
3186.00,100.58
3185.00,100.59
3184.00,100.60
3183.00,100.60
3182.00,100.59
3181.00,100.58
3180.00,100.57
3179.00,100.58
3178.00,100.59
3177.00,100.60
3176.00,100.61
3175.00,100.60
3174.00,100.59
3173.00,100.58
3172.00,100.57
3171.00,100.58
3170.00,100.60
3169.00,100.61
3168.00,100.61
3167.00,100.60
3166.00,100.60
3165.00,100.59
3164.00,100.59
3163.00,100.59
3162.00,100.58
3161.00,100.59
3160.00,100.60
3159.00,100.63
3158.00,100.66
3157.00,100.67
3156.00,100.66
3155.00,100.65
3154.00,100.64
3153.00,100.62
3152.00,100.62
3151.00,100.61
3150.00,100.61
3149.00,100.63
3148.00,100.65
3147.00,100.66
3146.00,100.66
3145.00,100.63
3144.00,100.61
3143.00,100.60
3142.00,100.61
3141.00,100.61
3140.00,100.61
3139.00,100.61
3138.00,100.61
3137.00,100.62
3136.00,100.63
3135.00,100.64
3134.00,100.64
3133.00,100.64
3132.00,100.64
3131.00,100.65
3130.00,100.66
3129.00,100.67
3128.00,100.67
3127.00,100.67
3126.00,100.67
3125.00,100.67
3124.00,100.69
3123.00,100.70
3122.00,100.69
3121.00,100.68
3120.00,100.65
3119.00,100.64
3118.00,100.64
3117.00,100.65
3116.00,100.66
3115.00,100.67
3114.00,100.69
3113.00,100.69
3112.00,100.70
3111.00,100.70
3110.00,100.69
3109.00,100.68
3108.00,100.68
3107.00,100.67
3106.00,100.67
3105.00,100.66
3104.00,100.65
3103.00,100.64
3102.00,100.65
3101.00,100.67
3100.00,100.69
3099.00,100.69
3098.00,100.69
3097.00,100.69
3096.00,100.69
3095.00,100.70
3094.00,100.70
3093.00,100.71
3092.00,100.71
3091.00,100.72
3090.00,100.71
3089.00,100.70
3088.00,100.69
3087.00,100.68
3086.00,100.67
3085.00,100.67
3084.00,100.68
3083.00,100.69
3082.00,100.70
3081.00,100.70
3080.00,100.69
3079.00,100.68
3078.00,100.68
3077.00,100.68
3076.00,100.69
3075.00,100.69
3074.00,100.68
3073.00,100.68
3072.00,100.68
3071.00,100.68
3070.00,100.67
3069.00,100.67
3068.00,100.68
3067.00,100.68
3066.00,100.68
3065.00,100.68
3064.00,100.68
3063.00,100.69
3062.00,100.69
3061.00,100.69
3060.00,100.69
3059.00,100.68
3058.00,100.67
3057.00,100.66
3056.00,100.65
3055.00,100.65
3054.00,100.65
3053.00,100.65
3052.00,100.65
3051.00,100.65
3050.00,100.64
3049.00,100.63
3048.00,100.63
3047.00,100.64
3046.00,100.64
3045.00,100.64
3044.00,100.64
3043.00,100.64
3042.00,100.65
3041.00,100.65
3040.00,100.65
3039.00,100.64
3038.00,100.63
3037.00,100.63
3036.00,100.64
3035.00,100.65
3034.00,100.65
3033.00,100.64
3032.00,100.63
3031.00,100.61
3030.00,100.60
3029.00,100.59
3028.00,100.56
3027.00,100.54
3026.00,100.52
3025.00,100.52
3024.00,100.53
3023.00,100.54
3022.00,100.53
3021.00,100.52
3020.00,100.51
3019.00,100.50
3018.00,100.49
3017.00,100.49
3016.00,100.47
3015.00,100.46
3014.00,100.45
3013.00,100.44
3012.00,100.42
3011.00,100.40
3010.00,100.37
3009.00,100.34
3008.00,100.33
3007.00,100.31
3006.00,100.29
3005.00,100.26
3004.00,100.23
3003.00,100.20
3002.00,100.18
3001.00,100.16
3000.00,100.15
2999.00,100.13
2998.00,100.10
2997.00,100.06
2996.00,100.00
2995.00,99.94
2994.00,99.88
2993.00,99.81
2992.00,99.75
2991.00,99.68
2990.00,99.62
2989.00,99.54
2988.00,99.44
2987.00,99.33
2986.00,99.20
2985.00,99.06
2984.00,98.91
2983.00,98.75
2982.00,98.56
2981.00,98.35
2980.00,98.12
2979.00,97.87
2978.00,97.59
2977.00,97.27
2976.00,96.91
2975.00,96.51
2974.00,96.04
2973.00,95.51
2972.00,94.91
2971.00,94.25
2970.00,93.54
2969.00,92.80
2968.00,92.01
2967.00,91.18
2966.00,90.33
2965.00,89.47
2964.00,88.66
2963.00,87.93
2962.00,87.29
2961.00,86.74
2960.00,86.27
2959.00,85.83
2958.00,85.39
2957.00,84.89
2956.00,84.29
2955.00,83.59
2954.00,82.82
2953.00,82.06
2952.00,81.42
2951.00,81.00
2950.00,80.90
2949.00,81.17
2948.00,81.81
2947.00,82.76
2946.00,83.93
2945.00,85.20
2944.00,86.46
2943.00,87.61
2942.00,88.56
2941.00,89.27
2940.00,89.73
2939.00,89.94
2938.00,89.94
2937.00,89.75
2936.00,89.40
2935.00,88.89
2934.00,88.23
2933.00,87.45
2932.00,86.58
2931.00,85.64
2930.00,84.66
2929.00,83.66
2928.00,82.68
2927.00,81.74
2926.00,80.84
2925.00,79.99
2924.00,79.17
2923.00,78.36
2922.00,77.57
2921.00,76.82
2920.00,76.17
2919.00,75.70
2918.00,75.49
2917.00,75.56
2916.00,75.91
2915.00,76.49
2914.00,77.19
2913.00,77.96
2912.00,78.73
2911.00,79.45
2910.00,80.11
2909.00,80.73
2908.00,81.32
2907.00,81.92
2906.00,82.54
2905.00,83.17
2904.00,83.81
2903.00,84.44
2902.00,85.07
2901.00,85.69
2900.00,86.28
2899.00,86.85
2898.00,87.38
2897.00,87.87
2896.00,88.30
2895.00,88.66
2894.00,88.94
2893.00,89.15
2892.00,89.30
2891.00,89.41
2890.00,89.46
2889.00,89.47
2888.00,89.44
2887.00,89.35
2886.00,89.23
2885.00,89.07
2884.00,88.88
2883.00,88.65
2882.00,88.38
2881.00,88.08
2880.00,87.80
2879.00,87.57
2878.00,87.40
2877.00,87.31
2876.00,87.29
2875.00,87.30
2874.00,87.32
2873.00,87.31
2872.00,87.24
2871.00,87.10
