Created as New Dataset,12.3 Lincoln Sheep
cm-1,%T
3348.00,90.24
3347.00,90.19
3346.00,90.15
3345.00,90.12
3344.00,90.08
3343.00,90.04
3342.00,90.00
3341.00,89.96
3340.00,89.92
3339.00,89.89
3338.00,89.86
3337.00,89.83
3336.00,89.79
3335.00,89.75
3334.00,89.70
3333.00,89.67
3332.00,89.64
3331.00,89.61
3330.00,89.57
3329.00,89.53
3328.00,89.48
3327.00,89.44
3326.00,89.38
3325.00,89.32
3324.00,89.27
3323.00,89.23
3322.00,89.19
3321.00,89.16
3320.00,89.12
3319.00,89.07
3318.00,89.02
3317.00,88.97
3316.00,88.92
3315.00,88.88
3314.00,88.84
3313.00,88.82
3312.00,88.80
3311.00,88.75
3310.00,88.69
3309.00,88.63
3308.00,88.57
3307.00,88.54
3306.00,88.51
3305.00,88.48
3304.00,88.42
3303.00,88.37
3302.00,88.33
3301.00,88.29
3300.00,88.27
3299.00,88.24
3298.00,88.20
3297.00,88.15
3296.00,88.11
3295.00,88.06
3294.00,88.03
3293.00,88.00
3292.00,87.98
3291.00,87.95
3290.00,87.93
3289.00,87.90
3288.00,87.88
3287.00,87.87
3286.00,87.86
3285.00,87.86
3284.00,87.85
3283.00,87.83
3282.00,87.81
3281.00,87.78
3280.00,87.76
3279.00,87.75
3278.00,87.75
3277.00,87.77
3276.00,87.79
3275.00,87.82
3274.00,87.83
3273.00,87.85
3272.00,87.86
3271.00,87.88
3270.00,87.90
3269.00,87.92
3268.00,87.95
3267.00,87.98
3266.00,88.01
3265.00,88.04
3264.00,88.07
3263.00,88.11
3262.00,88.16
3261.00,88.22
3260.00,88.27
3259.00,88.31
3258.00,88.36
3257.00,88.41
3256.00,88.46
3255.00,88.51
3254.00,88.55
3253.00,88.59
3252.00,88.64
3251.00,88.70
3250.00,88.77
3249.00,88.82
3248.00,88.87
3247.00,88.91
3246.00,88.96
3245.00,89.01
3244.00,89.07
3243.00,89.12
3242.00,89.17
3241.00,89.20
3240.00,89.23
3239.00,89.25
3238.00,89.29
3237.00,89.34
3236.00,89.39
3235.00,89.42
3234.00,89.44
3233.00,89.45
3232.00,89.48
3231.00,89.52
3230.00,89.57
3229.00,89.62
3228.00,89.67
3227.00,89.72
3226.00,89.77
3225.00,89.82
3224.00,89.86
3223.00,89.89
3222.00,89.93
3221.00,89.96
3220.00,89.98
3219.00,90.01
3218.00,90.04
3217.00,90.06
3216.00,90.09
3215.00,90.11
3214.00,90.14
3213.00,90.17
3212.00,90.19
3211.00,90.22
3210.00,90.26
3209.00,90.29
3208.00,90.32
3207.00,90.34
3206.00,90.36
3205.00,90.40
3204.00,90.44
3203.00,90.49
3202.00,90.55
3201.00,90.61
3200.00,90.67
3199.00,90.71
3198.00,90.74
3197.00,90.75
3196.00,90.77
3195.00,90.79
3194.00,90.84
3193.00,90.89
3192.00,90.94
3191.00,90.98
3190.00,91.01
3189.00,91.04
3188.00,91.08
3187.00,91.13
3186.00,91.19
3185.00,91.24
3184.00,91.29
3183.00,91.34
3182.00,91.39
3181.00,91.46
3180.00,91.53
3179.00,91.60
3178.00,91.65
3177.00,91.69
3176.00,91.73
3175.00,91.78
3174.00,91.83
3173.00,91.87
3172.00,91.90
3171.00,91.93
3170.00,91.98
3169.00,92.05
3168.00,92.12
3167.00,92.19
3166.00,92.24
3165.00,92.29
3164.00,92.34
3163.00,92.38
3162.00,92.42
3161.00,92.45
3160.00,92.48
3159.00,92.50
3158.00,92.53
3157.00,92.58
3156.00,92.65
3155.00,92.72
3154.00,92.79
3153.00,92.86
3152.00,92.91
3151.00,92.95
3150.00,93.00
3149.00,93.04
3148.00,93.09
3147.00,93.13
3146.00,93.15
3145.00,93.18
3144.00,93.20
3143.00,93.24
3142.00,93.29
3141.00,93.35
3140.00,93.39
3139.00,93.42
3138.00,93.44
3137.00,93.46
3136.00,93.50
3135.00,93.55
3134.00,93.60
3133.00,93.65
3132.00,93.69
3131.00,93.71
3130.00,93.72
3129.00,93.72
3128.00,93.73
3127.00,93.75
3126.00,93.78
3125.00,93.81
3124.00,93.84
3123.00,93.87
3122.00,93.91
3121.00,93.94
3120.00,93.97
3119.00,93.99
3118.00,94.00
3117.00,93.99
3116.00,93.98
3115.00,93.97
3114.00,93.96
3113.00,93.96
3112.00,93.97
3111.00,94.00
3110.00,94.03
3109.00,94.04
3108.00,94.05
3107.00,94.03
3106.00,94.02
3105.00,94.00
3104.00,93.99
3103.00,94.00
3102.00,94.01
3101.00,94.04
3100.00,94.06
3099.00,94.07
3098.00,94.05
3097.00,94.03
3096.00,94.01
3095.00,93.98
3094.00,93.96
3093.00,93.93
3092.00,93.92
3091.00,93.92
3090.00,93.92
3089.00,93.92
3088.00,93.91
3087.00,93.89
3086.00,93.87
3085.00,93.84
3084.00,93.82
3083.00,93.80
3082.00,93.80
3081.00,93.79
3080.00,93.78
3079.00,93.76
3078.00,93.73
3077.00,93.71
3076.00,93.70
3075.00,93.70
3074.00,93.70
3073.00,93.69
3072.00,93.68
3071.00,93.67
3070.00,93.66
3069.00,93.67
3068.00,93.68
3067.00,93.70
3066.00,93.71
3065.00,93.72
3064.00,93.73
3063.00,93.74
3062.00,93.75
3061.00,93.76
3060.00,93.78
3059.00,93.80
3058.00,93.82
3057.00,93.84
3056.00,93.87
3055.00,93.90
3054.00,93.92
3053.00,93.94
3052.00,93.97
3051.00,93.99
3050.00,94.02
3049.00,94.05
3048.00,94.08
3047.00,94.11
3046.00,94.15
3045.00,94.18
3044.00,94.21
3043.00,94.23
3042.00,94.25
3041.00,94.25
3040.00,94.26
3039.00,94.28
3038.00,94.30
3037.00,94.33
3036.00,94.36
3035.00,94.38
3034.00,94.40
3033.00,94.41
3032.00,94.42
3031.00,94.42
3030.00,94.43
3029.00,94.46
3028.00,94.48
3027.00,94.51
3026.00,94.54
3025.00,94.56
3024.00,94.59
3023.00,94.60
3022.00,94.61
3021.00,94.62
3020.00,94.63
3019.00,94.65
3018.00,94.66
3017.00,94.66
3016.00,94.66
3015.00,94.65
3014.00,94.64
3013.00,94.63
3012.00,94.62
3011.00,94.60
3010.00,94.57
3009.00,94.54
3008.00,94.50
3007.00,94.47
3006.00,94.43
3005.00,94.38
3004.00,94.34
3003.00,94.30
3002.00,94.26
3001.00,94.21
3000.00,94.16
2999.00,94.09
2998.00,94.02
2997.00,93.94
2996.00,93.85
2995.00,93.74
2994.00,93.64
2993.00,93.52
2992.00,93.39
2991.00,93.25
2990.00,93.09
2989.00,92.94
2988.00,92.78
2987.00,92.63
2986.00,92.45
2985.00,92.27
2984.00,92.08
2983.00,91.89
2982.00,91.69
2981.00,91.48
2980.00,91.26
2979.00,91.02
2978.00,90.77
2977.00,90.49
2976.00,90.20
2975.00,89.91
2974.00,89.61
2973.00,89.30
2972.00,88.97
2971.00,88.62
2970.00,88.26
2969.00,87.89
2968.00,87.51
2967.00,87.12
2966.00,86.72
2965.00,86.33
2964.00,85.94
2963.00,85.57
2962.00,85.22
2961.00,84.88
2960.00,84.57
2959.00,84.27
2958.00,84.00
2957.00,83.77
2956.00,83.62
2955.00,83.54
2954.00,83.54
2953.00,83.60
2952.00,83.70
2951.00,83.81
2950.00,83.89
2949.00,83.94
2948.00,83.94
2947.00,83.87
2946.00,83.74
2945.00,83.54
2944.00,83.25
2943.00,82.90
2942.00,82.49
2941.00,82.04
2940.00,81.54
2939.00,80.98
2938.00,80.36
2937.00,79.68
2936.00,78.97
2935.00,78.23
2934.00,77.47
2933.00,76.69
2932.00,75.89
2931.00,75.07
2930.00,74.22
2929.00,73.36
2928.00,72.49
2927.00,71.61
2926.00,70.73
2925.00,69.85
2924.00,68.95
2923.00,68.04
2922.00,67.12
2921.00,66.20
2920.00,65.32
2919.00,64.57
2918.00,64.05
2917.00,63.89
2916.00,64.23
2915.00,65.12
2914.00,66.49
2913.00,68.21
2912.00,70.06
2911.00,71.87
2910.00,73.51
2909.00,74.94
2908.00,76.16
2907.00,77.20
2906.00,78.08
2905.00,78.84
2904.00,79.50
2903.00,80.09
2902.00,80.62
2901.00,81.09
2900.00,81.54
2899.00,81.97
2898.00,82.38
2897.00,82.77
2896.00,83.16
2895.00,83.54
2894.00,83.91
2893.00,84.28
2892.00,84.64
2891.00,84.99
2890.00,85.32
2889.00,85.64
2888.00,85.93
2887.00,86.21
2886.00,86.47
2885.00,86.72
2884.00,86.93
2883.00,87.11
2882.00,87.24
2881.00,87.34
2880.00,87.39
2879.00,87.41
2878.00,87.38
2877.00,87.32
2876.00,87.22
2875.00,87.08
2874.00,86.94
2873.00,86.81
2872.00,86.72
2871.00,86.67
2870.00,86.67
2869.00,86.69
2868.00,86.71
2867.00,86.69
2866.00,86.60
2865.00,86.44
2864.00,86.17
2863.00,85.80
2862.00,85.31
2861.00,84.69
2860.00,83.96
2859.00,83.11
2858.00,82.16
2857.00,81.11
2856.00,79.96
2855.00,78.70
2854.00,77.34
2853.00,75.89
2852.00,74.48
2851.00,73.30
2850.00,72.63
2849.00,72.73
2848.00,73.70
2847.00,75.46
2846.00,77.71
2845.00,80.15
2844.00,82.48
2843.00,84.56
2842.00,86.34
2841.00,87.83
2840.00,89.07
2839.00,90.09
2838.00,90.92
2837.00,91.60
2836.00,92.17
2835.00,92.66
2834.00,93.06
2833.00,93.39
2832.00,93.67
2831.00,93.91
2830.00,94.13
2829.00,94.34
2828.00,94.52
2827.00,94.69
2826.00,94.84
2825.00,94.99
2824.00,95.12
2823.00,95.24
2822.00,95.36
2821.00,95.47
2820.00,95.58
2819.00,95.68
2818.00,95.76
2817.00,95.83
2816.00,95.89
2815.00,95.93
2814.00,95.98
2813.00,96.05
2812.00,96.12
2811.00,96.20
2810.00,96.27
2809.00,96.33
2808.00,96.39
2807.00,96.45
2806.00,96.51
2805.00,96.57
2804.00,96.61
2803.00,96.65
2802.00,96.68
2801.00,96.71
2800.00,96.74
2799.00,96.78
2798.00,96.83
2797.00,96.88
2796.00,96.91
2795.00,96.95
2794.00,96.98
2793.00,97.02
2792.00,97.07
2791.00,97.11
2790.00,97.15
2789.00,97.17
2788.00,97.20
2787.00,97.22
2786.00,97.24
2785.00,97.27
2784.00,97.31
2783.00,97.36
2782.00,97.41
2781.00,97.45
2780.00,97.48
2779.00,97.50
2778.00,97.52
2777.00,97.53
2776.00,97.55
2775.00,97.58
2774.00,97.60
2773.00,97.63
2772.00,97.66
2771.00,97.70
2770.00,97.73
2769.00,97.75
2768.00,97.77
2767.00,97.78
2766.00,97.79
2765.00,97.79
2764.00,97.80
2763.00,97.80
2762.00,97.81
2761.00,97.82
