Created as New Dataset,15.4 Red Wool sheep with much darker fibres natural
cm-1,%T
3380.00,96.73
3379.00,96.73
3378.00,96.73
3377.00,96.71
3376.00,96.68
3375.00,96.64
3374.00,96.61
3373.00,96.57
3372.00,96.54
3371.00,96.51
3370.00,96.50
3369.00,96.51
3368.00,96.52
3367.00,96.51
3366.00,96.50
3365.00,96.47
3364.00,96.45
3363.00,96.43
3362.00,96.42
3361.00,96.42
3360.00,96.41
3359.00,96.40
3358.00,96.38
3357.00,96.36
3356.00,96.35
3355.00,96.35
3354.00,96.36
3353.00,96.37
3352.00,96.35
3351.00,96.33
3350.00,96.30
3349.00,96.28
3348.00,96.25
3347.00,96.23
3346.00,96.22
3345.00,96.23
3344.00,96.24
3343.00,96.25
3342.00,96.23
3341.00,96.20
3340.00,96.17
3339.00,96.14
3338.00,96.11
3337.00,96.08
3336.00,96.06
3335.00,96.05
3334.00,96.05
3333.00,96.05
3332.00,96.04
3331.00,96.02
3330.00,96.01
3329.00,96.01
3328.00,96.01
3327.00,95.99
3326.00,95.95
3325.00,95.92
3324.00,95.88
3323.00,95.86
3322.00,95.84
3321.00,95.81
3320.00,95.79
3319.00,95.77
3318.00,95.77
3317.00,95.77
3316.00,95.77
3315.00,95.75
3314.00,95.73
3313.00,95.69
3312.00,95.66
3311.00,95.64
3310.00,95.63
3309.00,95.63
3308.00,95.63
3307.00,95.62
3306.00,95.60
3305.00,95.57
3304.00,95.53
3303.00,95.49
3302.00,95.45
3301.00,95.42
3300.00,95.40
3299.00,95.41
3298.00,95.43
3297.00,95.46
3296.00,95.47
3295.00,95.47
3294.00,95.45
3293.00,95.42
3292.00,95.38
3291.00,95.34
3290.00,95.30
3289.00,95.27
3288.00,95.26
3287.00,95.27
3286.00,95.29
3285.00,95.29
3284.00,95.28
3283.00,95.27
3282.00,95.26
3281.00,95.27
3280.00,95.28
3279.00,95.28
3278.00,95.28
3277.00,95.27
3276.00,95.27
3275.00,95.27
3274.00,95.27
3273.00,95.26
3272.00,95.26
3271.00,95.26
3270.00,95.27
3269.00,95.29
3268.00,95.31
3267.00,95.32
3266.00,95.33
3265.00,95.33
3264.00,95.33
3263.00,95.34
3262.00,95.35
3261.00,95.36
3260.00,95.37
3259.00,95.38
3258.00,95.40
3257.00,95.42
3256.00,95.45
3255.00,95.48
3254.00,95.49
3253.00,95.51
3252.00,95.52
3251.00,95.54
3250.00,95.55
3249.00,95.57
3248.00,95.60
3247.00,95.62
3246.00,95.65
3245.00,95.66
3244.00,95.68
3243.00,95.70
3242.00,95.72
3241.00,95.73
3240.00,95.72
3239.00,95.71
3238.00,95.72
3237.00,95.75
3236.00,95.78
3235.00,95.81
3234.00,95.81
3233.00,95.82
3232.00,95.83
3231.00,95.85
3230.00,95.87
3229.00,95.89
3228.00,95.90
3227.00,95.91
3226.00,95.93
3225.00,95.96
3224.00,95.97
3223.00,95.97
3222.00,95.97
3221.00,95.97
3220.00,95.98
3219.00,96.00
3218.00,96.04
3217.00,96.08
3216.00,96.13
3215.00,96.16
3214.00,96.17
3213.00,96.17
3212.00,96.17
3211.00,96.17
3210.00,96.17
3209.00,96.18
3208.00,96.18
3207.00,96.19
3206.00,96.21
3205.00,96.22
3204.00,96.24
3203.00,96.25
3202.00,96.25
3201.00,96.25
3200.00,96.26
3199.00,96.27
3198.00,96.29
3197.00,96.33
3196.00,96.37
3195.00,96.40
3194.00,96.43
3193.00,96.45
3192.00,96.46
3191.00,96.47
3190.00,96.48
3189.00,96.48
3188.00,96.49
3187.00,96.51
3186.00,96.53
3185.00,96.57
3184.00,96.60
3183.00,96.61
3182.00,96.62
3181.00,96.61
3180.00,96.60
3179.00,96.60
3178.00,96.60
3177.00,96.62
3176.00,96.64
3175.00,96.68
3174.00,96.71
3173.00,96.73
3172.00,96.76
3171.00,96.79
3170.00,96.83
3169.00,96.86
3168.00,96.90
3167.00,96.93
3166.00,96.95
3165.00,96.96
3164.00,96.96
3163.00,96.97
3162.00,96.98
3161.00,97.00
3160.00,97.03
3159.00,97.07
3158.00,97.11
3157.00,97.16
