Created as New Dataset,16.2 Bombyx mori
cm-1,%T
3375.00,92.44
3374.00,92.40
3373.00,92.37
3372.00,92.35
3371.00,92.35
3370.00,92.34
3369.00,92.33
3368.00,92.31
3367.00,92.28
3366.00,92.26
3365.00,92.23
3364.00,92.20
3363.00,92.17
3362.00,92.14
3361.00,92.10
3360.00,92.05
3359.00,91.99
3358.00,91.94
3357.00,91.90
3356.00,91.86
3355.00,91.82
3354.00,91.79
3353.00,91.76
3352.00,91.73
3351.00,91.70
3350.00,91.66
3349.00,91.60
3348.00,91.54
3347.00,91.48
3346.00,91.42
3345.00,91.35
3344.00,91.29
3343.00,91.24
3342.00,91.18
3341.00,91.12
3340.00,91.06
3339.00,91.01
3338.00,90.95
3337.00,90.90
3336.00,90.84
3335.00,90.77
3334.00,90.68
3333.00,90.58
3332.00,90.48
3331.00,90.39
3330.00,90.31
3329.00,90.22
3328.00,90.14
3327.00,90.05
3326.00,89.95
3325.00,89.84
3324.00,89.73
3323.00,89.63
3322.00,89.53
3321.00,89.42
3320.00,89.33
3319.00,89.24
3318.00,89.14
3317.00,89.04
3316.00,88.93
3315.00,88.81
3314.00,88.69
3313.00,88.56
3312.00,88.42
3311.00,88.27
3310.00,88.13
3309.00,88.00
3308.00,87.88
3307.00,87.76
3306.00,87.63
3305.00,87.49
3304.00,87.36
3303.00,87.24
3302.00,87.12
3301.00,87.01
3300.00,86.88
3299.00,86.75
3298.00,86.62
3297.00,86.50
3296.00,86.40
3295.00,86.31
3294.00,86.21
3293.00,86.11
3292.00,86.01
3291.00,85.92
3290.00,85.84
3289.00,85.75
3288.00,85.67
3287.00,85.59
3286.00,85.51
3285.00,85.45
3284.00,85.40
3283.00,85.37
3282.00,85.34
3281.00,85.33
3280.00,85.34
3279.00,85.36
3278.00,85.37
3277.00,85.37
3276.00,85.37
3275.00,85.40
3274.00,85.45
3273.00,85.52
3272.00,85.59
3271.00,85.65
3270.00,85.71
3269.00,85.77
3268.00,85.85
3267.00,85.94
3266.00,86.03
3265.00,86.11
3264.00,86.19
3263.00,86.27
3262.00,86.37
3261.00,86.47
3260.00,86.58
3259.00,86.68
3258.00,86.77
3257.00,86.86
3256.00,86.95
3255.00,87.04
3254.00,87.12
3253.00,87.20
3252.00,87.29
3251.00,87.38
3250.00,87.47
3249.00,87.57
3248.00,87.66
3247.00,87.74
3246.00,87.81
3245.00,87.86
3244.00,87.90
3243.00,87.96
3242.00,88.03
3241.00,88.11
3240.00,88.18
3239.00,88.26
3238.00,88.34
3237.00,88.42
3236.00,88.50
3235.00,88.56
3234.00,88.61
3233.00,88.66
3232.00,88.71
3231.00,88.77
3230.00,88.83
3229.00,88.88
3228.00,88.93
3227.00,88.96
3226.00,88.99
3225.00,89.04
3224.00,89.09
3223.00,89.16
3222.00,89.22
3221.00,89.28
3220.00,89.32
3219.00,89.37
3218.00,89.41
3217.00,89.47
3216.00,89.53
3215.00,89.59
3214.00,89.64
3213.00,89.69
3212.00,89.72
3211.00,89.76
3210.00,89.81
3209.00,89.87
