Created as New Dataset,103. Du Pont (Red thread)
cm-1,%T
3252.00,93.94
3251.00,94.00
3250.00,94.07
3249.00,94.15
3248.00,94.24
3247.00,94.32
3246.00,94.39
3245.00,94.46
3244.00,94.52
3243.00,94.59
3242.00,94.65
3241.00,94.72
3240.00,94.79
3239.00,94.87
3238.00,94.95
3237.00,95.03
3236.00,95.09
3235.00,95.16
3234.00,95.23
3233.00,95.31
3232.00,95.37
3231.00,95.41
3230.00,95.45
3229.00,95.49
3228.00,95.54
3227.00,95.60
3226.00,95.66
3225.00,95.71
3224.00,95.75
3223.00,95.78
3222.00,95.81
3221.00,95.84
3220.00,95.88
3219.00,95.92
3218.00,95.98
3217.00,96.04
3216.00,96.09
3215.00,96.13
3214.00,96.16
3213.00,96.18
3212.00,96.20
3211.00,96.21
3210.00,96.22
3209.00,96.23
3208.00,96.24
3207.00,96.26
3206.00,96.28
3205.00,96.31
3204.00,96.34
3203.00,96.35
3202.00,96.35
3201.00,96.35
3200.00,96.34
3199.00,96.34
3198.00,96.35
3197.00,96.36
3196.00,96.39
3195.00,96.43
3194.00,96.46
3193.00,96.48
3192.00,96.49
3191.00,96.50
3190.00,96.51
3189.00,96.50
3188.00,96.50
3187.00,96.50
3186.00,96.53
3185.00,96.57
3184.00,96.62
3183.00,96.67
3182.00,96.71
3181.00,96.75
3180.00,96.77
3179.00,96.78
3178.00,96.79
3177.00,96.80
3176.00,96.81
3175.00,96.83
3174.00,96.86
3173.00,96.90
3172.00,96.94
3171.00,96.97
3170.00,96.99
3169.00,97.00
3168.00,97.00
3167.00,97.02
3166.00,97.05
3165.00,97.08
3164.00,97.12
3163.00,97.15
3162.00,97.16
3161.00,97.18
3160.00,97.21
3159.00,97.24
3158.00,97.27
3157.00,97.30
3156.00,97.33
3155.00,97.35
3154.00,97.37
3153.00,97.38
3152.00,97.40
3151.00,97.43
3150.00,97.45
3149.00,97.47
3148.00,97.47
3147.00,97.46
3146.00,97.46
3145.00,97.47
3144.00,97.49
3143.00,97.50
3142.00,97.50
3141.00,97.51
3140.00,97.52
3139.00,97.54
3138.00,97.56
3137.00,97.57
3136.00,97.58
3135.00,97.59
3134.00,97.60
3133.00,97.60
3132.00,97.58
3131.00,97.56
3130.00,97.53
3129.00,97.53
3128.00,97.54
3127.00,97.56
3126.00,97.56
3125.00,97.55
3124.00,97.55
3123.00,97.55
3122.00,97.56
3121.00,97.57
3120.00,97.57
3119.00,97.57
3118.00,97.56
3117.00,97.54
3116.00,97.52
3115.00,97.50
3114.00,97.48
3113.00,97.46
3112.00,97.45
3111.00,97.43
3110.00,97.42
3109.00,97.41
3108.00,97.40
3107.00,97.39
3106.00,97.38
3105.00,97.36
3104.00,97.33
3103.00,97.31
3102.00,97.28
3101.00,97.26
3100.00,97.23
3099.00,97.20
3098.00,97.17
3097.00,97.15
3096.00,97.13
3095.00,97.12
3094.00,97.11
3093.00,97.10
3092.00,97.09
3091.00,97.06
3090.00,97.02
3089.00,96.97
3088.00,96.93
3087.00,96.89
3086.00,96.85
3085.00,96.82
3084.00,96.79
3083.00,96.78
3082.00,96.77
3081.00,96.75
3080.00,96.74
3079.00,96.73
3078.00,96.71
3077.00,96.69
3076.00,96.67
3075.00,96.65
3074.00,96.63
3073.00,96.62
3072.00,96.61
3071.00,96.61
3070.00,96.61
3069.00,96.63
3068.00,96.65
3067.00,96.67
3066.00,96.69
3065.00,96.71
3064.00,96.73
3063.00,96.76
3062.00,96.79
3061.00,96.82
3060.00,96.84
3059.00,96.87
3058.00,96.90
3057.00,96.93
3056.00,96.97
3055.00,96.99
3054.00,97.01
3053.00,97.04
3052.00,97.07
3051.00,97.11
3050.00,97.17
3049.00,97.22
3048.00,97.27
3047.00,97.31
3046.00,97.35
3045.00,97.38
3044.00,97.42
3043.00,97.46
3042.00,97.49
3041.00,97.51
3040.00,97.53
3039.00,97.54
3038.00,97.55
3037.00,97.57
3036.00,97.59
3035.00,97.64
3034.00,97.69
3033.00,97.73
3032.00,97.76
3031.00,97.78
3030.00,97.78
3029.00,97.79
3028.00,97.79
3027.00,97.80
3026.00,97.80
3025.00,97.80
3024.00,97.81
3023.00,97.82
3022.00,97.83
3021.00,97.86
3020.00,97.88
3019.00,97.90
3018.00,97.92
3017.00,97.94
3016.00,97.98
3015.00,98.01
3014.00,98.02
3013.00,98.02
3012.00,98.01
3011.00,98.01
3010.00,98.02
3009.00,98.03
3008.00,98.04
3007.00,98.04
3006.00,98.05
3005.00,98.05
3004.00,98.06
3003.00,98.07
3002.00,98.06
3001.00,98.05
3000.00,98.04
2999.00,98.03
2998.00,98.03
2997.00,98.04
2996.00,98.05
2995.00,98.07
2994.00,98.07
2993.00,98.05
2992.00,98.03
2991.00,98.01
2990.00,97.98
2989.00,97.95
2988.00,97.94
2987.00,97.93
2986.00,97.93
2985.00,97.92
2984.00,97.90
2983.00,97.87
2982.00,97.83
2981.00,97.80
2980.00,97.76
2979.00,97.73
2978.00,97.69
2977.00,97.65
2976.00,97.59
2975.00,97.51
2974.00,97.42
2973.00,97.33
2972.00,97.25
2971.00,97.16
2970.00,97.06
2969.00,96.95
2968.00,96.83
2967.00,96.70
2966.00,96.58
2965.00,96.45
2964.00,96.31
2963.00,96.16
2962.00,96.00
2961.00,95.83
2960.00,95.65
2959.00,95.46
2958.00,95.26
2957.00,95.07
2956.00,94.87
2955.00,94.67
2954.00,94.45
2953.00,94.21
2952.00,93.96
2951.00,93.69
2950.00,93.41
2949.00,93.12
2948.00,92.82
2947.00,92.50
2946.00,92.16
2945.00,91.79
2944.00,91.41
2943.00,90.99
2942.00,90.55
2941.00,90.09
2940.00,89.62
2939.00,89.14
2938.00,88.63
2937.00,88.10
2936.00,87.57
2935.00,87.04
2934.00,86.51
2933.00,85.97
2932.00,85.46
2931.00,84.96
2930.00,84.50
2929.00,84.06
2928.00,83.66
2927.00,83.30
2926.00,82.97
