Created as New Dataset,65. Modacrylic Toray
cm-1,%T
3369.00,94.54
3368.00,94.53
3367.00,94.53
3366.00,94.54
3365.00,94.56
3364.00,94.58
3363.00,94.60
3362.00,94.62
3361.00,94.62
3360.00,94.63
3359.00,94.62
3358.00,94.62
3357.00,94.62
3356.00,94.61
3355.00,94.60
3354.00,94.58
3353.00,94.57
3352.00,94.55
3351.00,94.54
3350.00,94.53
3349.00,94.52
3348.00,94.52
3347.00,94.53
3346.00,94.56
3345.00,94.58
3344.00,94.58
3343.00,94.56
3342.00,94.55
3341.00,94.55
3340.00,94.56
3339.00,94.58
3338.00,94.58
3337.00,94.56
3336.00,94.54
3335.00,94.53
3334.00,94.54
3333.00,94.55
3332.00,94.56
3331.00,94.57
3330.00,94.58
3329.00,94.58
3328.00,94.59
3327.00,94.58
3326.00,94.56
3325.00,94.54
3324.00,94.52
3323.00,94.51
3322.00,94.52
3321.00,94.52
3320.00,94.51
3319.00,94.50
3318.00,94.50
3317.00,94.51
3316.00,94.52
3315.00,94.54
3314.00,94.55
3313.00,94.56
3312.00,94.57
3311.00,94.56
3310.00,94.55
3309.00,94.54
3308.00,94.55
3307.00,94.57
3306.00,94.59
3305.00,94.59
3304.00,94.59
3303.00,94.59
3302.00,94.59
3301.00,94.59
3300.00,94.58
3299.00,94.56
3298.00,94.53
3297.00,94.50
3296.00,94.50
3295.00,94.51
3294.00,94.53
3293.00,94.55
3292.00,94.57
3291.00,94.59
3290.00,94.60
3289.00,94.59
3288.00,94.57
3287.00,94.55
3286.00,94.54
3285.00,94.54
3284.00,94.55
3283.00,94.57
3282.00,94.59
3281.00,94.59
3280.00,94.58
3279.00,94.56
3278.00,94.55
3277.00,94.54
3276.00,94.55
3275.00,94.54
3274.00,94.54
3273.00,94.53
3272.00,94.54
3271.00,94.54
3270.00,94.54
3269.00,94.55
3268.00,94.56
3267.00,94.58
3266.00,94.61
3265.00,94.65
3264.00,94.66
3263.00,94.66
3262.00,94.64
3261.00,94.61
3260.00,94.59
3259.00,94.58
3258.00,94.59
3257.00,94.59
3256.00,94.60
3255.00,94.60
3254.00,94.61
3253.00,94.61
3252.00,94.60
3251.00,94.59
3250.00,94.59
3249.00,94.59
3248.00,94.60
3247.00,94.60
3246.00,94.60
3245.00,94.59
3244.00,94.59
3243.00,94.59
3242.00,94.60
3241.00,94.59
3240.00,94.59
3239.00,94.59
3238.00,94.60
3237.00,94.60
3236.00,94.60
3235.00,94.59
3234.00,94.57
3233.00,94.54
3232.00,94.54
3231.00,94.54
3230.00,94.54
3229.00,94.54
3228.00,94.54
3227.00,94.55
3226.00,94.58
3225.00,94.61
3224.00,94.63
3223.00,94.63
3222.00,94.62
3221.00,94.62
3220.00,94.62
3219.00,94.62
3218.00,94.63
3217.00,94.62
3216.00,94.62
3215.00,94.61
3214.00,94.62
3213.00,94.63
3212.00,94.65
3211.00,94.66
3210.00,94.65
3209.00,94.64
3208.00,94.64
3207.00,94.65
3206.00,94.67
3205.00,94.69
3204.00,94.70
3203.00,94.70
3202.00,94.71
3201.00,94.71
3200.00,94.71
3199.00,94.72
3198.00,94.73
3197.00,94.75
3196.00,94.75
3195.00,94.75
3194.00,94.74
3193.00,94.73
3192.00,94.72
3191.00,94.71
3190.00,94.71
3189.00,94.72
3188.00,94.72
3187.00,94.73
3186.00,94.73
3185.00,94.73
3184.00,94.74
3183.00,94.73
3182.00,94.72
3181.00,94.69
3180.00,94.68
3179.00,94.69
3178.00,94.71
3177.00,94.74
3176.00,94.74
3175.00,94.74
3174.00,94.74
3173.00,94.75
3172.00,94.75
3171.00,94.76
3170.00,94.75
3169.00,94.74
3168.00,94.75
3167.00,94.75
3166.00,94.76
3165.00,94.78
3164.00,94.79
3163.00,94.79
3162.00,94.79
3161.00,94.77
3160.00,94.74
3159.00,94.73
3158.00,94.72
3157.00,94.73
3156.00,94.73
3155.00,94.75
3154.00,94.77
3153.00,94.80
3152.00,94.83
3151.00,94.84
3150.00,94.85
3149.00,94.85
3148.00,94.85
3147.00,94.84
3146.00,94.84
3145.00,94.83
3144.00,94.83
3143.00,94.83
3142.00,94.83
3141.00,94.84
3140.00,94.84
3139.00,94.85
3138.00,94.85
3137.00,94.85
3136.00,94.85
3135.00,94.85
3134.00,94.85
3133.00,94.87
3132.00,94.88
3131.00,94.90
3130.00,94.91
3129.00,94.91
3128.00,94.92
3127.00,94.92
3126.00,94.91
3125.00,94.90
3124.00,94.88
3123.00,94.87
3122.00,94.87
3121.00,94.88
3120.00,94.89
3119.00,94.90
3118.00,94.91
3117.00,94.91
3116.00,94.90
3115.00,94.88
3114.00,94.87
3113.00,94.85
3112.00,94.83
3111.00,94.81
3110.00,94.81
3109.00,94.81
3108.00,94.82
3107.00,94.83
3106.00,94.84
3105.00,94.86
3104.00,94.88
3103.00,94.88
3102.00,94.88
3101.00,94.89
3100.00,94.89
3099.00,94.90
3098.00,94.90
3097.00,94.89
3096.00,94.87
3095.00,94.86
3094.00,94.86
3093.00,94.86
3092.00,94.86
3091.00,94.86
3090.00,94.86
3089.00,94.85
3088.00,94.83
3087.00,94.82
3086.00,94.81
3085.00,94.80
3084.00,94.79
3083.00,94.77
3082.00,94.77
3081.00,94.78
3080.00,94.80
3079.00,94.82
3078.00,94.83
3077.00,94.83
3076.00,94.83
3075.00,94.82
3074.00,94.83
3073.00,94.83
3072.00,94.84
3071.00,94.86
3070.00,94.87
3069.00,94.87
3068.00,94.86
3067.00,94.85
3066.00,94.85
3065.00,94.85
3064.00,94.84
3063.00,94.84
3062.00,94.83
3061.00,94.82
3060.00,94.82
3059.00,94.83
3058.00,94.85
3057.00,94.86
3056.00,94.86
3055.00,94.85
