Created as New Dataset,68 Waxman (Black)
cm-1,%T
3529.00,95.10
3528.00,95.08
3527.00,95.08
3526.00,95.08
3525.00,95.09
3524.00,95.09
3523.00,95.08
3522.00,95.07
3521.00,95.05
3520.00,95.04
3519.00,95.04
3518.00,95.05
3517.00,95.08
3516.00,95.10
3515.00,95.12
3514.00,95.12
3513.00,95.11
3512.00,95.10
3511.00,95.10
3510.00,95.10
3509.00,95.11
3508.00,95.10
3507.00,95.09
3506.00,95.08
3505.00,95.09
3504.00,95.11
3503.00,95.13
3502.00,95.14
3501.00,95.13
3500.00,95.11
3499.00,95.11
3498.00,95.11
3497.00,95.12
3496.00,95.12
3495.00,95.10
3494.00,95.07
3493.00,95.05
3492.00,95.04
3491.00,95.05
3490.00,95.07
3489.00,95.09
3488.00,95.12
3487.00,95.14
3486.00,95.15
3485.00,95.14
3484.00,95.12
3483.00,95.09
3482.00,95.08
3481.00,95.08
3480.00,95.08
3479.00,95.08
3478.00,95.08
3477.00,95.09
3476.00,95.11
3475.00,95.13
3474.00,95.14
3473.00,95.15
3472.00,95.15
3471.00,95.14
3470.00,95.12
3469.00,95.12
3468.00,95.12
3467.00,95.12
3466.00,95.13
3465.00,95.14
3464.00,95.15
3463.00,95.15
3462.00,95.13
3461.00,95.10
3460.00,95.08
3459.00,95.08
3458.00,95.09
3457.00,95.11
3456.00,95.12
3455.00,95.13
3454.00,95.15
3453.00,95.15
3452.00,95.15
3451.00,95.14
3450.00,95.12
3449.00,95.10
3448.00,95.09
3447.00,95.08
3446.00,95.08
3445.00,95.10
3444.00,95.13
3443.00,95.17
3442.00,95.18
3441.00,95.17
3440.00,95.14
3439.00,95.12
3438.00,95.12
3437.00,95.13
3436.00,95.13
3435.00,95.13
3434.00,95.11
3433.00,95.09
3432.00,95.09
3431.00,95.09
3430.00,95.12
3429.00,95.15
3428.00,95.18
3427.00,95.20
3426.00,95.20
3425.00,95.19
3424.00,95.17
3423.00,95.16
3422.00,95.15
3421.00,95.14
3420.00,95.14
3419.00,95.14
3418.00,95.13
3417.00,95.12
3416.00,95.10
3415.00,95.10
3414.00,95.10
3413.00,95.11
3412.00,95.11
3411.00,95.11
3410.00,95.11
3409.00,95.12
3408.00,95.13
3407.00,95.15
3406.00,95.15
3405.00,95.15
3404.00,95.15
3403.00,95.16
3402.00,95.18
3401.00,95.19
3400.00,95.18
3399.00,95.16
3398.00,95.14
3397.00,95.13
3396.00,95.13
3395.00,95.15
3394.00,95.17
3393.00,95.19
3392.00,95.21
3391.00,95.22
3390.00,95.22
3389.00,95.21
3388.00,95.20
3387.00,95.19
3386.00,95.17
3385.00,95.15
3384.00,95.14
3383.00,95.14
3382.00,95.13
3381.00,95.12
3380.00,95.12
3379.00,95.13
3378.00,95.14
3377.00,95.16
3376.00,95.18
3375.00,95.20
3374.00,95.20
3373.00,95.19
3372.00,95.17
3371.00,95.17
3370.00,95.18
3369.00,95.19
3368.00,95.18
3367.00,95.17
3366.00,95.15
3365.00,95.13
3364.00,95.12
3363.00,95.10
3362.00,95.10
3361.00,95.11
3360.00,95.12
3359.00,95.13
3358.00,95.13
3357.00,95.12
3356.00,95.12
3355.00,95.13
3354.00,95.15
3353.00,95.17
3352.00,95.18
3351.00,95.17
3350.00,95.15
3349.00,95.12
3348.00,95.12
3347.00,95.12
3346.00,95.13
3345.00,95.14
3344.00,95.15
3343.00,95.15
3342.00,95.15
3341.00,95.14
3340.00,95.14
3339.00,95.14
3338.00,95.14
3337.00,95.15
3336.00,95.16
3335.00,95.17
3334.00,95.16
3333.00,95.15
3332.00,95.15
3331.00,95.14
3330.00,95.15
3329.00,95.14
3328.00,95.14
3327.00,95.13
3326.00,95.13
3325.00,95.12
3324.00,95.11
3323.00,95.11
3322.00,95.12
3321.00,95.13
3320.00,95.14
3319.00,95.15
3318.00,95.15
3317.00,95.14
3316.00,95.15
3315.00,95.15
3314.00,95.16
3313.00,95.17
3312.00,95.18
3311.00,95.18
3310.00,95.17
3309.00,95.15
3308.00,95.14
3307.00,95.12
3306.00,95.12
3305.00,95.12
3304.00,95.12
3303.00,95.12
3302.00,95.11
3301.00,95.10
3300.00,95.08
3299.00,95.09
3298.00,95.10
3297.00,95.12
3296.00,95.13
3295.00,95.12
3294.00,95.12
3293.00,95.13
3292.00,95.14
3291.00,95.14
3290.00,95.13
3289.00,95.11
3288.00,95.09
3287.00,95.09
3286.00,95.09
3285.00,95.09
3284.00,95.10
3283.00,95.10
3282.00,95.11
3281.00,95.12
3280.00,95.13
3279.00,95.13
3278.00,95.13
3277.00,95.12
3276.00,95.10
3275.00,95.09
3274.00,95.08
3273.00,95.07
3272.00,95.06
3271.00,95.05
3270.00,95.05
3269.00,95.05
3268.00,95.05
3267.00,95.06
3266.00,95.06
3265.00,95.07
3264.00,95.08
3263.00,95.10
3262.00,95.11
3261.00,95.11
3260.00,95.09
3259.00,95.07
3258.00,95.06
3257.00,95.06
3256.00,95.07
3255.00,95.08
3254.00,95.09
3253.00,95.11
3252.00,95.13
3251.00,95.14
3250.00,95.13
3249.00,95.11
3248.00,95.09
3247.00,95.08
3246.00,95.07
3245.00,95.07
3244.00,95.06
3243.00,95.04
3242.00,95.02
3241.00,95.01
3240.00,95.00
3239.00,95.02
3238.00,95.06
3237.00,95.11
3236.00,95.14
3235.00,95.15
3234.00,95.13
3233.00,95.12
3232.00,95.11
3231.00,95.11
3230.00,95.11
3229.00,95.10
3228.00,95.08
3227.00,95.06
3226.00,95.03
3225.00,95.03
3224.00,95.03
3223.00,95.03
3222.00,95.03
3221.00,95.04
3220.00,95.05
3219.00,95.06
3218.00,95.06
3217.00,95.05
3216.00,95.04
3215.00,95.04
3214.00,95.05
3213.00,95.06
3212.00,95.08
3211.00,95.09
3210.00,95.10
3209.00,95.09
3208.00,95.07
3207.00,95.06
3206.00,95.05
3205.00,95.05
3204.00,95.05
3203.00,95.05
3202.00,95.06
3201.00,95.07
3200.00,95.08
3199.00,95.08
3198.00,95.07
3197.00,95.07
3196.00,95.08
3195.00,95.10
3194.00,95.11
3193.00,95.10
3192.00,95.10
3191.00,95.09
3190.00,95.09
3189.00,95.09
3188.00,95.09
3187.00,95.08
3186.00,95.07
3185.00,95.07
3184.00,95.08
3183.00,95.09
3182.00,95.09
3181.00,95.08
3180.00,95.07
3179.00,95.07
3178.00,95.09
3177.00,95.09
3176.00,95.09
3175.00,95.09
3174.00,95.09
3173.00,95.09
3172.00,95.09
3171.00,95.08
3170.00,95.08
3169.00,95.07
3168.00,95.07
3167.00,95.06
3166.00,95.07
3165.00,95.08
3164.00,95.09
3163.00,95.10
3162.00,95.10
3161.00,95.11
3160.00,95.12
3159.00,95.13
3158.00,95.13
