Created as New Dataset,Puma stretch viscose (Pink)
cm-1,%T
3087.00,94.35
3086.00,94.36
3085.00,94.36
3084.00,94.37
3083.00,94.39
3082.00,94.42
3081.00,94.46
3080.00,94.50
3079.00,94.52
3078.00,94.53
3077.00,94.53
3076.00,94.55
3075.00,94.58
3074.00,94.61
3073.00,94.64
3072.00,94.66
3071.00,94.69
3070.00,94.72
3069.00,94.75
3068.00,94.76
3067.00,94.76
3066.00,94.76
3065.00,94.76
3064.00,94.77
3063.00,94.78
3062.00,94.80
3061.00,94.80
3060.00,94.81
3059.00,94.83
3058.00,94.85
3057.00,94.87
3056.00,94.89
3055.00,94.92
3054.00,94.95
3053.00,94.98
3052.00,95.00
3051.00,95.01
3050.00,95.02
3049.00,95.04
3048.00,95.07
3047.00,95.10
3046.00,95.12
3045.00,95.14
3044.00,95.15
3043.00,95.17
3042.00,95.19
3041.00,95.22
3040.00,95.24
3039.00,95.24
3038.00,95.24
3037.00,95.24
3036.00,95.25
3035.00,95.26
3034.00,95.27
3033.00,95.29
3032.00,95.31
3031.00,95.32
3030.00,95.33
3029.00,95.33
3028.00,95.33
3027.00,95.33
3026.00,95.33
3025.00,95.34
3024.00,95.35
3023.00,95.38
3022.00,95.40
3021.00,95.41
3020.00,95.42
3019.00,95.44
3018.00,95.45
3017.00,95.47
3016.00,95.49
3015.00,95.49
3014.00,95.50
3013.00,95.50
3012.00,95.51
3011.00,95.53
3010.00,95.54
3009.00,95.54
3008.00,95.55
3007.00,95.55
3006.00,95.56
3005.00,95.57
3004.00,95.58
3003.00,95.58
3002.00,95.59
3001.00,95.58
3000.00,95.58
2999.00,95.58
2998.00,95.58
2997.00,95.58
2996.00,95.58
2995.00,95.57
2994.00,95.57
2993.00,95.57
2992.00,95.56
2991.00,95.57
2990.00,95.56
2989.00,95.55
2988.00,95.54
2987.00,95.52
2986.00,95.51
2985.00,95.51
2984.00,95.51
2983.00,95.50
2982.00,95.49
2981.00,95.47
2980.00,95.46
2979.00,95.44
2978.00,95.42
2977.00,95.42
2976.00,95.41
2975.00,95.39
2974.00,95.37
2973.00,95.33
2972.00,95.31
2971.00,95.29
2970.00,95.27
2969.00,95.25
2968.00,95.22
2967.00,95.17
2966.00,95.11
2965.00,95.06
2964.00,95.03
2963.00,95.01
2962.00,94.99
2961.00,94.98
2960.00,94.96
2959.00,94.94
2958.00,94.93
2957.00,94.91
2956.00,94.91
2955.00,94.91
2954.00,94.92
2953.00,94.92
2952.00,94.91
2951.00,94.88
2950.00,94.85
2949.00,94.81
2948.00,94.78
2947.00,94.76
2946.00,94.74
2945.00,94.73
2944.00,94.71
2943.00,94.68
2942.00,94.66
2941.00,94.63
2940.00,94.59
2939.00,94.54
2938.00,94.47
2937.00,94.39
2936.00,94.31
2935.00,94.24
2934.00,94.19
2933.00,94.15
2932.00,94.12
2931.00,94.09
2930.00,94.06
2929.00,94.03
2928.00,93.98
2927.00,93.92
2926.00,93.83
2925.00,93.75
2924.00,93.67
2923.00,93.61
2922.00,93.55
2921.00,93.50
2920.00,93.46
2919.00,93.43
2918.00,93.40
2917.00,93.39
2916.00,93.41
2915.00,93.44
2914.00,93.47
2913.00,93.51
2912.00,93.55
2911.00,93.58
2910.00,93.61
2909.00,93.62
2908.00,93.63
2907.00,93.63
2906.00,93.64
2905.00,93.65
2904.00,93.66
2903.00,93.66
2902.00,93.64
2901.00,93.61
2900.00,93.59
2899.00,93.58
2898.00,93.59
2897.00,93.60
2896.00,93.60
2895.00,93.60
2894.00,93.59
2893.00,93.59
2892.00,93.60
2891.00,93.63
2890.00,93.65
2889.00,93.67
