Created as New Dataset,
cm-1,%T
3365.00,94.57
3364.00,94.56
3363.00,94.54
3362.00,94.51
3361.00,94.48
3360.00,94.44
3359.00,94.39
3358.00,94.33
3357.00,94.28
3356.00,94.24
3355.00,94.21
3354.00,94.18
3353.00,94.14
3352.00,94.10
3351.00,94.05
3350.00,94.01
3349.00,93.97
3348.00,93.93
3347.00,93.90
3346.00,93.86
3345.00,93.83
3344.00,93.79
3343.00,93.77
3342.00,93.74
3341.00,93.72
3340.00,93.70
3339.00,93.68
3338.00,93.66
3337.00,93.64
3336.00,93.62
3335.00,93.61
3334.00,93.60
3333.00,93.60
3332.00,93.61
3331.00,93.61
3330.00,93.60
3329.00,93.58
3328.00,93.58
3327.00,93.59
3326.00,93.62
3325.00,93.66
3324.00,93.70
3323.00,93.72
3322.00,93.74
3321.00,93.74
3320.00,93.74
3319.00,93.75
3318.00,93.76
3317.00,93.78
3316.00,93.78
3315.00,93.78
3314.00,93.78
3313.00,93.78
3312.00,93.78
3311.00,93.78
3310.00,93.77
3309.00,93.77
3308.00,93.77
3307.00,93.79
3306.00,93.81
3305.00,93.82
3304.00,93.81
3303.00,93.79
3302.00,93.77
3301.00,93.75
3300.00,93.73
3299.00,93.72
3298.00,93.72
3297.00,93.73
3296.00,93.74
3295.00,93.75
3294.00,93.76
3293.00,93.76
3292.00,93.75
3291.00,93.73
3290.00,93.72
3289.00,93.72
3288.00,93.72
3287.00,93.74
3286.00,93.75
3285.00,93.76
3284.00,93.77
3283.00,93.79
3282.00,93.81
3281.00,93.82
3280.00,93.81
3279.00,93.80
3278.00,93.78
3277.00,93.77
3276.00,93.78
3275.00,93.80
3274.00,93.83
3273.00,93.85
3272.00,93.87
3271.00,93.90
3270.00,93.93
3269.00,93.95
3268.00,93.97
3267.00,93.98
3266.00,93.98
3265.00,93.99
3264.00,94.01
3263.00,94.05
3262.00,94.09
3261.00,94.12
3260.00,94.15
3259.00,94.18
3258.00,94.22
3257.00,94.27
3256.00,94.31
3255.00,94.34
3254.00,94.36
3253.00,94.38
3252.00,94.41
3251.00,94.45
3250.00,94.50
3249.00,94.56
3248.00,94.61
3247.00,94.64
3246.00,94.67
3245.00,94.68
3244.00,94.69
3243.00,94.70
3242.00,94.72
3241.00,94.75
3240.00,94.77
3239.00,94.79
3238.00,94.82
3237.00,94.86
3236.00,94.90
3235.00,94.94
3234.00,94.98
3233.00,95.02
3232.00,95.06
3231.00,95.09
3230.00,95.12
3229.00,95.13
3228.00,95.14
3227.00,95.16
3226.00,95.18
3225.00,95.20
3224.00,95.23
3223.00,95.26
3222.00,95.30
3221.00,95.33
3220.00,95.36
3219.00,95.39
3218.00,95.42
3217.00,95.45
3216.00,95.48
3215.00,95.50
3214.00,95.52
3213.00,95.55
3212.00,95.59
3211.00,95.62
3210.00,95.65
3209.00,95.67
3208.00,95.69
3207.00,95.71
3206.00,95.74
3205.00,95.77
3204.00,95.79
3203.00,95.81
3202.00,95.82
3201.00,95.83
3200.00,95.84
3199.00,95.86
3198.00,95.89
3197.00,95.92
3196.00,95.95
3195.00,95.99
3194.00,96.01
3193.00,96.04
3192.00,96.07
3191.00,96.10
3190.00,96.14
3189.00,96.17
3188.00,96.20
3187.00,96.22
3186.00,96.22
3185.00,96.20
3184.00,96.20
3183.00,96.21
3182.00,96.24
3181.00,96.30
3180.00,96.34
3179.00,96.38
3178.00,96.40
3177.00,96.41
3176.00,96.42
3175.00,96.44
3174.00,96.45
3173.00,96.46
3172.00,96.47
3171.00,96.49
3170.00,96.50
3169.00,96.51
3168.00,96.54
3167.00,96.57
3166.00,96.61
3165.00,96.65
3164.00,96.69
3163.00,96.72
3162.00,96.74
3161.00,96.76
3160.00,96.76
3159.00,96.75
3158.00,96.75
3157.00,96.76
3156.00,96.77
3155.00,96.80
3154.00,96.83
3153.00,96.86
3152.00,96.88
3151.00,96.90
3150.00,96.91
3149.00,96.92
3148.00,96.94
3147.00,96.95
3146.00,96.96
3145.00,96.97
3144.00,96.99
3143.00,97.02
3142.00,97.05
3141.00,97.08
3140.00,97.10
3139.00,97.12
3138.00,97.14
3137.00,97.16
3136.00,97.18
3135.00,97.19
3134.00,97.19
3133.00,97.20
3132.00,97.21
3131.00,97.22
3130.00,97.23
3129.00,97.24
3128.00,97.24
3127.00,97.26
3126.00,97.27
3125.00,97.29
3124.00,97.32
3123.00,97.33
3122.00,97.35
3121.00,97.35
3120.00,97.35
3119.00,97.36
3118.00,97.36
3117.00,97.38
3116.00,97.40
3115.00,97.43
3114.00,97.47
3113.00,97.49
3112.00,97.50
3111.00,97.50
3110.00,97.50
3109.00,97.49
3108.00,97.50
3107.00,97.51
3106.00,97.53
3105.00,97.56
3104.00,97.58
3103.00,97.59
3102.00,97.60
3101.00,97.61
3100.00,97.63
3099.00,97.64
3098.00,97.66
3097.00,97.68
3096.00,97.70
3095.00,97.72
3094.00,97.74
3093.00,97.75
3092.00,97.76
3091.00,97.78
3090.00,97.80
3089.00,97.82
3088.00,97.84
3087.00,97.84
3086.00,97.85
3085.00,97.85
3084.00,97.86
3083.00,97.87
3082.00,97.88
3081.00,97.90
3080.00,97.92
3079.00,97.95
3078.00,97.97
3077.00,97.99
3076.00,97.99
3075.00,97.99
3074.00,98.00
3073.00,98.01
3072.00,98.02
3071.00,98.03
3070.00,98.03
3069.00,98.02
3068.00,98.03
3067.00,98.04
3066.00,98.05
3065.00,98.07
3064.00,98.09
3063.00,98.11
3062.00,98.13
3061.00,98.14
3060.00,98.15
3059.00,98.15
3058.00,98.16
3057.00,98.18
3056.00,98.20
3055.00,98.21
3054.00,98.21
3053.00,98.21
3052.00,98.21
3051.00,98.22
3050.00,98.23
3049.00,98.24
3048.00,98.25
3047.00,98.26
3046.00,98.28
3045.00,98.30
3044.00,98.32
3043.00,98.32
3042.00,98.32
3041.00,98.31
3040.00,98.30
3039.00,98.29
3038.00,98.30
3037.00,98.32
3036.00,98.35
3035.00,98.36
3034.00,98.36
3033.00,98.35
3032.00,98.35
3031.00,98.36
3030.00,98.38
3029.00,98.41
3028.00,98.43
3027.00,98.44
3026.00,98.45
3025.00,98.46
3024.00,98.47
3023.00,98.46
3022.00,98.45
3021.00,98.43
3020.00,98.41
3019.00,98.42
3018.00,98.43
3017.00,98.47
3016.00,98.51
3015.00,98.55
3014.00,98.58
3013.00,98.58
3012.00,98.57
3011.00,98.54
3010.00,98.53
3009.00,98.52
3008.00,98.53
3007.00,98.53
3006.00,98.53
3005.00,98.52
3004.00,98.53
3003.00,98.54
3002.00,98.56
3001.00,98.57
3000.00,98.57
2999.00,98.58
2998.00,98.58
2997.00,98.59
2996.00,98.59
2995.00,98.60
2994.00,98.60
2993.00,98.60
2992.00,98.60
2991.00,98.61
2990.00,98.61
2989.00,98.62
2988.00,98.62
2987.00,98.62
2986.00,98.62
2985.00,98.61
2984.00,98.60
2983.00,98.59
2982.00,98.59
2981.00,98.59
2980.00,98.58
2979.00,98.56
2978.00,98.55
2977.00,98.54
2976.00,98.53
2975.00,98.50
2974.00,98.47
2973.00,98.44
2972.00,98.42
2971.00,98.39
2970.00,98.37
2969.00,98.36
2968.00,98.36
2967.00,98.37
2966.00,98.38
2965.00,98.38
2964.00,98.37
2963.00,98.35
2962.00,98.33
2961.00,98.31
2960.00,98.29
2959.00,98.28
2958.00,98.27
2957.00,98.25
2956.00,98.23
2955.00,98.20
2954.00,98.18
2953.00,98.16
2952.00,98.14
2951.00,98.11
2950.00,98.09
2949.00,98.06
2948.00,98.02
2947.00,97.99
2946.00,97.96
2945.00,97.93
2944.00,97.92
2943.00,97.90
2942.00,97.89
2941.00,97.89
2940.00,97.90
2939.00,97.91
2938.00,97.89
2937.00,97.85
2936.00,97.79
2935.00,97.75
2934.00,97.73
2933.00,97.73
2932.00,97.74
2931.00,97.73
2930.00,97.71
2929.00,97.68
2928.00,97.65
2927.00,97.60
2926.00,97.54
2925.00,97.47
2924.00,97.39
2923.00,97.31
2922.00,97.24
2921.00,97.17
2920.00,97.11
2919.00,97.05
2918.00,96.99
2917.00,96.96
2916.00,96.95
2915.00,96.96
2914.00,96.98
2913.00,96.99
2912.00,97.00
2911.00,97.01
2910.00,97.01
2909.00,97.00
2908.00,96.99
2907.00,96.98
2906.00,96.98
2905.00,96.98
2904.00,96.97
2903.00,96.95
2902.00,96.94
2901.00,96.94
2900.00,96.94
2899.00,96.94
2898.00,96.94
2897.00,96.94
2896.00,96.93
2895.00,96.93
2894.00,96.92
2893.00,96.92
2892.00,96.93
2891.00,96.96
2890.00,96.98
2889.00,97.00
2888.00,97.01
2887.00,97.03
2886.00,97.04
2885.00,97.06
2884.00,97.07
2883.00,97.08
2882.00,97.08
2881.00,97.10
2880.00,97.11
2879.00,97.13
2878.00,97.15
2877.00,97.17
2876.00,97.17
2875.00,97.17
2874.00,97.18
2873.00,97.19
2872.00,97.20
2871.00,97.21
2870.00,97.22
2869.00,97.24
2868.00,97.25
2867.00,97.27
2866.00,97.28
2865.00,97.29
2864.00,97.31
2863.00,97.33
2862.00,97.34
2861.00,97.35
2860.00,97.36
2859.00,97.38
2858.00,97.40
2857.00,97.40
2856.00,97.38
2855.00,97.37
2854.00,97.35
2853.00,97.33
2852.00,97.31
2851.00,97.29
2850.00,97.29
2849.00,97.32
2848.00,97.37
2847.00,97.45
2846.00,97.53
2845.00,97.61
2844.00,97.68
2843.00,97.73
2842.00,97.77
2841.00,97.80
2840.00,97.83
2839.00,97.85
2838.00,97.86
2837.00,97.88
2836.00,97.90
2835.00,97.94
2834.00,97.98
2833.00,98.01
2832.00,98.03
2831.00,98.04
2830.00,98.05
2829.00,98.06
2828.00,98.07
2827.00,98.08
2826.00,98.09
2825.00,98.09
2824.00,98.10
2823.00,98.10
2822.00,98.11
2821.00,98.12
2820.00,98.14
2819.00,98.16
2818.00,98.19
2817.00,98.21
2816.00,98.23
2815.00,98.24
2814.00,98.24
2813.00,98.25
2812.00,98.27
2811.00,98.28
2810.00,98.30
2809.00,98.31
2808.00,98.33
2807.00,98.33
2806.00,98.34
2805.00,98.34
2804.00,98.35
2803.00,98.36
2802.00,98.37
2801.00,98.39
2800.00,98.40
2799.00,98.40
2798.00,98.39
2797.00,98.38
2796.00,98.38
2795.00,98.39
2794.00,98.42
2793.00,98.44
2792.00,98.46
2791.00,98.47
2790.00,98.47
2789.00,98.46
2788.00,98.46
2787.00,98.46
2786.00,98.46
2785.00,98.47
2784.00,98.48
2783.00,98.48
2782.00,98.48
2781.00,98.47
2780.00,98.47
2779.00,98.48
2778.00,98.49
2777.00,98.49
2776.00,98.50
2775.00,98.50
2774.00,98.51
2773.00,98.52
2772.00,98.53
2771.00,98.54
2770.00,98.54
2769.00,98.53
2768.00,98.53
2767.00,98.53
2766.00,98.54
2765.00,98.54
2764.00,98.54
2763.00,98.53
2762.00,98.52
2761.00,98.51
2760.00,98.50
2759.00,98.50
2758.00,98.51
2757.00,98.53
2756.00,98.55
2755.00,98.58
2754.00,98.60
2753.00,98.59
2752.00,98.58
2751.00,98.56
2750.00,98.55
2749.00,98.55
2748.00,98.57
2747.00,98.57
2746.00,98.58
2745.00,98.58
2744.00,98.58
2743.00,98.57
2742.00,98.57
2741.00,98.57
2740.00,98.58
2739.00,98.58
2738.00,98.58
2737.00,98.57
2736.00,98.57
2735.00,98.56
2734.00,98.56
2733.00,98.57
2732.00,98.58
2731.00,98.58
2730.00,98.58
2729.00,98.57
2728.00,98.57
2727.00,98.57
2726.00,98.57
2725.00,98.58
2724.00,98.59
2723.00,98.60
2722.00,98.60
2721.00,98.60
2720.00,98.60
2719.00,98.61
2718.00,98.63
2717.00,98.64
2716.00,98.65
2715.00,98.66
2714.00,98.66
2713.00,98.65
2712.00,98.65
2711.00,98.64
2710.00,98.64
2709.00,98.64
2708.00,98.64
2707.00,98.65
2706.00,98.66
2705.00,98.67
2704.00,98.67
2703.00,98.66
2702.00,98.66
2701.00,98.68
2700.00,98.70
2699.00,98.72
2698.00,98.73
2697.00,98.73
2696.00,98.72
2695.00,98.72
2694.00,98.72
2693.00,98.72
2692.00,98.71
2691.00,98.70
2690.00,98.70
2689.00,98.70
2688.00,98.70
2687.00,98.70
2686.00,98.71
2685.00,98.71
2684.00,98.72
2683.00,98.72
2682.00,98.72
2681.00,98.71
2680.00,98.71
2679.00,98.72
2678.00,98.73
2677.00,98.74
2676.00,98.74
2675.00,98.74
2674.00,98.73
2673.00,98.73
2672.00,98.74
2671.00,98.77
2670.00,98.79
2669.00,98.80
2668.00,98.79
2667.00,98.77
2666.00,98.75
2665.00,98.74
2664.00,98.73
2663.00,98.73
2662.00,98.73
2661.00,98.73
2660.00,98.72
2659.00,98.72
2658.00,98.72
2657.00,98.72
2656.00,98.74
2655.00,98.75
2654.00,98.77
2653.00,98.76
2652.00,98.74
2651.00,98.72
2650.00,98.71
2649.00,98.71
2648.00,98.71
2647.00,98.70
2646.00,98.70
2645.00,98.70
2644.00,98.71
2643.00,98.71
2642.00,98.70
2641.00,98.69
2640.00,98.68
2639.00,98.67
2638.00,98.68
2637.00,98.69
2636.00,98.70
2635.00,98.70
2634.00,98.69
2633.00,98.68
2632.00,98.66
2631.00,98.65
2630.00,98.64
2629.00,98.64
2628.00,98.65
2627.00,98.66
2626.00,98.66
2625.00,98.66
2624.00,98.66
2623.00,98.66
2622.00,98.66
2621.00,98.66
2620.00,98.66
2619.00,98.66
2618.00,98.66
2617.00,98.66
2616.00,98.66
2615.00,98.65
2614.00,98.64
2613.00,98.64
2612.00,98.64
2611.00,98.64
2610.00,98.65
2609.00,98.65
2608.00,98.64
2607.00,98.63
2606.00,98.63
2605.00,98.63
2604.00,98.63
2603.00,98.65
2602.00,98.67
2601.00,98.69
2600.00,98.69
2599.00,98.67
2598.00,98.63
2597.00,98.60
2596.00,98.58
2595.00,98.57
2594.00,98.57
2593.00,98.58
2592.00,98.58
2591.00,98.58
2590.00,98.58
2589.00,98.58
2588.00,98.57
2587.00,98.57
2586.00,98.58
2585.00,98.60
2584.00,98.62
2583.00,98.61
2582.00,98.58
2581.00,98.55
2580.00,98.54
2579.00,98.54
2578.00,98.54
2577.00,98.54
2576.00,98.53
2575.00,98.52
2574.00,98.52
2573.00,98.52
2572.00,98.52
2571.00,98.53
2570.00,98.54
2569.00,98.56
2568.00,98.57
2567.00,98.58
2566.00,98.57
2565.00,98.56
2564.00,98.56
2563.00,98.56
2562.00,98.57
2561.00,98.60
2560.00,98.61
2559.00,98.61
2558.00,98.59
2557.00,98.58
2556.00,98.58
2555.00,98.58
2554.00,98.59
2553.00,98.61
2552.00,98.62
2551.00,98.63
2550.00,98.62
2549.00,98.59
2548.00,98.56
2547.00,98.53
2546.00,98.53
2545.00,98.54
2544.00,98.57
2543.00,98.59
2542.00,98.60
2541.00,98.60
2540.00,98.61
2539.00,98.62
2538.00,98.62
2537.00,98.62
2536.00,98.62
2535.00,98.61
2534.00,98.61
2533.00,98.60
2532.00,98.60
2531.00,98.59
2530.00,98.59
2529.00,98.60
2528.00,98.60
2527.00,98.59
2526.00,98.58
2525.00,98.57
2524.00,98.58
2523.00,98.59
2522.00,98.60
2521.00,98.59
2520.00,98.58
2519.00,98.57
2518.00,98.57
2517.00,98.57
2516.00,98.56
2515.00,98.55
2514.00,98.54
2513.00,98.54
2512.00,98.54
2511.00,98.54
2510.00,98.55
2509.00,98.56
2508.00,98.58
2507.00,98.59
2506.00,98.60
2505.00,98.60
2504.00,98.60
2503.00,98.62
2502.00,98.63
2501.00,98.64
2500.00,98.63
2499.00,98.61
2498.00,98.58
2497.00,98.55
2496.00,98.54
2495.00,98.55
2494.00,98.57
2493.00,98.58
2492.00,98.57
2491.00,98.56
2490.00,98.54
2489.00,98.54
2488.00,98.55
2487.00,98.58
2486.00,98.60
2485.00,98.60
2484.00,98.59
2483.00,98.58
2482.00,98.58
2481.00,98.59
2480.00,98.60
2479.00,98.60
2478.00,98.60
2477.00,98.61
2476.00,98.63
2475.00,98.65
2474.00,98.66
2473.00,98.66
2472.00,98.65
2471.00,98.65
2470.00,98.65
2469.00,98.65
2468.00,98.65
2467.00,98.64
2466.00,98.63
2465.00,98.62
2464.00,98.62
2463.00,98.62
2462.00,98.63
2461.00,98.63
2460.00,98.64
2459.00,98.64
2458.00,98.63
2457.00,98.60
2456.00,98.57
2455.00,98.56
2454.00,98.56
2453.00,98.58
2452.00,98.61
