Created as New Dataset,58 Modacrylic Eastman Fibers Verel Type CA USA White. Peanut X.S. Bright. 16dpf. Use: Floor Coverings
cm-1,%T
3392.00,101.18
3391.00,101.18
3390.00,101.18
3389.00,101.18
3388.00,101.17
3387.00,101.16
3386.00,101.16
3385.00,101.15
3384.00,101.14
3383.00,101.13
3382.00,101.12
3381.00,101.12
3380.00,101.13
3379.00,101.14
3378.00,101.13
3377.00,101.11
3376.00,101.09
3375.00,101.08
3374.00,101.08
3373.00,101.08
3372.00,101.07
3371.00,101.05
3370.00,101.03
3369.00,101.02
3368.00,101.02
3367.00,101.01
3366.00,101.01
3365.00,101.01
3364.00,101.01
3363.00,101.01
3362.00,101.01
3361.00,101.01
3360.00,101.00
3359.00,100.99
3358.00,100.98
3357.00,100.97
3356.00,100.96
3355.00,100.96
3354.00,100.96
3353.00,100.95
3352.00,100.94
3351.00,100.94
3350.00,100.94
3349.00,100.95
3348.00,100.94
3347.00,100.93
3346.00,100.91
3345.00,100.89
3344.00,100.88
3343.00,100.89
3342.00,100.90
3341.00,100.90
3340.00,100.90
3339.00,100.89
3338.00,100.88
3337.00,100.87
3336.00,100.87
3335.00,100.88
3334.00,100.88
3333.00,100.88
3332.00,100.87
3331.00,100.86
3330.00,100.85
3329.00,100.85
3328.00,100.84
3327.00,100.84
3326.00,100.84
3325.00,100.85
3324.00,100.86
3323.00,100.87
3322.00,100.87
3321.00,100.86
3320.00,100.85
3319.00,100.85
3318.00,100.84
3317.00,100.82
3316.00,100.80
3315.00,100.78
3314.00,100.77
3313.00,100.79
3312.00,100.80
3311.00,100.80
3310.00,100.79
3309.00,100.77
3308.00,100.74
3307.00,100.73
3306.00,100.73
3305.00,100.74
3304.00,100.76
3303.00,100.78
3302.00,100.78
3301.00,100.77
3300.00,100.76
3299.00,100.77
3298.00,100.78
3297.00,100.80
3296.00,100.82
3295.00,100.82
3294.00,100.81
3293.00,100.79
3292.00,100.77
3291.00,100.75
3290.00,100.74
3289.00,100.74
3288.00,100.74
3287.00,100.73
3286.00,100.73
3285.00,100.75
3284.00,100.78
3283.00,100.81
3282.00,100.83
3281.00,100.85
3280.00,100.85
3279.00,100.85
3278.00,100.83
3277.00,100.80
3276.00,100.76
3275.00,100.73
3274.00,100.72
3273.00,100.74
3272.00,100.77
3271.00,100.81
3270.00,100.84
3269.00,100.86
3268.00,100.88
3267.00,100.88
3266.00,100.90
3265.00,100.91
3264.00,100.93
3263.00,100.95
3262.00,100.96
3261.00,100.96
3260.00,100.95
3259.00,100.93
3258.00,100.91
3257.00,100.90
