Created as New Dataset,17.3 Tussah wild blended with camel hair
cm-1,%T
2920.00,91.21
2919.00,91.24
2918.00,91.30
2917.00,91.41
2916.00,91.56
2915.00,91.72
2914.00,91.87
2913.00,92.00
2912.00,92.11
2911.00,92.21
2910.00,92.32
2909.00,92.43
2908.00,92.54
2907.00,92.63
2906.00,92.70
2905.00,92.77
2904.00,92.82
2903.00,92.87
2902.00,92.90
2901.00,92.93
2900.00,92.96
2899.00,92.98
2898.00,93.01
2897.00,93.05
2896.00,93.10
2895.00,93.14
2894.00,93.18
2893.00,93.22
2892.00,93.25
2891.00,93.29
2890.00,93.32
2889.00,93.33
2888.00,93.33
2887.00,93.32
2886.00,93.32
2885.00,93.32
2884.00,93.33
2883.00,93.33
2882.00,93.32
2881.00,93.31
2880.00,93.29
2879.00,93.27
2878.00,93.25
2877.00,93.23
2876.00,93.22
2875.00,93.22
2874.00,93.22
2873.00,93.22
2872.00,93.22
2871.00,93.24
2870.00,93.27
2869.00,93.32
2868.00,93.37
2867.00,93.41
2866.00,93.44
2865.00,93.47
2864.00,93.51
2863.00,93.54
2862.00,93.57
2861.00,93.59
2860.00,93.59
2859.00,93.59
2858.00,93.58
2857.00,93.57
2856.00,93.56
2855.00,93.54
2854.00,93.52
2853.00,93.50
2852.00,93.52
2851.00,93.55
2850.00,93.62
2849.00,93.71
2848.00,93.82
2847.00,93.95
2846.00,94.07
2845.00,94.18
2844.00,94.28
2843.00,94.37
2842.00,94.46
2841.00,94.54
2840.00,94.61
2839.00,94.67
2838.00,94.70
2837.00,94.72
2836.00,94.73
2835.00,94.75
2834.00,94.77
2833.00,94.79
2832.00,94.80
2831.00,94.81
2830.00,94.84
2829.00,94.87
2828.00,94.91
2827.00,94.95
2826.00,94.97
2825.00,94.99
2824.00,95.00
2823.00,95.01
2822.00,95.02
2821.00,95.02
2820.00,95.03
2819.00,95.05
2818.00,95.06
2817.00,95.07
2816.00,95.09
2815.00,95.11
2814.00,95.14
2813.00,95.17
2812.00,95.19
2811.00,95.21
2810.00,95.23
2809.00,95.24
2808.00,95.25
2807.00,95.26
2806.00,95.28
2805.00,95.29
2804.00,95.30
2803.00,95.31
2802.00,95.31
2801.00,95.32
2800.00,95.33
2799.00,95.33
2798.00,95.34
2797.00,95.36
2796.00,95.37
2795.00,95.38
2794.00,95.39
2793.00,95.41
2792.00,95.42
2791.00,95.44
2790.00,95.46
2789.00,95.46
2788.00,95.46
2787.00,95.46
2786.00,95.47
2785.00,95.48
2784.00,95.49
2783.00,95.50
