Created as New Dataset,Bio-Couture Worsted 48/2 White
cm-1,%T
3141.00,96.70
3140.00,96.72
3139.00,96.74
3138.00,96.75
3137.00,96.76
3136.00,96.76
3135.00,96.76
3134.00,96.76
3133.00,96.78
3132.00,96.80
3131.00,96.83
3130.00,96.86
3129.00,96.87
3128.00,96.88
3127.00,96.89
3126.00,96.90
3125.00,96.91
3124.00,96.91
3123.00,96.91
3122.00,96.91
3121.00,96.93
3120.00,96.95
3119.00,96.97
3118.00,96.97
3117.00,96.97
3116.00,96.95
3115.00,96.93
3114.00,96.93
3113.00,96.94
3112.00,96.97
3111.00,96.99
3110.00,97.00
3109.00,97.00
3108.00,96.99
3107.00,96.98
3106.00,96.98
3105.00,96.98
3104.00,96.97
3103.00,96.96
3102.00,96.97
3101.00,96.98
3100.00,96.98
3099.00,96.99
3098.00,96.98
3097.00,96.97
3096.00,96.95
3095.00,96.94
3094.00,96.93
3093.00,96.92
3092.00,96.92
3091.00,96.93
3090.00,96.93
3089.00,96.94
3088.00,96.94
3087.00,96.94
3086.00,96.94
3085.00,96.93
3084.00,96.92
3083.00,96.91
3082.00,96.90
3081.00,96.88
3080.00,96.86
3079.00,96.85
3078.00,96.84
3077.00,96.84
3076.00,96.83
3075.00,96.83
3074.00,96.82
3073.00,96.82
3072.00,96.83
3071.00,96.84
3070.00,96.85
3069.00,96.85
3068.00,96.83
3067.00,96.80
3066.00,96.78
3065.00,96.78
3064.00,96.80
3063.00,96.82
3062.00,96.85
3061.00,96.87
3060.00,96.89
3059.00,96.91
3058.00,96.92
3057.00,96.92
3056.00,96.92
3055.00,96.93
3054.00,96.94
3053.00,96.95
3052.00,96.96
3051.00,96.97
3050.00,97.00
3049.00,97.02
3048.00,97.04
3047.00,97.04
3046.00,97.05
3045.00,97.06
3044.00,97.08
3043.00,97.10
3042.00,97.12
3041.00,97.14
3040.00,97.16
3039.00,97.18
3038.00,97.17
3037.00,97.17
3036.00,97.17
3035.00,97.19
3034.00,97.22
3033.00,97.25
3032.00,97.27
3031.00,97.28
3030.00,97.29
3029.00,97.28
3028.00,97.28
3027.00,97.28
3026.00,97.30
3025.00,97.33
3024.00,97.36
3023.00,97.38
3022.00,97.40
3021.00,97.42
3020.00,97.45
3019.00,97.48
3018.00,97.50
3017.00,97.50
3016.00,97.49
3015.00,97.49
3014.00,97.49
3013.00,97.50
3012.00,97.52
3011.00,97.54
3010.00,97.56
3009.00,97.56
3008.00,97.56
3007.00,97.55
3006.00,97.53
3005.00,97.52
3004.00,97.52
3003.00,97.52
3002.00,97.53
3001.00,97.54
3000.00,97.54
2999.00,97.54
2998.00,97.53
2997.00,97.52
2996.00,97.52
2995.00,97.52
2994.00,97.53
2993.00,97.53
2992.00,97.51
2991.00,97.48
2990.00,97.45
2989.00,97.43
2988.00,97.41
2987.00,97.40
2986.00,97.39
2985.00,97.37
2984.00,97.34
2983.00,97.31
2982.00,97.27
2981.00,97.25
2980.00,97.23
2979.00,97.21
2978.00,97.17
2977.00,97.13
2976.00,97.08
2975.00,97.05
2974.00,97.01
2973.00,96.96
2972.00,96.91
2971.00,96.86
2970.00,96.83
2969.00,96.79
2968.00,96.77
2967.00,96.75
2966.00,96.74
2965.00,96.72
2964.00,96.71
2963.00,96.69
2962.00,96.67
2961.00,96.65
2960.00,96.62
2959.00,96.60
2958.00,96.59
2957.00,96.58
2956.00,96.58
2955.00,96.60
2954.00,96.63
2953.00,96.65
2952.00,96.68
2951.00,96.70
2950.00,96.71
2949.00,96.71
2948.00,96.71
2947.00,96.69
2946.00,96.67
2945.00,96.66
2944.00,96.65
2943.00,96.64
2942.00,96.63
2941.00,96.61
2940.00,96.58
2939.00,96.55
2938.00,96.53
2937.00,96.51
2936.00,96.47
2935.00,96.44
2934.00,96.40
2933.00,96.38
2932.00,96.36
2931.00,96.33
2930.00,96.29
2929.00,96.26
2928.00,96.23
2927.00,96.20
2926.00,96.17
2925.00,96.13
2924.00,96.07
2923.00,96.01
2922.00,95.95
2921.00,95.91
2920.00,95.88
2919.00,95.87
2918.00,95.88
2917.00,95.91
2916.00,95.99
2915.00,96.10
2914.00,96.22
2913.00,96.35
2912.00,96.45
2911.00,96.54
2910.00,96.62
2909.00,96.69
2908.00,96.76
2907.00,96.82
2906.00,96.88
2905.00,96.92
2904.00,96.96
2903.00,96.99
2902.00,97.01
2901.00,97.04
2900.00,97.05
2899.00,97.06
2898.00,97.06
2897.00,97.06
2896.00,97.07
2895.00,97.09
2894.00,97.13
2893.00,97.16
2892.00,97.19
2891.00,97.22
2890.00,97.24
2889.00,97.25
2888.00,97.24
2887.00,97.23
2886.00,97.21
2885.00,97.20
2884.00,97.20
2883.00,97.21
2882.00,97.22
2881.00,97.23
2880.00,97.23
2879.00,97.22
2878.00,97.21
2877.00,97.20
2876.00,97.19
2875.00,97.20
2874.00,97.21
2873.00,97.23
2872.00,97.23
2871.00,97.23
2870.00,97.24
2869.00,97.25
2868.00,97.28
2867.00,97.31
2866.00,97.33
2865.00,97.36
2864.00,97.38
2863.00,97.40
2862.00,97.40
2861.00,97.39
2860.00,97.38
2859.00,97.37
2858.00,97.37
2857.00,97.36
2856.00,97.35
2855.00,97.31
2854.00,97.25
2853.00,97.18
2852.00,97.10
2851.00,97.04
2850.00,97.02
2849.00,97.04
2848.00,97.11
2847.00,97.22
2846.00,97.36
2845.00,97.50
2844.00,97.62
2843.00,97.71
2842.00,97.76
2841.00,97.81
2840.00,97.86
2839.00,97.90
2838.00,97.94
2837.00,97.96
2836.00,97.98
2835.00,98.00
2834.00,98.01
2833.00,98.02
2832.00,98.02
2831.00,98.03
2830.00,98.05
2829.00,98.07
2828.00,98.09
2827.00,98.12
2826.00,98.14
2825.00,98.15
2824.00,98.16
2823.00,98.15
2822.00,98.14
2821.00,98.14
2820.00,98.14
2819.00,98.15
2818.00,98.17
2817.00,98.18
2816.00,98.19
2815.00,98.19
2814.00,98.19
2813.00,98.20
2812.00,98.21
2811.00,98.22
2810.00,98.23
2809.00,98.23
2808.00,98.23
2807.00,98.24
2806.00,98.25
2805.00,98.26
2804.00,98.26
2803.00,98.27
2802.00,98.27
2801.00,98.28
2800.00,98.29
2799.00,98.29
2798.00,98.29
2797.00,98.30
2796.00,98.32
2795.00,98.33
2794.00,98.35
2793.00,98.35
2792.00,98.34
2791.00,98.34
2790.00,98.34
2789.00,98.35
2788.00,98.35
2787.00,98.36
2786.00,98.36
2785.00,98.36
2784.00,98.36
2783.00,98.37
2782.00,98.38
2781.00,98.40
2780.00,98.41
2779.00,98.41
2778.00,98.41
2777.00,98.41
2776.00,98.42
2775.00,98.43
2774.00,98.44
2773.00,98.46
2772.00,98.47
2771.00,98.47
2770.00,98.47
2769.00,98.47
2768.00,98.48
2767.00,98.48
2766.00,98.49
2765.00,98.49
2764.00,98.49
2763.00,98.51
2762.00,98.52
2761.00,98.52
2760.00,98.52
2759.00,98.52
2758.00,98.52
2757.00,98.52
2756.00,98.52
2755.00,98.52
2754.00,98.52
2753.00,98.52
2752.00,98.52
2751.00,98.52
2750.00,98.53
2749.00,98.54
2748.00,98.55
2747.00,98.56
2746.00,98.56
2745.00,98.55
2744.00,98.54
2743.00,98.54
2742.00,98.55
2741.00,98.57
2740.00,98.58
2739.00,98.58
2738.00,98.59
2737.00,98.59
2736.00,98.60
2735.00,98.61
2734.00,98.61
2733.00,98.62
2732.00,98.62
2731.00,98.61
2730.00,98.59
2729.00,98.57
2728.00,98.57
2727.00,98.58
2726.00,98.60
2725.00,98.63
2724.00,98.65
2723.00,98.67
2722.00,98.68
2721.00,98.69
2720.00,98.69
2719.00,98.68
2718.00,98.67
2717.00,98.67
2716.00,98.68
2715.00,98.69
2714.00,98.70
2713.00,98.71
2712.00,98.71
2711.00,98.70
2710.00,98.70
2709.00,98.70
2708.00,98.70
2707.00,98.70
2706.00,98.70
2705.00,98.71
2704.00,98.72
2703.00,98.73
2702.00,98.74
2701.00,98.74
2700.00,98.74
2699.00,98.73
2698.00,98.72
2697.00,98.71
2696.00,98.71
2695.00,98.72
2694.00,98.74
2693.00,98.76
2692.00,98.77
2691.00,98.77
2690.00,98.77
2689.00,98.78
2688.00,98.78
2687.00,98.78
2686.00,98.78
2685.00,98.77
2684.00,98.76
2683.00,98.75
2682.00,98.74
2681.00,98.74
2680.00,98.73
2679.00,98.73
2678.00,98.74
2677.00,98.75
2676.00,98.76
2675.00,98.77
2674.00,98.80
2673.00,98.82
2672.00,98.82
2671.00,98.82
2670.00,98.81
2669.00,98.80
2668.00,98.79
2667.00,98.80
2666.00,98.81
2665.00,98.81
2664.00,98.82
2663.00,98.81
2662.00,98.81
2661.00,98.80
2660.00,98.79
2659.00,98.78
2658.00,98.77
2657.00,98.75
2656.00,98.75
2655.00,98.75
2654.00,98.75
2653.00,98.75
2652.00,98.74
2651.00,98.73
2650.00,98.72
2649.00,98.72
2648.00,98.72
2647.00,98.72
2646.00,98.71
2645.00,98.70
2644.00,98.68
2643.00,98.66
2642.00,98.64
2641.00,98.63
2640.00,98.62
2639.00,98.61
2638.00,98.61
2637.00,98.61
2636.00,98.61
2635.00,98.61
2634.00,98.61
2633.00,98.61
2632.00,98.60
2631.00,98.60
2630.00,98.60
2629.00,98.60
2628.00,98.60
2627.00,98.59
2626.00,98.58
2625.00,98.58
2624.00,98.59
2623.00,98.58
2622.00,98.57
2621.00,98.56
2620.00,98.55
2619.00,98.54
2618.00,98.53
2617.00,98.52
2616.00,98.52
2615.00,98.52
2614.00,98.52
2613.00,98.53
2612.00,98.53
2611.00,98.55
2610.00,98.57
2609.00,98.58
2608.00,98.59
2607.00,98.59
2606.00,98.59
2605.00,98.57
2604.00,98.56
2603.00,98.55
2602.00,98.54
2601.00,98.52
2600.00,98.51
2599.00,98.49
2598.00,98.48
2597.00,98.47
2596.00,98.48
2595.00,98.49
2594.00,98.50
2593.00,98.51
2592.00,98.51
2591.00,98.49
2590.00,98.48
2589.00,98.48
2588.00,98.47
2587.00,98.47
2586.00,98.47
2585.00,98.48
2584.00,98.49
2583.00,98.50
2582.00,98.50
2581.00,98.50
2580.00,98.50
2579.00,98.50
2578.00,98.50
2577.00,98.48
2576.00,98.46
2575.00,98.44
2574.00,98.44
2573.00,98.44
2572.00,98.46
2571.00,98.48
2570.00,98.49
2569.00,98.49
2568.00,98.48
2567.00,98.48
2566.00,98.50
