Created as New Dataset,186 Acordis Fibres
cm-1,%T
3396.00,84.79
3395.00,84.76
3394.00,84.72
3393.00,84.68
3392.00,84.66
3391.00,84.65
3390.00,84.64
3389.00,84.62
3388.00,84.59
3387.00,84.54
3386.00,84.50
3385.00,84.46
3384.00,84.45
3383.00,84.44
3382.00,84.44
3381.00,84.43
3380.00,84.42
3379.00,84.39
3378.00,84.37
3377.00,84.35
3376.00,84.33
3375.00,84.31
3374.00,84.29
3373.00,84.27
3372.00,84.24
3371.00,84.22
3370.00,84.21
3369.00,84.19
3368.00,84.18
3367.00,84.16
3366.00,84.15
3365.00,84.14
3364.00,84.12
3363.00,84.10
3362.00,84.07
3361.00,84.04
3360.00,84.01
3359.00,83.98
3358.00,83.97
3357.00,83.96
3356.00,83.95
3355.00,83.93
3354.00,83.90
3353.00,83.89
3352.00,83.88
3351.00,83.88
3350.00,83.88
3349.00,83.88
3348.00,83.88
3347.00,83.87
3346.00,83.85
3345.00,83.82
3344.00,83.79
3343.00,83.78
3342.00,83.78
3341.00,83.79
3340.00,83.78
3339.00,83.76
3338.00,83.73
3337.00,83.71
3336.00,83.72
3335.00,83.74
3334.00,83.77
3333.00,83.78
3332.00,83.79
3331.00,83.78
3330.00,83.77
3329.00,83.77
3328.00,83.76
3327.00,83.74
3326.00,83.74
3325.00,83.74
3324.00,83.74
3323.00,83.75
3322.00,83.76
3321.00,83.77
3320.00,83.77
3319.00,83.76
3318.00,83.76
3317.00,83.76
3316.00,83.77
3315.00,83.78
3314.00,83.80
3313.00,83.81
3312.00,83.79
3311.00,83.77
3310.00,83.75
3309.00,83.75
3308.00,83.76
3307.00,83.77
3306.00,83.77
3305.00,83.76
3304.00,83.76
3303.00,83.76
3302.00,83.78
3301.00,83.79
3300.00,83.80
3299.00,83.80
3298.00,83.80
3297.00,83.81
3296.00,83.83
3295.00,83.85
3294.00,83.86
3293.00,83.86
3292.00,83.85
3291.00,83.85
3290.00,83.86
3289.00,83.88
3288.00,83.89
3287.00,83.89
3286.00,83.87
3285.00,83.85
3284.00,83.84
3283.00,83.84
3282.00,83.86
3281.00,83.89
3280.00,83.92
3279.00,83.94
3278.00,83.94
3277.00,83.94
3276.00,83.95
3275.00,83.96
3274.00,83.97
3273.00,83.98
3272.00,83.98
3271.00,83.98
3270.00,83.98
3269.00,83.98
3268.00,83.98
3267.00,83.99
3266.00,84.00
3265.00,84.02
3264.00,84.04
3263.00,84.06
3262.00,84.07
3261.00,84.09
3260.00,84.10
3259.00,84.12
3258.00,84.14
3257.00,84.16
3256.00,84.18
3255.00,84.18
3254.00,84.19
3253.00,84.21
3252.00,84.23
3251.00,84.25
3250.00,84.27
3249.00,84.30
3248.00,84.33
3247.00,84.35
3246.00,84.37
3245.00,84.38
3244.00,84.38
3243.00,84.39
3242.00,84.39
3241.00,84.41
3240.00,84.42
3239.00,84.45
3238.00,84.49
3237.00,84.53
3236.00,84.55
3235.00,84.55
3234.00,84.55
3233.00,84.57
3232.00,84.60
3231.00,84.62
3230.00,84.65
3229.00,84.67
3228.00,84.69
3227.00,84.72
3226.00,84.75
3225.00,84.76
3224.00,84.77
3223.00,84.78
3222.00,84.80
3221.00,84.82
3220.00,84.84
3219.00,84.87
3218.00,84.90
3217.00,84.94
3216.00,84.98
3215.00,85.00
3214.00,85.02
3213.00,85.03
3212.00,85.04
3211.00,85.05
3210.00,85.05
3209.00,85.06
3208.00,85.08
3207.00,85.11
3206.00,85.15
3205.00,85.19
3204.00,85.23
3203.00,85.25
3202.00,85.27
3201.00,85.28
3200.00,85.31
3199.00,85.35
3198.00,85.39
3197.00,85.42
3196.00,85.44
3195.00,85.45
3194.00,85.46
3193.00,85.48
3192.00,85.51
3191.00,85.54
3190.00,85.56
3189.00,85.57
3188.00,85.59
3187.00,85.62
3186.00,85.67
3185.00,85.72
3184.00,85.75
3183.00,85.78
3182.00,85.79
3181.00,85.81
3180.00,85.83
3179.00,85.84
3178.00,85.86
3177.00,85.89
3176.00,85.93
3175.00,85.98
3174.00,86.01
3173.00,86.05
3172.00,86.08
3171.00,86.11
3170.00,86.14
3169.00,86.17
3168.00,86.19
3167.00,86.21
3166.00,86.23
3165.00,86.25
3164.00,86.28
3163.00,86.31
3162.00,86.36
3161.00,86.40
3160.00,86.44
3159.00,86.47
3158.00,86.49
3157.00,86.50
3156.00,86.52
3155.00,86.57
3154.00,86.62
3153.00,86.66
3152.00,86.70
3151.00,86.72
3150.00,86.75
3149.00,86.77
3148.00,86.80
3147.00,86.83
3146.00,86.86
3145.00,86.88
3144.00,86.91
3143.00,86.94
3142.00,86.97
3141.00,87.01
3140.00,87.06
3139.00,87.11
3138.00,87.16
3137.00,87.20
