Created as New Dataset,195 FMC American Viscose (Blue)
cm-1,%T
3468.00,92.52
3467.00,92.48
3466.00,92.45
3465.00,92.41
3464.00,92.38
3463.00,92.36
3462.00,92.34
3461.00,92.32
3460.00,92.28
3459.00,92.22
3458.00,92.15
3457.00,92.08
3456.00,92.02
3455.00,91.99
3454.00,91.96
3453.00,91.94
3452.00,91.91
3451.00,91.86
3450.00,91.79
3449.00,91.72
3448.00,91.64
3447.00,91.57
3446.00,91.51
3445.00,91.46
3444.00,91.41
3443.00,91.38
3442.00,91.37
3441.00,91.36
3440.00,91.35
3439.00,91.34
3438.00,91.32
3437.00,91.29
3436.00,91.26
3435.00,91.23
3434.00,91.22
3433.00,91.20
3432.00,91.18
3431.00,91.16
3430.00,91.14
3429.00,91.11
3428.00,91.09
3427.00,91.08
3426.00,91.07
3425.00,91.06
3424.00,91.06
3423.00,91.05
3422.00,91.03
3421.00,91.02
3420.00,90.99
3419.00,90.95
3418.00,90.91
3417.00,90.87
3416.00,90.85
3415.00,90.85
3414.00,90.85
3413.00,90.84
3412.00,90.80
3411.00,90.77
3410.00,90.74
3409.00,90.72
3408.00,90.70
3407.00,90.68
3406.00,90.66
3405.00,90.65
3404.00,90.64
3403.00,90.63
3402.00,90.62
3401.00,90.60
3400.00,90.57
3399.00,90.55
3398.00,90.53
3397.00,90.51
3396.00,90.49
3395.00,90.47
3394.00,90.44
3393.00,90.40
3392.00,90.38
3391.00,90.36
3390.00,90.36
3389.00,90.36
3388.00,90.36
3387.00,90.34
3386.00,90.32
3385.00,90.30
3384.00,90.29
3383.00,90.27
3382.00,90.24
3381.00,90.21
3380.00,90.19
3379.00,90.16
3378.00,90.15
3377.00,90.15
3376.00,90.16
3375.00,90.16
3374.00,90.16
3373.00,90.15
3372.00,90.14
3371.00,90.12
3370.00,90.11
3369.00,90.11
3368.00,90.12
3367.00,90.14
3366.00,90.14
3365.00,90.12
3364.00,90.09
3363.00,90.05
3362.00,90.01
3361.00,89.99
3360.00,89.97
3359.00,89.96
3358.00,89.96
3357.00,89.97
3356.00,89.96
3355.00,89.95
3354.00,89.92
3353.00,89.90
3352.00,89.88
3351.00,89.88
3350.00,89.88
3349.00,89.89
3348.00,89.89
3347.00,89.89
3346.00,89.89
3345.00,89.89
3344.00,89.90
3343.00,89.91
3342.00,89.92
3341.00,89.92
3340.00,89.90
3339.00,89.88
3338.00,89.87
3337.00,89.87
3336.00,89.89
3335.00,89.89
3334.00,89.89
3333.00,89.88
3332.00,89.87
3331.00,89.88
3330.00,89.88
3329.00,89.89
3328.00,89.89
3327.00,89.90
3326.00,89.90
3325.00,89.90
3324.00,89.90
3323.00,89.90
3322.00,89.92
3321.00,89.94
3320.00,89.96
3319.00,89.96
3318.00,89.94
3317.00,89.90
3316.00,89.88
3315.00,89.88
3314.00,89.90
3313.00,89.92
3312.00,89.93
3311.00,89.94
3310.00,89.93
3309.00,89.94
3308.00,89.94
3307.00,89.96
3306.00,89.97
3305.00,89.98
3304.00,89.97
3303.00,89.97
3302.00,89.96
3301.00,89.96
3300.00,89.97
3299.00,89.99
3298.00,90.02
3297.00,90.03
3296.00,90.04
3295.00,90.04
3294.00,90.04
3293.00,90.04
3292.00,90.05
3291.00,90.05
3290.00,90.04
3289.00,90.03
3288.00,90.04
3287.00,90.05
3286.00,90.07
3285.00,90.09
3284.00,90.10
3283.00,90.10
3282.00,90.09
3281.00,90.09
3280.00,90.10
3279.00,90.13
3278.00,90.17
3277.00,90.20
3276.00,90.20
3275.00,90.18
3274.00,90.15
3273.00,90.15
3272.00,90.17
3271.00,90.21
3270.00,90.24
3269.00,90.25
3268.00,90.23
3267.00,90.21
3266.00,90.21
3265.00,90.24
3264.00,90.27
3263.00,90.29
3262.00,90.31
3261.00,90.31
3260.00,90.32
3259.00,90.33
3258.00,90.35
3257.00,90.37
3256.00,90.38
3255.00,90.39
3254.00,90.39
3253.00,90.40
3252.00,90.42
3251.00,90.44
3250.00,90.46
3249.00,90.47
3248.00,90.48
3247.00,90.48
3246.00,90.49
3245.00,90.51
3244.00,90.54
3243.00,90.57
3242.00,90.59
3241.00,90.61
3240.00,90.61
3239.00,90.62
3238.00,90.64
3237.00,90.66
3236.00,90.68
3235.00,90.70
3234.00,90.73
3233.00,90.76
3232.00,90.78
3231.00,90.78
3230.00,90.78
3229.00,90.79
3228.00,90.81
3227.00,90.83
3226.00,90.86
3225.00,90.88
3224.00,90.90
3223.00,90.92
3222.00,90.94
3221.00,90.95
3220.00,90.96
3219.00,90.98
3218.00,91.01
3217.00,91.05
3216.00,91.08
3215.00,91.11
3214.00,91.13
3213.00,91.15
3212.00,91.16
3211.00,91.17
3210.00,91.20
3209.00,91.22
3208.00,91.25
3207.00,91.27
3206.00,91.29
3205.00,91.31
3204.00,91.33
3203.00,91.34
3202.00,91.34
3201.00,91.35
3200.00,91.36
3199.00,91.38
3198.00,91.40
3197.00,91.41
3196.00,91.42
3195.00,91.43
3194.00,91.46
3193.00,91.49
3192.00,91.52
3191.00,91.55
3190.00,91.57
3189.00,91.59
3188.00,91.62
3187.00,91.65
3186.00,91.69
3185.00,91.72
3184.00,91.73
3183.00,91.72
3182.00,91.71
3181.00,91.71
3180.00,91.74
3179.00,91.78
3178.00,91.82
3177.00,91.87
3176.00,91.91
3175.00,91.94
3174.00,91.96
3173.00,91.97
3172.00,91.99
3171.00,92.02
3170.00,92.04
3169.00,92.06
3168.00,92.08
3167.00,92.12
3166.00,92.16
3165.00,92.20
3164.00,92.23
3163.00,92.24
3162.00,92.26
3161.00,92.29
3160.00,92.32
3159.00,92.35
3158.00,92.37
3157.00,92.38
3156.00,92.39
3155.00,92.39
3154.00,92.41
3153.00,92.44
3152.00,92.48
3151.00,92.52
3150.00,92.56
3149.00,92.59
3148.00,92.61
3147.00,92.62
3146.00,92.63
3145.00,92.64
3144.00,92.67
3143.00,92.70
3142.00,92.75
3141.00,92.80
3140.00,92.84
3139.00,92.86
3138.00,92.87
3137.00,92.88
3136.00,92.89
3135.00,92.90
3134.00,92.93
3133.00,92.96
3132.00,93.00
3131.00,93.06
3130.00,93.11
3129.00,93.15
3128.00,93.18
3127.00,93.21
3126.00,93.23
3125.00,93.27
3124.00,93.30
3123.00,93.34
3122.00,93.37
3121.00,93.41
3120.00,93.44
3119.00,93.46
3118.00,93.49
3117.00,93.51
3116.00,93.52
3115.00,93.55
3114.00,93.58
3113.00,93.61
3112.00,93.65
3111.00,93.69
3110.00,93.72
3109.00,93.76
3108.00,93.80
3107.00,93.83
3106.00,93.85
3105.00,93.88
3104.00,93.91
3103.00,93.93
3102.00,93.94
3101.00,93.95
3100.00,93.97
3099.00,94.00
3098.00,94.04
3097.00,94.10
3096.00,94.14
3095.00,94.18
3094.00,94.20
3093.00,94.22
3092.00,94.25
3091.00,94.28
3090.00,94.30
3089.00,94.33
3088.00,94.35
3087.00,94.37
3086.00,94.40
3085.00,94.44
3084.00,94.48
3083.00,94.51
3082.00,94.54
3081.00,94.55
3080.00,94.57
3079.00,94.59
3078.00,94.62
3077.00,94.64
3076.00,94.65
3075.00,94.67
3074.00,94.69
3073.00,94.73
3072.00,94.78
3071.00,94.82
3070.00,94.85
3069.00,94.86
3068.00,94.87
3067.00,94.89
3066.00,94.91
3065.00,94.94
3064.00,94.98
3063.00,95.02
3062.00,95.05
3061.00,95.06
3060.00,95.06
3059.00,95.07
3058.00,95.08
3057.00,95.11
3056.00,95.15
3055.00,95.18
3054.00,95.21
3053.00,95.24
3052.00,95.26
3051.00,95.28
3050.00,95.30
3049.00,95.31
3048.00,95.33
3047.00,95.34
3046.00,95.35
3045.00,95.38
3044.00,95.41
3043.00,95.45
3042.00,95.49
3041.00,95.51
3040.00,95.53
3039.00,95.53
3038.00,95.53
3037.00,95.54
3036.00,95.56
3035.00,95.59
3034.00,95.60
3033.00,95.62
3032.00,95.63
3031.00,95.65
3030.00,95.68
3029.00,95.70
3028.00,95.72
3027.00,95.74
3026.00,95.76
3025.00,95.78
3024.00,95.80
3023.00,95.82
3022.00,95.84
3021.00,95.85
3020.00,95.84
3019.00,95.83
3018.00,95.82
3017.00,95.83
3016.00,95.85
3015.00,95.87
3014.00,95.89
3013.00,95.92
3012.00,95.95
3011.00,95.97
3010.00,95.97
3009.00,95.98
3008.00,95.99
3007.00,96.01
3006.00,96.02
3005.00,96.02
3004.00,96.02
3003.00,96.02
3002.00,96.04
3001.00,96.06
3000.00,96.08
2999.00,96.09
2998.00,96.10
2997.00,96.10
2996.00,96.10
2995.00,96.10
2994.00,96.11
2993.00,96.11
2992.00,96.12
2991.00,96.13
2990.00,96.13
2989.00,96.11
2988.00,96.09
2987.00,96.07
2986.00,96.06
2985.00,96.05
2984.00,96.05
2983.00,96.05
2982.00,96.05
2981.00,96.03
2980.00,96.02
2979.00,96.01
2978.00,96.00
2977.00,96.00
2976.00,95.99
2975.00,95.98
2974.00,95.96
2973.00,95.95
2972.00,95.94
2971.00,95.94
2970.00,95.94
2969.00,95.93
2968.00,95.91
2967.00,95.89
2966.00,95.87
2965.00,95.86
2964.00,95.85
2963.00,95.83
2962.00,95.79
2961.00,95.76
2960.00,95.72
2959.00,95.69
2958.00,95.66
2957.00,95.62
2956.00,95.58
2955.00,95.54
2954.00,95.51
2953.00,95.49
2952.00,95.47
2951.00,95.44
2950.00,95.40
2949.00,95.36
2948.00,95.32
2947.00,95.30
2946.00,95.27
2945.00,95.24
2944.00,95.20
2943.00,95.16
2942.00,95.11
2941.00,95.06
2940.00,95.02
2939.00,94.96
2938.00,94.90
2937.00,94.84
2936.00,94.78
2935.00,94.72
2934.00,94.67
2933.00,94.64
2932.00,94.60
2931.00,94.57
2930.00,94.54
2929.00,94.51
2928.00,94.48
2927.00,94.45
2926.00,94.43
2925.00,94.41
2924.00,94.39
2923.00,94.36
2922.00,94.34
2921.00,94.31
2920.00,94.28
2919.00,94.24
2918.00,94.20
2917.00,94.16
2916.00,94.13
2915.00,94.10
2914.00,94.08
2913.00,94.06
2912.00,94.03
2911.00,94.00
2910.00,93.98
2909.00,93.97
2908.00,93.96
2907.00,93.94
2906.00,93.90
2905.00,93.86
2904.00,93.82
2903.00,93.79
