Created as New Dataset,122 Hoechst Celanese
cm-1,%T
2887.00,84.92
2886.00,85.33
2885.00,85.73
2884.00,86.13
2883.00,86.52
2882.00,86.92
2881.00,87.34
2880.00,87.78
2879.00,88.24
2878.00,88.69
2877.00,89.13
2876.00,89.56
2875.00,89.96
2874.00,90.34
2873.00,90.69
2872.00,91.01
2871.00,91.29
2870.00,91.52
2869.00,91.70
2868.00,91.83
2867.00,91.91
2866.00,91.93
2865.00,91.91
2864.00,91.82
2863.00,91.65
2862.00,91.39
2861.00,91.01
2860.00,90.48
2859.00,89.77
2858.00,88.83
2857.00,87.60
2856.00,86.06
2855.00,84.20
2854.00,82.04
2853.00,79.69
2852.00,77.31
2851.00,75.13
2850.00,73.40
2849.00,72.34
2848.00,72.04
2847.00,72.50
2846.00,73.57
2845.00,75.05
2844.00,76.74
2843.00,78.46
2842.00,80.08
2841.00,81.54
2840.00,82.84
2839.00,83.97
2838.00,84.97
2837.00,85.85
2836.00,86.61
2835.00,87.28
2834.00,87.87
2833.00,88.40
2832.00,88.88
2831.00,89.31
2830.00,89.69
2829.00,90.03
2828.00,90.33
2827.00,90.62
2826.00,90.89
2825.00,91.14
2824.00,91.38
2823.00,91.59
2822.00,91.78
2821.00,91.96
2820.00,92.14
2819.00,92.30
2818.00,92.46
2817.00,92.60
2816.00,92.73
2815.00,92.85
2814.00,92.96
2813.00,93.07
2812.00,93.18
2811.00,93.28
2810.00,93.38
2809.00,93.48
2808.00,93.56
2807.00,93.63
2806.00,93.70
2805.00,93.75
2804.00,93.82
2803.00,93.89
2802.00,93.96
2801.00,94.03
2800.00,94.11
2799.00,94.19
2798.00,94.26
2797.00,94.31
2796.00,94.35
2795.00,94.39
2794.00,94.43
2793.00,94.47
2792.00,94.52
2791.00,94.57
2790.00,94.62
2789.00,94.66
2788.00,94.71
2787.00,94.77
2786.00,94.82
2785.00,94.87
2784.00,94.92
2783.00,94.96
2782.00,95.00
2781.00,95.04
2780.00,95.09
2779.00,95.14
2778.00,95.19
2777.00,95.24
2776.00,95.28
2775.00,95.31
2774.00,95.34
2773.00,95.36
2772.00,95.39
2771.00,95.42
2770.00,95.45
2769.00,95.48
2768.00,95.51
2767.00,95.54
2766.00,95.56
2765.00,95.59
2764.00,95.62
2763.00,95.65
2762.00,95.68
2761.00,95.71
2760.00,95.73
2759.00,95.75
2758.00,95.76
2757.00,95.77
2756.00,95.78
2755.00,95.79
2754.00,95.79
2753.00,95.79
2752.00,95.79
2751.00,95.79
2750.00,95.80
2749.00,95.81
2748.00,95.83
2747.00,95.84
2746.00,95.84
2745.00,95.85
2744.00,95.86
2743.00,95.87
2742.00,95.88
2741.00,95.88
2740.00,95.87
2739.00,95.87
2738.00,95.87
2737.00,95.88
2736.00,95.90
2735.00,95.91
2734.00,95.92
2733.00,95.93
2732.00,95.94
2731.00,95.96
2730.00,95.99
2729.00,96.01
2728.00,96.02
2727.00,96.01
2726.00,96.01
2725.00,96.02
2724.00,96.04
2723.00,96.06
2722.00,96.08
2721.00,96.10
2720.00,96.13
2719.00,96.16
2718.00,96.18
2717.00,96.19
2716.00,96.19
2715.00,96.20
2714.00,96.20
2713.00,96.21
2712.00,96.20
2711.00,96.20
2710.00,96.20
2709.00,96.21
2708.00,96.22
2707.00,96.23
2706.00,96.24
2705.00,96.25
2704.00,96.26
2703.00,96.28
2702.00,96.29
2701.00,96.30
2700.00,96.30
2699.00,96.29
2698.00,96.30
2697.00,96.31
2696.00,96.33
2695.00,96.36
2694.00,96.38
2693.00,96.39
2692.00,96.39
2691.00,96.39
2690.00,96.39
2689.00,96.41
2688.00,96.41
2687.00,96.41
2686.00,96.40
2685.00,96.40
2684.00,96.39
2683.00,96.40
2682.00,96.40
2681.00,96.40
2680.00,96.39
2679.00,96.38
2678.00,96.38
2677.00,96.37
2676.00,96.36
2675.00,96.36
2674.00,96.36
2673.00,96.36
2672.00,96.35
2671.00,96.35
2670.00,96.35
2669.00,96.36
2668.00,96.36
2667.00,96.35
2666.00,96.33
2665.00,96.31
2664.00,96.29
2663.00,96.28
2662.00,96.27
2661.00,96.26
2660.00,96.25
2659.00,96.24
2658.00,96.23
2657.00,96.22
2656.00,96.22
2655.00,96.21
2654.00,96.20
2653.00,96.18
2652.00,96.15
2651.00,96.14
2650.00,96.13
2649.00,96.13
2648.00,96.11
2647.00,96.10
2646.00,96.08
2645.00,96.07
2644.00,96.06
2643.00,96.04
2642.00,96.03
2641.00,96.01
2640.00,95.98
2639.00,95.95
2638.00,95.93
2637.00,95.93
2636.00,95.92
2635.00,95.91
2634.00,95.89
2633.00,95.87
2632.00,95.84
2631.00,95.84
2630.00,95.86
2629.00,95.90
2628.00,95.93
2627.00,95.95
2626.00,95.95
2625.00,95.94
2624.00,95.92
2623.00,95.92
2622.00,95.93
2621.00,95.94
2620.00,95.95
2619.00,95.96
2618.00,95.97
2617.00,95.97
2616.00,95.98
2615.00,95.98
2614.00,95.97
2613.00,95.96
2612.00,95.95
2611.00,95.96
2610.00,95.98
2609.00,96.01
2608.00,96.02
2607.00,96.01
2606.00,95.99
2605.00,95.97
2604.00,95.95
2603.00,95.95
2602.00,95.96
2601.00,95.98
2600.00,96.00
2599.00,96.00
2598.00,95.99
2597.00,95.98
2596.00,95.98
2595.00,95.96
2594.00,95.94
2593.00,95.93
2592.00,95.93
2591.00,95.94
2590.00,95.95
2589.00,95.96
2588.00,95.96
2587.00,95.97
2586.00,95.97
2585.00,95.98
2584.00,95.98
2583.00,95.97
2582.00,95.95
2581.00,95.93
2580.00,95.93
2579.00,95.94
2578.00,95.96
2577.00,95.97
2576.00,95.97
2575.00,95.95
2574.00,95.94
2573.00,95.94
2572.00,95.95
2571.00,95.97
2570.00,95.98
2569.00,95.99
2568.00,95.99
2567.00,95.98
2566.00,95.96
2565.00,95.96
2564.00,95.97
2563.00,95.99
2562.00,96.01
2561.00,96.02
2560.00,96.02
2559.00,96.01
2558.00,96.00
2557.00,96.00
2556.00,96.00
2555.00,96.01
2554.00,96.01
2553.00,96.00
2552.00,95.98
2551.00,95.97
2550.00,95.97
2549.00,95.97
2548.00,95.96
2547.00,95.96
2546.00,95.95
2545.00,95.95
2544.00,95.97
2543.00,95.99
2542.00,96.00
2541.00,96.01
2540.00,96.00
2539.00,95.98
2538.00,95.96
2537.00,95.95
2536.00,95.94
2535.00,95.95
2534.00,95.97
2533.00,95.98
2532.00,95.96
2531.00,95.94
2530.00,95.93
2529.00,95.93
2528.00,95.95
2527.00,95.97
2526.00,95.98
2525.00,95.99
2524.00,95.99
2523.00,95.98
2522.00,95.97
2521.00,95.96
2520.00,95.95
2519.00,95.96
2518.00,95.96
2517.00,95.96
2516.00,95.96
2515.00,95.97
2514.00,95.97
2513.00,95.97
2512.00,95.97
2511.00,95.97
2510.00,95.99
2509.00,96.00
2508.00,96.01
2507.00,96.00
2506.00,95.99
2505.00,95.99
2504.00,96.00
2503.00,96.02
2502.00,96.04
2501.00,96.07
2500.00,96.10
2499.00,96.11
2498.00,96.10
2497.00,96.06
2496.00,96.03
2495.00,96.00
2494.00,96.00
2493.00,96.01
2492.00,96.01
2491.00,96.01
2490.00,96.01
2489.00,96.01
2488.00,96.01
2487.00,96.00
2486.00,96.01
2485.00,96.02
2484.00,96.03
2483.00,96.02
2482.00,95.99
2481.00,95.98
2480.00,95.98
2479.00,95.99
2478.00,95.99
2477.00,96.00
2476.00,96.01
2475.00,96.02
2474.00,96.02
2473.00,96.00
2472.00,95.98
2471.00,95.97
2470.00,95.98
2469.00,95.99
2468.00,96.00
2467.00,96.02
2466.00,96.02
2465.00,96.02
2464.00,96.03
2463.00,96.04
2462.00,96.05
2461.00,96.05
2460.00,96.05
2459.00,96.05
2458.00,96.04
2457.00,96.03
2456.00,96.01
