Created as New Dataset,192 FMC American Viscose (Black)
cm-1,%T
3249.00,94.40
3248.00,94.41
3247.00,94.41
3246.00,94.41
3245.00,94.41
3244.00,94.43
3243.00,94.45
3242.00,94.47
3241.00,94.49
3240.00,94.51
3239.00,94.51
3238.00,94.50
3237.00,94.48
3236.00,94.48
3235.00,94.50
3234.00,94.53
3233.00,94.56
3232.00,94.58
3231.00,94.57
3230.00,94.56
3229.00,94.55
3228.00,94.54
3227.00,94.54
3226.00,94.54
3225.00,94.56
3224.00,94.59
3223.00,94.62
3222.00,94.64
3221.00,94.65
3220.00,94.65
3219.00,94.67
3218.00,94.70
3217.00,94.73
3216.00,94.75
3215.00,94.75
3214.00,94.74
3213.00,94.72
3212.00,94.71
3211.00,94.72
3210.00,94.75
3209.00,94.79
3208.00,94.83
3207.00,94.87
3206.00,94.89
3205.00,94.89
3204.00,94.88
3203.00,94.87
3202.00,94.87
3201.00,94.86
3200.00,94.87
3199.00,94.89
3198.00,94.92
3197.00,94.94
3196.00,94.95
3195.00,94.95
3194.00,94.95
3193.00,94.96
3192.00,94.99
3191.00,95.01
3190.00,95.03
3189.00,95.03
3188.00,95.03
3187.00,95.04
3186.00,95.07
3185.00,95.10
3184.00,95.13
3183.00,95.15
3182.00,95.16
3181.00,95.17
3180.00,95.18
3179.00,95.19
3178.00,95.20
3177.00,95.21
3176.00,95.22
3175.00,95.22
3174.00,95.22
3173.00,95.23
3172.00,95.26
3171.00,95.30
3170.00,95.34
3169.00,95.36
3168.00,95.37
3167.00,95.36
3166.00,95.36
3165.00,95.36
3164.00,95.37
3163.00,95.38
3162.00,95.40
3161.00,95.41
3160.00,95.42
3159.00,95.42
3158.00,95.44
3157.00,95.46
3156.00,95.49
3155.00,95.51
3154.00,95.53
3153.00,95.56
3152.00,95.58
3151.00,95.60
3150.00,95.62
3149.00,95.62
3148.00,95.62
3147.00,95.61
3146.00,95.61
3145.00,95.61
3144.00,95.62
3143.00,95.65
3142.00,95.68
3141.00,95.71
3140.00,95.74
3139.00,95.75
