Created as New Dataset,Bio-Couture 3x2/16 Cotton (Red)
cm-1,%T
3492.00,89.49
3491.00,89.34
3490.00,89.22
3489.00,89.12
3488.00,89.05
3487.00,89.01
3486.00,88.99
3485.00,88.98
3484.00,88.96
3483.00,88.94
3482.00,88.93
3481.00,88.92
3480.00,88.91
3479.00,88.90
3478.00,88.88
3477.00,88.85
3476.00,88.80
3475.00,88.72
3474.00,88.64
3473.00,88.55
3472.00,88.45
3471.00,88.35
3470.00,88.25
3469.00,88.16
3468.00,88.07
3467.00,87.98
3466.00,87.90
3465.00,87.80
3464.00,87.70
3463.00,87.59
3462.00,87.47
3461.00,87.34
3460.00,87.20
3459.00,87.05
3458.00,86.90
3457.00,86.75
3456.00,86.60
3455.00,86.45
3454.00,86.29
3453.00,86.12
3452.00,85.93
3451.00,85.75
3450.00,85.56
3449.00,85.38
3448.00,85.20
3447.00,85.02
3446.00,84.86
3445.00,84.72
3444.00,84.59
3443.00,84.49
3442.00,84.39
3441.00,84.32
3440.00,84.27
3439.00,84.25
3438.00,84.26
3437.00,84.28
3436.00,84.30
3435.00,84.33
3434.00,84.35
3433.00,84.36
3432.00,84.36
3431.00,84.33
3430.00,84.30
3429.00,84.27
3428.00,84.26
3427.00,84.25
3426.00,84.24
3425.00,84.20
3424.00,84.14
3423.00,84.07
3422.00,83.98
3421.00,83.90
3420.00,83.83
3419.00,83.75
3418.00,83.68
3417.00,83.60
3416.00,83.52
3415.00,83.45
3414.00,83.38
3413.00,83.30
3412.00,83.23
3411.00,83.15
3410.00,83.08
3409.00,83.02
3408.00,82.96
3407.00,82.89
3406.00,82.82
3405.00,82.74
3404.00,82.67
3403.00,82.62
3402.00,82.56
3401.00,82.49
3400.00,82.42
3399.00,82.35
3398.00,82.29
3397.00,82.25
3396.00,82.20
3395.00,82.15
3394.00,82.10
3393.00,82.06
3392.00,82.01
3391.00,81.97
3390.00,81.91
3389.00,81.85
3388.00,81.78
3387.00,81.73
3386.00,81.67
3385.00,81.62
3384.00,81.56
3383.00,81.49
3382.00,81.41
3381.00,81.34
3380.00,81.27
3379.00,81.19
3378.00,81.11
3377.00,81.04
3376.00,80.96
3375.00,80.89
3374.00,80.82
3373.00,80.76
3372.00,80.70
3371.00,80.62
3370.00,80.54
3369.00,80.45
3368.00,80.36
3367.00,80.28
3366.00,80.19
3365.00,80.10
3364.00,80.01
3363.00,79.92
3362.00,79.83
3361.00,79.73
3360.00,79.63
3359.00,79.52
3358.00,79.41
3357.00,79.30
3356.00,79.19
3355.00,79.08
3354.00,78.96
3353.00,78.83
3352.00,78.70
3351.00,78.57
3350.00,78.46
3349.00,78.35
3348.00,78.24
3347.00,78.15
3346.00,78.05
3345.00,77.95
3344.00,77.86
3343.00,77.78
3342.00,77.71
3341.00,77.65
3340.00,77.60
3339.00,77.55
3338.00,77.50
3337.00,77.48
3336.00,77.48
3335.00,77.49
3334.00,77.51
3333.00,77.53
3332.00,77.55
3331.00,77.59
3330.00,77.64
3329.00,77.70
3328.00,77.76
3327.00,77.82
3326.00,77.88
3325.00,77.94
3324.00,78.00
3323.00,78.06
3322.00,78.13
3321.00,78.20
3320.00,78.26
3319.00,78.31
3318.00,78.35
3317.00,78.39
3316.00,78.42
3315.00,78.45
3314.00,78.47
3313.00,78.48
3312.00,78.49
3311.00,78.51
3310.00,78.53
3309.00,78.54
3308.00,78.54
3307.00,78.54
3306.00,78.52
3305.00,78.50
3304.00,78.48
3303.00,78.46
3302.00,78.44
3301.00,78.42
3300.00,78.42
3299.00,78.42
3298.00,78.43
3297.00,78.44
3296.00,78.44
3295.00,78.45
3294.00,78.46
3293.00,78.48
3292.00,78.51
3291.00,78.53
3290.00,78.54
3289.00,78.54
3288.00,78.55
3287.00,78.55
3286.00,78.56
3285.00,78.58
3284.00,78.61
3283.00,78.64
3282.00,78.69
3281.00,78.73
3280.00,78.77
3279.00,78.80
3278.00,78.84
3277.00,78.88
3276.00,78.91
3275.00,78.94
3274.00,78.98
3273.00,79.02
3272.00,79.09
3271.00,79.16
3270.00,79.23
3269.00,79.29
3268.00,79.35
3267.00,79.43
3266.00,79.52
3265.00,79.62
3264.00,79.72
3263.00,79.81
3262.00,79.89
3261.00,79.98
3260.00,80.08
3259.00,80.20
3258.00,80.32
3257.00,80.44
3256.00,80.54
3255.00,80.63
3254.00,80.71
3253.00,80.80
3252.00,80.90
3251.00,81.01
3250.00,81.12
3249.00,81.23
3248.00,81.34
3247.00,81.45
3246.00,81.56
3245.00,81.68
3244.00,81.80
3243.00,81.90
3242.00,81.98
3241.00,82.06
3240.00,82.13
3239.00,82.19
3238.00,82.26
3237.00,82.32
3236.00,82.39
3235.00,82.48
3234.00,82.59
3233.00,82.68
3232.00,82.77
3231.00,82.84
3230.00,82.90
3229.00,82.97
3228.00,83.04
3227.00,83.12
3226.00,83.20
3225.00,83.28
3224.00,83.36
3223.00,83.43
3222.00,83.49
3221.00,83.55
3220.00,83.62
3219.00,83.69
3218.00,83.77
3217.00,83.85
3216.00,83.92
3215.00,83.97
3214.00,84.02
3213.00,84.07
3212.00,84.14
3211.00,84.22
3210.00,84.30
3209.00,84.37
3208.00,84.43
3207.00,84.48
3206.00,84.53
3205.00,84.59
3204.00,84.66
3203.00,84.72
3202.00,84.78
3201.00,84.83
3200.00,84.87
3199.00,84.92
3198.00,84.98
3197.00,85.05
3196.00,85.13
3195.00,85.19
3194.00,85.25
3193.00,85.31
3192.00,85.37
3191.00,85.43
3190.00,85.46
3189.00,85.49
3188.00,85.52
3187.00,85.57
3186.00,85.62
3185.00,85.68
3184.00,85.75
3183.00,85.81
3182.00,85.85
3181.00,85.88
3180.00,85.91
3179.00,85.93
3178.00,85.96
3177.00,86.00
3176.00,86.05
3175.00,86.11
3174.00,86.17
3173.00,86.21
3172.00,86.23
3171.00,86.25
3170.00,86.29
3169.00,86.34
3168.00,86.40
3167.00,86.45
3166.00,86.50
3165.00,86.55
3164.00,86.60
3163.00,86.64
3162.00,86.68
3161.00,86.71
3160.00,86.76
3159.00,86.80
3158.00,86.85
3157.00,86.89
3156.00,86.94
3155.00,86.98
3154.00,87.02
3153.00,87.07
3152.00,87.12
3151.00,87.17
3150.00,87.23
3149.00,87.29
3148.00,87.36
3147.00,87.43
3146.00,87.49
3145.00,87.54
3144.00,87.58
3143.00,87.64
3142.00,87.69
3141.00,87.75
3140.00,87.81
3139.00,87.88
3138.00,87.94
3137.00,88.00
3136.00,88.06
3135.00,88.12
3134.00,88.19
3133.00,88.26
3132.00,88.33
3131.00,88.40
3130.00,88.46
3129.00,88.52
3128.00,88.59
3127.00,88.67
3126.00,88.75
3125.00,88.83
3124.00,88.91
3123.00,88.98
3122.00,89.05
3121.00,89.12
3120.00,89.20
3119.00,89.28
3118.00,89.37
3117.00,89.44
3116.00,89.51
3115.00,89.58
3114.00,89.65
3113.00,89.74
3112.00,89.83
3111.00,89.91
3110.00,89.99
3109.00,90.05
3108.00,90.11
3107.00,90.16
3106.00,90.21
3105.00,90.27
3104.00,90.34
3103.00,90.41
3102.00,90.49
3101.00,90.56
3100.00,90.62
3099.00,90.69
3098.00,90.76
3097.00,90.84
3096.00,90.93
3095.00,91.00
3094.00,91.07
3093.00,91.13
3092.00,91.19
3091.00,91.26
3090.00,91.33
3089.00,91.40
3088.00,91.47
3087.00,91.54
3086.00,91.62
3085.00,91.69
3084.00,91.76
3083.00,91.82
3082.00,91.88
3081.00,91.94
3080.00,92.01
3079.00,92.08
3078.00,92.14
3077.00,92.20
3076.00,92.25
3075.00,92.30
3074.00,92.37
3073.00,92.43
3072.00,92.50
3071.00,92.57
3070.00,92.62
3069.00,92.67
3068.00,92.73
3067.00,92.79
3066.00,92.84
3065.00,92.90
3064.00,92.96
3063.00,93.01
3062.00,93.06
3061.00,93.11
3060.00,93.15
3059.00,93.20
3058.00,93.25
3057.00,93.31
3056.00,93.37
3055.00,93.43
3054.00,93.49
3053.00,93.54
3052.00,93.59
3051.00,93.64
3050.00,93.69
3049.00,93.73
3048.00,93.77
3047.00,93.81
3046.00,93.85
3045.00,93.89
3044.00,93.93
3043.00,93.97
3042.00,94.02
3041.00,94.06
3040.00,94.11
3039.00,94.17
3038.00,94.22
3037.00,94.26
3036.00,94.30
3035.00,94.32
3034.00,94.35
3033.00,94.37
3032.00,94.41
3031.00,94.45
3030.00,94.49
3029.00,94.53
3028.00,94.57
3027.00,94.60
3026.00,94.64
3025.00,94.68
3024.00,94.72
3023.00,94.76
3022.00,94.78
3021.00,94.79
3020.00,94.81
3019.00,94.83
3018.00,94.86
3017.00,94.89
3016.00,94.91
3015.00,94.93
3014.00,94.95
3013.00,94.98
3012.00,95.01
3011.00,95.03
3010.00,95.06
3009.00,95.08
3008.00,95.09
3007.00,95.11
3006.00,95.11
3005.00,95.13
3004.00,95.14
3003.00,95.17
3002.00,95.20
3001.00,95.23
3000.00,95.25
2999.00,95.26
2998.00,95.28
2997.00,95.30
2996.00,95.31
2995.00,95.32
2994.00,95.32
2993.00,95.32
2992.00,95.31
2991.00,95.29
2990.00,95.26
2989.00,95.22
2988.00,95.17
2987.00,95.12
2986.00,95.05
2985.00,94.98
2984.00,94.93
2983.00,94.88
2982.00,94.86
2981.00,94.83
2980.00,94.81
2979.00,94.76
2978.00,94.71
2977.00,94.64
2976.00,94.56
2975.00,94.48
2974.00,94.38
2973.00,94.26
2972.00,94.13
2971.00,93.99
2970.00,93.87
2969.00,93.78
2968.00,93.71
2967.00,93.66
2966.00,93.61
2965.00,93.54
2964.00,93.45
2963.00,93.35
2962.00,93.26
2961.00,93.18
2960.00,93.10
2959.00,93.01
2958.00,92.91
2957.00,92.80
2956.00,92.70
2955.00,92.61
2954.00,92.53
2953.00,92.45
2952.00,92.38
2951.00,92.31
2950.00,92.24
2949.00,92.16
2948.00,92.07
2947.00,91.96
2946.00,91.86
2945.00,91.73
2944.00,91.60
2943.00,91.44
2942.00,91.26
2941.00,91.07
2940.00,90.86
2939.00,90.64
2938.00,90.41
2937.00,90.18
2936.00,89.94
2935.00,89.70
2934.00,89.47
2933.00,89.22
2932.00,88.97
2931.00,88.71
2930.00,88.43
2929.00,88.14
2928.00,87.80
2927.00,87.44
2926.00,87.06
2925.00,86.68
2924.00,86.30
2923.00,85.94
2922.00,85.61
2921.00,85.33
2920.00,85.14
2919.00,85.03
2918.00,85.04
2917.00,85.14
2916.00,85.31
2915.00,85.53
2914.00,85.76
2913.00,85.98
2912.00,86.17
2911.00,86.30
2910.00,86.37
2909.00,86.38
2908.00,86.37
2907.00,86.35
2906.00,86.35
2905.00,86.35
2904.00,86.37
2903.00,86.39
2902.00,86.43
2901.00,86.48
2900.00,86.52
2899.00,86.55
2898.00,86.58
2897.00,86.61
2896.00,86.62
2895.00,86.63
2894.00,86.64
2893.00,86.67
2892.00,86.73
2891.00,86.83
2890.00,86.96
2889.00,87.11
2888.00,87.27
2887.00,87.42
2886.00,87.56
2885.00,87.70
2884.00,87.83
2883.00,87.94
2882.00,88.02
2881.00,88.10
2880.00,88.17
2879.00,88.23
2878.00,88.29
2877.00,88.34
2876.00,88.39
2875.00,88.44
2874.00,88.50
2873.00,88.56
2872.00,88.63
2871.00,88.72
2870.00,88.81
2869.00,88.91
2868.00,89.01
2867.00,89.10
2866.00,89.18
2865.00,89.25
2864.00,89.31
2863.00,89.36
2862.00,89.38
2861.00,89.37
2860.00,89.33
2859.00,89.24
2858.00,89.12
2857.00,88.97
2856.00,88.77
2855.00,88.53
2854.00,88.27
2853.00,88.03
2852.00,87.87
2851.00,87.86
2850.00,88.03
2849.00,88.40
2848.00,88.90
2847.00,89.46
2846.00,90.00
2845.00,90.49
2844.00,90.91
2843.00,91.27
2842.00,91.57
2841.00,91.82
2840.00,92.03
2839.00,92.21
2838.00,92.37
2837.00,92.50
2836.00,92.62
2835.00,92.73
2834.00,92.84
2833.00,92.95
2832.00,93.04
2831.00,93.13
2830.00,93.20
2829.00,93.26
2828.00,93.32
2827.00,93.38
2826.00,93.45
2825.00,93.52
2824.00,93.59
2823.00,93.65
2822.00,93.70
2821.00,93.75
2820.00,93.80
2819.00,93.86
2818.00,93.91
2817.00,93.95
2816.00,93.99
2815.00,94.04
2814.00,94.07
2813.00,94.11
2812.00,94.13
2811.00,94.16
2810.00,94.19
2809.00,94.24
2808.00,94.29
2807.00,94.34
2806.00,94.38
2805.00,94.41
2804.00,94.43
2803.00,94.45
2802.00,94.47
2801.00,94.51
2800.00,94.56
2799.00,94.60
2798.00,94.64
2797.00,94.67
2796.00,94.70
2795.00,94.73
2794.00,94.76
2793.00,94.80
2792.00,94.83
2791.00,94.87
2790.00,94.90
2789.00,94.92
2788.00,94.95
2787.00,94.97
2786.00,95.00
2785.00,95.03
2784.00,95.07
2783.00,95.10
2782.00,95.13
2781.00,95.16
2780.00,95.19
2779.00,95.20
2778.00,95.20
2777.00,95.20
2776.00,95.21
2775.00,95.22
2774.00,95.25
2773.00,95.28
2772.00,95.32
2771.00,95.35
2770.00,95.38
2769.00,95.40
2768.00,95.41
2767.00,95.42
2766.00,95.43
2765.00,95.45
2764.00,95.47
2763.00,95.50
2762.00,95.52
2761.00,95.53
2760.00,95.53
2759.00,95.53
2758.00,95.53
2757.00,95.53
2756.00,95.54
2755.00,95.55
2754.00,95.55
2753.00,95.54
2752.00,95.54
2751.00,95.54
2750.00,95.54
2749.00,95.54
2748.00,95.55
2747.00,95.56
2746.00,95.57
2745.00,95.58
2744.00,95.58
2743.00,95.58
2742.00,95.59
2741.00,95.59
2740.00,95.59
2739.00,95.59
2738.00,95.58
2737.00,95.58
2736.00,95.58
2735.00,95.59
2734.00,95.58
2733.00,95.58
2732.00,95.57
2731.00,95.56
2730.00,95.57
2729.00,95.58
2728.00,95.60
2727.00,95.61
2726.00,95.63
2725.00,95.66
2724.00,95.68
2723.00,95.70
2722.00,95.71
2721.00,95.72
2720.00,95.73
2719.00,95.74
2718.00,95.76
2717.00,95.79
2716.00,95.80
2715.00,95.82
2714.00,95.82
2713.00,95.83
2712.00,95.84
2711.00,95.84
2710.00,95.85
2709.00,95.86
2708.00,95.89
2707.00,95.91
2706.00,95.94
2705.00,95.97
2704.00,95.99
2703.00,95.99
2702.00,95.98
2701.00,95.98
2700.00,95.98
2699.00,96.00
2698.00,96.02
2697.00,96.04
2696.00,96.06
2695.00,96.08
2694.00,96.10
2693.00,96.12
2692.00,96.14
2691.00,96.17
2690.00,96.19
2689.00,96.20
2688.00,96.22
2687.00,96.23
2686.00,96.24
2685.00,96.25
2684.00,96.26
2683.00,96.27
2682.00,96.28
2681.00,96.30
2680.00,96.31
2679.00,96.32
2678.00,96.33
2677.00,96.33
2676.00,96.33
2675.00,96.35
2674.00,96.36
2673.00,96.37
2672.00,96.38
2671.00,96.39
2670.00,96.40
2669.00,96.42
2668.00,96.44
2667.00,96.46
2666.00,96.46
2665.00,96.46
2664.00,96.44
2663.00,96.42
2662.00,96.41
2661.00,96.41
2660.00,96.42
2659.00,96.44
2658.00,96.45
2657.00,96.45
2656.00,96.46
2655.00,96.47
2654.00,96.48
2653.00,96.49
2652.00,96.48
2651.00,96.46
2650.00,96.44
2649.00,96.43
2648.00,96.44
2647.00,96.46
2646.00,96.49
2645.00,96.50
2644.00,96.50
2643.00,96.50
2642.00,96.49
2641.00,96.49
2640.00,96.49
2639.00,96.49
2638.00,96.48
2637.00,96.49
2636.00,96.50
2635.00,96.52
2634.00,96.54
2633.00,96.55
2632.00,96.56
2631.00,96.56
2630.00,96.57
2629.00,96.57
2628.00,96.58
2627.00,96.58
2626.00,96.59
2625.00,96.58
2624.00,96.57
2623.00,96.57
2622.00,96.57
2621.00,96.57
2620.00,96.57
2619.00,96.57
2618.00,96.58
2617.00,96.59
2616.00,96.60
2615.00,96.62
2614.00,96.65
2613.00,96.67
2612.00,96.67
2611.00,96.67
2610.00,96.66
2609.00,96.66
2608.00,96.67
2607.00,96.68
2606.00,96.68
2605.00,96.67
2604.00,96.67
2603.00,96.68
2602.00,96.70
2601.00,96.72
2600.00,96.72
2599.00,96.71
2598.00,96.70
2597.00,96.70
2596.00,96.71
2595.00,96.74
2594.00,96.75
2593.00,96.76
2592.00,96.75
2591.00,96.75
2590.00,96.75
2589.00,96.75
2588.00,96.75
2587.00,96.75
2586.00,96.75
2585.00,96.76
2584.00,96.77
2583.00,96.77
2582.00,96.77
2581.00,96.78
2580.00,96.79
2579.00,96.81
2578.00,96.82
2577.00,96.81
2576.00,96.80
2575.00,96.79
2574.00,96.80
2573.00,96.80
2572.00,96.80
2571.00,96.79
2570.00,96.78
2569.00,96.77
2568.00,96.78
2567.00,96.79
2566.00,96.79
2565.00,96.79
2564.00,96.79
2563.00,96.80
2562.00,96.81
2561.00,96.80
2560.00,96.79
2559.00,96.77
2558.00,96.77
2557.00,96.78
2556.00,96.79
2555.00,96.81
2554.00,96.83
2553.00,96.84
2552.00,96.86
2551.00,96.88
2550.00,96.88
2549.00,96.87
2548.00,96.85
2547.00,96.82
2546.00,96.80
2545.00,96.79
2544.00,96.79
2543.00,96.80
2542.00,96.83
2541.00,96.86
2540.00,96.88
2539.00,96.89
2538.00,96.88
2537.00,96.86
2536.00,96.84
2535.00,96.83
2534.00,96.85
2533.00,96.87
2532.00,96.88
2531.00,96.87
2530.00,96.84
2529.00,96.80
2528.00,96.78
2527.00,96.76
2526.00,96.76
2525.00,96.78
2524.00,96.82
2523.00,96.85
2522.00,96.87
2521.00,96.88
2520.00,96.89
2519.00,96.92
2518.00,96.94
2517.00,96.94
2516.00,96.92
2515.00,96.90
2514.00,96.90
2513.00,96.91
2512.00,96.93
2511.00,96.94
2510.00,96.95
2509.00,96.95
2508.00,96.96
2507.00,96.97
2506.00,96.99
2505.00,97.00
2504.00,97.02
2503.00,97.01
2502.00,97.00
2501.00,96.97
2500.00,96.95
2499.00,96.94
2498.00,96.94
2497.00,96.96
2496.00,96.98
2495.00,97.01
2494.00,97.03
2493.00,97.03
2492.00,97.01
2491.00,97.00
2490.00,97.00
2489.00,97.00
2488.00,97.00
2487.00,97.00
2486.00,96.99
2485.00,97.00
2484.00,97.01
2483.00,97.02
2482.00,97.05
2481.00,97.07
2480.00,97.08
2479.00,97.07
2478.00,97.06
2477.00,97.06
2476.00,97.08
2475.00,97.10
2474.00,97.13
2473.00,97.15
2472.00,97.16
2471.00,97.16
2470.00,97.14
2469.00,97.13
2468.00,97.14
2467.00,97.16
2466.00,97.18
2465.00,97.19
2464.00,97.18
2463.00,97.16
2462.00,97.14
2461.00,97.15
2460.00,97.17
2459.00,97.20
