Created as New Dataset,146. Fiber Extrusion
cm-1,%T
2844.00,98.65
2843.00,98.66
2842.00,98.67
2841.00,98.67
2840.00,98.67
2839.00,98.67
2838.00,98.68
2837.00,98.69
2836.00,98.71
2835.00,98.73
2834.00,98.74
2833.00,98.74
2832.00,98.75
2831.00,98.76
2830.00,98.77
2829.00,98.79
2828.00,98.81
2827.00,98.84
2826.00,98.87
2825.00,98.89
2824.00,98.90
2823.00,98.90
2822.00,98.89
2821.00,98.87
2820.00,98.86
2819.00,98.86
2818.00,98.86
2817.00,98.86
2816.00,98.85
2815.00,98.85
2814.00,98.85
2813.00,98.85
2812.00,98.85
2811.00,98.85
2810.00,98.84
2809.00,98.82
2808.00,98.82
2807.00,98.82
2806.00,98.82
2805.00,98.84
2804.00,98.85
2803.00,98.86
2802.00,98.87
2801.00,98.87
2800.00,98.87
2799.00,98.87
2798.00,98.87
2797.00,98.87
2796.00,98.87
2795.00,98.87
2794.00,98.87
2793.00,98.88
2792.00,98.89
2791.00,98.91
2790.00,98.91
2789.00,98.91
2788.00,98.90
2787.00,98.89
2786.00,98.89
2785.00,98.89
2784.00,98.89
2783.00,98.90
2782.00,98.91
2781.00,98.93
2780.00,98.96
2779.00,98.98
2778.00,98.99
2777.00,98.99
2776.00,98.98
2775.00,98.96
2774.00,98.96
2773.00,98.96
2772.00,98.97
2771.00,98.98
2770.00,98.99
2769.00,98.99
2768.00,98.98
2767.00,98.97
2766.00,98.97
2765.00,98.98
2764.00,98.98
2763.00,98.99
2762.00,99.00
2761.00,99.00
2760.00,99.01
2759.00,99.00
2758.00,99.00
2757.00,99.00
2756.00,99.00
2755.00,99.00
2754.00,99.00
2753.00,99.00
2752.00,99.00
2751.00,98.98
2750.00,98.97
2749.00,98.95
2748.00,98.94
2747.00,98.94
2746.00,98.95
2745.00,98.96
2744.00,98.96
2743.00,98.96
2742.00,98.95
2741.00,98.94
2740.00,98.94
2739.00,98.94
2738.00,98.95
2737.00,98.96
2736.00,98.97
2735.00,98.98
2734.00,98.99
2733.00,98.98
2732.00,98.97
2731.00,98.96
2730.00,98.96
2729.00,98.96
2728.00,98.97
2727.00,98.98
2726.00,99.00
2725.00,99.01
2724.00,99.01
2723.00,99.01
2722.00,99.01
2721.00,99.01
2720.00,99.01
2719.00,99.01
2718.00,98.99
2717.00,98.98
2716.00,98.98
2715.00,98.97
2714.00,98.97
2713.00,98.97
2712.00,98.98
2711.00,98.99
2710.00,98.99
2709.00,99.00
2708.00,99.01
2707.00,99.01
2706.00,99.02
2705.00,99.02
2704.00,99.03
2703.00,99.03
2702.00,99.04
2701.00,99.04
2700.00,99.04
2699.00,99.04
2698.00,99.04
2697.00,99.05
2696.00,99.05
2695.00,99.05
2694.00,99.05
2693.00,99.05
2692.00,99.04
2691.00,99.04
2690.00,99.05
2689.00,99.05
2688.00,99.05
2687.00,99.04
2686.00,99.03
2685.00,99.03
2684.00,99.04
2683.00,99.04
2682.00,99.04
2681.00,99.03
2680.00,99.02
2679.00,99.02
2678.00,99.02
2677.00,99.03
2676.00,99.04
2675.00,99.04
2674.00,99.04
2673.00,99.03
2672.00,99.02
2671.00,99.02
2670.00,99.01
2669.00,99.01
2668.00,99.01
2667.00,99.02
2666.00,99.03
