Created as New Dataset,64. Modacrylic Toray Dyed
cm-1,%T
3129.00,95.74
3128.00,95.75
3127.00,95.75
3126.00,95.74
3125.00,95.74
3124.00,95.73
3123.00,95.74
3122.00,95.75
3121.00,95.77
3120.00,95.78
3119.00,95.79
3118.00,95.80
3117.00,95.80
3116.00,95.79
3115.00,95.78
3114.00,95.76
3113.00,95.75
3112.00,95.74
3111.00,95.75
3110.00,95.75
3109.00,95.75
3108.00,95.76
3107.00,95.76
3106.00,95.76
3105.00,95.77
3104.00,95.77
3103.00,95.78
3102.00,95.78
3101.00,95.77
3100.00,95.76
3099.00,95.76
3098.00,95.77
3097.00,95.77
3096.00,95.76
3095.00,95.74
3094.00,95.73
3093.00,95.74
3092.00,95.74
3091.00,95.74
3090.00,95.74
3089.00,95.73
3088.00,95.73
3087.00,95.73
3086.00,95.74
3085.00,95.73
3084.00,95.73
3083.00,95.73
3082.00,95.73
3081.00,95.72
3080.00,95.71
3079.00,95.70
3078.00,95.70
3077.00,95.70
3076.00,95.70
3075.00,95.70
3074.00,95.71
3073.00,95.73
3072.00,95.74
3071.00,95.74
3070.00,95.73
3069.00,95.73
3068.00,95.74
3067.00,95.75
3066.00,95.75
3065.00,95.73
3064.00,95.72
3063.00,95.71
3062.00,95.72
3061.00,95.72
3060.00,95.72
3059.00,95.71
3058.00,95.71
3057.00,95.70
3056.00,95.70
3055.00,95.70
3054.00,95.71
3053.00,95.73
3052.00,95.74
3051.00,95.74
3050.00,95.73
3049.00,95.73
3048.00,95.72
3047.00,95.72
3046.00,95.72
3045.00,95.72
3044.00,95.72
3043.00,95.72
3042.00,95.72
3041.00,95.73
3040.00,95.72
3039.00,95.72
3038.00,95.71
3037.00,95.70
3036.00,95.70
3035.00,95.69
3034.00,95.68
3033.00,95.68
3032.00,95.68
3031.00,95.68
3030.00,95.67
3029.00,95.65
3028.00,95.64
3027.00,95.64
3026.00,95.63
3025.00,95.63
3024.00,95.63
3023.00,95.64
3022.00,95.64
3021.00,95.64
3020.00,95.64
3019.00,95.62
3018.00,95.59
3017.00,95.56
3016.00,95.53
3015.00,95.52
3014.00,95.51
3013.00,95.50
3012.00,95.47
3011.00,95.45
3010.00,95.42
3009.00,95.40
3008.00,95.39
3007.00,95.37
3006.00,95.36
3005.00,95.34
3004.00,95.31
3003.00,95.27
3002.00,95.23
3001.00,95.20
3000.00,95.19
2999.00,95.18
2998.00,95.16
2997.00,95.11
2996.00,95.07
2995.00,95.04
2994.00,95.01
2993.00,94.98
2992.00,94.95
2991.00,94.92
2990.00,94.89
2989.00,94.86
2988.00,94.83
2987.00,94.79
2986.00,94.75
2985.00,94.70
2984.00,94.67
2983.00,94.64
2982.00,94.62
2981.00,94.60
2980.00,94.59
2979.00,94.58
2978.00,94.56
2977.00,94.54
2976.00,94.51
2975.00,94.48
2974.00,94.44
2973.00,94.41
2972.00,94.40
2971.00,94.38
2970.00,94.37
2969.00,94.36
2968.00,94.34
2967.00,94.32
2966.00,94.29
2965.00,94.25
2964.00,94.20
2963.00,94.15
2962.00,94.11
2961.00,94.08
2960.00,94.06
2959.00,94.04
2958.00,94.02
2957.00,93.99
2956.00,93.96
2955.00,93.93
2954.00,93.89
2953.00,93.85
2952.00,93.80
2951.00,93.76
2950.00,93.72
2949.00,93.67
2948.00,93.62
2947.00,93.55
2946.00,93.47
2945.00,93.39
2944.00,93.30
2943.00,93.21
2942.00,93.11
2941.00,93.02
2940.00,92.91
2939.00,92.80
2938.00,92.68
2937.00,92.57
2936.00,92.48
2935.00,92.41
2934.00,92.37
2933.00,92.33
2932.00,92.27
2931.00,92.20
2930.00,92.10
2929.00,92.01
2928.00,91.92
2927.00,91.87
2926.00,91.84
2925.00,91.84
2924.00,91.86
2923.00,91.89
2922.00,91.95
2921.00,92.03
2920.00,92.15
2919.00,92.30
2918.00,92.48
2917.00,92.68
2916.00,92.87
2915.00,93.06
2914.00,93.23
2913.00,93.40
2912.00,93.56
2911.00,93.70
2910.00,93.84
2909.00,93.97
2908.00,94.08
2907.00,94.16
2906.00,94.23
2905.00,94.30
2904.00,94.37
2903.00,94.44
2902.00,94.51
2901.00,94.56
2900.00,94.61
2899.00,94.66
2898.00,94.70
2897.00,94.75
2896.00,94.79
2895.00,94.82
2894.00,94.86
2893.00,94.90
2892.00,94.94
2891.00,94.98
2890.00,95.01
2889.00,95.02
2888.00,95.02
2887.00,95.03
2886.00,95.04
2885.00,95.06
2884.00,95.09
2883.00,95.11
2882.00,95.12
2881.00,95.12
2880.00,95.11
2879.00,95.09
2878.00,95.08
2877.00,95.07
2876.00,95.06
2875.00,95.05
2874.00,95.03
2873.00,95.01
2872.00,95.00
2871.00,94.99
2870.00,94.98
2869.00,94.98
2868.00,94.98
2867.00,94.98
2866.00,94.97
2865.00,94.94
2864.00,94.89
2863.00,94.84
2862.00,94.79
2861.00,94.74
2860.00,94.69
2859.00,94.63
2858.00,94.55
2857.00,94.46
2856.00,94.38
2855.00,94.32
2854.00,94.28
2853.00,94.28
2852.00,94.32
2851.00,94.39
2850.00,94.49
2849.00,94.61
2848.00,94.74
2847.00,94.86
2846.00,94.96
2845.00,95.06
2844.00,95.16
2843.00,95.25
2842.00,95.35
2841.00,95.43
2840.00,95.49
2839.00,95.55
2838.00,95.59
2837.00,95.63
2836.00,95.66
2835.00,95.69
2834.00,95.72
2833.00,95.75
2832.00,95.78
2831.00,95.81
2830.00,95.83
2829.00,95.84
2828.00,95.86
2827.00,95.87
2826.00,95.88
2825.00,95.88
2824.00,95.88
2823.00,95.87
2822.00,95.86
2821.00,95.86
2820.00,95.87
2819.00,95.89
2818.00,95.91
2817.00,95.94
2816.00,95.95
2815.00,95.96
2814.00,95.96
2813.00,95.95
2812.00,95.95
2811.00,95.94
2810.00,95.94
2809.00,95.95
2808.00,95.95
2807.00,95.97
2806.00,95.99
2805.00,96.00
2804.00,96.01
2803.00,96.01
2802.00,96.01
2801.00,96.01
2800.00,96.01
2799.00,96.01
2798.00,96.01
2797.00,96.02
2796.00,96.02
2795.00,96.02
2794.00,96.01
2793.00,96.00
